#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10                   0              0                0              0                0              0            0%         0%
          10          20       2.6268837e-06    4.87189e-07    2.1711484e-06    4.02157e-07    3.1323669e-06    5.81663e-07       -17.35%     19.24%
          20          30       1.5122589e-05    1.01955e-06    1.2519463e-05    8.43330e-07    1.8003287e-05    1.21481e-06       -17.21%     19.05%
          30          40       3.2982326e-05    1.46823e-06    2.7384657e-05    1.22325e-06    3.9153076e-05    1.73716e-06       -16.97%     18.71%
          40          50       4.9288885e-05    1.61328e-06    4.0941290e-05    1.34273e-06    5.8482205e-05    1.91053e-06       -16.94%     18.65%
          50          60       6.2243626e-05    1.80255e-06    5.1703335e-05    1.49995e-06    7.3849019e-05    2.13512e-06       -16.93%     18.65%
          60          70       0.00010391393    2.18725e-06    8.6143526e-05    1.81004e-06    0.00012352814    2.60474e-06       -17.10%     18.88%
          70          80       0.00016646516    2.52701e-06    0.00013812871    2.10049e-06    0.00019770600    2.99672e-06       -17.02%     18.77%
          80          90       0.00019932536    2.44509e-06    0.00016559054    2.03337e-06    0.00023646216    2.89804e-06       -16.92%     18.63%
          90         100       0.00021458157    2.30113e-06    0.00017840747    1.91453e-06    0.00025436214    2.72635e-06       -16.86%     18.54%
         100         110       0.00012298350    1.94873e-06    0.00010248095    1.63084e-06    0.00014547201    2.29595e-06       -16.67%     18.29%
         110         120       9.0489046e-05    1.58089e-06    7.5398996e-05    1.31996e-06    0.00010704049    1.86659e-06       -16.68%     18.29%
         120         130       5.5135879e-05    1.15939e-06    4.5916668e-05    9.68182e-07    6.5251963e-05    1.36868e-06       -16.72%     18.35%
         130         140       5.1041409e-05    1.16467e-06    4.2555646e-05    9.71040e-07    6.0339448e-05    1.37674e-06       -16.63%     18.22%
         140         150       4.1666864e-05    9.60330e-07    3.4766515e-05    8.02728e-07    4.9220431e-05    1.13256e-06       -16.56%     18.13%
         150         160       3.5866415e-05    9.34329e-07    2.9970089e-05    7.83051e-07    4.2308726e-05    1.09909e-06       -16.44%     17.96%
         160         170       3.2507051e-05    9.13740e-07    2.7209736e-05    7.66801e-07    3.8282924e-05    1.07351e-06       -16.30%     17.77%
         170         180       2.9020793e-05    8.23939e-07    2.4310401e-05    6.91327e-07    3.4151441e-05    9.68129e-07       -16.23%     17.68%
         180         190       2.5625870e-05    8.93410e-07    2.1501153e-05    7.53820e-07    3.0109533e-05    1.04423e-06       -16.10%     17.50%
         190         200       2.2928512e-05    7.40486e-07    1.9246266e-05    6.21660e-07    2.6928457e-05    8.69540e-07       -16.06%     17.45%
         200         210       1.9891657e-05    7.53576e-07    1.6717329e-05    6.33507e-07    2.3334672e-05    8.83786e-07       -15.96%     17.31%
         210         220       1.7439665e-05    6.94606e-07    1.4685719e-05    5.85679e-07    2.0419730e-05    8.12341e-07       -15.79%     17.09%
         220         230       1.6035530e-05    7.34296e-07    1.3532420e-05    6.21657e-07    1.8736694e-05    8.55469e-07       -15.61%     16.84%
         230         240       1.2962697e-05    6.41998e-07    1.0938282e-05    5.41361e-07    1.5147602e-05    7.50769e-07       -15.62%     16.86%
         240         250       1.2252777e-05    6.75347e-07    1.0338975e-05    5.68236e-07    1.4317720e-05    7.91339e-07       -15.62%     16.85%
         250         260       1.1289559e-05    7.93170e-07    9.5486360e-06    6.72018e-07    1.3162591e-05    9.23322e-07       -15.42%     16.59%
         260         270       1.0279604e-05    7.57892e-07    8.7013166e-06    6.43377e-07    1.1975159e-05    8.80481e-07       -15.35%     16.49%
         270         280       8.1602550e-06    5.11389e-07    6.9061149e-06    4.32392e-07    9.5081586e-06    5.96397e-07       -15.37%     16.52%
         280         290       7.8591473e-06    6.76516e-07    6.6641794e-06    5.71305e-07    9.1399679e-06    7.89811e-07       -15.20%     16.30%
         290         300       6.0774912e-06    4.27397e-07    5.1596694e-06    3.62886e-07    7.0596115e-06    4.96421e-07       -15.10%     16.16%
         300         310       5.8715406e-06    6.10809e-07    4.9987780e-06    5.24740e-07    6.8022571e-06    7.01556e-07       -14.86%     15.85%
         310         320       4.9812372e-06    4.49131e-07    4.2456233e-06    3.84019e-07    5.7644707e-06    5.18212e-07       -14.77%     15.72%
         320         330       4.9235761e-06    4.82154e-07    4.1892952e-06    4.10140e-07    5.7070216e-06    5.59020e-07       -14.91%     15.91%
         330         340       4.0206474e-06    4.62420e-07    3.4313446e-06    3.96230e-07    4.6469725e-06    5.32374e-07       -14.66%     15.58%
         340         350       4.2402711e-06    5.10886e-07    3.6141236e-06    4.34996e-07    4.9068968e-06    5.91847e-07       -14.77%     15.72%
         350         360       4.2622610e-06    5.54912e-07    3.6362753e-06    4.72464e-07    4.9278943e-06    6.42866e-07       -14.69%     15.62%
         360         370       3.5899558e-06    7.08102e-07    3.0619980e-06    5.99999e-07    4.1512691e-06    8.23945e-07       -14.71%     15.64%
         370         380       2.5024999e-06    3.63809e-07    2.1425889e-06    3.12373e-07    2.8832115e-06    4.18007e-07       -14.38%     15.21%
         380         390       2.2161781e-06    2.78276e-07    1.8964368e-06    2.38356e-07    2.5546556e-06    3.20493e-07       -14.43%     15.27%
         390         400       1.9102469e-06    2.79221e-07    1.6349265e-06    2.38807e-07    2.2016417e-06    3.22054e-07       -14.41%     15.25%
         400         410       1.5513202e-06    2.25369e-07    1.3284703e-06    1.92832e-07    1.7869492e-06    2.59799e-07       -14.37%     15.19%
         410         420       1.7083500e-06    3.34627e-07    1.4643622e-06    2.87287e-07    1.9660302e-06    3.84521e-07       -14.28%     15.08%
         420         430       1.3725657e-06    2.13293e-07    1.1789580e-06    1.83232e-07    1.5764043e-06    2.44944e-07       -14.11%     14.85%
         430         440       1.6915524e-06    5.18708e-07    1.4515351e-06    4.44328e-07    1.9447114e-06    5.97385e-07       -14.19%     14.97%
         440         450       1.1068210e-06    2.50084e-07    9.5240000e-07    2.16052e-07    1.2689815e-06    2.85621e-07       -13.95%     14.65%
         450         460       2.0044569e-06    4.20605e-07    1.7226519e-06    3.60721e-07    2.3008399e-06    4.83759e-07       -14.06%     14.79%
         460         470       1.3192537e-06    2.51844e-07    1.1334269e-06    2.16078e-07    1.5148008e-06    2.89548e-07       -14.09%     14.82%
         470         480       1.4368423e-06    2.51069e-07    1.2367123e-06    2.16167e-07    1.6469100e-06    2.87698e-07       -13.93%     14.62%
         480         490       8.8420258e-07    1.90064e-07    7.6091018e-07    1.63498e-07    1.0136663e-06    2.17982e-07       -13.94%     14.64%
         490         500       1.7324645e-06    7.52846e-07    1.4871734e-06    6.43964e-07    1.9907411e-06    8.67984e-07       -14.16%     14.91%
         500         510       5.5715682e-07    1.10624e-07    4.8015256e-07    9.53310e-08    6.3785170e-07    1.26654e-07       -13.82%     14.48%
         510         520       4.8566756e-07    1.20411e-07    4.1888324e-07    1.03955e-07    5.5555351e-07    1.37609e-07       -13.75%     14.39%
         520         530       4.7655445e-07    1.14607e-07    4.1165828e-07    9.91661e-08    5.4431517e-07    1.30694e-07       -13.62%     14.22%
         530         540       1.1411785e-06    3.27836e-07    9.8601614e-07    2.83099e-07    1.3031075e-06    3.74576e-07       -13.60%     14.19%
