#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5                   0              0                0              0                0              0            0%         0%
           5          10       0.00018032147    4.38713e-05    0.00017116918    4.22639e-05    0.00018747797    4.50585e-05        -5.08%      3.97%
          10          15        0.0028398796    0.000173236     0.0026839849    0.000165345     0.0029632497    0.000179297        -5.49%      4.34%
          15          20         0.011474034    0.000367333      0.010820153    0.000350300      0.011996173    0.000380609        -5.70%      4.55%
          20          25         0.028350972    0.000550680      0.026578842    0.000521540      0.029788281    0.000573818        -6.25%      5.07%
          25          30         0.059688205    0.000819848      0.055839974    0.000774942      0.062829537    0.000855866        -6.45%      5.26%
          30          35          0.10242823     0.00106948      0.095466991     0.00100700       0.10816363     0.00112020        -6.80%      5.60%
          35          40          0.14643480     0.00129983       0.13615398     0.00121875       0.15495292     0.00136625        -7.02%      5.82%
          40          45          0.18639560     0.00152098       0.17304977     0.00142168       0.19748350     0.00160276        -7.16%      5.95%
          45          50          0.19904932     0.00161103       0.18495364     0.00151840       0.21074243     0.00168656        -7.08%      5.87%
          50          55          0.18400271     0.00150608       0.17111959     0.00141265       0.19466519     0.00158249        -7.00%      5.79%
          55          60          0.15768764     0.00139305       0.14688666     0.00130875       0.16658940     0.00146165        -6.85%      5.65%
          60          65          0.12891733     0.00125840       0.12030714     0.00118493       0.13598125     0.00131775        -6.68%      5.48%
          65          70          0.10483611     0.00114092      0.098066499     0.00107746       0.11035468     0.00119175        -6.46%      5.26%
          70          75         0.083242671     0.00100855      0.078106524    0.000954838      0.087394993     0.00105119        -6.17%      4.99%
          75          80         0.067265121    0.000915478      0.063254659    0.000868560      0.070484532    0.000952416        -5.96%      4.79%
          80          85         0.054556365    0.000815248      0.051421755    0.000774281      0.057052391    0.000847281        -5.75%      4.58%
          85          90         0.043085540    0.000736167      0.040749300    0.000702055      0.044926135    0.000762463        -5.42%      4.27%
          90          95         0.034901554    0.000660494      0.033136501    0.000632728      0.036273675    0.000681592        -5.06%      3.93%
          95         100         0.028723712    0.000593508      0.027308613    0.000568360      0.029817233    0.000612501        -4.93%      3.81%
         100         105         0.024892990    0.000561901      0.023743989    0.000540024      0.025768039    0.000578175        -4.62%      3.52%
         105         110         0.020590024    0.000515061      0.019691377    0.000497151      0.021265305    0.000528197        -4.36%      3.28%
         110         115         0.016576316    0.000451406      0.015896992    0.000435699      0.017077960    0.000462656        -4.10%      3.03%
         115         120         0.014314948    0.000425933      0.013767613    0.000412740      0.014713037    0.000435190        -3.82%      2.78%
         120         125         0.011165518    0.000374837      0.010767264    0.000364275      0.011448662    0.000381905        -3.57%      2.54%
         125         130        0.0098786608    0.000345773     0.0095445679    0.000336003      0.010112447    0.000352307        -3.38%      2.37%
         130         135        0.0088472467    0.000337511     0.0085682939    0.000329626     0.0090383661    0.000342489        -3.15%      2.16%
         135         140        0.0080353903    0.000319482     0.0078111230    0.000312513     0.0081826747    0.000323729        -2.79%      1.83%
         140         145        0.0060566458    0.000270170     0.0059078640    0.000266295     0.0061501097    0.000272186        -2.46%      1.54%
         145         150        0.0055660040    0.000261772     0.0054414777    0.000257506     0.0056402791    0.000264038        -2.24%      1.33%
         150         155        0.0041685394    0.000220967     0.0040697219    0.000217724     0.0042291632    0.000222564        -2.37%      1.45%
         155         160        0.0035438412    0.000203973     0.0034731804    0.000201298     0.0035834279    0.000205110        -1.99%      1.12%
         160         165        0.0035553262    0.000208504     0.0034991000    0.000207055     0.0035822387    0.000208613        -1.58%      0.76%
         165         170        0.0031151666    0.000203658     0.0030682962    0.000201940     0.0031360592    0.000203856        -1.50%      0.67%
         170         175        0.0027575821    0.000186460     0.0027263043    0.000185445     0.0027670737    0.000186227        -1.13%      0.34%
         175         180        0.0025537005    0.000171913     0.0025229253    0.000170610     0.0025641380    0.000171991        -1.21%      0.41%
         180         185        0.0020623907    0.000153596     0.0020466835    0.000153468     0.0020633677    0.000152850        -0.76%      0.05%
         185         190        0.0016364997    0.000136369     0.0016201759    0.000135878     0.0016403035    0.000135964         -1.0%      0.23%
         190         195        0.0015617413    0.000132196     0.0015497208    0.000131796     0.0015622080    0.000131742        -0.77%      0.03%
         195         200        0.0015290169    0.000132498     0.0015201940    0.000131115     0.0015290169    0.000132498        -0.58%   0.00000%
         200         205        0.0013051299    0.000123671     0.0012967445    0.000122374     0.0013052624    0.000124328        -0.64%      0.01%
         205         210        0.0014844409    0.000136213     0.0014732413    0.000134737     0.0014865322    0.000136995        -0.75%      0.14%
         210         215        0.0010811233    0.000113196     0.0010710290    0.000111501     0.0010849991    0.000114441        -0.93%      0.36%
         215         220        0.0010939808    0.000111638     0.0010806863    0.000109739     0.0011015266    0.000113129        -1.22%      0.69%
         220         225       0.00083682623    9.85230e-05    0.00082812844    9.71869e-05    0.00084072617    9.93762e-05        -1.04%      0.47%
         225         230       0.00091065036    0.000107507    0.00089704618    0.000105390    0.00091969567    0.000109231        -1.49%      0.99%
         230         235       0.00094722452    0.000113586    0.00093419570    0.000111230    0.00095552076    0.000115587        -1.38%      0.88%
         235         240       0.00069580519    0.000100907    0.00068458814    9.81134e-05    0.00070364128    0.000103442        -1.61%      1.13%
         240         245       0.00074711059    0.000111409    0.00072854552    0.000107442    0.00076323282    0.000115266        -2.48%      2.16%
         245         250       0.00059631890    8.96183e-05    0.00058071064    8.61292e-05    0.00061039999    9.32031e-05        -2.62%      2.36%
         250         255       0.00044323617    7.24633e-05    0.00043308447    7.01387e-05    0.00045193721    7.47515e-05        -2.29%      1.96%
         255         260       0.00054208022    8.19006e-05    0.00052472865    7.86644e-05    0.00055871764    8.52360e-05        -3.20%      3.07%
         260         265       0.00047043289    7.34794e-05    0.00045892350    7.13604e-05    0.00048047788    7.54494e-05        -2.45%      2.14%
         265         270       0.00029488898    4.94915e-05    0.00028887599    4.84387e-05    0.00029963113    5.03539e-05        -2.04%      1.61%
         270         275       0.00034429902    6.64270e-05    0.00033389748    6.38818e-05    0.00035402407    6.89913e-05        -3.02%      2.82%
         275         280       0.00048100193    8.96452e-05    0.00046367513    8.57445e-05    0.00049804274    9.36732e-05        -3.60%      3.54%
         280         285       0.00027044285    5.18673e-05    0.00026337863    5.02246e-05    0.00027674557    5.34408e-05        -2.61%      2.33%
         285         290       0.00024403067    4.87919e-05    0.00023755481    4.74815e-05    0.00024986456    4.99935e-05        -2.65%      2.39%
         290         295       0.00029088352    5.58262e-05    0.00028175563    5.38797e-05    0.00029950042    5.77260e-05        -3.14%      2.96%
         295         300       0.00033120182    6.38852e-05    0.00032227697    6.18504e-05    0.00033927785    6.58698e-05        -2.69%      2.44%
         300         305       0.00022533138    5.03066e-05    0.00021748147    4.81610e-05    0.00023306996    5.25730e-05        -3.48%      3.43%
         305         310       0.00017279328    6.07696e-05    0.00016483601    5.65521e-05    0.00018125484    6.56333e-05        -4.61%      4.90%
         310         315       0.00015838253    4.54458e-05    0.00015226171    4.34619e-05    0.00016451203    4.74935e-05        -3.86%      3.87%
         315         320       0.00011607325    3.85770e-05    0.00011287146    3.74152e-05    0.00011903459    3.96801e-05        -2.76%      2.55%
         320         325       0.00015124484    4.03735e-05    0.00014543109    3.88248e-05    0.00015700938    4.19248e-05        -3.84%      3.81%
         325         330       0.00013253765    3.70351e-05    0.00012813590    3.58529e-05    0.00013676257    3.81714e-05        -3.32%      3.19%
         330         335       8.9132242e-05    2.49012e-05    8.5317348e-05    2.36192e-05    9.3066214e-05    2.62878e-05        -4.28%      4.41%
         335         340       0.00010629774    3.17040e-05    0.00010243529    3.04462e-05    0.00011010275    3.29738e-05        -3.63%      3.58%
         340         345       8.3463461e-05    3.51337e-05    7.9956690e-05    3.34714e-05    8.6997183e-05    3.68528e-05        -4.20%      4.23%
         345         350       2.9052425e-05    1.77400e-05    2.7727747e-05    1.66462e-05    3.0441812e-05    1.89516e-05        -4.56%      4.78%
         350         355       8.3349672e-05    3.24795e-05    7.9435096e-05    3.08043e-05    8.7420222e-05    3.42575e-05        -4.70%      4.88%
         355         360       9.2129471e-05    3.77226e-05    8.7751886e-05    3.57104e-05    9.6691154e-05    3.98647e-05        -4.75%      4.95%
         360         365       2.8773425e-05    1.78632e-05    2.7313456e-05    1.69600e-05    3.0304111e-05    1.88097e-05        -5.07%      5.32%
         365         370       0.00010139168    3.03159e-05    9.6482633e-05    2.87360e-05    0.00010652999    3.19998e-05        -4.84%      5.07%
         370         375       9.9974308e-05    3.18882e-05    9.5635699e-05    3.04734e-05    0.00010436045    3.33290e-05        -4.34%      4.39%
         375         380       4.4194801e-05    1.79280e-05    4.2490035e-05    1.71896e-05    4.5859430e-05    1.86594e-05        -3.86%      3.77%
         380         385       0.00016299520    5.76225e-05    0.00015322999    5.34451e-05    0.00017347562    6.22133e-05        -5.99%      6.43%
         385         390       7.7834611e-05    3.53361e-05    7.2926129e-05    3.28238e-05    8.3234069e-05    3.81557e-05        -6.31%      6.94%
         390         395       6.7033845e-05    2.96843e-05    6.3714426e-05    2.83600e-05    7.0602538e-05    3.11044e-05        -4.95%      5.32%
         395         400       4.4144083e-05    3.46194e-05    4.2498675e-05    3.24938e-05    4.5764457e-05    3.69895e-05        -3.73%      3.67%
         400         405       2.5206350e-05    1.19897e-05    2.4352678e-05    1.16048e-05    2.6024796e-05    1.23555e-05        -3.39%      3.25%
         405         410       2.2389170e-05    1.40732e-05    2.1148798e-05    1.33352e-05    2.3724895e-05    1.48621e-05        -5.54%      5.97%
         410         415       4.6134617e-05    2.73179e-05    4.3509349e-05    2.55662e-05    4.8980073e-05    2.92572e-05        -5.69%      6.17%
         415         420       2.1480145e-05    1.56531e-05    2.0730924e-05    1.50519e-05    2.2210815e-05    1.62543e-05        -3.49%      3.40%
         420         425       3.1420919e-05    1.90851e-05    2.9527062e-05    1.79009e-05    3.3463752e-05    2.03690e-05        -6.03%      6.50%
         425         430       2.9840155e-05    1.51165e-05    2.8743609e-05    1.44782e-05    3.0894119e-05    1.57641e-05        -3.67%      3.53%
         430         435       1.4392040e-05    1.07579e-05    1.3221357e-05    9.81897e-06    1.5755846e-05    1.18694e-05        -8.13%      9.48%
         435         440       4.8143475e-06    4.45135e-06    4.7298313e-06    4.30509e-06    4.8783849e-06    4.59461e-06        -1.76%      1.33%
         440         445       3.6278344e-05    2.47278e-05    3.4044468e-05    2.31313e-05    3.8713848e-05    2.64789e-05        -6.16%      6.71%
         445         450       1.2264332e-05    8.84563e-06    1.1620591e-05    8.37866e-06    1.2935890e-05    9.33336e-06        -5.25%      5.48%
         450         455       1.6208974e-05    1.25425e-05    1.5557679e-05    1.20109e-05    1.6864220e-05    1.30828e-05        -4.02%      4.04%
         455         460       3.5012389e-05    1.77477e-05    3.3430272e-05    1.69392e-05    3.6649635e-05    1.85871e-05        -4.52%      4.68%
         460         465       5.0699181e-05    2.55336e-05    4.7895141e-05    2.41518e-05    5.3717811e-05    2.70175e-05        -5.53%      5.95%
         465         470       7.7027182e-06    6.40226e-06    7.3417980e-06    6.05369e-06    8.0837357e-06    6.77879e-06        -4.69%      4.95%
         470         475       2.5372278e-05    1.58324e-05    2.3334081e-05    1.45194e-05    2.7742085e-05    1.73743e-05        -8.03%      9.34%
         475         480       1.4506104e-05    1.00266e-05    1.3901640e-05    9.55770e-06    1.5123733e-05    1.05165e-05        -4.17%      4.26%
         480         485       2.1144524e-05    1.43594e-05    1.9844661e-05    1.34735e-05    2.2577163e-05    1.53370e-05        -6.15%      6.78%
         485         490       9.8372637e-06    7.94520e-06    9.2802645e-06    7.50641e-06    1.0438232e-05    8.41711e-06        -5.66%      6.11%
         490         495       1.4612527e-05    8.45907e-06    1.3645560e-05    7.90719e-06    1.5690627e-05    9.07643e-06        -6.62%      7.38%
         495         500       1.0936465e-06    1.09365e-06    1.0006710e-06    1.00067e-06    1.2007079e-06    1.20071e-06        -8.50%      9.79%
         500         505       8.7028601e-06    8.70288e-06    8.1209424e-06    8.12096e-06    9.3509461e-06    9.35097e-06        -6.69%      7.45%
         505         510       8.0761421e-08    8.07616e-08    6.4383774e-08    6.43839e-08    1.0353036e-07    1.03531e-07       -20.28%     28.19%
         510         515       2.1592830e-05    1.68057e-05    2.0295529e-05    1.58012e-05    2.3011938e-05    1.79055e-05        -6.01%      6.57%
         515         520       1.9015960e-05    1.10366e-05    1.8051080e-05    1.04694e-05    2.0038358e-05    1.16405e-05        -5.07%      5.38%
         520         525       1.9095397e-05    1.52013e-05    1.8091959e-05    1.43961e-05    2.0169799e-05    1.60640e-05        -5.25%      5.63%
         525         530       1.3670614e-05    1.06371e-05    1.2983330e-05    1.00907e-05    1.4396533e-05    1.12157e-05        -5.03%      5.31%
         530         535       6.7622976e-06    6.76231e-06    6.4792279e-06    6.47924e-06    7.0530242e-06    7.05304e-06        -4.19%      4.30%
         535         540       4.2337534e-06    4.23376e-06    3.9194049e-06    3.91941e-06    4.5855623e-06    4.58557e-06        -7.42%      8.31%
         540         545       3.7374931e-05    3.73750e-05    3.4234687e-05    3.42348e-05    4.1032429e-05    4.10325e-05        -8.40%      9.79%
         545         550       1.4507096e-05    1.05098e-05    1.3184405e-05    9.55108e-06    1.6046033e-05    1.16257e-05        -9.12%     10.61%
