#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           2                   0              0                0              0                0              0            0%         0%
           2           4                   0              0                0              0                0              0            0%         0%
           4           6                   0              0                0              0                0              0            0%         0%
           6           8                   0              0                0              0                0              0            0%         0%
           8          10                   0              0                0              0                0              0            0%         0%
          10          12                   0              0                0              0                0              0            0%         0%
          12          14                   0              0                0              0                0              0            0%         0%
          14          16                   0              0                0              0                0              0            0%         0%
          16          18                   0              0                0              0                0              0            0%         0%
          18          20                   0              0                0              0                0              0            0%         0%
          20          22                   0              0                0              0                0              0            0%         0%
          22          24                   0              0                0              0                0              0            0%         0%
          24          26                   0              0                0              0                0              0            0%         0%
          26          28                   0              0                0              0                0              0            0%         0%
          28          30                   0              0                0              0                0              0            0%         0%
          30          32                   0              0                0              0                0              0            0%         0%
          32          34                   0              0                0              0                0              0            0%         0%
          34          36                   0              0                0              0                0              0            0%         0%
          36          38                   0              0                0              0                0              0            0%         0%
          38          40                   0              0                0              0                0              0            0%         0%
          40          42                   0              0                0              0                0              0            0%         0%
          42          44                   0              0                0              0                0              0            0%         0%
          44          46                   0              0                0              0                0              0            0%         0%
          46          48                   0              0                0              0                0              0            0%         0%
          48          50                   0              0                0              0                0              0            0%         0%
          50          52                   0              0                0              0                0              0            0%         0%
          52          54                   0              0                0              0                0              0            0%         0%
          54          56                   0              0                0              0                0              0            0%         0%
          56          58                   0              0                0              0                0              0            0%         0%
          58          60                   0              0                0              0                0              0            0%         0%
          60          62                   0              0                0              0                0              0            0%         0%
          62          64                   0              0                0              0                0              0            0%         0%
          64          66                   0              0                0              0                0              0            0%         0%
          66          68       2.9411335e-05    3.83780e-06    2.4369484e-05    3.17780e-06    3.4981829e-05    4.56868e-06       -17.14%     18.94%
          68          70       9.5980395e-05    6.04308e-06    7.9656340e-05    4.99291e-06    0.00011397876    7.20846e-06       -17.01%     18.75%
          70          72       0.00014221028    6.35172e-06    0.00011819681    5.27892e-06    0.00016864125    7.53423e-06       -16.89%     18.59%
          72          74       0.00019469965    7.39111e-06    0.00016192952    6.17025e-06    0.00023073920    8.73026e-06       -16.83%     18.51%
          74          76       0.00025335154    8.23435e-06    0.00021081054    6.89579e-06    0.00030011382    9.69874e-06       -16.79%     18.46%
          76          78       0.00027944686    7.67000e-06    0.00023250311    6.38967e-06    0.00033104259    9.07601e-06       -16.80%     18.46%
          78          80       0.00033190848    8.57285e-06    0.00027634794    7.16264e-06    0.00039293128    1.01173e-05       -16.74%     18.39%
          80          82       0.00036799962    8.02562e-06    0.00030650097    6.69531e-06    0.00043550666    9.48448e-06       -16.71%     18.34%
          82          84       0.00040981612    8.08526e-06    0.00034139071    6.74604e-06    0.00048491297    9.55387e-06       -16.70%     18.32%
          84          86       0.00047198293    9.57613e-06    0.00039356091    8.02799e-06    0.00055794732    1.12637e-05       -16.62%     18.21%
          86          88       0.00054597014    9.34418e-06    0.00045539560    7.83020e-06    0.00064522056    1.09971e-05       -16.59%     18.18%
          88          90       0.00079106022    1.06614e-05    0.00065936817    8.89000e-06    0.00093544877    1.26038e-05       -16.65%     18.25%
          90          92        0.0012575847    1.26582e-05     0.0010482984    1.05490e-05     0.0014870013    1.49722e-05       -16.64%     18.24%
          92          94       0.00063198360    8.98031e-06    0.00052741865    7.50750e-06    0.00074645898    1.05909e-05       -16.55%     18.11%
          94          96       0.00040082977    7.90708e-06    0.00033492318    6.63118e-06    0.00047288965    9.29670e-06       -16.44%     17.98%
          96          98       0.00031558641    7.37961e-06    0.00026373056    6.18883e-06    0.00037227347    8.67633e-06       -16.43%     17.96%
          98         100       0.00027746583    7.27799e-06    0.00023213088    6.11573e-06    0.00032696092    8.54169e-06       -16.34%     17.84%
         100         102       0.00023253941    6.38335e-06    0.00019447943    5.35697e-06    0.00027410765    7.50088e-06       -16.37%     17.88%
         102         104       0.00018712409    6.03902e-06    0.00015644670    5.05894e-06    0.00022063960    7.10803e-06       -16.39%     17.91%
         104         106       0.00015777073    6.01690e-06    0.00013194875    5.05323e-06    0.00018597349    7.06457e-06       -16.37%     17.88%
         106         108       0.00012699385    5.35448e-06    0.00010629752    4.49701e-06    0.00014957924    6.28774e-06       -16.30%     17.78%
         108         110       8.5097438e-05    3.83945e-06    7.1211481e-05    3.21730e-06    0.00010025383    4.51795e-06       -16.32%     17.81%
         110         112       6.5356088e-05    3.57464e-06    5.4699754e-05    2.99681e-06    7.6984158e-05    4.20462e-06       -16.31%     17.79%
         112         114       3.7839211e-05    3.52400e-06    3.1731374e-05    2.98611e-06    4.4489864e-05    4.10307e-06       -16.14%     17.58%
         114         116       1.5149301e-05    1.94544e-06    1.2680644e-05    1.62239e-06    1.7843204e-05    2.29973e-06       -16.30%     17.78%
         116         118                   0              0                0              0                0              0            0%         0%
         118         120                   0              0                0              0                0              0            0%         0%
         120         122                   0              0                0              0                0              0            0%         0%
         122         124                   0              0                0              0                0              0            0%         0%
         124         126                   0              0                0              0                0              0            0%         0%
         126         128                   0              0                0              0                0              0            0%         0%
         128         130                   0              0                0              0                0              0            0%         0%
         130         132                   0              0                0              0                0              0            0%         0%
         132         134                   0              0                0              0                0              0            0%         0%
         134         136                   0              0                0              0                0              0            0%         0%
         136         138                   0              0                0              0                0              0            0%         0%
         138         140                   0              0                0              0                0              0            0%         0%
         140         142                   0              0                0              0                0              0            0%         0%
         142         144                   0              0                0              0                0              0            0%         0%
         144         146                   0              0                0              0                0              0            0%         0%
         146         148                   0              0                0              0                0              0            0%         0%
         148         150                   0              0                0              0                0              0            0%         0%
         150         152                   0              0                0              0                0              0            0%         0%
         152         154                   0              0                0              0                0              0            0%         0%
         154         156                   0              0                0              0                0              0            0%         0%
         156         158                   0              0                0              0                0              0            0%         0%
         158         160                   0              0                0              0                0              0            0%         0%
         160         162                   0              0                0              0                0              0            0%         0%
         162         164                   0              0                0              0                0              0            0%         0%
         164         166                   0              0                0              0                0              0            0%         0%
         166         168                   0              0                0              0                0              0            0%         0%
         168         170                   0              0                0              0                0              0            0%         0%
         170         172                   0              0                0              0                0              0            0%         0%
         172         174                   0              0                0              0                0              0            0%         0%
         174         176                   0              0                0              0                0              0            0%         0%
         176         178                   0              0                0              0                0              0            0%         0%
         178         180                   0              0                0              0                0              0            0%         0%
         180         182                   0              0                0              0                0              0            0%         0%
         182         184                   0              0                0              0                0              0            0%         0%
         184         186                   0              0                0              0                0              0            0%         0%
         186         188                   0              0                0              0                0              0            0%         0%
         188         190                   0              0                0              0                0              0            0%         0%
         190         192                   0              0                0              0                0              0            0%         0%
         192         194                   0              0                0              0                0              0            0%         0%
         194         196                   0              0                0              0                0              0            0%         0%
         196         198                   0              0                0              0                0              0            0%         0%
         198         200                   0              0                0              0                0              0            0%         0%
