#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10       0.00028018111    3.42880e-06    0.00023301009    2.85531e-06    0.00033205993    4.05898e-06       -16.84%     18.52%
          10          20       0.00051091196    4.54336e-06    0.00042531113    3.78639e-06    0.00060493897    5.37444e-06       -16.75%     18.40%
          20          30       0.00037638975    3.37135e-06    0.00031403431    2.82801e-06    0.00044468362    3.96364e-06       -16.57%     18.14%
          30          40       0.00019116429    2.35484e-06    0.00015985970    1.98161e-06    0.00022534654    2.75975e-06       -16.38%     17.88%
          40          50       9.6254538e-05    1.60486e-06    8.0654564e-05    1.35122e-06    0.00011324488    1.87992e-06       -16.21%     17.65%
          50          60       4.8829370e-05    1.17681e-06    4.0961661e-05    9.87353e-07    5.7385469e-05    1.38292e-06       -16.11%     17.52%
          60          70       2.2820323e-05    7.33183e-07    1.9163357e-05    6.15370e-07    2.6792185e-05    8.61314e-07       -16.03%     17.40%
          70          80       9.8840387e-06    4.76182e-07    8.3154793e-06    4.00138e-07    1.1583665e-05    5.58768e-07       -15.87%     17.20%
          80          90       3.4189635e-06    3.06360e-07    2.8909777e-06    2.59385e-07    3.9873710e-06    3.56908e-07       -15.44%     16.63%
          90         100       7.7056579e-07    1.25313e-07    6.5503694e-07    1.06669e-07    8.9414028e-07    1.45270e-07       -14.99%     16.04%
         100         110       3.0586078e-07    8.36940e-08    2.6238546e-07    7.19384e-08    3.5175986e-07    9.60785e-08       -14.21%     15.01%
         110         120       4.1713167e-08    1.18401e-08    3.5911592e-08    1.01969e-08    4.7806521e-08    1.35669e-08       -13.91%     14.61%
         120         130       2.9429272e-08    1.22007e-08    2.5338705e-08    1.04937e-08    3.3722235e-08    1.39958e-08       -13.90%     14.59%
         130         140       1.9591862e-08    1.37272e-08    1.6924695e-08    1.18563e-08    2.2376170e-08    1.56808e-08       -13.61%     14.21%
         140         150       5.6706836e-09    5.67069e-09    4.8550109e-09    4.85501e-09    6.5341475e-09    6.53415e-09       -14.38%     15.23%
         150         160       4.4154498e-10    4.41545e-10    3.8709336e-10    3.87094e-10    4.9707365e-10    4.97074e-10       -12.33%     12.58%
         160         170       3.5390478e-09    3.53905e-09    2.9979394e-09    2.99794e-09    4.1182880e-09    4.11829e-09       -15.29%     16.37%
         170         180                   0              0                0              0                0              0            0%         0%
         180         190       4.3040781e-10    4.30408e-10    3.7640551e-10    3.76406e-10    4.8566975e-10    4.85670e-10       -12.55%     12.84%
         190         200                   0              0                0              0                0              0            0%         0%
         200         210                   0              0                0              0                0              0            0%         0%
         210         220                   0              0                0              0                0              0            0%         0%
         220         230                   0              0                0              0                0              0            0%         0%
         230         240                   0              0                0              0                0              0            0%         0%
         240         250                   0              0                0              0                0              0            0%         0%
         250         260                   0              0                0              0                0              0            0%         0%
         260         270                   0              0                0              0                0              0            0%         0%
         270         280                   0              0                0              0                0              0            0%         0%
         280         290                   0              0                0              0                0              0            0%         0%
         290         300                   0              0                0              0                0              0            0%         0%
         300         310                   0              0                0              0                0              0            0%         0%
         310         320                   0              0                0              0                0              0            0%         0%
         320         330                   0              0                0              0                0              0            0%         0%
         330         340                   0              0                0              0                0              0            0%         0%
         340         350                   0              0                0              0                0              0            0%         0%
         350         360                   0              0                0              0                0              0            0%         0%
         360         370                   0              0                0              0                0              0            0%         0%
         370         380                   0              0                0              0                0              0            0%         0%
         380         390                   0              0                0              0                0              0            0%         0%
         390         400                   0              0                0              0                0              0            0%         0%
         400         410                   0              0                0              0                0              0            0%         0%
         410         420                   0              0                0              0                0              0            0%         0%
         420         430                   0              0                0              0                0              0            0%         0%
         430         440                   0              0                0              0                0              0            0%         0%
         440         450                   0              0                0              0                0              0            0%         0%
         450         460                   0              0                0              0                0              0            0%         0%
         460         470                   0              0                0              0                0              0            0%         0%
         470         480                   0              0                0              0                0              0            0%         0%
         480         490                   0              0                0              0                0              0            0%         0%
         490         500                   0              0                0              0                0              0            0%         0%
         500         510                   0              0                0              0                0              0            0%         0%
         510         520                   0              0                0              0                0              0            0%         0%
         520         530                   0              0                0              0                0              0            0%         0%
         530         540                   0              0                0              0                0              0            0%         0%
         540         550                   0              0                0              0                0              0            0%         0%
         550         560                   0              0                0              0                0              0            0%         0%
         560         570                   0              0                0              0                0              0            0%         0%
         570         580                   0              0                0              0                0              0            0%         0%
         580         590                   0              0                0              0                0              0            0%         0%
         590         600                   0              0                0              0                0              0            0%         0%
         600         610                   0              0                0              0                0              0            0%         0%
         610         620                   0              0                0              0                0              0            0%         0%
         620         630                   0              0                0              0                0              0            0%         0%
         630         640                   0              0                0              0                0              0            0%         0%
         640         650                   0              0                0              0                0              0            0%         0%
         650         660                   0              0                0              0                0              0            0%         0%
         660         670                   0              0                0              0                0              0            0%         0%
         670         680                   0              0                0              0                0              0            0%         0%
         680         690                   0              0                0              0                0              0            0%         0%
         690         700                   0              0                0              0                0              0            0%         0%
         700         710                   0              0                0              0                0              0            0%         0%
         710         720                   0              0                0              0                0              0            0%         0%
         720         730                   0              0                0              0                0              0            0%         0%
         730         740                   0              0                0              0                0              0            0%         0%
         740         750                   0              0                0              0                0              0            0%         0%
         750         760                   0              0                0              0                0              0            0%         0%
         760         770                   0              0                0              0                0              0            0%         0%
         770         780                   0              0                0              0                0              0            0%         0%
         780         790                   0              0                0              0                0              0            0%         0%
