#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10       8.9252018e-05    2.23338e-05    8.1236195e-05    2.02488e-05    9.9180675e-05    2.49194e-05        -8.98%     11.12%
          10          20        0.0015702382    0.000137864     0.0014264555    0.000124981     0.0017483322    0.000153839        -9.16%     11.34%
          20          30        0.0028401066    0.000130243     0.0025779501    0.000118945     0.0031648221    0.000144352        -9.23%     11.43%
          30          40        0.0047067281    0.000208004     0.0043012657    0.000189951     0.0052089469    0.000230547        -8.61%     10.67%
          40          50        0.0066991401    0.000319959     0.0062125210    0.000300696     0.0073018823    0.000344712        -7.26%      9.00%
          50          60        0.0095233260    0.000451725     0.0089519245    0.000415398      0.010231082    0.000497396        -6.00%      7.43%
          60          70         0.016040922    0.000472576      0.015316036    0.000441279      0.016938789    0.000512528        -4.52%      5.60%
          70          80         0.027187274    0.000830924      0.026348152    0.000776869      0.028211224    0.000906544        -3.09%      3.77%
          80          90         0.079375896     0.00108780      0.077293766     0.00102847      0.081512029     0.00115577        -2.62%      2.69%
          90         100          0.18165955     0.00192120       0.17768859     0.00180624       0.18657811     0.00206899        -2.19%      2.71%
         100         110         0.072514298     0.00101818      0.070752791    0.000959215      0.074037938     0.00108365        -2.43%      2.10%
         110         120         0.070064614     0.00117312      0.068478031     0.00110507      0.071717618     0.00126712        -2.26%      2.36%
         120         130         0.066852193    0.000854415      0.065320561    0.000808443      0.068429405    0.000895064        -2.29%      2.36%
         130         140         0.061469934    0.000787362      0.060179237    0.000761859      0.063068633    0.000821162        -2.10%      2.60%
         140         150         0.057405314    0.000822015      0.056117850    0.000787796      0.059000009    0.000866899        -2.24%      2.78%
         150         160         0.050670004    0.000696542      0.049478609    0.000675430      0.052145705    0.000724589        -2.35%      2.91%
         160         170         0.044337555    0.000634802      0.043276657    0.000617839      0.045651617    0.000657428        -2.39%      2.96%
         170         180         0.040100693    0.000603385      0.039112900    0.000588229      0.041324205    0.000623640        -2.46%      3.05%
         180         190         0.035999425    0.000559520      0.035054805    0.000546626      0.037169462    0.000576793        -2.62%      3.25%
         190         200         0.031471339    0.000570086      0.030658023    0.000552127      0.032478739    0.000593912        -2.58%      3.20%
         200         210         0.029492967    0.000648770      0.028744763    0.000617578      0.030419716    0.000689390        -2.54%      3.14%
         210         220         0.023514049    0.000531315      0.022900008    0.000511380      0.024274620    0.000557584        -2.61%      3.23%
         220         230         0.022791815    0.000476945      0.022202315    0.000462227      0.023521989    0.000496486        -2.59%      3.20%
         230         240         0.019849276    0.000427850      0.019286906    0.000418047      0.020545845    0.000440985        -2.83%      3.51%
         240         250         0.017977205    0.000398415      0.017457345    0.000390031      0.018621119    0.000409672        -2.89%      3.58%
         250         260         0.014865456    0.000394340      0.014456167    0.000382674      0.015372415    0.000409851        -2.75%      3.41%
         260         270         0.014348524    0.000516914      0.013912046    0.000494861      0.014894690    0.000536000        -3.04%      3.81%
         270         280         0.012369347    0.000329988      0.012017056    0.000323961      0.012808094    0.000332720        -2.85%      3.55%
         280         290         0.010496369    0.000328426      0.010189362    0.000319540      0.010914357    0.000335361        -2.92%      3.98%
         290         300        0.0098469628    0.000317044     0.0095556858    0.000310066      0.010207748    0.000326402        -2.96%      3.66%
         300         310        0.0089440211    0.000284015     0.0086475772    0.000281959     0.0093449391    0.000286951        -3.31%      4.48%
         310         320        0.0076389483    0.000274155     0.0073947540    0.000270833     0.0079778531    0.000278448        -3.20%      4.44%
         320         330        0.0074780081    0.000272434     0.0072316548    0.000265728     0.0078032567    0.000278549        -3.29%      4.35%
         330         340        0.0061756544    0.000241417     0.0059750047    0.000238433     0.0064539619    0.000245235        -3.25%      4.51%
         340         350        0.0053984621    0.000246172     0.0052166231    0.000242088     0.0056476555    0.000251100        -3.37%      4.62%
         350         360        0.0054709815    0.000226201     0.0052811168    0.000221828     0.0057269503    0.000231551        -3.47%      4.68%
         360         370        0.0048589478    0.000215441     0.0046676545    0.000211329     0.0051163615    0.000220569        -3.94%      5.30%
         370         380        0.0039223510    0.000212990     0.0037635761    0.000205394     0.0041438031    0.000222808        -4.05%      5.65%
         380         390        0.0043505329    0.000224554     0.0042026828    0.000218411     0.0045490682    0.000232074        -3.40%      4.56%
         390         400        0.0034791315    0.000211200     0.0033373629    0.000204293     0.0036741556    0.000219688        -4.07%      5.61%
