#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5                   0              0                0              0                0              0            0%         0%
           5          10       0.00032705809    8.76200e-05    0.00031661677    8.48310e-05    0.00033896738    9.10310e-05        -3.19%      3.64%
          10          15        0.0035544828    0.000306806     0.0034916867    0.000292305     0.0036322642    0.000325708        -1.77%      2.19%
          15          20         0.016600273    0.000743453      0.016183687    0.000707567      0.017116271    0.000790176        -2.51%      3.11%
          20          25         0.036475377     0.00127869      0.035716402     0.00119503      0.037415469     0.00138558        -2.08%      2.58%
          25          30         0.081549952     0.00188319      0.079530170     0.00175281      0.084051719     0.00204908        -2.48%      3.07%
          30          35          0.12262118     0.00248964       0.12027877     0.00236480       0.12543533     0.00271225        -1.91%      2.29%
          35          40          0.18122104     0.00331303       0.17739023     0.00314825       0.18575256     0.00362176        -2.11%      2.50%
          40          45          0.22173559     0.00398765       0.21653677     0.00380792       0.22652286     0.00437083        -2.34%      2.16%
          45          50          0.22250325     0.00441795       0.21774102     0.00419933       0.22704677     0.00485007        -2.14%      2.04%
          50          55          0.21477996     0.00465296       0.21047042     0.00439419       0.21957887     0.00512545        -2.01%      2.23%
          55          60          0.19096974     0.00469236       0.18647965     0.00430039       0.19653131     0.00518352        -2.35%      2.91%
          60          65          0.15562390     0.00405508       0.15219289     0.00372071       0.15987364     0.00447456        -2.20%      2.73%
          65          70          0.13255301     0.00327291       0.12920489     0.00301334       0.13670011     0.00359963        -2.53%      3.13%
          70          75          0.10752810     0.00305814       0.10450389     0.00281200       0.11127399     0.00336758        -2.81%      3.48%
          75          80         0.088980302     0.00280995      0.086356527     0.00258161      0.092230195     0.00309677        -2.95%      3.65%
          80          85         0.075535907     0.00251506      0.073074199     0.00231166      0.078585057     0.00277065        -3.26%      4.04%
          85          90         0.054637864     0.00220885      0.053078724     0.00203053      0.056569065     0.00243297        -2.85%      3.53%
          90          95         0.052255880     0.00196876      0.050351103     0.00181179      0.054615199     0.00216625        -3.65%      4.51%
          95         100         0.043917338     0.00179783      0.042359545     0.00166350      0.045846870     0.00196775        -3.55%      4.39%
         100         105         0.034548995     0.00154247      0.033269992     0.00142033      0.036133208     0.00169622        -3.70%      4.59%
         105         110         0.029275788     0.00165360      0.028160277     0.00151637      0.030657496     0.00182566        -3.81%      4.72%
         110         115         0.025307202     0.00163495      0.024217586     0.00152809      0.026718781     0.00175467        -4.31%      5.58%
         115         120         0.024158274     0.00127022      0.023088311     0.00116746      0.025483566     0.00139935        -4.43%      5.49%
         120         125         0.017614101     0.00144207      0.016817524     0.00133140      0.018639358     0.00156843        -4.52%      5.82%
         125         130         0.016202926     0.00143512      0.015419370     0.00132594      0.017211884     0.00155857        -4.84%      6.23%
         130         135         0.013034749    0.000954253      0.012470541    0.000890046      0.013761517     0.00102726        -4.33%      5.58%
         135         140         0.012205921    0.000922432      0.011618949    0.000855533      0.012948607    0.000999405        -4.81%      6.08%
         140         145        0.0095666404    0.000878017     0.0090916404    0.000811134      0.010172239    0.000955761        -4.97%      6.33%
         145         150        0.0090401479    0.000836682     0.0085935497    0.000770591     0.0096152098    0.000914269        -4.94%      6.36%
         150         155        0.0081814511    0.000781189     0.0076864325    0.000715313     0.0088107416    0.000859277        -6.05%      7.69%
         155         160        0.0071703488    0.000650673     0.0066968528    0.000598373     0.0077646905    0.000711916        -6.60%      8.29%
         160         165        0.0046544864    0.000647848     0.0043975186    0.000595301     0.0049969491    0.000709526        -5.52%      7.36%
         165         170        0.0055744320    0.000554033     0.0052212618    0.000509342     0.0060267346    0.000606812        -6.34%      8.11%
         170         175        0.0054788702    0.000467751     0.0051097892    0.000429540     0.0059462776    0.000513389        -6.74%      8.53%
         175         180        0.0047014910    0.000645140     0.0043836910    0.000590491     0.0051013577    0.000708500        -6.76%      8.51%
         180         185        0.0033969198    0.000631661     0.0031977338    0.000576290     0.0036573153    0.000696318        -5.86%      7.67%
         185         190        0.0047039258    0.000434789     0.0043746921    0.000396884     0.0051142095    0.000480691        -7.00%      8.72%
         190         195        0.0024302145    0.000402123     0.0022859168    0.000368086     0.0026267019    0.000442712        -5.94%      8.09%
         195         200        0.0034710920    0.000346934     0.0032608925    0.000319081     0.0037294996    0.000380776        -6.06%      7.44%
         200         205        0.0028044987    0.000346593     0.0026013372    0.000315864     0.0030633551    0.000383998        -7.24%      9.23%
         205         210        0.0023762153    0.000389571     0.0022160030    0.000353740     0.0025765928    0.000432553        -6.74%      8.43%
         210         215        0.0021123190    0.000357136     0.0019245433    0.000322285     0.0023567111    0.000399344        -8.89%     11.57%
         215         220        0.0016483323    0.000301465     0.0015050763    0.000271791     0.0018343497    0.000337413        -8.69%     11.29%
         220         225        0.0016762614    0.000392899     0.0015362346    0.000355110     0.0018550210    0.000437756        -8.35%     10.66%
         225         230        0.0013407244    0.000352735     0.0012170317    0.000318109     0.0015012919    0.000394016        -9.23%     11.98%
         230         235       0.00088329367    0.000246871    0.00081217181    0.000221370    0.00098120973    0.000278361        -8.05%     11.09%
         235         240        0.0017596116    0.000213891     0.0016201281    0.000195795     0.0019358027    0.000236235        -7.93%     10.01%
         240         245        0.0016749467    0.000261435     0.0015124609    0.000235470     0.0018799529    0.000293362        -9.70%     12.24%
         245         250       0.00079754608    0.000271900    0.00072475740    0.000243866    0.00089609748    0.000306250        -9.13%     12.36%
         250         255        0.0012090902    0.000216901     0.0011048168    0.000196590     0.0013415678    0.000241957        -8.62%     10.96%
         255         260       0.00093190180    0.000193423    0.00084106355    0.000175567     0.0010476777    0.000215469        -9.75%     12.42%
         260         265        0.0012810353    0.000267992     0.0011485549    0.000239219     0.0014491729    0.000303292       -10.34%     13.13%
