#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5         0.015090635     0.00164928      0.014717128     0.00179037      0.015524627     0.00153271        -2.48%      2.88%
           5          10         0.046322648     0.00239979      0.045456375     0.00232450      0.047033473     0.00264410        -1.87%      1.53%
          10          15         0.066045525     0.00292382      0.064594481     0.00280583      0.067302173     0.00322564        -2.20%      1.90%
          15          20         0.088119900     0.00320479      0.086379302     0.00307408      0.090068966     0.00352447        -1.98%      2.21%
          20          25         0.092142332     0.00339386      0.090194370     0.00322662      0.094012283     0.00373834        -2.11%      2.03%
          25          30          0.10620650     0.00358815       0.10400095     0.00341840       0.10868887     0.00395592        -2.08%      2.34%
          30          35          0.12119696     0.00366190       0.11847669     0.00336317       0.12456637     0.00403651        -2.24%      2.78%
          35          40          0.12690658     0.00403761       0.12406791     0.00384304       0.13020222     0.00445795        -2.24%      2.60%
          40          45          0.13145417     0.00390543       0.12888450     0.00372224       0.13460016     0.00430655        -1.95%      2.39%
          45          50          0.13533612     0.00406478       0.13237651     0.00387416       0.13855771     0.00448219        -2.19%      2.38%
          50          55          0.13814437     0.00433325       0.13546782     0.00397220       0.14145963     0.00478533        -1.94%      2.40%
          55          60          0.14592403     0.00394431       0.14248217     0.00378222       0.15017878     0.00434378        -2.36%      2.92%
          60          65          0.14071287     0.00448317       0.13780601     0.00424113       0.14421524     0.00495553        -2.07%      2.49%
          65          70          0.12846545     0.00473881       0.12638935     0.00447491       0.13085517     0.00524267        -1.62%      1.86%
          70          75          0.13232201     0.00390570       0.12938374     0.00358375       0.13596145     0.00430912        -2.22%      2.75%
          75          80          0.12699822     0.00432438       0.12409655     0.00395587       0.13059232     0.00478492        -2.28%      2.83%
          80          85         0.095021464     0.00427415      0.093235627     0.00406176      0.096580536     0.00473510        -1.88%      1.64%
          85          90         0.086832429     0.00318403      0.084754458     0.00292129      0.089406272     0.00351318        -2.39%      2.96%
          90          95         0.064898386     0.00222355      0.062659837     0.00204953      0.067671126     0.00244216        -3.45%      4.27%
          95         100         0.043635965     0.00176172      0.041803809     0.00162484      0.045905331     0.00193352        -4.20%      5.20%
         100         105         0.036592877     0.00147731      0.034718656     0.00136296      0.038914348     0.00162069        -5.12%      6.34%
         105         110         0.024940314     0.00122443      0.023662179     0.00113084      0.026523453     0.00134181        -5.12%      6.35%
         110         115         0.019597547     0.00106825      0.018480322    0.000986395      0.020981378     0.00117077        -5.70%      7.06%
         115         120         0.016754813    0.000943384      0.015835071    0.000870794      0.017894036     0.00103439        -5.49%      6.80%
         120         125         0.011431500     0.00203027      0.010848528     0.00187150      0.012149695     0.00220646        -5.10%      6.28%
         125         130         0.012972600     0.00217395      0.012113841     0.00199981      0.013993640     0.00236770        -6.62%      7.87%
         130         135         0.010784011    0.000858867      0.010072204    0.000792886      0.011632913    0.000934858        -6.60%      7.87%
         135         140        0.0077513371    0.000677897     0.0072358890    0.000621272     0.0083716202    0.000745216        -6.65%      8.00%
         140         145        0.0058452460    0.000510937     0.0054452193    0.000470210     0.0063349270    0.000560155        -6.84%      8.38%
         145         150        0.0051946993    0.000549806     0.0048432553    0.000504354     0.0056210551    0.000604047        -6.77%      8.21%
         150         155        0.0050436341    0.000674775     0.0046269470    0.000616567     0.0055521603    0.000743886        -8.26%     10.08%
         155         160        0.0048322057    0.000626785     0.0044196272    0.000570215     0.0053350161    0.000693926        -8.54%     10.41%
         160         165        0.0027837123    0.000421305     0.0025620582    0.000384410     0.0030571689    0.000465957        -7.96%      9.82%
         165         170        0.0029560588    0.000408617     0.0026922465    0.000370511     0.0032806643    0.000455773        -8.92%     10.98%
         170         175        0.0030433158    0.000572985     0.0027194663    0.000482175     0.0034596485    0.000701720       -10.64%     13.68%
         175         180        0.0019233212    0.000314073     0.0017562652    0.000282588     0.0021298688    0.000353595        -8.69%     10.74%
         180         185        0.0019992271    0.000366055     0.0018209126    0.000330566     0.0022188165    0.000409252        -8.92%     10.98%
         185         190        0.0017475757    0.000332845     0.0015920005    0.000302058     0.0019400582    0.000370574        -8.90%     11.01%
         190         195        0.0021792386    0.000343970     0.0019548439    0.000304807     0.0024573089    0.000392856       -10.30%     12.76%
         195         200        0.0013648975    0.000419191     0.0012347880    0.000368010     0.0015268118    0.000483445        -9.53%     11.86%
         200         205        0.0016429825    0.000297036     0.0014661288    0.000261493     0.0018634874    0.000342534       -10.76%     13.42%
         205         210       0.00099273017    0.000236978    0.00089752156    0.000211814     0.0011104206    0.000268163        -9.59%     11.86%
         210         215        0.0011320639    0.000241032     0.0010274123    0.000214669     0.0012608094    0.000273598        -9.24%     11.37%
