#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           2                   0              0                0              0                0              0            0%         0%
           2           4                   0              0                0              0                0              0            0%         0%
           4           6                   0              0                0              0                0              0            0%         0%
           6           8                   0              0                0              0                0              0            0%         0%
           8          10                   0              0                0              0                0              0            0%         0%
          10          12                   0              0                0              0                0              0            0%         0%
          12          14                   0              0                0              0                0              0            0%         0%
          14          16                   0              0                0              0                0              0            0%         0%
          16          18                   0              0                0              0                0              0            0%         0%
          18          20                   0              0                0              0                0              0            0%         0%
          20          22                   0              0                0              0                0              0            0%         0%
          22          24                   0              0                0              0                0              0            0%         0%
          24          26                   0              0                0              0                0              0            0%         0%
          26          28                   0              0                0              0                0              0            0%         0%
          28          30                   0              0                0              0                0              0            0%         0%
          30          32                   0              0                0              0                0              0            0%         0%
          32          34                   0              0                0              0                0              0            0%         0%
          34          36                   0              0                0              0                0              0            0%         0%
          36          38                   0              0                0              0                0              0            0%         0%
          38          40                   0              0                0              0                0              0            0%         0%
          40          42                   0              0                0              0                0              0            0%         0%
          42          44                   0              0                0              0                0              0            0%         0%
          44          46                   0              0                0              0                0              0            0%         0%
          46          48                   0              0                0              0                0              0            0%         0%
          48          50                   0              0                0              0                0              0            0%         0%
          50          52                   0              0                0              0                0              0            0%         0%
          52          54                   0              0                0              0                0              0            0%         0%
          54          56                   0              0                0              0                0              0            0%         0%
          56          58                   0              0                0              0                0              0            0%         0%
          58          60                   0              0                0              0                0              0            0%         0%
          60          62                   0              0                0              0                0              0            0%         0%
          62          64                   0              0                0              0                0              0            0%         0%
          64          66                   0              0                0              0                0              0            0%         0%
          66          68       0.00074528403    3.61927e-05    0.00073607663    4.00346e-05    0.00074706544    3.28451e-05        -1.24%      0.24%
          68          70       0.00053473834    4.01430e-05    0.00050950315    4.37862e-05    0.00055203742    3.68345e-05        -4.72%      3.24%
          70          72       0.00045086814    5.60832e-05    0.00043380724    6.03562e-05    0.00046268297    5.19275e-05        -3.78%      2.62%
          72          74       0.00044696705    3.70300e-05    0.00043443222    3.97966e-05    0.00045423220    3.45608e-05        -2.80%      1.63%
          74          76       0.00041949407    2.92125e-05    0.00041395819    3.14961e-05    0.00042087441    2.70972e-05        -1.32%      0.33%
          76          78       0.00034873227    3.03925e-05    0.00034001575    3.21498e-05    0.00035347702    2.88281e-05        -2.50%      1.36%
          78          80       0.00031553750    2.30789e-05    0.00030690232    2.50949e-05    0.00032038772    2.12546e-05        -2.74%      1.54%
          80          82       0.00027739373    3.56506e-05    0.00026930218    3.81341e-05    0.00028189093    3.33207e-05        -2.92%      1.62%
          82          84       0.00022902636    2.77308e-05    0.00021977076    3.00337e-05    0.00023472587    2.55248e-05        -4.04%      2.49%
          84          86       0.00015925452    3.55765e-05    0.00014520429    3.73434e-05    0.00016933304    3.38370e-05        -8.82%      6.33%
          86          88       0.00011892433    3.66352e-05    8.6765486e-05    4.02512e-05    0.00014469843    3.30350e-05       -27.04%     21.67%
          88          90       8.2057583e-05    6.30722e-05    1.6447757e-05    6.85398e-05    0.00013434670    5.76066e-05       -79.96%     63.72%
          90          92       0.00015456215    6.66418e-05    9.5216124e-05    7.35697e-05    0.00020042137    5.96041e-05       -38.40%     29.67%
          92          94       0.00014908917    6.72198e-05    7.8494671e-05    7.35483e-05    0.00020456421    6.08032e-05       -47.35%     37.21%
          94          96       0.00011778029    3.69635e-05    8.5120607e-05    4.03790e-05    0.00014297252    3.35014e-05       -27.73%     21.39%
          96          98       0.00021068946    2.17856e-05    0.00019981571    2.40288e-05    0.00021728401    1.95666e-05        -5.16%      3.13%
          98         100       0.00016846724    1.98908e-05    0.00015828101    2.20571e-05    0.00017560395    1.78329e-05        -6.05%      4.24%
         100         102       0.00020293449    2.23898e-05    0.00019507138    2.41428e-05    0.00020793339    2.07119e-05        -3.87%      2.46%
         102         104       0.00020080393    2.03797e-05    0.00019419856    2.16504e-05    0.00020482844    1.92304e-05        -3.29%      2.00%
         104         106       0.00024668657    1.72327e-05    0.00024343838    1.87982e-05    0.00024755248    1.58349e-05        -1.32%      0.35%
         106         108       0.00018346228    4.59660e-05    0.00017345712    4.86881e-05    0.00019089362    4.31834e-05        -5.45%      4.05%
         108         110       0.00026405371    2.71162e-05    0.00026097050    2.96411e-05    0.00026490407    2.46640e-05        -1.17%      0.32%
         110         112       0.00029902843    2.80824e-05    0.00029360097    2.97431e-05    0.00030143403    2.65237e-05        -1.82%      0.80%
         112         114       0.00031176582    2.74517e-05    0.00031038957    2.95724e-05    0.00031176582    2.74517e-05        -0.44%   0.00000%
         114         116       0.00026855450    2.95019e-05    0.00026112673    3.13354e-05    0.00027309511    2.78590e-05        -2.77%      1.69%
         116         118                   0              0                0              0                0              0            0%         0%
         118         120                   0              0                0              0                0              0            0%         0%
         120         122                   0              0                0              0                0              0            0%         0%
         122         124                   0              0                0              0                0              0            0%         0%
         124         126                   0              0                0              0                0              0            0%         0%
         126         128                   0              0                0              0                0              0            0%         0%
         128         130                   0              0                0              0                0              0            0%         0%
         130         132                   0              0                0              0                0              0            0%         0%
         132         134                   0              0                0              0                0              0            0%         0%
         134         136                   0              0                0              0                0              0            0%         0%
         136         138                   0              0                0              0                0              0            0%         0%
         138         140                   0              0                0              0                0              0            0%         0%
         140         142                   0              0                0              0                0              0            0%         0%
         142         144                   0              0                0              0                0              0            0%         0%
         144         146                   0              0                0              0                0              0            0%         0%
         146         148                   0              0                0              0                0              0            0%         0%
         148         150                   0              0                0              0                0              0            0%         0%
         150         152                   0              0                0              0                0              0            0%         0%
         152         154                   0              0                0              0                0              0            0%         0%
         154         156                   0              0                0              0                0              0            0%         0%
         156         158                   0              0                0              0                0              0            0%         0%
         158         160                   0              0                0              0                0              0            0%         0%
         160         162                   0              0                0              0                0              0            0%         0%
         162         164                   0              0                0              0                0              0            0%         0%
         164         166                   0              0                0              0                0              0            0%         0%
         166         168                   0              0                0              0                0              0            0%         0%
         168         170                   0              0                0              0                0              0            0%         0%
         170         172                   0              0                0              0                0              0            0%         0%
         172         174                   0              0                0              0                0              0            0%         0%
         174         176                   0              0                0              0                0              0            0%         0%
         176         178                   0              0                0              0                0              0            0%         0%
         178         180                   0              0                0              0                0              0            0%         0%
         180         182                   0              0                0              0                0              0            0%         0%
         182         184                   0              0                0              0                0              0            0%         0%
         184         186                   0              0                0              0                0              0            0%         0%
         186         188                   0              0                0              0                0              0            0%         0%
         188         190                   0              0                0              0                0              0            0%         0%
         190         192                   0              0                0              0                0              0            0%         0%
         192         194                   0              0                0              0                0              0            0%         0%
         194         196                   0              0                0              0                0              0            0%         0%
         196         198                   0              0                0              0                0              0            0%         0%
         198         200                   0              0                0              0                0              0            0%         0%
