#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10       3.1651282e-07    1.87873e-07    2.8247743e-07    1.68695e-07    3.4991247e-07    2.06513e-07       -10.75%     10.55%
          10          20       5.6858261e-06    2.44126e-06    5.5151498e-06    2.23299e-06    5.7906875e-06    2.65126e-06        -3.00%      1.84%
          20          30       1.1558122e-05    3.84216e-06    1.1386581e-05    3.50850e-06    1.1644749e-05    4.18978e-06        -1.48%      0.75%
          30          40       2.3372921e-05    5.97895e-06    2.2188901e-05    6.26672e-06    2.4169596e-05    5.74572e-06        -5.07%      3.41%
          40          50       3.3458015e-05    1.02568e-05    3.1925652e-05    1.09430e-05    3.4503818e-05    9.57394e-06        -4.58%      3.13%
          50          60       5.2690227e-05    7.04305e-06    5.1145743e-05    7.66867e-06    5.3498730e-05    6.46754e-06        -2.93%      1.53%
          60          70       8.2836393e-05    8.15541e-06    7.9194330e-05    8.75404e-06    8.5279995e-05    7.61326e-06        -4.40%      2.95%
          70          80       0.00010617016    1.34891e-05    9.9234548e-05    1.44830e-05    0.00011137148    1.25268e-05        -6.53%      4.90%
          80          90       0.00017072133    1.08515e-05    0.00016139147    1.19747e-05    0.00017719515    9.75518e-06        -5.46%      3.79%
          90         100       0.00018841373    1.34550e-05    0.00017365222    1.46648e-05    0.00019851469    1.22776e-05        -7.83%      5.36%
         100         110       9.0657774e-05    9.50500e-06    8.2903714e-05    1.03448e-05    9.6379194e-05    8.68103e-06        -8.55%      6.31%
         110         120       7.8613163e-05    9.19363e-06    7.2930833e-05    9.95759e-06    8.2482068e-05    8.43869e-06        -7.23%      4.92%
         120         130       4.7863317e-05    8.07519e-06    4.3261790e-05    8.67732e-06    5.1002485e-05    7.49903e-06        -9.61%      6.56%
         130         140       5.3372501e-05    5.90603e-06    4.9076498e-05    6.51966e-06    5.6303672e-05    5.29822e-06        -8.05%      5.49%
         140         150       3.5620037e-05    5.82099e-06    3.0989060e-05    6.33719e-06    3.9192861e-05    5.30519e-06       -13.00%     10.03%
         150         160       1.9616003e-05    7.29062e-06    1.4999784e-05    8.02317e-06    2.3365680e-05    6.55027e-06       -23.53%     19.12%
         160         170       2.6831583e-05    4.83430e-06    2.3404457e-05    5.27855e-06    2.9453834e-05    4.39263e-06       -12.77%      9.77%
         170         180       2.9739108e-05    5.08020e-06    2.7017217e-05    5.48067e-06    3.1788511e-05    4.67847e-06        -9.15%      6.89%
         180         190       3.0181721e-05    4.09796e-06    2.8237129e-05    4.45348e-06    3.1513460e-05    3.74717e-06        -6.44%      4.41%
         190         200       2.6109894e-05    3.74624e-06    2.4475952e-05    4.09002e-06    2.7254244e-05    3.40381e-06        -6.26%      4.38%
         200         210       2.2267538e-05    5.34143e-06    2.0700936e-05    5.64498e-06    2.3414315e-05    5.03765e-06        -7.04%      5.15%
         210         220       1.7252492e-05    4.20626e-06    1.5819196e-05    4.61693e-06    1.8343306e-05    3.79015e-06        -8.31%      6.32%
         220         230       2.0025624e-05    3.55203e-06    1.9277809e-05    3.84268e-06    2.0478759e-05    3.26143e-06        -3.73%      2.26%
         230         240       1.4859734e-05    2.82761e-06    1.3731009e-05    3.07459e-06    1.5718003e-05    2.58286e-06        -7.60%      5.78%
         240         250       1.4142173e-05    3.41276e-06    1.3561667e-05    3.67426e-06    1.4533190e-05    3.14900e-06        -4.10%      2.76%
         250         260       1.5992292e-05    2.74152e-06    1.5633801e-05    2.97431e-06    1.6167615e-05    2.50987e-06        -2.24%      1.10%
         260         270       1.6515531e-05    2.68997e-06    1.6332870e-05    2.87926e-06    1.6524735e-05    2.50381e-06        -1.11%      0.06%
         270         280       1.1741697e-05    2.71788e-06    1.1589228e-05    2.96558e-06    1.1753568e-05    2.46887e-06        -1.30%      0.10%
         280         290       1.2666301e-05    2.04840e-06    1.2494017e-05    2.21751e-06    1.2703740e-05    1.88726e-06        -1.36%      0.30%
         290         300       1.1851482e-05    2.46951e-06    1.1690340e-05    2.63660e-06    1.1899999e-05    2.29977e-06        -1.36%      0.41%
         300         310       8.6798743e-06    1.72023e-06    8.4528541e-06    1.86874e-06    8.8005690e-06    1.57279e-06        -2.62%      1.39%
         310         320       8.3042325e-06    1.78705e-06    8.1240573e-06    1.90371e-06    8.3778212e-06    1.67244e-06        -2.17%      0.89%
         320         330       9.0174886e-06    1.57106e-06    8.9495138e-06    1.70231e-06    9.0174886e-06    1.57106e-06        -0.75%   0.00000%
         330         340       3.6253409e-06    3.42774e-06    3.3292881e-06    3.59174e-06    3.8536047e-06    3.25302e-06        -8.17%      6.30%
         340         350       5.2955922e-06    1.62474e-06    5.1178315e-06    1.72109e-06    5.3944151e-06    1.53176e-06        -3.36%      1.87%
         350         360       5.4950828e-06    1.89699e-06    5.4337276e-06    2.00990e-06    5.5157150e-06    1.78966e-06        -1.12%      0.38%
         360         370       4.8956360e-06    1.37856e-06    4.8676325e-06    1.52145e-06    4.8956360e-06    1.37856e-06        -0.57%   0.00000%
         370         380       4.0855699e-06    1.33518e-06    3.9468492e-06    1.42724e-06    4.1684799e-06    1.24293e-06        -3.40%      2.03%
         380         390       1.1527759e-06    1.13509e-06    9.3433465e-07    1.19203e-06    1.3365380e-06    1.08492e-06       -18.95%     15.94%
         390         400       4.2933491e-06    1.36083e-06    4.2521031e-06    1.43119e-06    4.3048017e-06    1.29197e-06        -0.96%      0.27%
         400         410       1.2476691e-06    1.19977e-06    9.6211165e-07    1.27186e-06    1.5065041e-06    1.12894e-06       -22.89%     20.75%
         410         420       4.3000403e-06    1.43683e-06    4.2053193e-06    1.33615e-06    4.3628052e-06    1.53499e-06        -2.20%      1.46%
         420         430       2.6877941e-06    1.48281e-06    2.5703512e-06    1.57119e-06    2.7757683e-06    1.39345e-06        -4.37%      3.27%
         430         440       2.4659280e-06    8.78495e-07    2.3937850e-06    9.61433e-07    2.5214111e-06    8.00996e-07        -2.93%      2.25%
         440         450       2.8223853e-06    8.96841e-07    2.7356503e-06    9.47358e-07    2.8911148e-06    8.52677e-07        -3.07%      2.44%
         450         460       1.5253308e-06    1.34366e-06    1.4797302e-06    1.28324e-06    1.5698518e-06    1.40576e-06        -2.99%      2.92%
         460         470       2.1577762e-06    8.15098e-07    2.0158648e-06    8.62315e-07    2.2862044e-06    7.73993e-07        -6.58%      5.95%
         470         480       4.0045993e-06    1.32587e-06    3.9100395e-06    1.29437e-06    4.0832702e-06    1.35498e-06        -2.36%      1.96%
         480         490       1.9014801e-06    5.52596e-07    1.7767647e-06    5.60922e-07    2.0067907e-06    5.55867e-07        -6.56%      5.54%
         490         500       2.9932539e-06    9.65990e-07    2.8487804e-06    8.64852e-07    3.1353084e-06    1.07411e-06        -4.83%      4.75%
         500         510       1.0797943e-06    6.40014e-07    9.1338778e-07    6.01015e-07    1.2537492e-06    7.02754e-07       -15.41%     16.11%
         510         520       1.2884600e-06    4.39412e-07    1.2408048e-06    4.60827e-07    1.3278308e-06    4.20457e-07        -3.70%      3.06%
         520         530       1.0927325e-06    5.14128e-07    1.0515719e-06    5.36959e-07    1.1237886e-06    4.91586e-07        -3.77%      2.84%
         530         540       9.8132642e-07    5.86639e-07    9.4652329e-07    5.52090e-07    1.0151560e-06    6.24288e-07        -3.55%      3.45%
         540         550       9.8170921e-07    4.78954e-07    9.6509519e-07    5.10685e-07    9.9328782e-07    4.46411e-07        -1.69%      1.18%
         550         560       5.2655153e-07    4.17577e-07    4.8303703e-07    4.35393e-07    5.6617918e-07    4.00811e-07        -8.26%      7.53%
         560         570       7.3087115e-07    3.99500e-07    7.0619882e-07    4.22208e-07    7.5257117e-07    3.77055e-07        -3.38%      2.97%
         570         580       8.9664595e-07    3.80285e-07    8.2491406e-07    3.88875e-07    9.5673022e-07    3.73216e-07        -8.00%      6.70%
         580         590       2.3218104e-06    8.99679e-07    2.2422603e-06    8.61332e-07    2.3962679e-06    9.36655e-07        -3.43%      3.21%
         590         600       1.4226973e-06    4.76350e-07    1.4064144e-06    4.56506e-07    1.4314040e-06    4.98581e-07        -1.14%      0.61%
         600         610       7.8729188e-07    3.19571e-07    7.7727385e-07    3.02848e-07    7.9306911e-07    3.36297e-07        -1.27%      0.73%
         610         620       1.7414534e-06    3.94161e-07    1.6426982e-06    3.67360e-07    1.8336994e-06    4.20129e-07        -5.67%      5.30%
         620         630       8.2511167e-07    2.93851e-07    8.1025933e-07    3.13630e-07    8.3562979e-07    2.74833e-07        -1.80%      1.27%
         630         640       3.2321661e-07    4.08315e-07    3.0505503e-07    4.19573e-07    3.3745242e-07    3.96411e-07        -5.62%      4.40%
         640         650       6.7773539e-08    4.02717e-07    2.6908147e-08    4.18422e-07    1.0407423e-07    3.86977e-07       -60.30%     53.56%
         650         660       3.3387260e-07    8.08801e-07    2.8998317e-07    8.70515e-07    3.8171261e-07    7.42236e-07       -13.15%     14.33%
         660         670       2.8033689e-06    1.80577e-06    2.7602634e-06    1.79012e-06    2.8373177e-06    1.82175e-06        -1.54%      1.21%
         670         680       1.0538657e-06    4.09065e-07    9.9558958e-07    3.69518e-07    1.1120246e-06    4.50647e-07        -5.53%      5.52%
         680         690       1.1275519e-06    4.43470e-07    1.0978535e-06    4.22025e-07    1.1556887e-06    4.67887e-07        -2.63%      2.50%
         690         700       5.1315692e-07    2.82730e-07    4.9292296e-07    2.65586e-07    5.3217127e-07    3.00213e-07        -3.94%      3.71%
         700         710       3.6550205e-07    8.29853e-07    3.1963813e-07    8.18084e-07    4.0732770e-07    8.47343e-07       -12.55%     11.44%
         710         720       5.9434518e-08    2.61211e-07    2.6599500e-08    2.71718e-07    9.2592395e-08    2.49748e-07       -55.25%     55.79%
         720         730       4.2477350e-07    2.42506e-07    2.6442005e-07    1.55120e-07    5.6081295e-07    3.57313e-07       -37.75%     32.03%
         730         740       1.5840490e-07    2.61820e-07    1.5500561e-07    2.86493e-07    1.6191806e-07    2.38903e-07        -2.15%      2.22%
         740         750       2.9710561e-07    3.44126e-07    2.9643982e-07    3.57227e-07    2.9710561e-07    3.44126e-07        -0.22%   0.00000%
         750         760       4.7908373e-07    4.34906e-07    4.7346743e-07    4.47056e-07    4.8201923e-07    4.20131e-07        -1.17%      0.61%
         760         770       3.4027932e-07    1.85551e-07    3.3311652e-07    1.74650e-07    3.4704427e-07    1.98660e-07        -2.10%      1.99%
         770         780       2.5063977e-07    1.55071e-07    2.1886770e-07    1.50434e-07    2.8117288e-07    1.61319e-07       -12.68%     12.18%
         780         790       5.0551060e-07    1.72468e-07    4.8233679e-07    1.74426e-07    5.2516175e-07    1.71741e-07        -4.58%      3.89%
         790         800       7.5123555e-07    3.41035e-07    7.0781320e-07    3.24808e-07    7.9415624e-07    3.57503e-07        -5.78%      5.71%
         800         810       3.6877005e-07    1.68979e-07    3.5132858e-07    1.58087e-07    3.8541047e-07    1.80158e-07        -4.73%      4.51%
         810         820       1.4111877e-07    1.35979e-07    1.3877937e-07    1.34660e-07    1.4174624e-07    1.37779e-07        -1.66%      0.44%
         820         830       3.3610805e-07    1.32190e-07    3.2468885e-07    1.27664e-07    3.4666591e-07    1.36890e-07        -3.40%      3.14%
         830         840       8.0491461e-08    1.44746e-07    5.5126454e-08    1.34123e-07    1.0427671e-07    1.57152e-07       -31.51%     29.55%
         840         850       1.9178800e-07    1.37879e-07    1.7787884e-07    1.39564e-07    2.0542853e-07    1.36966e-07        -7.25%      7.11%
         850         860       3.4525764e-07    1.76552e-07    3.3739161e-07    1.70785e-07    3.5046756e-07    1.81697e-07        -2.28%      1.51%
         860         870       2.4369381e-07    1.11895e-07    2.3749664e-07    1.08231e-07    2.4780478e-07    1.15665e-07        -2.54%      1.69%
         870         880       2.4313710e-07    1.63561e-07    2.3851256e-07    1.56443e-07    2.4600498e-07    1.70168e-07        -1.90%      1.18%
         880         890       3.7673849e-08    6.35586e-08    2.7503365e-08    6.55571e-08    4.8586439e-08    6.20076e-08       -27.00%     28.97%
         890         900       1.0034816e-07    8.96157e-08    9.7675629e-08    9.27040e-08    1.0241930e-07    8.62069e-08        -2.66%      2.06%
         900         910       2.6673451e-08    1.10753e-07    1.5506060e-08    1.05459e-07    3.7629191e-08    1.16465e-07       -41.87%     41.07%
         910         920       2.7847434e-07    1.61591e-07    2.7131509e-07    1.69089e-07    2.8593751e-07    1.57077e-07        -2.57%      2.68%
         920         930       1.1534144e-07    9.93491e-08    8.0980494e-08    7.49586e-08    1.4740729e-07    1.22573e-07       -29.79%     27.80%
         930         940      -1.9608118e-08    8.60871e-08   -2.3745082e-08    9.23467e-08   -1.5663252e-08    8.03156e-08        21.10%    -20.12%
         940         950       8.4394011e-08    1.12607e-07    7.9597192e-08    1.17630e-07    8.9050787e-08    1.07341e-07        -5.68%      5.52%
         950         960       3.8994287e-07    2.16768e-07    3.8232014e-07    2.15723e-07    3.9788788e-07    2.18326e-07        -1.95%      2.04%
         960         970      -4.0973252e-07    4.00226e-07   -4.1840051e-07    4.00953e-07   -3.9983959e-07    3.98040e-07         2.12%     -2.41%
         970         980       6.2855627e-10    1.94131e-08   -1.1657506e-09    1.83319e-08    2.4628196e-09    2.04160e-08      -285.46%    291.82%
         980         990       6.8685205e-07    6.80340e-07    6.0227203e-07    5.94813e-07    7.7347775e-07    7.67935e-07       -12.31%     12.61%
         990        1000      -3.7702373e-07    4.56732e-07   -4.3516454e-07    5.11107e-07   -3.2057180e-07    4.03996e-07        15.42%    -14.97%
