#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5      -1.1271405e-05    1.08203e-05   -1.6711354e-05    1.17203e-05   -6.3622680e-06    9.92640e-06        48.26%    -43.55%
           5          10       0.00010314053    1.83659e-05    9.6479697e-05    1.95896e-05    0.00010802416    1.72112e-05        -6.46%      4.73%
          10          15       0.00020779905    2.49907e-05    0.00019831984    2.68567e-05    0.00021377970    2.31825e-05        -4.56%      2.88%
          15          20       0.00021625264    3.32146e-05    0.00019785759    3.56448e-05    0.00023076739    3.08046e-05        -8.51%      6.71%
          20          25       0.00029082285    2.75113e-05    0.00027726102    2.96090e-05    0.00030002740    2.54796e-05        -4.66%      3.17%
          25          30       0.00027868231    2.94643e-05    0.00026751329    3.11384e-05    0.00028574703    2.78358e-05        -4.01%      2.54%
          30          35       0.00020199251    2.62433e-05    0.00018497937    2.80365e-05    0.00021491482    2.45213e-05        -8.42%      6.40%
          35          40       0.00022968723    1.87920e-05    0.00021924004    2.02368e-05    0.00023648894    1.73769e-05        -4.55%      2.96%
          40          45       0.00019855065    2.03210e-05    0.00018954701    2.18649e-05    0.00020418412    1.88081e-05        -4.53%      2.84%
          45          50       0.00016097315    2.05963e-05    0.00015033813    2.22178e-05    0.00016828630    1.89991e-05        -6.61%      4.54%
          50          55       0.00015494112    1.65026e-05    0.00014578205    1.77320e-05    0.00016090476    1.53052e-05        -5.91%      3.85%
          55          60       0.00011636265    1.30231e-05    0.00010621128    1.42095e-05    0.00012382337    1.18464e-05        -8.72%      6.41%
          60          65       9.6678986e-05    1.41399e-05    8.7630682e-05    1.54036e-05    0.00010311543    1.28996e-05        -9.36%      6.66%
          65          70       7.6261173e-05    1.55865e-05    6.6975324e-05    1.68550e-05    8.3194338e-05    1.43209e-05       -12.18%      9.09%
          70          75       4.5051907e-05    1.18639e-05    3.4391903e-05    1.29246e-05    5.3557809e-05    1.07968e-05       -23.66%     18.88%
          75          80       4.8010750e-05    1.34271e-05    4.0059962e-05    1.47557e-05    5.4180526e-05    1.20731e-05       -16.56%     12.85%
          80          85       5.9741744e-05    1.08491e-05    5.4055590e-05    1.17988e-05    6.3731296e-05    9.89255e-06        -9.52%      6.68%
          85          90       2.8606858e-05    9.34593e-06    2.3015445e-05    1.02825e-05    3.2963928e-05    8.40703e-06       -19.55%     15.23%
          90          95       4.7106851e-05    6.13392e-06    4.5804097e-05    6.68171e-06    4.7550181e-05    5.58302e-06        -2.77%      0.94%
          95         100       2.4195194e-05    5.04519e-06    2.2774534e-05    5.51779e-06    2.5116976e-05    4.57117e-06        -5.87%      3.81%
         100         105       2.3977477e-05    4.53567e-06    2.3752722e-05    4.15833e-06    2.3977477e-05    4.53567e-06        -0.94%   0.00000%
         105         110       2.1755312e-05    3.61876e-06    2.1219532e-05    3.30358e-06    2.2050342e-05    3.93067e-06        -2.46%      1.36%
