#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10         0.061778414     0.00177303      0.060248789     0.00184457      0.063743612     0.00170755        -2.48%      3.18%
          10          20          0.14346806     0.00264748       0.14086118     0.00251146       0.14547771     0.00254249        -1.82%      1.40%
          20          30          0.16114841     0.00284886       0.15817941     0.00270440       0.16335429     0.00296569        -1.84%      1.37%
          30          40          0.14942891     0.00277945       0.14655932     0.00264132       0.15160367     0.00289043        -1.92%      1.46%
          40          50          0.13968754     0.00259889       0.13721221     0.00248552       0.14227871     0.00285808        -1.77%      1.85%
          50          60          0.12048717     0.00271727       0.11814102     0.00258850       0.12329802     0.00300085        -1.95%      2.33%
          60          70          0.10021581     0.00247913      0.097449063     0.00226922       0.10364279     0.00274183        -2.76%      3.42%
          70          80         0.074924269     0.00174386      0.072139534     0.00160157      0.078373531     0.00192253        -3.72%      4.60%
          80          90         0.053687994     0.00120650      0.050539650     0.00110668      0.057587635     0.00133167        -5.86%      7.26%
          90         100         0.037261013    0.000758474      0.034064879    0.000690376      0.041219849    0.000843241        -8.58%     10.62%
         100         110         0.023120507    0.000645663      0.021066179    0.000586419      0.025665064    0.000719255        -8.89%     11.01%
         110         120         0.017728301    0.000599456      0.016093167    0.000543608      0.019753631    0.000668726        -9.22%     11.42%
         120         130         0.012622942    0.000214468      0.011402129    0.000193698      0.014065751    0.000238229        -9.67%     11.43%
         130         140        0.0098664078    0.000182673     0.0088783667    0.000164402      0.011005596    0.000204715       -10.01%     11.55%
         140         150        0.0076086203    0.000162125     0.0068137686    0.000144858     0.0085327587    0.000183020       -10.45%     12.15%
         150         160        0.0063226949    0.000142919     0.0056347158    0.000126814     0.0071300890    0.000162676       -10.88%     12.77%
         160         170        0.0049140174    0.000112581     0.0043669387    0.000100568     0.0055590537    0.000127019       -11.13%     13.13%
         170         180        0.0041355145    9.59630e-05     0.0036607060    8.51694e-05     0.0046986254    0.000109078       -11.48%     13.62%
         180         190        0.0033733698    8.91463e-05     0.0029734344    7.88547e-05     0.0038516068    0.000101689       -11.86%     14.18%
         190         200        0.0027649302    8.82755e-05     0.0024287539    7.73655e-05     0.0031693908    0.000101855       -12.16%     14.63%
         200         210        0.0023570296    7.31523e-05     0.0020612449    6.39504e-05     0.0027157070    8.46458e-05       -12.55%     15.22%
         210         220        0.0019517797    6.00514e-05     0.0017046419    5.25799e-05     0.0022526664    6.93836e-05       -12.66%     15.42%
         220         230        0.0017447535    5.63009e-05     0.0015183040    4.90324e-05     0.0020219295    6.53869e-05       -12.98%     15.89%
         230         240        0.0015558191    5.48509e-05     0.0013545122    4.80242e-05     0.0018024726    6.33017e-05       -12.94%     15.85%
         240         250        0.0013022392    4.92490e-05     0.0011293536    4.31233e-05     0.0015156168    5.68587e-05       -13.28%     16.39%
         250         260        0.0011347821    4.49375e-05    0.00097752581    3.89373e-05     0.0013307415    5.24840e-05       -13.86%     17.27%
         260         270       0.00091882681    3.79131e-05    0.00079267704    3.28585e-05     0.0010758017    4.42913e-05       -13.73%     17.08%
         270         280       0.00091376574    5.18868e-05    0.00078410536    4.33031e-05     0.0010768843    6.35584e-05       -14.19%     17.85%
         280         290       0.00067634887    3.27706e-05    0.00057763576    2.80899e-05    0.00080101493    3.87889e-05       -14.59%     18.43%
         290         300       0.00067488857    3.65185e-05    0.00057744170    3.12308e-05    0.00079743795    4.32799e-05       -14.44%     18.16%
