#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0         0.1                   0              0                0              0                0              0            0%         0%
         0.1         0.2                   0              0                0              0                0              0            0%         0%
         0.2         0.3          0.87557448       0.436350       0.79351031       0.393084       0.97686378       0.487319        -9.37%     11.57%
         0.3         0.4          0.39303622      0.0748225       0.35729875      0.0677480       0.43730182      0.0835881        -9.09%     11.26%
         0.4         0.5          0.61041715       0.141001       0.54699401       0.125661       0.68764853       0.159942       -10.39%     12.65%
         0.5         0.6          0.85474874       0.105550       0.77699234      0.0956653       0.95106033       0.117795        -9.10%     11.27%
         0.6         0.7          0.66642236      0.0657837       0.60469515      0.0611119       0.73967107      0.0712009        -9.26%     10.99%
         0.7         0.8          0.94935223       0.107229       0.86830663      0.0972574        1.0497379       0.119586        -8.54%     10.57%
         0.8         0.9          0.94936153      0.0551055       0.87310902      0.0505193        1.0438104      0.0608046        -8.03%      9.95%
         0.9           1          0.91719381      0.0506819       0.84958656      0.0465034        1.0009343      0.0558881        -7.37%      9.13%
           1         1.1           1.1288362      0.0602341        1.0463150      0.0553249        1.2310497      0.0663488        -7.31%      9.05%
         1.1         1.2           1.2469419      0.0603815        1.1621837      0.0555025        1.3519260      0.0664702        -6.80%      8.42%
         1.2         1.3           1.4244676      0.0639504        1.3374371      0.0588073        1.5322664      0.0703824        -6.11%      7.57%
         1.3         1.4           1.5280161      0.0837868        1.4418226      0.0767234        1.6347782      0.0926004        -5.64%      6.99%
         1.4         1.5           1.8234630      0.0995495        1.7270435      0.0910524        1.9428913       0.110147        -5.29%      6.55%
         1.5         1.6           1.8573481      0.0925844        1.7733539      0.0850810        1.9613861       0.101983        -4.52%      5.60%
         1.6         1.7           2.0469862       0.106931        1.9643503      0.0978773        2.1493418       0.118241        -4.04%      5.00%
         1.7         1.8           2.5150945      0.0951355        2.4126700      0.0876638        2.6419608       0.104516        -4.07%      5.04%
         1.8         1.9           2.6716486      0.0945828        2.5724232      0.0872607        2.7945523       0.103789        -3.71%      4.60%
         1.9           2           2.9422390       0.114118        2.8501684       0.104917        3.0562806       0.125661        -3.13%      3.88%
           2         2.1           3.5043422       0.123271        3.3929370       0.113333        3.6423324       0.135736        -3.18%      3.94%
         2.1         2.2           3.8775457       0.157481        3.7685620       0.148468        4.0110126       0.174137        -2.81%      3.44%
         2.2         2.3           4.5449923       0.172305        4.4163070       0.157689        4.7043860       0.190572        -2.83%      3.51%
         2.3         2.4           4.5549373       0.154751        4.4521508       0.146555        4.6712353       0.170526        -2.26%      2.55%
         2.4         2.5           5.4287016       0.235239        5.2974377       0.221017        5.5834081       0.261039        -2.42%      2.85%
