#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10       5.1479193e-05    1.10236e-05    4.6861065e-05    1.00190e-05    5.7199356e-05    1.22723e-05        -8.97%     11.11%
          10          20        0.0016390620    0.000113191     0.0014890649    0.000102729     0.0018248533    0.000126178        -9.15%     11.34%
          20          30         0.011241922     0.00322732      0.010190889     0.00292263      0.012543765     0.00360473        -9.35%     11.58%
          30          40        0.0046203822    0.000518481     0.0042245113    0.000472756     0.0051107207    0.000575181        -8.57%     10.61%
          40          50        0.0075536980    0.000583224     0.0069726937    0.000533001     0.0082733487    0.000645634        -7.69%      9.53%
          50          60         0.010652500    0.000477154     0.0099924118    0.000440270      0.011470107    0.000523361        -6.20%      7.68%
          60          70         0.015671945    0.000613227      0.014975759    0.000569259      0.016534263    0.000668652        -4.44%      5.50%
          70          80         0.027148692    0.000739084      0.026320625    0.000700065      0.028123554    0.000799022        -3.05%      3.59%
          80          90         0.080697758     0.00112642      0.078657053     0.00107630      0.083033049     0.00119726        -2.53%      2.89%
          90         100          0.17395522     0.00164416       0.16995350     0.00157185       0.17824172     0.00174048        -2.30%      2.46%
         100         110         0.073766001     0.00102250      0.071653406    0.000970947      0.075376429     0.00108379        -2.86%      2.18%
         110         120         0.069341896    0.000918209      0.067562462    0.000875344      0.070854826    0.000964793        -2.57%      2.18%
         120         130         0.066105668    0.000883801      0.064356382    0.000843501      0.067553489    0.000924766        -2.65%      2.19%
         130         140         0.061357909    0.000818646      0.059928193    0.000785470      0.062807486    0.000852342        -2.33%      2.36%
         140         150         0.056334781    0.000794958      0.055070227    0.000763408      0.057818317    0.000829466        -2.24%      2.63%
         150         160         0.050239153    0.000749704      0.049164031    0.000722523      0.051532217    0.000780527        -2.14%      2.57%
         160         170         0.044632382    0.000721833      0.043638125    0.000697778      0.045863902    0.000753138        -2.23%      2.76%
         170         180         0.039427108    0.000700996      0.038528295    0.000681614      0.040540406    0.000726106        -2.28%      2.82%
         180         190         0.035557015    0.000653598      0.034696695    0.000631692      0.036622635    0.000682030        -2.42%      3.00%
         190         200         0.031896404    0.000578386      0.031120106    0.000563468      0.032857951    0.000597768        -2.43%      3.01%
         200         210         0.029150175    0.000542202      0.028448280    0.000529712      0.030019564    0.000558440        -2.41%      2.98%
         210         220         0.025163973    0.000527873      0.024502516    0.000515150      0.025983275    0.000544275        -2.63%      3.26%
         220         230         0.022357253    0.000547537      0.021794293    0.000530316      0.023054555    0.000569802        -2.52%      3.12%
         230         240         0.019225833    0.000479980      0.018750536    0.000466735      0.019814550    0.000497135        -2.47%      3.06%
         240         250         0.017864641    0.000458092      0.017378146    0.000446262      0.018467229    0.000473344        -2.72%      3.37%
         250         260         0.015352495    0.000417610      0.014936501    0.000406880      0.015867758    0.000431449        -2.71%      3.36%
         260         270         0.013915960    0.000433601      0.013519002    0.000419750      0.014407644    0.000451441        -2.85%      3.53%
         270         280         0.012450391    0.000423259      0.012110499    0.000410543      0.012871393    0.000439692        -2.73%      3.38%
         280         290         0.010871228    0.000354024      0.010572706    0.000345701      0.011240988    0.000364703        -2.75%      3.40%
         290         300        0.0095166232    0.000353082     0.0092485617    0.000343652     0.0098486527    0.000365187        -2.82%      3.49%
         300         310        0.0089289388    0.000338507     0.0086748467    0.000328803     0.0092436656    0.000350995        -2.85%      3.52%
         310         320        0.0079872415    0.000315721     0.0077616548    0.000307475     0.0082666605    0.000326323        -2.82%      3.50%
         320         330        0.0071096648    0.000311572     0.0069060898    0.000302512     0.0073628819    0.000322877        -2.86%      3.56%
         330         340        0.0060058416    0.000274670     0.0058313487    0.000268336     0.0062239604    0.000283054        -2.91%      3.63%
         340         350        0.0059829827    0.000274523     0.0058119550    0.000267769     0.0062021316    0.000282740        -2.86%      3.66%
         350         360        0.0051398370    0.000265199     0.0049848513    0.000258456     0.0053484450    0.000273953        -3.02%      4.06%
         360         370        0.0046529422    0.000255532     0.0044939866    0.000247292     0.0048637224    0.000266115        -3.42%      4.53%
         370         380        0.0042451741    0.000257588     0.0041047830    0.000247324     0.0044361483    0.000271007        -3.31%      4.50%
         380         390        0.0043541925    0.000250740     0.0042013746    0.000242312     0.0045566707    0.000261667        -3.51%      4.65%
         390         400        0.0033886357    0.000239937     0.0032830883    0.000232053     0.0035336327    0.000250428        -3.11%      4.28%
