#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10       0.00045046024    7.10340e-05    0.00029106945    7.75527e-05    0.00058449800    6.45214e-05       -35.38%     29.76%
          10          20       0.00031975434    1.76175e-05    0.00029132814    1.71769e-05    0.00034761175    1.80537e-05        -8.89%      8.71%
          20          30       0.00013418223    5.41002e-06    0.00012211785    4.93644e-06    0.00014593899    5.87469e-06        -8.99%      8.76%
          30          40       8.0493437e-05    2.56834e-06    7.3335582e-05    2.37785e-06    8.7420588e-05    2.75390e-06        -8.89%      8.61%
          40          50       6.2220946e-05    4.78318e-06    5.6948798e-05    4.70920e-06    6.7312006e-05    4.87097e-06        -8.47%      8.18%
          50          60       4.2552991e-05    3.23956e-06    3.8858671e-05    2.99660e-06    4.6088666e-05    3.46755e-06        -8.68%      8.31%
          60          70       3.0458536e-05    1.39695e-06    2.7765933e-05    1.28323e-06    3.3031305e-05    1.50607e-06        -8.84%      8.45%
          70          80       2.4500486e-05    1.48366e-06    2.2315232e-05    1.35582e-06    2.6588344e-05    1.60704e-06        -8.92%      8.52%
          80          90       2.4166076e-05    3.20976e-06    2.2368038e-05    3.09069e-06    2.5868896e-05    3.31699e-06        -7.44%      7.05%
          90         100       1.6807821e-05    1.44470e-06    1.5453289e-05    1.34338e-06    1.8089375e-05    1.54179e-06        -8.06%      7.62%
         100         110       1.3366356e-05    1.28683e-06    1.2278838e-05    1.15137e-06    1.4396134e-05    1.41772e-06        -8.14%      7.70%
         110         120       9.0468957e-06    5.78659e-07    8.3054825e-06    5.34474e-07    9.7460637e-06    6.21174e-07        -8.20%      7.73%
         120         130       1.0491891e-05    9.01574e-07    9.7467876e-06    8.53915e-07    1.1193951e-05    9.47264e-07        -7.10%      6.69%
         130         140       8.3133096e-06    8.59536e-07    7.7143175e-06    8.08483e-07    8.8772670e-06    9.08528e-07        -7.21%      6.78%
         140         150       6.3658008e-06    5.94747e-07    5.9111908e-06    5.57657e-07    6.7930582e-06    6.31008e-07        -7.14%      6.71%
         150         160       4.8387479e-06    4.89709e-07    4.5150567e-06    4.68358e-07    5.1423903e-06    5.10773e-07        -6.69%      6.28%
         160         170       3.9817245e-06    3.70954e-07    3.7169736e-06    3.50183e-07    4.2290513e-06    3.90667e-07        -6.65%      6.21%
         170         180       3.8406231e-06    4.01509e-07    3.5888191e-06    3.77781e-07    4.0730735e-06    4.23787e-07        -6.56%      6.05%
         180         190       3.1228992e-06    3.47741e-07    2.9264735e-06    3.30224e-07    3.3054149e-06    3.64774e-07        -6.29%      5.84%
         190         200       2.4209239e-06    3.44920e-07    2.2518353e-06    3.23585e-07    2.5782769e-06    3.65163e-07        -6.98%      6.50%
         200         210       2.6215954e-06    3.50233e-07    2.4500813e-06    3.27703e-07    2.7804054e-06    3.71422e-07        -6.54%      6.06%
         210         220       2.0298477e-06    3.07785e-07    1.9038639e-06    2.91723e-07    2.1452779e-06    3.22737e-07        -6.21%      5.69%
         220         230       1.9652026e-06    2.70818e-07    1.8450924e-06    2.57932e-07    2.0756305e-06    2.82858e-07        -6.11%      5.62%
         230         240       1.3835426e-06    2.06279e-07    1.3135516e-06    2.01665e-07    1.4477389e-06    2.10700e-07        -5.06%      4.64%
         240         250       1.0739222e-06    1.48026e-07    1.0041108e-06    1.38823e-07    1.1376582e-06    1.56529e-07        -6.50%      5.93%
         250         260       1.2200280e-06    1.49351e-07    1.1436284e-06    1.39853e-07    1.2898231e-06    1.58224e-07        -6.26%      5.72%
         260         270       1.1169287e-06    2.45061e-07    1.0481560e-06    2.29111e-07    1.1797540e-06    2.59883e-07        -6.16%      5.62%
         270         280       9.6672125e-07    2.64298e-07    9.0700615e-07    2.45189e-07    1.0207372e-06    2.81580e-07        -6.18%      5.59%
         280         290       1.0467560e-06    2.76868e-07    9.9674142e-07    2.60785e-07    1.0915020e-06    2.91542e-07        -4.78%      4.27%
         290         300       6.4222145e-07    1.02244e-07    6.1160298e-07    9.74925e-08    6.6987545e-07    1.06654e-07        -4.77%      4.31%
         300         310       4.8116872e-07    1.03654e-07    4.6160311e-07    1.00251e-07    4.9887915e-07    1.06784e-07        -4.07%      3.68%
         310         320       5.6840804e-07    1.68546e-07    5.3137394e-07    1.56772e-07    6.0163243e-07    1.79263e-07        -6.52%      5.85%
         320         330       1.1709024e-06    5.10837e-07    1.1328405e-06    5.02280e-07    1.2051277e-06    5.18964e-07        -3.25%      2.92%
         330         340       4.9564141e-07    1.47858e-07    4.7287158e-07    1.42350e-07    5.1571439e-07    1.52673e-07        -4.59%      4.05%
         340         350       2.8307828e-07    5.47056e-08    2.7072536e-07    5.23917e-08    2.9410782e-07    5.67676e-08        -4.36%      3.90%
         350         360       6.0996674e-07    3.59221e-07    5.8405626e-07    3.45265e-07    6.3339207e-07    3.71877e-07        -4.25%      3.84%
         360         370       2.4313793e-07    5.07230e-08    2.3481528e-07    4.93480e-08    2.5053630e-07    5.19574e-08        -3.42%      3.04%
         370         380       2.9160467e-07    9.29521e-08    2.8027537e-07    9.01473e-08    3.0171815e-07    9.54869e-08        -3.89%      3.47%
         380         390       3.9873728e-07    2.12248e-07    3.7838117e-07    1.99153e-07    4.1644519e-07    2.23662e-07        -5.11%      4.44%
         390         400       1.0348587e-07    2.21778e-08    9.9242408e-08    2.13590e-08    1.0724323e-07    2.29313e-08        -4.10%      3.63%
         400         410       8.3889954e-08    1.68295e-08    7.9999700e-08    1.60587e-08    8.7326513e-08    1.75261e-08        -4.64%      4.10%
         410         420       8.7378605e-08    1.88808e-08    8.3585279e-08    1.80133e-08    9.0697422e-08    1.96410e-08        -4.34%      3.80%
         420         430       1.7670506e-07    5.47217e-08    1.7351427e-07    5.36014e-08    1.7953613e-07    5.57006e-08        -1.81%      1.60%
         430         440       6.8380027e-08    1.61191e-08    6.5726614e-08    1.56065e-08    7.0696349e-08    1.65678e-08        -3.88%      3.39%
         440         450       1.5194295e-07    6.79447e-08    1.5003598e-07    6.81517e-08    1.5337172e-07    6.76255e-08        -1.26%      0.94%
         450         460       8.8769817e-08    3.73925e-08    8.5744143e-08    3.57462e-08    9.1428036e-08    3.88593e-08        -3.41%      2.99%
         460         470       7.9407867e-08    3.61325e-08    7.7276096e-08    3.57670e-08    8.1252367e-08    3.64615e-08        -2.68%      2.32%
         470         480       5.9235557e-08    1.56068e-08    5.7354179e-08    1.50869e-08    6.0857063e-08    1.60613e-08        -3.18%      2.74%
         480         490       1.4226723e-07    5.16794e-08    1.3673933e-07    4.96047e-08    1.4704469e-07    5.34707e-08        -3.89%      3.36%
         490         500       4.2295671e-08    1.27390e-08    4.1469796e-08    1.27141e-08    4.3000070e-08    1.27619e-08        -1.95%      1.67%
