#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10       9.5305097e-05    6.32253e-05    7.2311780e-05    6.92703e-05    0.00011471195    5.71230e-05       -24.13%     20.36%
          10          20       0.00028540005    2.87582e-05    0.00025472364    3.02995e-05    0.00030894682    2.73273e-05       -10.75%      8.25%
          20          30       0.00026796157    1.80409e-05    0.00024977587    1.93633e-05    0.00028081843    1.67365e-05        -6.79%      4.80%
          30          40       0.00017109770    1.20953e-05    0.00015957874    1.31673e-05    0.00017908910    1.10249e-05        -6.73%      4.67%
          40          50       0.00011106121    1.12593e-05    0.00010250987    1.21650e-05    0.00011691432    1.03704e-05        -7.70%      5.27%
          50          60       8.3701705e-05    8.76710e-06    7.8814771e-05    9.58607e-06    8.6649491e-05    7.94687e-06        -5.84%      3.52%
          60          70       5.7230907e-05    8.97245e-06    5.4857599e-05    9.85148e-06    5.8151250e-05    8.08950e-06        -4.15%      1.61%
          70          80       4.2121637e-05    6.03370e-06    4.1062864e-05    6.57810e-06    4.2301848e-05    5.47709e-06        -2.51%      0.43%
          80          90       2.7326876e-05    3.10247e-06    2.6488281e-05    2.80250e-06    2.7747176e-05    3.39806e-06        -3.07%      1.54%
          90         100       2.5610168e-05    1.81375e-06    2.3589394e-05    1.68844e-06    2.7491494e-05    1.93681e-06        -7.89%      7.35%
         100         110       2.1353052e-05    3.08666e-06    1.9766311e-05    2.96671e-06    2.2846768e-05    3.19438e-06        -7.43%      7.00%
         110         120       1.6349482e-05    1.10901e-06    1.5111558e-05    1.03591e-06    1.7518849e-05    1.17949e-06        -7.57%      7.15%
         120         130       1.1681684e-05    8.92643e-07    1.0800608e-05    8.27954e-07    1.2511662e-05    9.55521e-07        -7.54%      7.10%
         130         140       8.0742941e-06    5.21163e-07    7.4472212e-06    4.83586e-07    8.6668887e-06    5.57881e-07        -7.77%      7.34%
         140         150       7.8459570e-06    6.80931e-07    7.2698712e-06    6.35944e-07    8.3857771e-06    7.24242e-07        -7.34%      6.88%
         150         160       5.5611683e-06    5.06296e-07    5.1377839e-06    4.71164e-07    5.9591115e-06    5.40024e-07        -7.61%      7.16%
         160         170       6.0325547e-06    7.39878e-07    5.6431104e-06    6.99442e-07    6.3968289e-06    7.79239e-07        -6.46%      6.04%
         170         180       3.7177315e-06    3.81835e-07    3.4467172e-06    3.56360e-07    3.9699863e-06    4.05909e-07        -7.29%      6.79%
         180         190       3.0899090e-06    2.92853e-07    2.8860862e-06    2.74806e-07    3.2782345e-06    3.09804e-07        -6.60%      6.09%
         190         200       2.5182386e-06    2.84112e-07    2.3522213e-06    2.64729e-07    2.6720777e-06    3.02521e-07        -6.59%      6.11%
         200         210       2.2550841e-06    3.06710e-07    2.1200479e-06    2.93827e-07    2.3798886e-06    3.19032e-07        -5.99%      5.53%
         210         220       2.3551069e-06    3.81997e-07    2.2127317e-06    3.61865e-07    2.4860817e-06    4.00892e-07        -6.05%      5.56%
         220         230       1.6425479e-06    2.26053e-07    1.5326733e-06    2.11752e-07    1.7433429e-06    2.39266e-07        -6.69%      6.14%
         230         240       1.6757382e-06    4.47795e-07    1.5926853e-06    4.44725e-07    1.7511359e-06    4.50776e-07        -4.96%      4.50%
         240         250       1.4309822e-06    3.03649e-07    1.3432672e-06    2.84564e-07    1.5104774e-06    3.21098e-07        -6.13%      5.56%
         250         260       7.6327416e-07    1.05004e-07    7.2253838e-07    9.96474e-08    8.0071443e-07    1.10078e-07        -5.34%      4.91%
         260         270       1.3341235e-06    2.66647e-07    1.2472540e-06    2.46032e-07    1.4129534e-06    2.85259e-07        -6.51%      5.91%
         270         280       9.8869511e-07    2.59229e-07    9.2621443e-07    2.40798e-07    1.0459681e-06    2.76508e-07        -6.32%      5.79%
         280         290       7.2887348e-07    1.60045e-07    7.0407233e-07    1.57662e-07    7.5114665e-07    1.62309e-07        -3.40%      3.06%
         290         300       4.4165149e-07    7.91173e-08    4.1700953e-07    7.50505e-08    4.6379849e-07    8.28250e-08        -5.58%      5.01%
         300         310       6.0268353e-07    2.12704e-07    5.6867499e-07    1.99210e-07    6.3292759e-07    2.24523e-07        -5.64%      5.02%
         310         320       7.1972381e-07    3.23786e-07    6.7635989e-07    3.03548e-07    7.5902440e-07    3.42309e-07        -6.03%      5.46%
         320         330       4.2721624e-07    1.24272e-07    4.0641221e-07    1.18097e-07    4.4541729e-07    1.29702e-07        -4.87%      4.26%
         330         340       2.8075592e-07    6.13770e-08    2.6668915e-07    5.78023e-08    2.9329784e-07    6.46083e-08        -5.01%      4.47%
         340         350       2.7570884e-07    6.53574e-08    2.6208139e-07    6.23123e-08    2.8772632e-07    6.80727e-08        -4.94%      4.36%
         350         360       2.3314783e-07    8.23149e-08    2.2484267e-07    8.02163e-08    2.4052006e-07    8.41784e-08        -3.56%      3.16%
         360         370       1.5633150e-07    5.30955e-08    1.5130005e-07    5.18550e-08    1.6072406e-07    5.41755e-08        -3.22%      2.81%
         370         380       1.5609249e-07    4.26515e-08    1.4846358e-07    4.05608e-08    1.6289037e-07    4.45428e-08        -4.89%      4.36%
         380         390       7.8076235e-08    1.64045e-08    7.4912431e-08    1.59529e-08    8.0907140e-08    1.68575e-08        -4.05%      3.63%
         390         400       9.8215768e-08    3.94287e-08    9.4790946e-08    3.78960e-08    1.0119869e-07    4.07298e-08        -3.49%      3.04%
         400         410       1.5833087e-07    4.89721e-08    1.5545042e-07    4.88812e-08    1.6063076e-07    4.89488e-08        -1.82%      1.45%
         410         420       1.8881554e-07    7.74495e-08    1.8228374e-07    7.44411e-08    1.9468248e-07    8.01914e-08        -3.46%      3.11%
         420         430       9.2213480e-08    2.18935e-08    8.9509318e-08    2.12852e-08    9.4561607e-08    2.24297e-08        -2.93%      2.55%
         430         440       1.2703550e-07    5.93917e-08    1.2490718e-07    5.92558e-08    1.2877885e-07    5.94410e-08        -1.68%      1.37%
         440         450       1.6130411e-07    4.67167e-08    1.5418783e-07    4.47322e-08    1.6750940e-07    4.84767e-08        -4.41%      3.85%
         450         460       4.2319245e-07    3.53073e-07    4.0816971e-07    3.39579e-07    4.3680076e-07    3.65314e-07        -3.55%      3.22%
         460         470       8.5625559e-08    4.87676e-08    8.3060608e-08    4.70307e-08    8.7872253e-08    5.03218e-08        -3.00%      2.62%
         470         480       1.9511227e-08    8.44338e-09    1.9171081e-08    8.41898e-09    1.9775709e-08    8.45529e-09        -1.74%      1.36%
         480         490       7.1130240e-08    3.54187e-08    6.9606654e-08    3.51790e-08    7.2461891e-08    3.56357e-08        -2.14%      1.87%
         490         500       3.7134901e-08    2.18187e-08    3.6243638e-08    2.12722e-08    3.7873603e-08    2.22670e-08        -2.40%      1.99%
         500         510       3.9077854e-08    1.86231e-08    3.7263959e-08    1.75843e-08    4.0609753e-08    1.95177e-08        -4.64%      3.92%
         510         520       4.8046251e-08    3.45975e-08    4.6026153e-08    3.29162e-08    4.9826430e-08    3.60928e-08        -4.20%      3.71%
         520         530       1.1782432e-07    9.23258e-08    1.1489473e-07    9.00203e-08    1.2032905e-07    9.43165e-08        -2.49%      2.13%
         530         540       3.9748783e-08    1.74823e-08    3.8504002e-08    1.69955e-08    4.0780317e-08    1.78805e-08        -3.13%      2.60%
         540         550       5.0270105e-08    3.78795e-08    4.7852840e-08    3.58334e-08    5.2306980e-08    3.96069e-08        -4.81%      4.05%
         550         560       1.6626996e-07    1.18709e-07    1.6138999e-07    1.15503e-07    1.7044351e-07    1.21485e-07        -2.93%      2.51%
         560         570       3.6889604e-08    1.75438e-08    3.6326859e-08    1.71604e-08    3.7367297e-08    1.78832e-08        -1.53%      1.29%
         570         580       5.3794249e-09    2.42026e-09    5.3127250e-09    2.44548e-09    5.4350986e-09    2.40250e-09        -1.24%      1.03%
         580         590       4.7615842e-09    2.82724e-09    4.6961036e-09    2.78243e-09    4.8091405e-09    2.86062e-09        -1.38%       1.0%
         590         600       5.0682353e-08    3.57971e-08    4.9636590e-08    3.48015e-08    5.1567904e-08    3.66478e-08        -2.06%      1.75%
         600         610       5.6847099e-09    2.96573e-09    5.6107242e-09    2.92237e-09    5.7398724e-09    2.99783e-09        -1.30%      0.97%
         610         620       7.2588658e-08    6.44649e-08    6.9873097e-08    6.20668e-08    7.4852374e-08    6.64655e-08        -3.74%      3.12%
         620         630       3.0874625e-08    2.85157e-08    3.0363585e-08    2.81439e-08    3.1272982e-08    2.88001e-08        -1.66%      1.29%
         630         640       7.4825086e-09    4.60587e-09    7.3152902e-09    4.49060e-09    7.6203843e-09    4.70271e-09        -2.23%      1.84%
         640         650       1.7263936e-08    1.16832e-08    1.6644579e-08    1.09666e-08    1.8009067e-08    1.25604e-08        -3.59%      4.32%
         650         660       7.6141763e-08    6.82271e-08    7.4039545e-08    6.59091e-08    7.7973765e-08    7.02429e-08        -2.76%      2.41%
         660         670       1.8360009e-08    1.51107e-08    1.8135769e-08    1.48207e-08    1.8540029e-08    1.53520e-08        -1.22%      0.98%
         670         680       8.1997212e-09    5.42278e-09    7.9342434e-09    5.20428e-09    8.4209212e-09    5.60994e-09        -3.24%      2.70%
         680         690       2.7053291e-08    2.28268e-08    2.6991600e-08    2.30282e-08    2.7053291e-08    2.28268e-08        -0.23%   0.00000%
         690         700       1.1881601e-08    8.12871e-09    1.1586711e-08    7.86407e-09    1.2127754e-08    8.35743e-09        -2.48%      2.07%
         700         710       9.6908344e-08    9.49516e-08    9.4408631e-08    9.23955e-08    9.9556872e-08    9.76660e-08        -2.58%      2.73%
         710         720       1.5616509e-08    1.53493e-08    1.5397671e-08    1.51434e-08    1.5775867e-08    1.54983e-08        -1.40%      1.02%
         720         730       1.3829330e-09    1.14745e-09    1.3677191e-09    1.13818e-09    1.3949780e-09    1.15457e-09        -1.10%      0.87%
         730         740       9.9649464e-09    7.99611e-09    9.8535679e-09    7.88891e-09    1.0045254e-08    8.07515e-09        -1.12%      0.81%
         740         750       1.7876021e-09    9.85107e-10    1.7675102e-09    9.77684e-10    1.8021733e-09    9.90121e-10        -1.12%      0.82%
         750         760       9.2254127e-10    6.01780e-10    9.1425813e-10    5.96907e-10    9.2818264e-10    6.05055e-10        -0.90%      0.61%
         760         770       4.9578580e-09    4.62878e-09    4.8697838e-09    4.55558e-09    5.0268493e-09    4.68585e-09        -1.78%      1.39%
         770         780       1.5637236e-09    1.16395e-09    1.5562435e-09    1.15163e-09    1.5682856e-09    1.17337e-09        -0.48%      0.29%
         780         790       5.3131076e-09    4.05683e-09    5.1611642e-09    3.91312e-09    5.4695038e-09    4.20678e-09        -2.86%      2.94%
         790         800       2.9020481e-09    2.08826e-09    2.7385061e-09    1.92989e-09    3.0930695e-09    2.27479e-09        -5.64%      6.58%
         800         810       6.6334106e-10    4.95503e-10    6.5406608e-10    4.91046e-10    6.6985477e-10    4.98247e-10        -1.40%      0.98%
         810         820       2.3612066e-09    1.54974e-09    2.3506253e-09    1.52461e-09    2.3686401e-09    1.57951e-09        -0.45%      0.31%
         820         830       2.5991053e-12    2.59911e-12    2.5181166e-12    2.51812e-12    2.6890319e-12    2.68903e-12        -3.12%      3.46%
         830         840       6.5892339e-09    4.80242e-09    6.4287850e-09    4.69432e-09    6.7083055e-09    4.88146e-09        -2.44%      1.81%
         840         850       5.9015799e-09    5.27698e-09    5.8939322e-09    5.22255e-09    5.9015799e-09    5.27698e-09        -0.13%   0.00000%
         850         860       2.0784300e-09    1.23898e-09    2.0748772e-09    1.23105e-09    2.0784300e-09    1.23898e-09        -0.17%   0.00000%
         860         870       2.6431492e-11    2.29832e-11    2.6146244e-11    2.28158e-11    2.6624762e-11    2.30797e-11        -1.08%      0.73%
         870         880       3.6835018e-10    2.56911e-10    3.6246482e-10    2.52803e-10    3.7263205e-10    2.59898e-10        -1.60%      1.16%
         880         890       4.7917170e-09    3.47231e-09    4.6725980e-09    3.38467e-09    4.8790926e-09    3.53739e-09        -2.49%      1.82%
         890         900       3.7804002e-12    3.78040e-12    3.7714134e-12    3.77142e-12    3.7808068e-12    3.78081e-12        -0.24%      0.01%
         900         910                   0              0                0              0                0              0            0%         0%
         910         920                   0              0                0              0                0              0            0%         0%
         920         930       2.4370985e-10    2.27695e-10    2.0769491e-10    1.91847e-10    2.7305038e-10    2.56955e-10       -14.78%     12.04%
         930         940       5.6462456e-11    5.64625e-11    5.6389719e-11    5.63898e-11    5.6462456e-11    5.64625e-11        -0.13%   0.00000%
         940         950       4.1617901e-10    3.26200e-10    4.0560746e-10    3.18108e-10    4.2748137e-10    3.34827e-10        -2.54%      2.72%
         950         960       6.5191099e-09    6.51030e-09    6.3135926e-09    6.30462e-09    6.7431669e-09    6.73457e-09        -3.15%      3.44%
         960         970       3.5317717e-11    3.53177e-11    3.5099121e-11    3.50991e-11    3.5451252e-11    3.54513e-11        -0.62%      0.38%
         970         980       1.1434366e-10    1.02502e-10    1.1325214e-10    1.01658e-10    1.1501868e-10    1.02990e-10        -0.95%      0.59%
         980         990                   0              0                0              0                0              0            0%         0%
         990        1000       8.9227387e-13    7.25746e-13    8.0635463e-13    6.42527e-13    9.9994292e-13    8.31459e-13        -9.63%     12.07%
