#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           2                   0              0                0              0                0              0            0%         0%
           2           4                   0              0                0              0                0              0            0%         0%
           4           6                   0              0                0              0                0              0            0%         0%
           6           8                   0              0                0              0                0              0            0%         0%
           8          10                   0              0                0              0                0              0            0%         0%
          10          12                   0              0                0              0                0              0            0%         0%
          12          14                   0              0                0              0                0              0            0%         0%
          14          16                   0              0                0              0                0              0            0%         0%
          16          18                   0              0                0              0                0              0            0%         0%
          18          20                   0              0                0              0                0              0            0%         0%
          20          22                   0              0                0              0                0              0            0%         0%
          22          24                   0              0                0              0                0              0            0%         0%
          24          26                   0              0                0              0                0              0            0%         0%
          26          28                   0              0                0              0                0              0            0%         0%
          28          30                   0              0                0              0                0              0            0%         0%
          30          32                   0              0                0              0                0              0            0%         0%
          32          34                   0              0                0              0                0              0            0%         0%
          34          36                   0              0                0              0                0              0            0%         0%
          36          38                   0              0                0              0                0              0            0%         0%
          38          40                   0              0                0              0                0              0            0%         0%
          40          42                   0              0                0              0                0              0            0%         0%
          42          44                   0              0                0              0                0              0            0%         0%
          44          46                   0              0                0              0                0              0            0%         0%
          46          48                   0              0                0              0                0              0            0%         0%
          48          50                   0              0                0              0                0              0            0%         0%
          50          52                   0              0                0              0                0              0            0%         0%
          52          54                   0              0                0              0                0              0            0%         0%
          54          56                   0              0                0              0                0              0            0%         0%
          56          58                   0              0                0              0                0              0            0%         0%
          58          60                   0              0                0              0                0              0            0%         0%
          60          62                   0              0                0              0                0              0            0%         0%
          62          64                   0              0                0              0                0              0            0%         0%
          64          66                   0              0                0              0                0              0            0%         0%
          66          68       2.0038993e-05    9.48321e-06    1.8803182e-05    8.72622e-06    2.1068443e-05    1.01435e-05        -6.17%      5.14%
          68          70       0.00027086590    8.94177e-05    0.00025339188    8.34382e-05    0.00028520513    9.43958e-05        -6.45%      5.29%
          70          72       0.00039800508    9.32810e-05    0.00036694806    8.71691e-05    0.00042431329    9.83312e-05        -7.80%      6.61%
          72          74       0.00084610940    0.000201966    0.00077471271    0.000188610    0.00090679689    0.000213155        -8.44%      7.17%
          74          76        0.0011979200    0.000218091     0.0011098097    0.000201164     0.0012716624    0.000232417        -7.36%      6.16%
          76          78        0.0023413147    0.000273236     0.0021670611    0.000251981     0.0024873076    0.000291236        -7.44%      6.24%
          78          80        0.0037907839    0.000421666     0.0035236708    0.000394168     0.0040130532    0.000444582        -7.05%      5.86%
          80          82        0.0057190787    0.000381156     0.0053219203    0.000361315     0.0060488723    0.000397160        -6.94%      5.77%
          82          84         0.011746761    0.000742722      0.010924812    0.000699234      0.012428729    0.000777784        -7.00%      5.81%
          84          86         0.026185791     0.00112231      0.024357930     0.00105592      0.027703533     0.00117644        -6.98%      5.80%
          86          88         0.084912266     0.00194631      0.079107072     0.00183746      0.089722283     0.00203487        -6.84%      5.66%
          88          90          0.48351702     0.00492841       0.45111506     0.00464828       0.51026996     0.00515610        -6.70%      5.53%
          90          92           2.7568340      0.0107277        2.5720792      0.0101232        2.9094242      0.0112191        -6.70%      5.53%
          92          94          0.69210297     0.00617270       0.64618760     0.00583453       0.72994415     0.00644602        -6.63%      5.47%
          94          96         0.096252109     0.00220409      0.090002123     0.00209518       0.10138370     0.00229034        -6.49%      5.33%
          96          98         0.027849642     0.00115025      0.026064822     0.00109656      0.029310852     0.00119219        -6.41%      5.25%
          98         100         0.011260954    0.000749526      0.010539814    0.000706287      0.011850877    0.000784858        -6.40%      5.24%
         100         102        0.0048311497    0.000379156     0.0044931848    0.000359749     0.0051110506    0.000394576        -7.00%      5.79%
         102         104        0.0025453847    0.000288829     0.0023767327    0.000273525     0.0026837586    0.000301066        -6.63%      5.44%
         104         106        0.0016632056    0.000232233     0.0015675231    0.000225896     0.0017404486    0.000236657        -5.75%      4.64%
         106         108       0.00093747189    0.000197317    0.00087364076    0.000186054    0.00099026899    0.000206525        -6.81%      5.63%
         108         110       0.00032154391    0.000336949    0.00027720609    0.000335428    0.00036034596    0.000336253       -13.79%     12.07%
         110         112       0.00069559426    0.000346597    0.00067626727    0.000347257    0.00070872899    0.000343720        -2.78%      1.89%
         112         114       0.00019592790    6.84173e-05    0.00018521724    6.51412e-05    0.00020443837    7.09548e-05        -5.47%      4.34%
         114         116       5.6269926e-05    2.36725e-05    5.2100282e-05    2.20791e-05    5.9737772e-05    2.49860e-05        -7.41%      6.16%
         116         118                   0              0                0              0                0              0            0%         0%
         118         120                   0              0                0              0                0              0            0%         0%
         120         122                   0              0                0              0                0              0            0%         0%
         122         124                   0              0                0              0                0              0            0%         0%
         124         126                   0              0                0              0                0              0            0%         0%
         126         128                   0              0                0              0                0              0            0%         0%
         128         130                   0              0                0              0                0              0            0%         0%
         130         132                   0              0                0              0                0              0            0%         0%
         132         134                   0              0                0              0                0              0            0%         0%
         134         136                   0              0                0              0                0              0            0%         0%
         136         138                   0              0                0              0                0              0            0%         0%
         138         140                   0              0                0              0                0              0            0%         0%
         140         142                   0              0                0              0                0              0            0%         0%
         142         144                   0              0                0              0                0              0            0%         0%
         144         146                   0              0                0              0                0              0            0%         0%
         146         148                   0              0                0              0                0              0            0%         0%
         148         150                   0              0                0              0                0              0            0%         0%
         150         152                   0              0                0              0                0              0            0%         0%
         152         154                   0              0                0              0                0              0            0%         0%
         154         156                   0              0                0              0                0              0            0%         0%
         156         158                   0              0                0              0                0              0            0%         0%
         158         160                   0              0                0              0                0              0            0%         0%
         160         162                   0              0                0              0                0              0            0%         0%
         162         164                   0              0                0              0                0              0            0%         0%
         164         166                   0              0                0              0                0              0            0%         0%
         166         168                   0              0                0              0                0              0            0%         0%
         168         170                   0              0                0              0                0              0            0%         0%
         170         172                   0              0                0              0                0              0            0%         0%
         172         174                   0              0                0              0                0              0            0%         0%
         174         176                   0              0                0              0                0              0            0%         0%
         176         178                   0              0                0              0                0              0            0%         0%
         178         180                   0              0                0              0                0              0            0%         0%
         180         182                   0              0                0              0                0              0            0%         0%
         182         184                   0              0                0              0                0              0            0%         0%
         184         186                   0              0                0              0                0              0            0%         0%
         186         188                   0              0                0              0                0              0            0%         0%
         188         190                   0              0                0              0                0              0            0%         0%
         190         192                   0              0                0              0                0              0            0%         0%
         192         194                   0              0                0              0                0              0            0%         0%
         194         196                   0              0                0              0                0              0            0%         0%
         196         198                   0              0                0              0                0              0            0%         0%
         198         200                   0              0                0              0                0              0            0%         0%
