#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5                   0              0                0              0                0              0            0%         0%
           5          10       0.00020631135    9.92150e-05    0.00019905808    9.32747e-05    0.00021624449    0.000105896        -3.52%      4.81%
          10          15        0.0038894566    0.000304943     0.0038071036    0.000287693     0.0039914617    0.000327197        -2.12%      2.62%
          15          20         0.016829525    0.000707401      0.016326210    0.000658587      0.017452946    0.000769528        -2.99%      3.70%
          20          25         0.037850789     0.00110814      0.037027021     0.00103153      0.038871136     0.00120562        -2.18%      2.70%
          25          30         0.078600464     0.00183405      0.076953073     0.00169718      0.080640975     0.00200719        -2.10%      2.60%
          30          35          0.12876626     0.00250371       0.12589871     0.00237625       0.13195116     0.00274596        -2.23%      2.47%
          35          40          0.18788870     0.00315078       0.18343825     0.00298221       0.19237393     0.00345785        -2.37%      2.39%
          40          45          0.23273913     0.00382593       0.22671864     0.00361730       0.23763165     0.00420699        -2.59%      2.10%
          45          50          0.23775846     0.00432885       0.23178477     0.00408255       0.24239355     0.00477362        -2.51%      1.95%
          50          55          0.23117322     0.00454001       0.22576744     0.00428219       0.23629115     0.00501504        -2.34%      2.21%
          55          60          0.19671090     0.00394546       0.19248737     0.00373433       0.20134695     0.00435279        -2.15%      2.36%
          60          65          0.16739110     0.00540312       0.16371239     0.00502262       0.17145728     0.00600261        -2.20%      2.43%
          65          70          0.14653781     0.00537677       0.14290356     0.00489313       0.15103932     0.00597869        -2.48%      3.07%
          70          75          0.11569312     0.00311597       0.11273446     0.00285400       0.11935782     0.00344405        -2.56%      3.17%
          75          80          0.10014725     0.00285430      0.097233031     0.00261356       0.10375690     0.00315571        -2.91%      3.60%
          80          85         0.080583422     0.00260452      0.078324074     0.00238504      0.083381923     0.00287933        -2.80%      3.47%
          85          90         0.066485642     0.00243941      0.064379612     0.00223068      0.069094238     0.00270038        -3.17%      3.92%
          90          95         0.056486148     0.00232254      0.054515382     0.00212147      0.058927203     0.00257367        -3.49%      4.32%
          95         100         0.044751518     0.00221652      0.043410767     0.00202628      0.046412216     0.00245432        -3.00%      3.71%
         100         105         0.040476263     0.00185745      0.038995875     0.00169788      0.042309918     0.00205690        -3.66%      4.53%
         105         110         0.032410876     0.00211012      0.031294027     0.00192278      0.033794243     0.00234356        -3.45%      4.27%
         110         115         0.028014185     0.00202546      0.026954780     0.00184403      0.029326399     0.00225135        -3.78%      4.68%
         115         120         0.024836241     0.00134020      0.023806740     0.00122584      0.026111414     0.00148322        -4.15%      5.13%
         120         125         0.020222043     0.00127446      0.019499447     0.00116630      0.021117073     0.00140979        -3.57%      4.43%
         125         130         0.018850413     0.00129909      0.018024174     0.00118527      0.019883559     0.00141830        -4.38%      5.48%
         130         135         0.015531952     0.00106068      0.014956436    0.000981925      0.016269337     0.00115122        -3.71%      4.75%
         135         140         0.014904389     0.00102267      0.014219123    0.000934985      0.015753183     0.00113228        -4.60%      5.69%
         140         145         0.011972170     0.00107621      0.011418018     0.00101037      0.012669777     0.00114871        -4.63%      5.83%
         145         150        0.0086346685    0.000971187     0.0082747428    0.000900850     0.0091083699     0.00105001        -4.17%      5.49%
         150         155         0.010198612    0.000785981     0.0096349975    0.000724141      0.010897323    0.000857061        -5.53%      6.85%
         155         160        0.0072624656    0.000652238     0.0068629298    0.000603777     0.0077731981    0.000707554        -5.50%      7.03%
         160         165        0.0069787622    0.000596452     0.0066323713    0.000549565     0.0074158371    0.000651053        -4.96%      6.26%
         165         170        0.0065288155    0.000546209     0.0061670009    0.000501689     0.0069847656    0.000598402        -5.54%      6.98%
         170         175        0.0043634062    0.000861929     0.0041430716    0.000785463     0.0046565496    0.000949498        -5.05%      6.72%
         175         180        0.0059824141    0.000845809     0.0056046901    0.000768798     0.0064564768    0.000935444        -6.31%      7.92%
         180         185        0.0052614767    0.000374989     0.0048853952    0.000343512     0.0057281833    0.000412624        -7.15%      8.87%
         185         190        0.0039123805    0.000484225     0.0036880149    0.000439994     0.0042001248    0.000536913        -5.73%      7.35%
