#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           2       0.00010526738    4.60766e-05    8.2867874e-05    3.61906e-05    0.00013146894    5.76638e-05       -21.28%     24.89%
           2           4        0.0015877711    0.000120714     0.0012731588    9.61662e-05     0.0019484386    0.000148957       -19.81%     22.72%
           4           6        0.0013759704    5.13832e-05     0.0011086907    4.11479e-05     0.0016808525    6.31414e-05       -19.42%     22.16%
           6           8        0.0012507552    5.08727e-05     0.0010098502    4.11313e-05     0.0015250156    6.19755e-05       -19.26%     21.93%
           8          10        0.0011929032    4.50975e-05    0.00096289230    3.62969e-05     0.0014548784    5.51615e-05       -19.28%     21.96%
          10          12        0.0012664921    4.93451e-05     0.0010231855    3.97963e-05     0.0015434651    6.02607e-05       -19.21%     21.87%
          12          14        0.0013826315    4.97003e-05     0.0011141698    3.99979e-05     0.0016892017    6.08316e-05       -19.42%     22.17%
          14          16        0.0018416532    6.01403e-05     0.0014753781    4.76503e-05     0.0022625106    7.46919e-05       -19.89%     22.85%
          16          18        0.0023505200    7.06823e-05     0.0018808461    5.61512e-05     0.0028909442    8.75810e-05       -19.98%     22.99%
          18          20        0.0025604828    6.87682e-05     0.0020500179    5.47948e-05     0.0031474105    8.49534e-05       -19.94%     22.92%
          20          22        0.0026253830    6.54756e-05     0.0021056116    5.22352e-05     0.0032217991    8.07816e-05       -19.80%     22.72%
          22          24        0.0026752940    6.81901e-05     0.0021525381    5.48725e-05     0.0032731035    8.34495e-05       -19.54%     22.35%
          24          26        0.0024697358    6.18358e-05     0.0019936275    4.99875e-05     0.0030122669    7.53491e-05       -19.28%     21.97%
          26          28        0.0023424874    5.90125e-05     0.0018957309    4.78035e-05     0.0028501354    7.17627e-05       -19.07%     21.67%
          28          30        0.0022394364    5.92542e-05     0.0018169429    4.81789e-05     0.0027181358    7.17967e-05       -18.87%     21.38%
          30          32        0.0020545695    5.84793e-05     0.0016697555    4.77246e-05     0.0024897650    7.06089e-05       -18.73%     21.18%
