#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5       0.00077103863    2.82971e-05    0.00062005130    2.27155e-05    0.00094391466    3.47240e-05       -19.58%     22.42%
           5          10        0.0019407156    4.19397e-05     0.0015674006    3.37088e-05     0.0023662405    5.14001e-05       -19.24%     21.93%
          10          15        0.0028371008    4.75437e-05     0.0022954879    3.84132e-05     0.0034531675    5.79790e-05       -19.09%     21.71%
          15          20        0.0041017328    6.11580e-05     0.0033192984    4.94593e-05     0.0049915496    7.45147e-05       -19.08%     21.69%
          20          25        0.0035290412    4.79628e-05     0.0028684001    3.90434e-05     0.0042764799    5.80667e-05       -18.72%     21.18%
          25          30        0.0026322441    3.71985e-05     0.0021494399    3.04516e-05     0.0031754731    4.47892e-05       -18.34%     20.64%
          30          35        0.0019961721    4.97203e-05     0.0016366332    3.99952e-05     0.0023987510    6.08281e-05       -18.01%     20.17%
          35          40        0.0014984587    2.66153e-05     0.0012338173    2.19922e-05     0.0017932725    3.17557e-05       -17.66%     19.67%
          40          45        0.0011241169    2.17829e-05    0.00092809597    1.80014e-05     0.0013417585    2.59857e-05       -17.44%     19.36%
          45          50       0.00082607153    1.67442e-05    0.00068469651    1.39330e-05    0.00098231681    1.98444e-05       -17.11%     18.91%
          50          55       0.00059684278    1.43395e-05    0.00049593781    1.19892e-05    0.00070801848    1.69157e-05       -16.91%     18.63%
          55          60       0.00044717165    1.15021e-05    0.00037220798    9.57735e-06    0.00052957210    1.36199e-05       -16.76%     18.43%
          60          65       0.00033188933    1.00092e-05    0.00027753055    8.40559e-06    0.00039131268    1.17562e-05       -16.38%     17.90%
          65          70       0.00024163843    8.91945e-06    0.00020236432    7.48156e-06    0.00028447963    1.04881e-05       -16.25%     17.73%
          70          75       0.00018717345    7.68623e-06    0.00015707443    6.45552e-06    0.00021991414    9.02478e-06       -16.08%     17.49%
          75          80       0.00014783607    6.46189e-06    0.00012431283    5.44083e-06    0.00017335801    7.56916e-06       -15.91%     17.26%
          80          85       0.00011573219    6.13578e-06    9.7660972e-05    5.18351e-06    0.00013524982    7.16384e-06       -15.61%     16.86%
          85          90       0.00010538787    5.91274e-06    8.9031454e-05    4.99573e-06    0.00012302439    6.90245e-06       -15.52%     16.73%
          90          95       7.5497841e-05    5.28452e-06    6.3885520e-05    4.46881e-06    8.7989001e-05    6.16264e-06       -15.38%     16.55%
