#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5                   0              0                0              0                0              0            0%         0%
           5          10                   0              0                0              0                0              0            0%         0%
          10          15                   0              0                0              0                0              0            0%         0%
          15          20                   0              0                0              0                0              0            0%         0%
          20          25                   0              0                0              0                0              0            0%         0%
          25          30                   0              0                0              0                0              0            0%         0%
          30          35       0.00033540722    0.000151965    0.00027121969    0.000122758    0.00039973185    0.000181261       -19.14%     19.18%
          35          40        0.0015389608    0.000254337     0.0012524728    0.000207138     0.0018239928    0.000301350       -18.62%     18.52%
          40          45        0.0029655699    0.000162526     0.0024338313    0.000133349     0.0034899217    0.000191328       -17.93%     17.68%
          45          50        0.0050547027    0.000184894     0.0041734516    0.000152797     0.0059174923    0.000216361       -17.43%     17.07%
          50          55        0.0061552242    0.000165927     0.0051128731    0.000137867     0.0071690981    0.000193333       -16.93%     16.47%
          55          60        0.0070325515    0.000173995     0.0058776745    0.000145747     0.0081481670    0.000201307       -16.42%     15.86%
          60          65        0.0081414396    0.000207091     0.0068368472    0.000173761     0.0093946376    0.000239267       -16.02%     15.39%
          65          70        0.0088317926    0.000168585     0.0074541829    0.000141571      0.010147755    0.000194896       -15.60%     14.90%
          70          75         0.010831369    0.000227595     0.0091910405    0.000193989      0.012389175    0.000259581       -15.14%     14.38%
          75          80         0.016162268    0.000227602      0.013734845    0.000194250      0.018462134    0.000259519       -15.02%     14.23%
          80          85         0.037826415    0.000371809      0.032330646    0.000319379      0.042999776    0.000421554       -14.53%     13.68%
          85          90          0.26640562     0.00103499       0.22870810    0.000888585       0.30170159     0.00117461       -14.15%     13.25%
          90          95          0.95012757     0.00197359       0.81797096     0.00170467        1.0734448     0.00222706       -13.91%     12.98%
          95         100         0.099064596    0.000567728      0.085655081    0.000492738       0.11150941    0.000637840       -13.54%     12.56%
         100         105         0.035710900    0.000342044      0.030974693    0.000297639      0.040087759    0.000383369       -13.26%     12.26%
         105         110         0.026301998    0.000279570      0.022908415    0.000243308      0.029421408    0.000313475       -12.90%     11.86%
         110         115         0.034961818    0.000301382      0.030570138    0.000263961      0.038978763    0.000335856       -12.56%     11.49%
         115         120         0.040517496    0.000340126      0.035553495    0.000298343      0.045036415    0.000378467       -12.25%     11.15%
         120         125         0.041913702    0.000318322      0.036880331    0.000280395      0.046478416    0.000353006       -12.01%     10.89%
         125         130         0.039725082    0.000302132      0.035050340    0.000266790      0.043948364    0.000334284       -11.77%     10.63%
         130         135         0.036544590    0.000278002      0.032335186    0.000246186      0.040332176    0.000306773       -11.52%     10.36%
         135         140         0.033538972    0.000274253      0.029740461    0.000242389      0.036946352    0.000303393       -11.33%     10.16%
         140         145         0.029942671    0.000258471      0.026619879    0.000229824      0.032912077    0.000284298       -11.10%      9.92%
         145         150         0.027661103    0.000296172      0.024655800    0.000264486      0.030336285    0.000324429       -10.86%      9.67%
         150         155         0.024638162    0.000225521      0.022009041    0.000201403      0.026971363    0.000247152       -10.67%      9.47%
         155         160         0.022809591    0.000217645      0.020433342    0.000195096      0.024908975    0.000237678       -10.42%      9.20%
