#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5                   0              0                0              0                0              0            0%         0%
           5          10         0.019055626    0.000522365      0.016103452    0.000439763      0.021875475    0.000602744       -15.49%     14.80%
          10          15          0.20739635     0.00107772       0.17764117    0.000924913       0.23533662     0.00122294       -14.35%     13.47%
          15          20          0.51362367     0.00132260       0.44226001     0.00114274       0.58021337     0.00149191       -13.89%     12.96%
          20          25          0.52000427     0.00135490       0.44918831     0.00117261       0.58586518     0.00152664       -13.62%     12.67%
          25          30          0.33189743     0.00112745       0.28914125    0.000979784       0.37131223     0.00126637       -12.88%     11.88%
          30          35          0.21756874    0.000733099       0.19374311    0.000651936       0.23893481    0.000807584       -10.95%      9.82%
          35          40          0.23971490    0.000707071       0.21712020    0.000641249       0.25941549    0.000765832        -9.43%      8.22%
          40          45          0.28924381    0.000720841       0.26396326    0.000660219       0.31098510    0.000774297        -8.74%      7.52%
          45          50          0.26077804    0.000673190       0.23974190    0.000621590       0.27859736    0.000717911        -8.07%      6.83%
          50          55          0.21085468    0.000610454       0.19475327    0.000566231       0.22435694    0.000648360        -7.64%      6.40%
          55          60          0.16713382    0.000545996       0.15493969    0.000507910       0.17727695    0.000578495        -7.30%      6.07%
          60          65          0.13099021    0.000481351       0.12186190    0.000449415       0.13852092    0.000508373        -6.97%      5.75%
          65          70          0.10152866    0.000415908      0.094803767    0.000389682       0.10702527    0.000437907        -6.62%      5.41%
          70          75         0.080203722    0.000372083      0.075153791    0.000350249      0.084293894    0.000390231        -6.30%      5.10%
          75          80         0.063148746    0.000326057      0.059405039    0.000308593      0.066146666    0.000340302        -5.93%      4.75%
          80          85         0.051039593    0.000293463      0.048179246    0.000278522      0.053304777    0.000305505        -5.60%      4.44%
          85          90         0.041222995    0.000267516      0.039049123    0.000255519      0.042923431    0.000277031        -5.27%      4.12%
          90          95         0.033889288    0.000242484      0.032212508    0.000232235      0.035183375    0.000250450        -4.95%      3.82%
          95         100         0.027550011    0.000217659      0.026275915    0.000209006      0.028518956    0.000224276        -4.62%      3.52%
         100         105         0.022832568    0.000195471      0.021849719    0.000188271      0.023567682    0.000200873        -4.30%      3.22%
         105         110         0.019014626    0.000205270      0.018213479    0.000188197      0.019609603    0.000220812        -4.21%      3.13%
         110         115         0.015822762    0.000164803      0.015220436    0.000159738      0.016259131    0.000168494        -3.81%      2.76%
         115         120         0.013223998    0.000149382      0.012759996    0.000143865      0.013552545    0.000153780        -3.51%      2.48%
         120         125         0.011516301    0.000139377      0.011149196    0.000136031      0.011768642    0.000141600        -3.19%      2.19%
         125         130        0.0095977142    0.000124327     0.0093204180    0.000121607     0.0097818174    0.000126019        -2.89%      1.92%
         130         135        0.0084680808    0.000121617     0.0082540140    0.000120729     0.0086034978    0.000121868        -2.53%      1.60%
         135         140        0.0071732653    0.000104622     0.0070081542    0.000103230     0.0072733870    0.000105314        -2.30%      1.40%
         140         145        0.0060929639    9.82931e-05     0.0059584032    9.68626e-05     0.0061725338    9.90106e-05        -2.21%      1.31%
         145         150        0.0055227749    0.000112522     0.0054215237    0.000112118     0.0055766234    0.000112361        -1.83%      0.98%
         150         155        0.0050866555    0.000126680     0.0050103208    0.000127016     0.0051209998    0.000125615        -1.50%      0.68%
         155         160        0.0044304107    0.000104010     0.0043715530    0.000104545     0.0044536277    0.000102953        -1.33%      0.52%
         160         165        0.0038819174    0.000109258     0.0038386121    0.000109952     0.0038948053    0.000107969        -1.12%      0.33%
         165         170        0.0033277154    7.00114e-05     0.0032997657    7.01712e-05     0.0033309952    6.94730e-05        -0.84%       0.1%
         170         175        0.0029048518    6.65294e-05     0.0028877129    6.68282e-05     0.0029048518    6.65294e-05        -0.59%   0.00000%
         175         180        0.0026899895    7.64293e-05     0.0026803067    7.46773e-05     0.0026899895    7.64293e-05        -0.36%   0.00000%
         180         185        0.0023368173    6.63709e-05     0.0023287745    6.57506e-05     0.0023368173    6.63709e-05        -0.34%   0.00000%
         185         190        0.0020345134    5.95978e-05     0.0020245580    5.89469e-05     0.0020345134    5.95978e-05        -0.49%   0.00000%
         190         195        0.0020230406    8.26607e-05     0.0020071254    8.07984e-05     0.0020265001    8.42048e-05        -0.79%      0.17%
         195         200        0.0015550071    4.34704e-05     0.0015429487    4.28549e-05     0.0015577897    4.39522e-05        -0.78%      0.18%
         200         205        0.0015515584    5.91958e-05     0.0015349725    5.82706e-05     0.0015594849    5.98764e-05        -1.07%      0.51%
         205         210        0.0014056779    5.25279e-05     0.0013872683    5.12674e-05     0.0014167313    5.36240e-05        -1.31%      0.79%
         210         215        0.0013261860    0.000109516     0.0013037512    0.000103569     0.0013427173    0.000115737        -1.69%      1.25%
         215         220        0.0011350600    5.11099e-05     0.0011161011    4.90847e-05     0.0011489756    5.31875e-05        -1.67%      1.23%
         220         225       0.00094665094    3.75694e-05    0.00093309618    3.67389e-05    0.00095557377    3.83034e-05        -1.43%      0.94%
         225         230       0.00098783578    5.39164e-05    0.00096879126    5.21597e-05     0.0010029434    5.56268e-05        -1.93%      1.53%
         230         235       0.00083534143    4.24935e-05    0.00082002780    4.08986e-05    0.00084715413    4.41325e-05        -1.83%      1.41%
         235         240       0.00078198229    4.66417e-05    0.00076510903    4.52459e-05    0.00079596981    4.79198e-05        -2.16%      1.79%
         240         245       0.00065741498    3.20618e-05    0.00064258411    3.11927e-05    0.00066998149    3.28562e-05        -2.26%      1.91%
         245         250       0.00062848404    3.56287e-05    0.00061375873    3.42362e-05    0.00064115280    3.70553e-05        -2.34%      2.02%
         250         255       0.00057374686    3.20887e-05    0.00055797437    3.05007e-05    0.00058827226    3.38355e-05        -2.75%      2.53%
         255         260       0.00053268510    2.80487e-05    0.00051863414    2.72049e-05    0.00054538029    2.88658e-05        -2.64%      2.38%
         260         265       0.00046412192    2.24819e-05    0.00045178888    2.17548e-05    0.00047527527    2.31968e-05        -2.66%      2.40%
         265         270       0.00049207516    3.27306e-05    0.00047903142    3.20324e-05    0.00050384370    3.33355e-05        -2.65%      2.39%
         270         275       0.00040979792    2.25435e-05    0.00039748748    2.16243e-05    0.00042136024    2.34904e-05        -3.00%      2.82%
         275         280       0.00036641390    2.32272e-05    0.00035453407    2.21966e-05    0.00037784084    2.43315e-05        -3.24%      3.12%
