#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5         0.029200563    0.000131694      0.026293036    0.000117668      0.031815680    0.000144992        -9.96%      8.96%
           5          10         0.073941232    0.000211152      0.066428968    0.000187673      0.080716102    0.000233601       -10.16%      9.16%
          10          15          0.12244895    0.000300801       0.10917678    0.000263017       0.13452449    0.000337145       -10.84%      9.86%
          15          20          0.22608324    0.000492074       0.19901639    0.000425569       0.25103677    0.000556088       -11.97%     11.04%
          20          25          0.35228277    0.000507730       0.30869390    0.000442048       0.39249529    0.000570093       -12.37%     11.41%
          25          30          0.51503074    0.000606019       0.45010564    0.000528104       0.57494338    0.000679618       -12.61%     11.63%
          30          35          0.55523438    0.000634123       0.48592981    0.000551939       0.61904426    0.000711914       -12.48%     11.49%
          35          40          0.36293073    0.000495821       0.32128641    0.000435397       0.40078709    0.000552622       -11.47%     10.43%
          40          45          0.22120239    0.000305545       0.19964448    0.000276143       0.24025928    0.000332278        -9.75%      8.62%
          45          50          0.17334282    0.000296385       0.15820951    0.000271263       0.18644258    0.000318597        -8.73%      7.56%
          50          55          0.14418989    0.000225138       0.13256150    0.000207923       0.15410549    0.000240233        -8.06%      6.88%
          55          60          0.12827875    0.000211694       0.11847356    0.000196598       0.13655007    0.000224853        -7.64%      6.45%
          60          65          0.11922668    0.000201747       0.11041748    0.000187455       0.12660433    0.000214132        -7.39%      6.19%
          65          70          0.11275287    0.000197639       0.10459511    0.000184063       0.11955641    0.000209394        -7.24%      6.03%
          70          75          0.10711953    0.000192504      0.099471630    0.000178993       0.11347990    0.000204210        -7.14%      5.94%
          75          80         0.099349442    0.000184880      0.092348169    0.000172103       0.10515847    0.000195900        -7.05%      5.85%
          80          85         0.088491800    0.000178096      0.082353836    0.000165406      0.093570513    0.000189112        -6.94%      5.74%
          85          90         0.072777229    0.000161737      0.067852047    0.000150934      0.076836494    0.000171015        -6.77%      5.58%
          90          95         0.047929659    0.000133934      0.044909512    0.000125831      0.050388673    0.000140827        -6.30%      5.13%
          95         100         0.030663524    0.000106462      0.028907327    0.000100632      0.032068609    0.000111334        -5.73%      4.58%
         100         105         0.021639992    8.80387e-05      0.020497320    8.35737e-05      0.022540125    9.17286e-05        -5.28%      4.16%
         105         110         0.016128298    7.69588e-05      0.015354217    7.37645e-05      0.016726319    7.95007e-05        -4.80%      3.71%
         110         115         0.012370320    6.58234e-05      0.011822262    6.34063e-05      0.012786769    6.77278e-05        -4.43%      3.37%
         115         120        0.0097620434    5.70699e-05     0.0093651116    5.50971e-05      0.010057651    5.85865e-05        -4.07%      3.03%
         120         125        0.0078591055    5.21494e-05     0.0075677527    5.07066e-05     0.0080712943    5.32633e-05        -3.71%      2.70%
         125         130        0.0065025674    5.14489e-05     0.0062910689    5.10920e-05     0.0066512079    5.15840e-05        -3.25%      2.29%
         130         135        0.0053606444    4.77145e-05     0.0051959916    4.66192e-05     0.0054745014    4.84583e-05        -3.07%      2.12%
         135         140        0.0044515859    3.89155e-05     0.0043308647    3.82959e-05     0.0045314887    3.92956e-05        -2.71%      1.79%
         140         145        0.0037066989    3.38101e-05     0.0036142758    3.33799e-05     0.0037658740    3.40391e-05        -2.49%      1.60%
         145         150        0.0031954902    3.23784e-05     0.0031264920    3.20814e-05     0.0032368857    3.24732e-05        -2.16%      1.30%
         150         155        0.0027575664    2.98823e-05     0.0027052597    2.96595e-05     0.0027868693    2.99271e-05        -1.90%      1.06%
         155         160        0.0023623087    3.02051e-05     0.0023217794    3.02604e-05     0.0023836184    3.00053e-05        -1.72%      0.90%
         160         165        0.0020902515    2.88825e-05     0.0020613883    2.89922e-05     0.0021028373    2.86313e-05        -1.38%      0.60%
         165         170        0.0018387186    3.28538e-05     0.0018171913    3.32196e-05     0.0018464337    3.23398e-05        -1.17%      0.42%
         170         175        0.0015656406    2.21597e-05     0.0015493637    2.21303e-05     0.0015704410    2.20924e-05        -1.04%      0.31%
         175         180        0.0014226022    2.34255e-05     0.0014126090    2.37089e-05     0.0014227986    2.30662e-05        -0.70%      0.01%
         180         185        0.0012670888    2.42546e-05     0.0012610275    2.45873e-05     0.0012670888    2.42546e-05        -0.48%   0.00000%
         185         190        0.0011029274    2.39200e-05     0.0010992388    2.42826e-05     0.0011029274    2.39200e-05        -0.33%   0.00000%
         190         195       0.00095482506    1.83265e-05    0.00094971048    1.78665e-05    0.00095482506    1.83265e-05        -0.54%   0.00000%
         195         200       0.00086134980    1.67266e-05    0.00085544529    1.63795e-05    0.00086220578    1.70336e-05        -0.69%       0.1%
         200         205       0.00077616281    1.70972e-05    0.00076960475    1.67008e-05    0.00077845366    1.74624e-05        -0.84%      0.30%
         205         210       0.00072721156    1.51797e-05    0.00071958834    1.48490e-05    0.00073101371    1.54709e-05        -1.05%      0.52%
         210         215       0.00061274636    1.29645e-05    0.00060549742    1.26395e-05    0.00061697257    1.32788e-05        -1.18%      0.69%
         215         220       0.00059204489    1.38215e-05    0.00058393135    1.34489e-05    0.00059743309    1.41731e-05        -1.37%      0.91%
         220         225       0.00051175174    1.32974e-05    0.00050400297    1.28678e-05    0.00051723360    1.37310e-05        -1.51%      1.07%
         225         230       0.00048477226    1.29393e-05    0.00047703347    1.25277e-05    0.00049050179    1.33455e-05        -1.60%      1.18%
         230         235       0.00044342737    1.38040e-05    0.00043541563    1.33435e-05    0.00044971707    1.42566e-05        -1.81%      1.42%
         235         240       0.00041498740    1.22649e-05    0.00040697111    1.18206e-05    0.00042149941    1.27261e-05        -1.93%      1.57%
         240         245       0.00036417554    1.00472e-05    0.00035720077    9.76674e-06    0.00036985785    1.03217e-05        -1.92%      1.56%
         245         250       0.00032179390    1.02805e-05    0.00031499323    9.89940e-06    0.00032754776    1.06708e-05        -2.11%      1.79%
         250         255       0.00029155896    8.25273e-06    0.00028528493    8.01089e-06    0.00029690108    8.49457e-06        -2.15%      1.83%
         255         260       0.00027387371    1.23289e-05    0.00026770747    1.19143e-05    0.00027914854    1.27197e-05        -2.25%      1.93%
