#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0         0.1                   0              0                0              0                0              0            0%         0%
         0.1         0.2                   0              0                0              0                0              0            0%         0%
         0.2         0.3       2.5047374e-07    2.50474e-07    2.1131456e-07    2.11315e-07    2.9268549e-07    2.92686e-07       -15.63%     16.85%
         0.3         0.4       1.6539922e-05    1.22696e-05    1.3447122e-05    9.96065e-06    2.0037212e-05    1.48825e-05       -18.70%     21.14%
         0.4         0.5       5.6704565e-05    2.33902e-05    4.5815038e-05    1.88620e-05    6.9085362e-05    2.85518e-05       -19.20%     21.83%
         0.5         0.6       0.00011222214    4.87122e-05    9.1374872e-05    3.94974e-05    0.00013575968    5.91668e-05       -18.58%     20.97%
         0.6         0.7       7.5203778e-05    4.20177e-05    6.1256748e-05    3.40638e-05    9.0957671e-05    5.10459e-05       -18.55%     20.95%
         0.7         0.8       0.00038321995    0.000108179    0.00030823057    8.67157e-05    0.00046913665    0.000132973       -19.57%     22.42%
         0.8         0.9       0.00060022470    0.000132820    0.00048073767    0.000104404    0.00073774016    0.000166195       -19.91%     22.91%
         0.9           1        0.0010039487    0.000208492    0.00080356989    0.000164963     0.0012344034    0.000259117       -19.96%     22.95%
           1         1.1        0.0014312140    0.000218795     0.0011410881    0.000171269     0.0017663050    0.000274707       -20.27%     23.41%
         1.1         1.2        0.0020372824    0.000224680     0.0016527624    0.000181832     0.0024736421    0.000273564       -18.87%     21.42%
         1.2         1.3        0.0026386081    0.000256058     0.0021340858    0.000206194     0.0032130026    0.000313271       -19.12%     21.77%
         1.3         1.4        0.0037765170    0.000332178     0.0030476712    0.000267099     0.0046082412    0.000406952       -19.30%     22.02%
         1.4         1.5        0.0053643521    0.000408094     0.0043249292    0.000323564     0.0065521474    0.000506856       -19.38%     22.14%
         1.5         1.6        0.0060719326    0.000390917     0.0049184359    0.000315286     0.0073828009    0.000477526       -19.00%     21.59%
         1.6         1.7        0.0076242631    0.000401047     0.0061715395    0.000322588     0.0092760477    0.000491085       -19.05%     21.66%
         1.7         1.8         0.010370570    0.000499553     0.0083855227    0.000400730      0.012630759    0.000613428       -19.14%     21.79%
         1.8         1.9         0.011843608    0.000484459     0.0096116435    0.000392408      0.014373958    0.000589309       -18.85%     21.36%
         1.9           2         0.015526001    0.000582125      0.012607012    0.000470413      0.018833485    0.000709817       -18.80%     21.30%
           2         2.1         0.018919018    0.000641904      0.015352821    0.000518509      0.022963221    0.000782926       -18.85%     21.38%
         2.1         2.2         0.022382451    0.000663691      0.018190860    0.000537558      0.027127860    0.000807520       -18.73%     21.20%
