#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5                   0              0                0              0                0              0            0%         0%
           5          10        0.0025220448    0.000168497     0.0020858805    0.000137297     0.0029491128    0.000199606       -17.29%     16.93%
          10          15         0.028524145    0.000203747      0.024107919    0.000170643      0.032741783    0.000236163       -15.48%     14.79%
          15          20         0.076272496    0.000250099      0.065270191    0.000213988      0.086613471    0.000284583       -14.42%     13.56%
          20          25          0.14800885    0.000347179       0.12726115    0.000299057       0.16739796    0.000392712       -14.02%     13.10%
          25          30          0.24244401    0.000433131       0.20892465    0.000372988       0.27369343    0.000490311       -13.83%     12.89%
          30          35          0.33066432    0.000478803       0.28561962    0.000413633       0.37256166    0.000540421       -13.62%     12.67%
          35          40          0.40067542    0.000566811       0.34716212    0.000491238       0.45030581    0.000638171       -13.36%     12.39%
          40          45          0.45956523    0.000638233       0.40078693    0.000553802       0.51372769    0.000717960       -12.79%     11.79%
          45          50          0.28673932    0.000383542       0.25800413    0.000342474       0.31211697    0.000421279       -10.02%      8.85%
          50          55          0.27239593    0.000339652       0.24797460    0.000308865       0.29350138    0.000367147        -8.97%      7.75%
          55          60          0.23817266    0.000312535       0.21799204    0.000286454       0.25543016    0.000335486        -8.47%      7.25%
          60          65          0.19816940    0.000309661       0.18221170    0.000285411       0.21168722    0.000330705        -8.05%      6.82%
          65          70          0.16239836    0.000249749       0.14990366    0.000231284       0.17289370    0.000265691        -7.69%      6.46%
          70          75          0.13254312    0.000223144       0.12276436    0.000207448       0.14069390    0.000236592        -7.38%      6.15%
          75          80          0.10783047    0.000199125       0.10022020    0.000185839       0.11412342    0.000210417        -7.06%      5.84%
          80          85         0.087963578    0.000180968      0.082033083    0.000169414      0.092826359    0.000190707        -6.74%      5.53%
          85          90         0.072439222    0.000158980      0.067761699    0.000149555      0.076243687    0.000166841        -6.46%      5.25%
          90          95         0.060031161    0.000144517      0.056336616    0.000136402      0.063008924    0.000151224        -6.15%      4.96%
          95         100         0.049712132    0.000129391      0.046793072    0.000122582      0.052043458    0.000134936        -5.87%      4.69%
         100         105         0.041511259    0.000118950      0.039195331    0.000113196      0.043342452    0.000123598        -5.58%      4.41%
