#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           2                   0              0                0              0                0              0            0%         0%
           2           4      -4.8013490e-05    6.21981e-05   -5.8039524e-05    7.07237e-05   -4.0040262e-05    5.53214e-05        20.88%    -16.61%
           4           6       2.9203614e-05    6.22915e-05    2.3182135e-05    6.01257e-05    3.5150686e-05    6.37735e-05       -20.62%     20.36%
           6           8       0.00036351343    8.45124e-05    0.00032941638    7.69338e-05    0.00039868140    9.33300e-05        -9.38%      9.67%
           8          10       0.00050658380    4.78426e-05    0.00046225904    4.36323e-05    0.00055479352    5.27441e-05        -8.75%      9.52%
          10          12       0.00082362587    6.10286e-05    0.00075114355    5.55291e-05    0.00090359512    6.73695e-05        -8.80%      9.71%
          12          14        0.0011912374    0.000119448     0.0010694715    0.000108448     0.0013106214    0.000131854       -10.22%     10.02%
          14          16        0.0019532082    0.000281860     0.0017984854    0.000215939     0.0021302795    0.000311143        -7.92%      9.07%
          16          18        0.0033460699    0.000876959     0.0029503266    0.000755110     0.0036942356    0.000989482       -11.83%     10.41%
          18          20        0.0073798682    0.000820335     0.0066969424    0.000715912     0.0079004912    0.000921419        -9.25%      7.05%
          20          22        0.0085160195    0.000662763     0.0081021640    0.000516806     0.0088449883    0.000727105        -4.86%      3.86%
          22          24         0.012325679    0.000690027      0.011346300    0.000606112      0.013044845    0.000769443        -7.95%      5.83%
          24          26         0.014286869    0.000817577      0.013202715    0.000727945      0.015039987    0.000897352        -7.59%      5.27%
          26          28         0.017406954    0.000989756      0.016112988    0.000875504      0.018318012     0.00109409        -7.43%      5.23%
          28          30         0.019632856    0.000849582      0.018245860    0.000761848      0.020597703    0.000926879        -7.06%      4.91%
          30          32         0.022099155    0.000679768      0.020799902    0.000624123      0.023008873    0.000726910        -5.88%      4.12%
          32          34         0.025901769    0.000866535      0.024181997    0.000778135      0.027104895    0.000947607        -6.64%      4.64%
          34          36         0.032251084    0.000676986      0.030521375    0.000617740      0.033343962    0.000716471        -5.36%      3.39%
          36          38         0.043639860    0.000915287      0.041164884    0.000873546      0.045248004    0.000959619        -5.67%      3.69%
          38          40         0.057042123    0.000953348      0.053974131    0.000886009      0.059004165     0.00101477        -5.38%      3.44%
          40          42         0.080707838    0.000963684      0.076559109    0.000893306      0.083267577     0.00103660        -5.14%      3.17%
          42          44          0.10799297     0.00109935       0.10266423     0.00103151       0.11119186     0.00116417        -4.93%      2.96%
          44          46          0.13773306     0.00131694       0.13098869     0.00122398       0.14180547     0.00140532        -4.90%      2.96%
          46          48          0.16669428     0.00155055       0.15833797     0.00146962       0.17182725     0.00162134        -5.01%      3.08%
          48          50          0.19842442     0.00146978       0.18853103     0.00137831       0.20445054     0.00155726        -4.99%      3.04%
          50          52          0.23647272     0.00186721       0.22490507     0.00173631       0.24339928     0.00199244        -4.89%      2.93%
          52          54          0.27118903     0.00224563       0.25825866     0.00210128       0.27880978     0.00237514        -4.77%      2.81%
          54          56          0.31037156     0.00255685       0.29500715     0.00236143       0.31980502     0.00273641        -4.95%      3.04%
          56          58          0.33803972     0.00251800       0.32154735     0.00237894       0.34796018     0.00264004        -4.88%      2.93%
          58          60          0.35104284     0.00270345       0.33367357     0.00254902       0.36175601     0.00284654        -4.95%      3.05%
          60          62          0.34331792     0.00285038       0.32665424     0.00268636       0.35341183     0.00299863        -4.85%      2.94%
          62          64          0.33359937     0.00282650       0.31718985     0.00266462       0.34365093     0.00297202        -4.92%      3.01%
          64          66          0.31365177     0.00255110       0.29870059     0.00238483       0.32253962     0.00271132        -4.77%      2.83%
          66          68          0.28549571     0.00289997       0.27119308     0.00270433       0.29446993     0.00307858        -5.01%      3.14%
          68          70          0.25018539     0.00292093       0.23816010     0.00270958       0.25749257     0.00311985        -4.81%      2.92%
          70          72          0.20814941     0.00298391       0.19796087     0.00276245       0.21459861     0.00319020        -4.89%      3.10%
          72          74          0.16114698     0.00250563       0.15278834     0.00231998       0.16702556     0.00266876        -5.19%      3.65%
          74          76          0.11786863     0.00313706       0.11183446     0.00289850       0.12369476     0.00337129        -5.12%      4.94%
          76          78         0.085652134     0.00247194      0.081628321     0.00232514      0.090636159     0.00265546        -4.70%      5.82%
          78          80         0.068667750     0.00109880      0.065763137     0.00102738      0.072265498     0.00118855        -4.23%      5.24%
          80          82         0.064680025    0.000883035      0.062320223    0.000830491      0.067602952    0.000949341        -3.65%      4.52%
          82          84         0.071740728    0.000750380      0.069618630    0.000711938      0.074369227    0.000799215        -2.96%      3.66%
          84          86          0.10480575    0.000985142       0.10199351    0.000946501       0.10824712     0.00104962        -2.68%      3.28%
          86          88          0.22065777     0.00142095       0.21493069     0.00137556       0.22756903     0.00150766        -2.60%      3.13%
          88          90          0.85548163     0.00289229       0.83434411     0.00277366       0.88166326     0.00304338        -2.47%      3.06%
          90          92           3.9847131     0.00608132        3.8865502     0.00583735        4.1063007     0.00639233        -2.46%      3.05%
          92          94           1.1519390     0.00353015        1.1238042     0.00339255        1.1867877     0.00370539        -2.44%      3.03%
          94          96          0.22336244     0.00147917       0.21782169     0.00144179       0.23008067     0.00155839        -2.48%      3.01%
          96          98         0.086013829     0.00118957      0.083893529     0.00113288      0.088479436     0.00126619        -2.47%      2.87%
          98         100         0.047937214    0.000773640      0.046818278    0.000738806      0.049286697    0.000825568        -2.33%      2.82%
         100         102         0.031820360    0.000597508      0.031026886    0.000569450      0.032727079    0.000619317        -2.49%      2.85%
         102         104         0.023197576    0.000422445      0.022645903    0.000405389      0.023880896    0.000444296        -2.38%      2.95%
         104         106         0.016948422    0.000482736      0.016485763    0.000472904      0.017432328    0.000503174        -2.73%      2.86%
         106         108         0.013926430    0.000351152      0.013522367    0.000335138      0.014322269    0.000368700        -2.90%      2.84%
         108         110         0.010596484    0.000328896      0.010368126    0.000315477      0.010879337    0.000346091        -2.16%      2.67%
         110         112         0.010388166    0.000458074      0.010065335    0.000424008      0.010709782    0.000497163        -3.11%      3.10%
         112         114        0.0075351916    0.000336201     0.0073509417    0.000315832     0.0077168027    0.000354129        -2.45%      2.41%
         114         116        0.0067955927    0.000361343     0.0066214918    0.000335702     0.0069970833    0.000390389        -2.56%      2.97%
         116         118        0.0059303762    0.000215722     0.0057842552    0.000208959     0.0060872565    0.000224270        -2.46%      2.65%
         118         120        0.0051172160    0.000203007     0.0050040137    0.000195417     0.0052574320    0.000212803        -2.21%      2.74%
         120         122        0.0041429651    0.000196926     0.0040441674    0.000186613     0.0042605677    0.000206655        -2.38%      2.84%
         122         124        0.0032790693    0.000379018     0.0032053098    0.000369431     0.0033704301    0.000391032        -2.25%      2.79%
         124         126        0.0035107464    0.000183352     0.0034195919    0.000173500     0.0036236534    0.000195915        -2.60%      3.22%
         126         128        0.0028925634    0.000184850     0.0028123100    0.000172872     0.0029919678    0.000200036        -2.77%      3.44%
         128         130        0.0022058485    0.000156342     0.0021542903    0.000151248     0.0022697103    0.000162864        -2.34%      2.90%
         130         132        0.0018157347    0.000204685     0.0017816051    0.000188748     0.0018580087    0.000224728        -1.88%      2.33%
         132         134        0.0016489601    9.78101e-05     0.0016048911    9.35906e-05     0.0017035454    0.000103220        -2.67%      3.31%
         134         136        0.0013484076    8.22284e-05     0.0013144710    7.91125e-05     0.0013904425    8.62457e-05        -2.52%      3.12%
         136         138       0.00094607221    7.16634e-05    0.00092156072    6.89064e-05    0.00097668320    7.38294e-05        -2.59%      3.24%
         138         140       0.00091174515    9.04550e-05    0.00087882144    8.52442e-05    0.00095102455    9.73415e-05        -3.61%      4.31%
         140         142       0.00075945386    5.50238e-05    0.00073975309    5.31796e-05    0.00078385588    5.73746e-05        -2.59%      3.21%
         142         144       0.00061020240    4.74988e-05    0.00059377746    4.58270e-05    0.00063054686    4.96244e-05        -2.69%      3.33%
         144         146       0.00052557472    4.14060e-05    0.00051052217    4.04168e-05    0.00054603158    4.35527e-05        -2.86%      3.89%
         146         148       0.00044165428    3.77862e-05    0.00043372781    3.62400e-05    0.00045147227    3.97868e-05        -1.79%      2.22%
         148         150       0.00034741618    4.22123e-05    0.00034257035    3.98045e-05    0.00035341838    4.52927e-05        -1.39%      1.73%
         150         152       0.00032169577    4.37587e-05    0.00031031309    3.95548e-05    0.00033804132    4.98517e-05        -3.54%      5.08%
         152         154       0.00025732420    2.48478e-05    0.00025165269    2.32904e-05    0.00026537310    2.70979e-05        -2.20%      3.13%
         154         156       0.00021808985    2.55905e-05    0.00021298907    2.49709e-05    0.00022440785    2.63716e-05        -2.34%      2.90%
         156         158       0.00020382236    3.62723e-05    0.00019682536    3.40290e-05    0.00021353314    3.94836e-05        -3.43%      4.76%
