#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5                   0              0                0              0                0              0            0%         0%
           5          10       1.3605454e-05    4.35515e-06    1.1853062e-05    3.75995e-06    1.5195306e-05    4.86475e-06       -12.88%     11.69%
          10          15       0.00014278625    1.84670e-05    0.00012625137    1.59198e-05    0.00015936724    2.06252e-05       -11.58%     11.61%
          15          20       0.00031296897    1.68000e-05    0.00027943849    1.49560e-05    0.00034847265    1.87216e-05       -10.71%     11.34%
          20          25       0.00053491389    2.99715e-05    0.00047806612    2.65346e-05    0.00059638536    3.34634e-05       -10.63%     11.49%
          25          30       0.00082898889    3.64020e-05    0.00073514148    3.15589e-05    0.00092357295    4.06321e-05       -11.32%     11.41%
          30          35        0.0020784197    0.000151031     0.0018506061    0.000124979     0.0022713084    0.000164412       -10.96%      9.28%
          35          40        0.0040734101    0.000331992     0.0037139590    0.000265624     0.0043374600    0.000414803        -8.82%      6.48%
          40          45        0.0063130414    0.000425484     0.0058294517    0.000379441     0.0066602523    0.000453720        -7.66%      5.50%
          45          50        0.0095196661    0.000289327     0.0087223267    0.000254976      0.010102244    0.000325125        -8.38%      6.12%
          50          55         0.011703940    0.000376284      0.010880817    0.000338141      0.012249827    0.000411073        -7.03%      4.66%
          55          60         0.012661148    0.000429184      0.011839292    0.000386021      0.013199790    0.000468762        -6.49%      4.25%
          60          65         0.014714606    0.000356508      0.013830084    0.000318858      0.015275333    0.000393978        -6.01%      3.81%
          65          70         0.017372238    0.000380358      0.016225376    0.000350342      0.018163533    0.000410288        -6.60%      4.55%
          70          75         0.022103382    0.000549930      0.020839159    0.000498435      0.022914099    0.000597666        -5.72%      3.67%
          75          80         0.033859875    0.000525341      0.031949486    0.000490089      0.035102900    0.000557816        -5.64%      3.67%
          80          85         0.070183208    0.000743069      0.066630336    0.000693227      0.072322544    0.000794790        -5.06%      3.05%
          85          90          0.36847239     0.00201063       0.34949451     0.00186633       0.38014378     0.00214359        -5.15%      3.17%
          90          95           1.0309751     0.00304723       0.97933300     0.00283933        1.0627123     0.00324083        -5.01%      3.08%
          95         100          0.11072201    0.000832665       0.10538949    0.000778041       0.11400977    0.000883124        -4.82%      2.97%
         100         105         0.042284251    0.000374248      0.040373602    0.000348773      0.043463057    0.000403973        -4.52%      2.79%
         105         110         0.034178040    0.000425069      0.032653882    0.000400941      0.035138329    0.000448745        -4.46%      2.81%
         110         115         0.042509958    0.000411938      0.040691329    0.000386687      0.043657140    0.000437496        -4.28%      2.70%
         115         120         0.049516292    0.000458511      0.047424502    0.000429604      0.050845953    0.000486838        -4.22%      2.69%
         120         125         0.050090684    0.000448719      0.047954637    0.000424303      0.051486902    0.000473106        -4.26%      2.79%
         125         130         0.049544349    0.000440356      0.047444932    0.000415951      0.050931258    0.000464194        -4.24%      2.80%
         130         135         0.047528857    0.000527395      0.045582905    0.000494051      0.048825549    0.000557596        -4.09%      2.73%
         135         140         0.043857149    0.000424354      0.042162969    0.000399614      0.045003447    0.000449974        -3.86%      2.61%
         140         145         0.040637732    0.000388429      0.039051753    0.000367208      0.041776673    0.000413642        -3.90%      2.80%
         145         150         0.038631047    0.000390369      0.037139569    0.000370457      0.039779592    0.000413639        -3.86%      2.97%
         150         155         0.035570302    0.000359220      0.034296820    0.000344828      0.036627775    0.000377534        -3.58%      2.97%
         155         160         0.034498758    0.000422182      0.033266364    0.000404325      0.035589200    0.000446450        -3.57%      3.16%
         160         165         0.032195977    0.000363689      0.031113886    0.000350509      0.033215206    0.000384220        -3.36%      3.17%
         165         170         0.032690648    0.000371699      0.031593252    0.000362556      0.033708004    0.000393324        -3.36%      3.11%
         170         175         0.033824705    0.000355426      0.032689479    0.000340274      0.034892107    0.000374539        -3.36%      3.16%
         175         180         0.038690696    0.000370917      0.037473675    0.000361096      0.039849453    0.000388471        -3.15%      2.99%
         180         185         0.059454743    0.000443534      0.057602100    0.000428290      0.061007099    0.000468879        -3.12%      2.61%
         185         190         0.089299611    0.000548824      0.086515795    0.000530169      0.091482384    0.000574077        -3.12%      2.44%
         190         195          0.10295345    0.000580294      0.099796616    0.000561222       0.10544545    0.000604938        -3.07%      2.42%
         195         200          0.10507287    0.000584738       0.10186973    0.000568057       0.10766364    0.000607754        -3.05%      2.47%
         200         205          0.10392809    0.000598061       0.10092477    0.000584799       0.10657919    0.000620817        -2.89%      2.55%
         205         210          0.10183682    0.000577859      0.098813341    0.000560840       0.10454195    0.000603038        -2.97%      2.66%
         210         215         0.095866794    0.000593802      0.093275332    0.000578932      0.098457238    0.000622783        -2.70%      2.70%
         215         220         0.089120386    0.000544858      0.086695511    0.000530842      0.091582781    0.000567110        -2.72%      2.76%
         220         225         0.086549004    0.000549815      0.084195452    0.000534329      0.089003883    0.000575520        -2.72%      2.84%
         225         230         0.079099098    0.000523563      0.077106072    0.000511561      0.081382953    0.000546526        -2.52%      2.89%
         230         235         0.075409388    0.000502950      0.073531670    0.000493398      0.077600186    0.000524823        -2.49%      2.91%
         235         240         0.069782768    0.000490970      0.068087999    0.000480107      0.071853290    0.000515149        -2.43%      2.97%
         240         245         0.066146627    0.000473443      0.064525269    0.000457430      0.068154895    0.000493774        -2.45%      3.04%
         245         250         0.061386513    0.000469359      0.059844430    0.000452345      0.063296587    0.000490975        -2.51%      3.11%
         250         255         0.057286360    0.000484481      0.055849250    0.000466433      0.059066411    0.000507414        -2.51%      3.11%
         255         260         0.053990018    0.000446390      0.052617994    0.000430338      0.055689452    0.000466771        -2.54%      3.15%
         260         265         0.050147153    0.000417828      0.048859868    0.000402666      0.051741625    0.000437076        -2.57%      3.18%
         265         270         0.046459509    0.000412799      0.045263576    0.000397379      0.047940831    0.000432385        -2.57%      3.19%
         270         275         0.044241821    0.000419394      0.043070858    0.000403505      0.045692214    0.000439553        -2.65%      3.28%
         275         280         0.041372196    0.000403657      0.040274251    0.000389362      0.042732146    0.000421765        -2.65%      3.29%
         280         285         0.039390613    0.000397323      0.038323764    0.000382740      0.040712047    0.000415791        -2.71%      3.35%
         285         290         0.036186736    0.000387815      0.035208823    0.000373272      0.037398010    0.000406245        -2.70%      3.35%
         290         295         0.034835191    0.000365864      0.033879511    0.000351690      0.036018927    0.000383839        -2.74%      3.40%
         295         300         0.032756382    0.000357867      0.031843871    0.000343705      0.033886649    0.000375825        -2.79%      3.45%
         300         305         0.030597733    0.000357184      0.029741107    0.000343519      0.031658779    0.000374488        -2.80%      3.47%
         305         310         0.029072076    0.000364140      0.028243070    0.000350416      0.030098908    0.000381488        -2.85%      3.53%
         310         315         0.027333137    0.000376581      0.026555090    0.000360646      0.028296852    0.000396779        -2.85%      3.53%
         315         320         0.025561056    0.000361238      0.024840620    0.000347566      0.026453410    0.000378524        -2.82%      3.49%
         320         325         0.024285301    0.000358499      0.023589345    0.000344437      0.025147336    0.000376282        -2.87%      3.55%
         325         330         0.023132563    0.000318900      0.022483772    0.000306084      0.023936176    0.000335148        -2.80%      3.47%
         330         335         0.021711226    0.000327116      0.021078227    0.000314052      0.022495279    0.000343638        -2.92%      3.61%
         335         340         0.020534561    0.000334059      0.019940124    0.000321502      0.021270849    0.000349910        -2.89%      3.59%
         340         345         0.019713725    0.000336986      0.019149192    0.000324353      0.020412974    0.000352940        -2.86%      3.55%
         345         350         0.018523300    0.000334392      0.017976512    0.000321918      0.019200569    0.000350114        -2.95%      3.66%
         350         355         0.017088636    0.000303405      0.016605523    0.000292577      0.017687035    0.000317063        -2.83%      3.50%
         355         360         0.016585326    0.000274304      0.016104176    0.000263272      0.017181294    0.000288267        -2.90%      3.59%
         360         365         0.015847395    0.000302818      0.015369597    0.000290020      0.016439212    0.000319000        -3.01%      3.73%
         365         370         0.014987726    0.000281247      0.014553573    0.000269968      0.015525483    0.000295516        -2.90%      3.59%
         370         375         0.014204964    0.000271089      0.013773127    0.000259776      0.014739851    0.000285388        -3.04%      3.77%
         375         380         0.013200186    0.000293631      0.012824129    0.000280514      0.013665982    0.000310258        -2.85%      3.53%
         380         385         0.012612705    0.000277496      0.012238179    0.000265484      0.013076604    0.000292696        -2.97%      3.68%
         385         390         0.012282195    0.000252458      0.011920042    0.000242580      0.012730770    0.000264940        -2.95%      3.65%
         390         395         0.011409866    0.000247045      0.011065082    0.000237070      0.011842301    0.000259207        -3.02%      3.79%
         395         400         0.011381416    0.000235968      0.011042982    0.000225059      0.011800612    0.000249800        -2.97%      3.68%
         400         405         0.010911283    0.000243918      0.010577589    0.000233677      0.011326684    0.000257598        -3.06%      3.81%
         405         410        0.0099833688    0.000247063     0.0096757136    0.000236864      0.010364440    0.000259939        -3.08%      3.82%
         410         415        0.0098375511    0.000235529     0.0095302752    0.000225373      0.010248914    0.000248203        -3.12%      4.18%
         415         420        0.0094666982    0.000233216     0.0091706273    0.000223168     0.0098402167    0.000247416        -3.13%      3.95%
         420         425        0.0087633107    0.000204339     0.0084999324    0.000195842     0.0090895397    0.000215092        -3.01%      3.72%
         425         430        0.0086457488    0.000219559     0.0083662807    0.000209616     0.0090179774    0.000232604        -3.23%      4.31%
         430         435        0.0080561952    0.000190983     0.0078096558    0.000182783     0.0083808617    0.000202271        -3.06%      4.03%
         435         440        0.0079560271    0.000197958     0.0077119563    0.000189344     0.0082728848    0.000208735        -3.07%      3.98%
         440         445        0.0074116860    0.000202391     0.0071663655    0.000192976     0.0077420587    0.000214753        -3.31%      4.46%
         445         450        0.0073377350    0.000221545     0.0070941127    0.000210947     0.0076675427    0.000235750        -3.32%      4.49%
         450         455        0.0063090014    0.000228607     0.0061129307    0.000219203     0.0065743511    0.000242435        -3.11%      4.21%
         455         460        0.0060807348    0.000257981     0.0058853828    0.000248240     0.0063445096    0.000270967        -3.21%      4.34%
         460         465        0.0057675831    0.000202992     0.0055729078    0.000193855     0.0060304348    0.000215104        -3.38%      4.56%
         465         470        0.0055728111    0.000216792     0.0053854844    0.000207395     0.0058252131    0.000229300        -3.36%      4.53%
         470         475        0.0058492172    0.000224085     0.0056339104    0.000212075     0.0061346432    0.000239473        -3.68%      4.88%
         475         480        0.0054757608    0.000182790     0.0053014783    0.000174589     0.0057093310    0.000194121        -3.18%      4.27%
         480         485        0.0051982361    0.000200728     0.0050131916    0.000189986     0.0054468046    0.000214993        -3.56%      4.78%
         485         490        0.0049002970    0.000188660     0.0047304879    0.000179512     0.0051272687    0.000200561        -3.47%      4.63%
         490         495        0.0049704823    0.000185926     0.0047904865    0.000176972     0.0052116331    0.000197784        -3.62%      4.85%
         495         500        0.0044467839    0.000162171     0.0042744830    0.000153456     0.0046771406    0.000173507        -3.87%      5.18%
