#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5                   0              0                0              0                0              0            0%         0%
           5          10       1.3605454e-05    4.35515e-06    1.1853062e-05    3.75995e-06    1.5195306e-05    4.86475e-06       -12.88%     11.69%
          10          15       0.00014278625    1.84670e-05    0.00012625137    1.59198e-05    0.00015936724    2.06252e-05       -11.58%     11.61%
          15          20       0.00031296897    1.68000e-05    0.00027943849    1.49560e-05    0.00034847265    1.87216e-05       -10.71%     11.34%
          20          25       0.00053491389    2.99715e-05    0.00047806612    2.65346e-05    0.00059638536    3.34634e-05       -10.63%     11.49%
          25          30       0.00082898889    3.64020e-05    0.00073514148    3.15589e-05    0.00092357295    4.06321e-05       -11.32%     11.41%
          30          35        0.0019753655    0.000153869     0.0017520614    0.000126245     0.0021638429    0.000188645       -11.30%      9.54%
          35          40        0.0040934906    0.000329042     0.0037108420    0.000259720     0.0043784423    0.000415993        -9.35%      6.96%
          40          45        0.0064137459    0.000414606     0.0058930527    0.000367127     0.0067727405    0.000442320        -8.12%      5.60%
          45          50        0.0096617885    0.000280210     0.0088220925    0.000241613      0.010275970    0.000321025        -8.69%      6.36%
          50          55         0.011823712    0.000380564      0.010953875    0.000340673      0.012398974    0.000417477        -7.36%      4.87%
          55          60         0.012905612    0.000386198      0.012031328    0.000340800      0.013468875    0.000432093        -6.77%      4.36%
          60          65         0.014880959    0.000364120      0.013947218    0.000322712      0.015463426    0.000406269        -6.27%      3.91%
          65          70         0.017639785    0.000382467      0.016453390    0.000346913      0.018443080    0.000417526        -6.73%      4.55%
          70          75         0.022371993    0.000565405      0.021074460    0.000507646      0.023178564    0.000620219        -5.80%      3.61%
          75          80         0.034095101    0.000528451      0.032156760    0.000491864      0.035327997    0.000562617        -5.69%      3.62%
          80          85         0.070342358    0.000746570      0.066774332    0.000696113      0.072456018    0.000799240        -5.07%      3.00%
          85          90          0.36856753     0.00201157       0.34956930     0.00186675       0.38022070     0.00214517        -5.15%      3.16%
          90          95           1.0310099     0.00304572       0.97931047     0.00283712        1.0627605     0.00324033        -5.01%      3.08%
          95         100          0.11075038    0.000833107       0.10538433    0.000778167       0.11404426    0.000883955        -4.85%      2.97%
         100         105         0.042352438    0.000374659      0.040420792    0.000348332      0.043526889    0.000405409        -4.56%      2.77%
         105         110         0.034256631    0.000424439      0.032707221    0.000398089      0.035217418    0.000450427        -4.52%      2.80%
         110         115         0.042549522    0.000412807      0.040704009    0.000386687      0.043698403    0.000439366        -4.34%      2.70%
         115         120         0.049566460    0.000459074      0.047451366    0.000429257      0.050895024    0.000488487        -4.27%      2.68%
         120         125         0.050142603    0.000448537      0.047984722    0.000423305      0.051542003    0.000473814        -4.30%      2.79%
         125         130         0.049578185    0.000439765      0.047446364    0.000414178      0.050978904    0.000464719        -4.30%      2.83%
         130         135         0.047602578    0.000528198      0.045630848    0.000493439      0.048908132    0.000559922        -4.14%      2.74%
         135         140         0.043909309    0.000425056      0.042184613    0.000399660      0.045061711    0.000450831        -3.93%      2.62%
         140         145         0.040687867    0.000387106      0.039073102    0.000364532      0.041832674    0.000412336        -3.97%      2.81%
         145         150         0.038706836    0.000390179      0.037184724    0.000369443      0.039864250    0.000413567        -3.93%      2.99%
         150         155         0.035597141    0.000356806      0.034285352    0.000341495      0.036657754    0.000374972        -3.69%      2.98%
         155         160         0.034596181    0.000421914      0.033335627    0.000402919      0.035698023    0.000446333        -3.64%      3.18%
         160         165         0.032265930    0.000364304      0.031154349    0.000350454      0.033293344    0.000384998        -3.45%      3.18%
         165         170         0.032727403    0.000371228      0.031598963    0.000361642      0.033749059    0.000392893        -3.45%      3.12%
         170         175         0.033898818    0.000356267      0.032733740    0.000340688      0.034974892    0.000375567        -3.44%      3.17%
         175         180         0.038755585    0.000371436      0.037514965    0.000361393      0.039921935    0.000389125        -3.20%      3.01%
         180         185         0.059490361    0.000443941      0.057617500    0.000428398      0.061046885    0.000469368        -3.15%      2.62%
         185         190         0.089321264    0.000548898      0.086519201    0.000530077      0.091506571    0.000574180        -3.14%      2.45%
         190         195          0.10297007    0.000580206      0.099794405    0.000561012       0.10546402    0.000604857        -3.08%      2.42%
         195         200          0.10509865    0.000583416       0.10188118    0.000566332       0.10769243    0.000606331        -3.06%      2.47%
         200         205          0.10389535    0.000591217       0.10086675    0.000577037       0.10654262    0.000613334        -2.92%      2.55%
         205         210          0.10182715    0.000577237      0.098783954    0.000560136       0.10453115    0.000602361        -2.99%      2.66%
         210         215         0.095885266    0.000593067      0.093278835    0.000577955      0.098477872    0.000622006        -2.72%      2.70%
         215         220         0.089126375    0.000544290      0.086684359    0.000530155      0.091589470    0.000566498        -2.74%      2.76%
         220         225         0.086515314    0.000546421      0.084141536    0.000530698      0.088966251    0.000571822        -2.74%      2.83%
         225         230         0.079114225    0.000522978      0.077105885    0.000510900      0.081399850    0.000545903        -2.54%      2.89%
         230         235         0.075413195    0.000502727      0.073519476    0.000493083      0.077604439    0.000524587        -2.51%      2.91%
         235         240         0.069766901    0.000490421      0.068055764    0.000479427      0.071835567    0.000514547        -2.45%      2.97%
         240         245         0.066149781    0.000473102      0.064528124    0.000457110      0.068158418    0.000493408        -2.45%      3.04%
         245         250         0.061381465    0.000469136      0.059839858    0.000452137      0.063290948    0.000490735        -2.51%      3.11%
         250         255         0.057264399    0.000483559      0.055829364    0.000465585      0.059041880    0.000506402        -2.51%      3.10%
         255         260         0.053972031    0.000445734      0.052601706    0.000429736      0.055669360    0.000466052        -2.54%      3.14%
         260         265         0.050144245    0.000417726      0.048857235    0.000402570      0.051738377    0.000436968        -2.57%      3.18%
         265         270         0.046450601    0.000412090      0.045255509    0.000396723      0.047930880    0.000431614        -2.57%      3.19%
         270         275         0.044226498    0.000419180      0.043056982    0.000403310      0.045675097    0.000439315        -2.64%      3.28%
         275         280         0.041373276    0.000403527      0.040275229    0.000389238      0.042733353    0.000421629        -2.65%      3.29%
         280         285         0.039391983    0.000396820      0.038325004    0.000382270      0.040713577    0.000415250        -2.71%      3.35%
         285         290         0.036171188    0.000387743      0.035194744    0.000373210      0.037380643    0.000406160        -2.70%      3.34%
         290         295         0.034823817    0.000365651      0.033869212    0.000351496      0.036006223    0.000383603        -2.74%      3.40%
         295         300         0.032754152    0.000357284      0.031841851    0.000343161      0.033884157    0.000375195        -2.79%      3.45%
         300         305         0.030579188    0.000356841      0.029724313    0.000343207      0.031638063    0.000374105        -2.80%      3.46%
         305         310         0.029063469    0.000364220      0.028235277    0.000350491      0.030089295    0.000381574        -2.85%      3.53%
         310         315         0.027330292    0.000376628      0.026552514    0.000360687      0.028293674    0.000396832        -2.85%      3.52%
         315         320         0.025541275    0.000361259      0.024822708    0.000347593      0.026431315    0.000378536        -2.81%      3.48%
         320         325         0.024284380    0.000358707      0.023588510    0.000344626      0.025146307    0.000376514        -2.87%      3.55%
         325         330         0.023137599    0.000318790      0.022488333    0.000305974      0.023941802    0.000335039        -2.81%      3.48%
         330         335         0.021708187    0.000327146      0.021075475    0.000314079      0.022491885    0.000343673        -2.91%      3.61%
         335         340         0.020537461    0.000333102      0.019942750    0.000320611      0.021274089    0.000348877        -2.90%      3.59%
         340         345         0.019703675    0.000337034      0.019140091    0.000324400      0.020401748    0.000352990        -2.86%      3.54%
         345         350         0.018509164    0.000330543      0.017963712    0.000318366      0.019184779    0.000345911        -2.95%      3.65%
         350         355         0.017087566    0.000303356      0.016604555    0.000292528      0.017685840    0.000317014        -2.83%      3.50%
         355         360         0.016585662    0.000274381      0.016104481    0.000263340      0.017181669    0.000288356        -2.90%      3.59%
         360         365         0.015846893    0.000302832      0.015369142    0.000290030      0.016438651    0.000319020        -3.01%      3.73%
         365         370         0.015006686    0.000273998      0.014570741    0.000263228      0.015546661    0.000287673        -2.91%      3.60%
         370         375         0.014204445    0.000270589      0.013772657    0.000259309      0.014739271    0.000284851        -3.04%      3.77%
         375         380         0.013193441    0.000293687      0.012818022    0.000280573      0.013658448    0.000310309        -2.85%      3.52%
         380         385         0.012602555    0.000277531      0.012228988    0.000265526      0.013065268    0.000292723        -2.96%      3.67%
         385         390         0.012276962    0.000252538      0.011915303    0.000242657      0.012724925    0.000265026        -2.95%      3.65%
         390         395         0.011421280    0.000245164      0.011075418    0.000235312      0.011851080    0.000257189        -3.03%      3.76%
         395         400         0.011376174    0.000235947      0.011038236    0.000225045      0.011794756    0.000249772        -2.97%      3.68%
         400         405         0.010916833    0.000243686      0.010582614    0.000233452      0.011330807    0.000256625        -3.06%      3.79%
         405         410        0.0099603175    0.000245092     0.0096548400    0.000235058      0.010338692    0.000257769        -3.07%      3.80%
         410         415        0.0098472458    0.000233862     0.0095390541    0.000223809      0.010255152    0.000246707        -3.13%      4.14%
         415         420        0.0094667370    0.000233006     0.0091706625    0.000222969     0.0098368902    0.000247173        -3.13%      3.91%
         420         425        0.0087600928    0.000204307     0.0084970184    0.000195813     0.0090859452    0.000215056        -3.00%      3.72%
         425         430        0.0086440984    0.000219715     0.0083667412    0.000209808     0.0090135070    0.000232715        -3.21%      4.27%
         430         435        0.0080599725    0.000191087     0.0078130763    0.000182872     0.0083819010    0.000202333        -3.06%      3.99%
         435         440        0.0079520417    0.000198022     0.0077083474    0.000189406     0.0082646420    0.000208726        -3.06%      3.93%
         440         445        0.0074101984    0.000202492     0.0071671566    0.000193121     0.0077375036    0.000214794        -3.28%      4.42%
         445         450        0.0073344312    0.000221769     0.0070931485    0.000211196     0.0076609671    0.000235940        -3.29%      4.45%
         450         455        0.0063035913    0.000228721     0.0061080317    0.000219314     0.0065655794    0.000242500        -3.10%      4.16%
         455         460        0.0060738609    0.000258255     0.0058809793    0.000248549     0.0063343268    0.000271203        -3.18%      4.29%
         460         465        0.0057657082    0.000202961     0.0055727049    0.000193864     0.0060263669    0.000215010        -3.35%      4.52%
         465         470        0.0055757974    0.000217048     0.0053899698    0.000207672     0.0058262952    0.000229528        -3.33%      4.49%
         470         475        0.0058379326    0.000223766     0.0056257702    0.000211853     0.0061191369    0.000239033        -3.63%      4.82%
         475         480        0.0054707011    0.000182870     0.0052968967    0.000174670     0.0057004845    0.000194090        -3.18%      4.20%
         480         485        0.0051963729    0.000200895     0.0050132322    0.000190196     0.0054424958    0.000215107        -3.52%      4.74%
         485         490        0.0048965282    0.000188902     0.0047284541    0.000179784     0.0051211835    0.000200769        -3.43%      4.59%
         490         495        0.0049627498    0.000185886     0.0047845900    0.000176963     0.0052014133    0.000197706        -3.59%      4.81%
         495         500        0.0044423162    0.000162221     0.0042715880    0.000153544     0.0046705533    0.000173509        -3.84%      5.14%
