#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5         0.027471852    0.000288635      0.024756625    0.000259960      0.029889637    0.000315569        -9.88%      8.80%
           5          10         0.070376908    0.000475298      0.063269958    0.000424790      0.076724925    0.000522081       -10.10%      9.02%
          10          15          0.11825541    0.000605474       0.10545790    0.000538625       0.12982231    0.000668320       -10.82%      9.78%
          15          20          0.21896135    0.000928590       0.19274918    0.000815591       0.24303588     0.00103465       -11.97%     10.99%
          20          25          0.34368437     0.00114704       0.30112448     0.00100729       0.38290507     0.00127694       -12.38%     11.41%
          25          30          0.50039136     0.00123004       0.43717828     0.00107898       0.55875246     0.00137143       -12.63%     11.66%
          30          35          0.53194584     0.00125069       0.46535718     0.00110140       0.59332418     0.00138952       -12.52%     11.54%
          35          40          0.34623003    0.000987568       0.30643570    0.000876565       0.38243192     0.00109023       -11.49%     10.46%
          40          45          0.21339784    0.000606512       0.19254736    0.000556643       0.23184159    0.000650920        -9.77%      8.64%
          45          50          0.16772079    0.000541799       0.15296284    0.000502458       0.18051587    0.000575916        -8.80%      7.63%
          50          55          0.13915498    0.000475914       0.12784674    0.000445237       0.14881695    0.000502016        -8.13%      6.94%
          55          60          0.12416175    0.000430233       0.11460141    0.000404271       0.13224530    0.000452094        -7.70%      6.51%
          60          65          0.11494706    0.000411364       0.10637311    0.000386373       0.12214677    0.000432351        -7.46%      6.26%
          65          70          0.10778658    0.000398218      0.099920281    0.000373569       0.11436760    0.000419017        -7.30%      6.11%
          70          75          0.10217050    0.000389912      0.094795759    0.000367683       0.10832535    0.000408613        -7.22%      6.02%
          75          80         0.094227273    0.000377649      0.087519529    0.000355391      0.099812776    0.000396242        -7.12%      5.93%
          80          85         0.083443832    0.000344562      0.077595125    0.000323670      0.088301355    0.000362110        -7.01%      5.82%
          85          90         0.068175508    0.000312301      0.063525513    0.000294183      0.072021266    0.000327429        -6.82%      5.64%
          90          95         0.043875533    0.000260000      0.041080931    0.000246023      0.046160181    0.000271564        -6.37%      5.21%
          95         100         0.028490333    0.000214274      0.026856311    0.000205771      0.029802099    0.000221196        -5.74%      4.60%
         100         105         0.019897167    0.000171697      0.018837249    0.000164104      0.020735146    0.000177715        -5.33%      4.21%
         105         110         0.014768708    0.000157269      0.014035003    0.000152804      0.015339931    0.000160674        -4.97%      3.87%
         110         115         0.011557167    0.000135341      0.011031774    0.000131277      0.011959996    0.000138366        -4.55%      3.49%
         115         120        0.0088372035    0.000124872     0.0084656008    0.000121844     0.0091170044    0.000126941        -4.20%      3.17%
         120         125        0.0068328238    0.000124186     0.0065653317    0.000122149     0.0070309221    0.000125408        -3.91%      2.90%
         125         130        0.0057301387    0.000119479     0.0055426172    0.000118626     0.0058626506    0.000119708        -3.27%      2.31%
         130         135        0.0048855091    9.62791e-05     0.0047411901    9.41805e-05     0.0049842968    9.77287e-05        -2.95%      2.02%
         135         140        0.0040747522    8.45751e-05     0.0039629485    8.31757e-05     0.0041491607    8.53513e-05        -2.74%      1.83%
         140         145        0.0033191008    8.92199e-05     0.0032346093    8.76642e-05     0.0033736060    9.01205e-05        -2.55%      1.64%
         145         150        0.0028008296    8.83871e-05     0.0027363786    8.98433e-05     0.0028405137    8.68179e-05        -2.30%      1.42%
         150         155        0.0023676674    7.84418e-05     0.0023193194    7.86915e-05     0.0023960534    7.78299e-05        -2.04%      1.20%
         155         160        0.0020315806    7.63065e-05     0.0019939639    7.60493e-05     0.0020524542    7.61414e-05        -1.85%      1.03%
         160         165        0.0018342708    7.26030e-05     0.0018017649    7.26746e-05     0.0018519261    7.21037e-05        -1.77%      0.96%
         165         170        0.0015711241    6.17335e-05     0.0015526193    6.20923e-05     0.0015775728    6.11005e-05        -1.18%      0.41%
         170         175        0.0012292043    8.13632e-05     0.0012148064    8.19010e-05     0.0012344966    8.03587e-05        -1.17%      0.43%
         175         180        0.0012096441    5.41780e-05     0.0011983921    5.48657e-05     0.0012123100    5.32717e-05        -0.93%      0.22%
         180         185        0.0011608123    5.94550e-05     0.0011550805    5.95681e-05     0.0011608123    5.94550e-05        -0.49%   0.00000%
         185         190       0.00086956257    6.29097e-05    0.00086504945    6.39730e-05    0.00086956257    6.29097e-05        -0.52%   0.00000%
         190         195       0.00086093384    4.37869e-05    0.00085656855    4.27814e-05    0.00086093384    4.37869e-05        -0.51%   0.00000%
         195         200       0.00074467810    4.39579e-05    0.00073979059    4.29637e-05    0.00074512735    4.48111e-05        -0.66%      0.06%
         200         205       0.00064090678    4.70995e-05    0.00063575354    4.68316e-05    0.00064263914    4.70821e-05        -0.80%      0.27%
         205         210       0.00062062648    3.78373e-05    0.00061427411    3.70650e-05    0.00062378399    3.84848e-05        -1.02%      0.51%
         210         215       0.00052793749    2.55394e-05    0.00052127107    2.50832e-05    0.00053214779    2.59115e-05        -1.26%      0.80%
         215         220       0.00046796342    4.14441e-05    0.00046204259    3.99499e-05    0.00047163057    4.29027e-05        -1.27%      0.78%
         220         225       0.00044383682    3.24777e-05    0.00043712320    3.15474e-05    0.00044863886    3.33710e-05        -1.51%      1.08%
         225         230       0.00044452642    2.34873e-05    0.00043717821    2.29595e-05    0.00045005288    2.39641e-05        -1.65%      1.24%
         230         235       0.00042650330    2.59713e-05    0.00041867207    2.51576e-05    0.00043265755    2.67705e-05        -1.84%      1.44%
         235         240       0.00037803965    2.30419e-05    0.00037083508    2.22259e-05    0.00038389924    2.38645e-05        -1.91%      1.55%
         240         245       0.00026634737    3.40143e-05    0.00026127382    3.30698e-05    0.00027048432    3.48904e-05        -1.90%      1.55%
         245         250       0.00027642982    2.63083e-05    0.00027019578    2.51563e-05    0.00028180607    2.75110e-05        -2.26%      1.94%
         250         255       0.00025002279    2.25543e-05    0.00024485663    2.20302e-05    0.00025427059    2.30291e-05        -2.07%      1.70%
         255         260       0.00025896729    1.68915e-05    0.00025300089    1.63561e-05    0.00026416781    1.74041e-05        -2.30%      2.01%
         260         265       0.00019797536    1.78197e-05    0.00019319576    1.71544e-05    0.00020220809    1.84988e-05        -2.41%      2.14%
         265         270       0.00014930871    2.30305e-05    0.00014614629    2.23502e-05    0.00015206882    2.36916e-05        -2.12%      1.85%
         270         275       0.00017034760    1.63661e-05    0.00016625910    1.58247e-05    0.00017399363    1.69188e-05        -2.40%      2.14%
         275         280       0.00016436776    1.72648e-05    0.00016062276    1.64853e-05    0.00016770577    1.80682e-05        -2.28%      2.03%
         280         285       0.00020452872    2.31466e-05    0.00019853215    2.23897e-05    0.00021024801    2.39082e-05        -2.93%      2.80%
         285         290       0.00013853183    1.66840e-05    0.00013469682    1.59942e-05    0.00014208388    1.74047e-05        -2.77%      2.56%
         290         295       0.00012422999    3.70568e-05    0.00012091201    3.52800e-05    0.00012738240    3.88446e-05        -2.67%      2.54%
         295         300       9.3766243e-05    2.22520e-05    9.0893360e-05    2.11985e-05    9.6509165e-05    2.33674e-05        -3.06%      2.93%
         300         305       0.00010326170    1.93371e-05    0.00010002437    1.84768e-05    0.00010642240    2.02220e-05        -3.14%      3.06%
         305         310       0.00012186288    2.28134e-05    0.00011821639    2.13688e-05    0.00012512689    2.44828e-05        -2.99%      2.68%
         310         315       0.00011266570    1.37016e-05    0.00010883702    1.31779e-05    0.00011642926    1.42236e-05        -3.40%      3.34%
         315         320       0.00010926456    1.94370e-05    0.00010517939    1.84832e-05    0.00011337424    2.04464e-05        -3.74%      3.76%
         320         325       0.00012889254    2.73859e-05    0.00012258263    2.50890e-05    0.00013558456    3.00505e-05        -4.90%      5.19%
         325         330       7.0809321e-05    3.25042e-05    6.9429440e-05    2.96137e-05    7.1807882e-05    3.58761e-05        -1.95%      1.41%
         330         335       9.4984817e-05    1.10367e-05    9.0471938e-05    1.04786e-05    9.9760409e-05    1.16525e-05        -4.75%      5.03%
         335         340       5.3987798e-05    3.41128e-05    5.2088687e-05    3.21400e-05    5.5854990e-05    3.62696e-05        -3.52%      3.46%
         340         345       8.1393631e-05    1.44188e-05    7.7883467e-05    1.37084e-05    8.5004562e-05    1.51728e-05        -4.31%      4.44%
         345         350       4.6266970e-05    1.93202e-05    4.4212925e-05    1.87040e-05    4.8365664e-05    1.99218e-05        -4.44%      4.54%
         350         355       5.5661823e-05    1.14282e-05    5.2803829e-05    1.09211e-05    5.8721142e-05    1.19665e-05        -5.13%      5.50%
         355         360       7.2254723e-05    1.54673e-05    6.8695799e-05    1.47888e-05    7.6036167e-05    1.61690e-05        -4.93%      5.23%
         360         365       4.2459855e-05    1.96717e-05    4.0324289e-05    1.88264e-05    4.4715208e-05    2.05443e-05        -5.03%      5.31%
         365         370       5.7176161e-05    7.47472e-06    5.4278126e-05    7.09695e-06    6.0277845e-05    7.88308e-06        -5.07%      5.42%
         370         375       5.3968843e-05    8.33513e-06    5.1353214e-05    7.95077e-06    5.6782842e-05    8.73685e-06        -4.85%      5.21%
         375         380       6.9982510e-05    2.83437e-05    6.5824723e-05    2.61048e-05    7.4515762e-05    3.08465e-05        -5.94%      6.48%
         380         385       3.9315164e-05    9.05821e-06    3.7180419e-05    8.27544e-06    4.1704647e-05    1.00131e-05        -5.43%      6.08%
         385         390       2.2839803e-05    1.77194e-05    2.1810985e-05    1.65163e-05    2.3913505e-05    1.90675e-05        -4.50%      4.70%
         390         395       4.8200290e-05    6.12806e-06    4.5707436e-05    5.71968e-06    5.0869684e-05    6.58629e-06        -5.17%      5.54%
         395         400       3.1712070e-05    8.32087e-06    3.0206152e-05    7.79427e-06    3.3320644e-05    8.89334e-06        -4.75%      5.07%
         400         405      -2.6026609e-06    3.23300e-05   -2.9679633e-06    3.42978e-05   -2.2850891e-06    3.05137e-05        14.04%    -12.20%
