#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10          0.18532729    0.000355516       0.16444797    0.000308326       0.20460539    0.000401935       -11.27%     10.40%
          10          20          0.51631467    0.000709837       0.45435597    0.000620507       0.57395796    0.000795134       -12.00%     11.16%
          20          30          0.47164654    0.000520538       0.41796530    0.000460294       0.52119931    0.000577519       -11.38%     10.51%
          30          40          0.17980653    0.000256851       0.16602107    0.000239592       0.19169618    0.000271943        -7.67%      6.61%
          40          50          0.13134940    0.000221302       0.12257277    0.000208524       0.13872121    0.000232184        -6.68%      5.61%
          50          60          0.10012846    0.000192334      0.093829748    0.000181817       0.10536411    0.000201241        -6.29%      5.23%
          60          70         0.075480861    0.000163575      0.070908635    0.000155205      0.079259437    0.000170638        -6.06%      5.01%
          70          80         0.050077168    0.000123592      0.047171830    0.000117204      0.052463562    0.000128993        -5.80%      4.77%
          80          90         0.024143485    9.35756e-05      0.022891322    9.08163e-05      0.025155504    9.62131e-05        -5.19%      4.19%
          90         100        0.0055595115    3.64495e-05     0.0054197900    3.63648e-05     0.0056543208    3.63727e-05        -2.51%      1.71%
         100         110        0.0025298872    2.13709e-05     0.0025082987    2.17643e-05     0.0025352713    2.09567e-05        -0.85%      0.21%
         110         120        0.0015873181    2.08048e-05     0.0015792017    2.02055e-05     0.0015873181    2.08048e-05        -0.51%   0.00000%
         120         130        0.0010199480    1.49957e-05     0.0010072691    1.45133e-05     0.0010282334    1.54858e-05        -1.24%      0.81%
         130         140       0.00071926973    2.52658e-05    0.00070278101    2.27108e-05    0.00073432546    2.83754e-05        -2.29%      2.09%
         140         150       0.00049554186    1.10778e-05    0.00048275156    1.04319e-05    0.00050750385    1.18013e-05        -2.58%      2.41%
         150         160       0.00035049368    7.28659e-06    0.00034095672    6.92897e-06    0.00035946753    7.67804e-06        -2.72%      2.56%
         160         170       0.00025795898    6.00371e-06    0.00024997725    5.71340e-06    0.00026568999    6.31729e-06        -3.09%      3.00%
         170         180       0.00021220398    7.07036e-06    0.00020403819    6.53310e-06    0.00022059479    7.70773e-06        -3.85%      3.95%
         180         190       0.00017082106    7.34691e-06    0.00016364016    6.83648e-06    0.00017828214    7.94432e-06        -4.20%      4.37%
         190         200       0.00010646379    3.19467e-06    0.00010222317    3.01570e-06    0.00011080869    3.39182e-06        -3.98%      4.08%
         200         210       9.5179439e-05    3.30170e-06    9.0882202e-05    3.10321e-06    9.9699545e-05    3.52428e-06        -4.51%      4.75%
         210         220       7.5727930e-05    3.36820e-06    7.2112489e-05    3.14457e-06    7.9582534e-05    3.62375e-06        -4.77%      5.09%
         220         230       6.3160255e-05    3.15047e-06    6.0078319e-05    2.97338e-06    6.6430359e-05    3.34290e-06        -4.88%      5.18%
         230         240       4.7290430e-05    2.53831e-06    4.4923518e-05    2.38850e-06    4.9815976e-05    2.70296e-06        -5.01%      5.34%
         240         250       4.7940103e-05    4.43200e-06    4.5128538e-05    4.10212e-06    5.1019904e-05    4.80703e-06        -5.86%      6.42%
         250         260       3.6889599e-05    3.68446e-06    3.4662202e-05    3.40224e-06    3.9337385e-05    4.00462e-06        -6.04%      6.64%
         260         270       2.7128028e-05    1.56915e-06    2.5515043e-05    1.45854e-06    2.8906688e-05    1.69523e-06        -5.95%      6.56%
         270         280       1.6799813e-05    9.14166e-07    1.5851590e-05    8.55606e-07    1.7834329e-05    9.79849e-07        -5.64%      6.16%
