#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           2         0.057330597     0.00181232      0.049349373     0.00159007      0.064909432     0.00201945       -13.92%     13.22%
           2           4          0.77696889     0.00276439       0.67061790     0.00243304       0.87762840     0.00307530       -13.69%     12.96%
           4           6          0.60357875     0.00159450       0.52277027     0.00138870       0.67983151     0.00178906       -13.39%     12.63%
           6           8          0.43764510     0.00122291       0.37986596     0.00106605       0.49206633     0.00137129       -13.20%     12.44%
           8          10          0.33629506     0.00104881       0.29231370    0.000913513       0.37767763     0.00117696       -13.08%     12.31%
          10          12          0.27792727    0.000868914       0.24178575    0.000756722       0.31191639    0.000975618       -13.00%     12.23%
          12          14          0.24105184    0.000778842       0.20984467    0.000679211       0.27038554    0.000873631       -12.95%     12.17%
          14          16          0.23314532     0.00462858       0.20278728     0.00401458       0.26171966     0.00520475       -13.02%     12.26%
          16          18          0.21183848     0.00464198       0.18406916     0.00402554       0.23802887     0.00522066       -13.11%     12.36%
          18          20          0.20374838    0.000760756       0.17708479    0.000659958       0.22888149    0.000857389       -13.09%     12.34%
          20          22          0.18563820    0.000684896       0.16146660    0.000595564       0.20839909    0.000769875       -13.02%     12.26%
          22          24          0.16836303    0.000659464       0.14654628    0.000583690       0.18889159    0.000732139       -12.96%     12.19%
          24          26          0.14695726    0.000661746       0.12815602    0.000576744       0.16461219    0.000742670       -12.79%     12.01%
          26          28          0.13067495    0.000542462       0.11413774    0.000474164       0.14617707    0.000607286       -12.66%     11.86%
          28          30          0.11463769    0.000533080       0.10028662    0.000471653       0.12807307    0.000591037       -12.52%     11.72%
          30          32         0.098991401    0.000472757      0.086763009    0.000413790       0.11041481    0.000528430       -12.35%     11.54%
          32          34         0.086388077    0.000405402      0.075905568    0.000358379      0.096154790    0.000449691       -12.13%     11.31%
          34          36         0.074073084    0.000403954      0.065225353    0.000354871      0.082300588    0.000451209       -11.94%     11.11%
          36          38         0.062641384    0.000328239      0.055368289    0.000290890      0.069373891    0.000363110       -11.61%     10.75%
          38          40         0.051543048    0.000275769      0.045800910    0.000245604      0.056828175    0.000303871       -11.14%     10.25%
          40          42         0.042470001    0.000241263      0.037978242    0.000217540      0.046567366    0.000262943       -10.58%      9.65%
          42          44         0.032687556    0.000239702      0.029509137    0.000217942      0.035547242    0.000259331        -9.72%      8.75%
          44          46         0.027106102    0.000165911      0.024684494    0.000152546      0.029250112    0.000177724        -8.93%      7.91%
          46          48         0.024161315    0.000151750      0.022091992    0.000140307      0.025978416    0.000161742        -8.56%      7.52%
          48          50         0.023496690    0.000147790      0.021550007    0.000136834      0.025196560    0.000157337        -8.28%      7.23%
          50          52         0.022268427    0.000149988      0.020465051    0.000138982      0.023836828    0.000159561        -8.10%      7.04%
          52          54         0.021856577    0.000158981      0.020110785    0.000148040      0.023370434    0.000168464        -7.99%      6.93%
          54          56         0.021745231    0.000154230      0.020036480    0.000143915      0.023222999    0.000163089        -7.86%      6.80%
          56          58         0.021918538    0.000165736      0.020221455    0.000154119      0.023382049    0.000175945        -7.74%      6.68%
          58          60         0.021674533    0.000174260      0.020034479    0.000162510      0.023083420    0.000184364        -7.57%      6.50%
          60          62         0.021848819    0.000224609      0.020201706    0.000207664      0.023263144    0.000239528        -7.54%      6.47%
          62          64         0.023259532    0.000182524      0.021536273    0.000170718      0.024734428    0.000192771        -7.41%      6.34%
          64          66         0.023831194    0.000192768      0.022064784    0.000179552      0.025342332    0.000204224        -7.41%      6.34%
          66          68         0.026372332    0.000222210      0.024438227    0.000206447      0.028022660    0.000235825        -7.33%      6.26%
          68          70         0.028458966    0.000212076      0.026380645    0.000198687      0.030232311    0.000223606        -7.30%      6.23%
          70          72         0.031602831    0.000243662      0.029345530    0.000229613      0.033521361    0.000255730        -7.14%      6.07%
          72          74         0.035101494    0.000256482      0.032606316    0.000240361      0.037220883    0.000270348        -7.11%      6.04%
          74          76         0.040230812    0.000268852      0.037370520    0.000251857      0.042659118    0.000283509        -7.11%      6.04%
          76          78         0.048610804    0.000334327      0.045187925    0.000315159      0.051512872    0.000350796        -7.04%      5.97%
          78          80         0.059574790    0.000355369      0.055378198    0.000332124      0.063131823    0.000375581        -7.04%      5.97%
          80          82         0.076693344    0.000422836      0.071382661    0.000396883      0.081183411    0.000445141        -6.92%      5.85%
          82          84          0.10716467    0.000547960      0.099742873    0.000514558       0.11343922    0.000576938        -6.93%      5.86%
          84          86          0.16345556    0.000724004       0.15224409    0.000677921       0.17291943    0.000763731        -6.86%      5.79%
          86          88          0.28300320     0.00101339       0.26361765    0.000953385       0.29936954     0.00106512        -6.85%      5.78%
          88          90          0.60676415     0.00160010       0.56604778     0.00150777       0.64103713     0.00167862        -6.71%      5.65%
          90          92          0.56749007     0.00176895       0.52948067     0.00166813       0.59949186     0.00185473        -6.70%      5.64%
          92          94          0.61459069     0.00177109       0.57386820     0.00167871       0.64881102     0.00184918        -6.63%      5.57%
          94          96          0.25787461     0.00107245       0.24096449     0.00101883       0.27205336     0.00111831        -6.56%      5.50%
          96          98          0.13271566    0.000755928       0.12422269    0.000717653       0.13981560    0.000787706        -6.40%      5.35%
          98         100         0.080965851    0.000533765      0.075829132    0.000511401      0.085252888    0.000552169        -6.34%      5.29%
         100         102         0.055161485    0.000393724      0.051694037    0.000376090      0.058048190    0.000408125        -6.29%      5.23%
         102         104         0.040513829    0.000340677      0.037973897    0.000325654      0.042628027    0.000353035        -6.27%      5.22%
         104         106         0.031722215    0.000305879      0.029820279    0.000294628      0.033296584    0.000315177        -6.00%      4.96%
         106         108         0.025379326    0.000279962      0.023818714    0.000271493      0.026673137    0.000286423        -6.15%      5.10%
         108         110         0.020390048    0.000242844      0.019134450    0.000237470      0.021429791    0.000247149        -6.16%      5.10%
         110         112         0.017472469    0.000205265      0.016443037    0.000199155      0.018320860    0.000209966        -5.89%      4.86%
         112         114         0.014793677    0.000164588      0.013900099    0.000158512      0.015532498    0.000169416        -6.04%      4.99%
         114         116         0.013567658    0.000170232      0.012780811    0.000163516      0.014214154    0.000175505        -5.80%      4.76%
         116         118         0.011749966    0.000147262      0.011062249    0.000143113      0.012315892    0.000150454        -5.85%      4.82%
         118         120         0.010809147    0.000148548      0.010217371    0.000145703      0.011292015    0.000150630        -5.47%      4.47%
         120         122         0.010200614    0.000156765     0.0096487352    0.000152302      0.010649196    0.000159947        -5.41%      4.40%
         122         124        0.0084150244    0.000227996     0.0079247996    0.000221047     0.0088171644    0.000232948        -5.83%      4.78%
         124         126        0.0079868273    0.000103608     0.0075490464    9.93992e-05     0.0083427837    0.000106932        -5.48%      4.46%
         126         128        0.0077800439    0.000116507     0.0073602432    0.000111549     0.0081206433    0.000120559        -5.40%      4.38%
         128         130        0.0071908310    9.22928e-05     0.0068053363    8.90950e-05     0.0075032688    9.47783e-05        -5.36%      4.34%
         130         132        0.0062374913    9.33809e-05     0.0059007467    8.93237e-05     0.0065105111    9.67710e-05        -5.40%      4.38%
         132         134        0.0060602229    8.92441e-05     0.0057426888    8.58015e-05     0.0063168047    9.19953e-05        -5.24%      4.23%
         134         136        0.0057944834    8.83870e-05     0.0054888895    8.58161e-05     0.0060406868    9.04180e-05        -5.27%      4.25%
         136         138        0.0055056137    8.35112e-05     0.0052212680    8.07025e-05     0.0057343802    8.56365e-05        -5.16%      4.16%
         138         140        0.0051017591    8.90260e-05     0.0048453147    8.78502e-05     0.0053075672    8.99287e-05        -5.03%      4.03%
         140         142        0.0048906937    8.22342e-05     0.0046386988    7.94961e-05     0.0050931856    8.42955e-05        -5.15%      4.14%
         142         144        0.0047366935    7.07727e-05     0.0045031352    6.78652e-05     0.0049227371    7.30615e-05        -4.93%      3.93%
         144         146        0.0043441677    7.42978e-05     0.0041270604    7.19230e-05     0.0045177006    7.61214e-05        -5.00%      3.99%
         146         148        0.0040914631    7.77878e-05     0.0038983620    7.50353e-05     0.0042446108    8.00722e-05        -4.72%      3.74%
         148         150        0.0040106737    6.97564e-05     0.0038154992    6.71114e-05     0.0041657029    7.18551e-05        -4.87%      3.87%
         150         152        0.0037020061    7.49064e-05     0.0035239848    7.29238e-05     0.0038430449    7.63649e-05        -4.81%      3.81%
         152         154        0.0034815868    7.94285e-05     0.0033120928    7.69552e-05     0.0036162634    8.12790e-05        -4.87%      3.87%
         154         156        0.0035224930    6.29046e-05     0.0033603996    6.10521e-05     0.0036503534    6.42893e-05        -4.60%      3.63%
         156         158        0.0033208850    6.90764e-05     0.0031645115    6.65308e-05     0.0034444581    7.10584e-05        -4.71%      3.72%
         158         160        0.0032410430    5.35298e-05     0.0030946349    5.13590e-05     0.0033559295    5.52938e-05        -4.52%      3.54%
         160         162        0.0030902574    6.69044e-05     0.0029512062    6.57021e-05     0.0031990540    6.76964e-05        -4.50%      3.52%
         162         164        0.0030159761    5.76888e-05     0.0028783237    5.57215e-05     0.0031238867    5.92043e-05        -4.56%      3.58%
         164         166        0.0028783982    5.80250e-05     0.0027538685    5.62225e-05     0.0029753805    5.93883e-05        -4.33%      3.37%
         166         168        0.0027146974    5.92375e-05     0.0025933822    5.78398e-05     0.0028093793    6.02328e-05        -4.47%      3.49%
         168         170        0.0024777978    6.78838e-05     0.0023676285    6.63323e-05     0.0025638842    6.89816e-05        -4.45%      3.47%
         170         172        0.0026101898    5.49524e-05     0.0024977857    5.26324e-05     0.0026972992    5.67700e-05        -4.31%      3.34%
         172         174        0.0023904383    4.79964e-05     0.0022848555    4.65869e-05     0.0024725881    4.90439e-05        -4.42%      3.44%
         174         176        0.0023177885    4.40059e-05     0.0022208014    4.24556e-05     0.0023924506    4.51861e-05        -4.18%      3.22%
         176         178        0.0023192777    5.22195e-05     0.0022262756    5.03455e-05     0.0023902443    5.36486e-05        -4.01%      3.06%
         178         180        0.0021617033    5.52534e-05     0.0020702833    5.31414e-05     0.0022322627    5.68906e-05        -4.23%      3.26%
         180         182        0.0020370908    7.42969e-05     0.0019522311    7.29766e-05     0.0021024025    7.51226e-05        -4.17%      3.21%
         182         184        0.0019767639    5.15258e-05     0.0019015019    4.98098e-05     0.0020335100    5.28446e-05        -3.81%      2.87%
         184         186        0.0018179814    5.00717e-05     0.0017441697    4.84509e-05     0.0018745688    5.12838e-05        -4.06%      3.11%
         186         188        0.0020017168    4.31121e-05     0.0019226114    4.15403e-05     0.0020618766    4.42991e-05        -3.95%      3.01%
         188         190        0.0018005732    4.80212e-05     0.0017278685    4.64161e-05     0.0018559011    4.92239e-05        -4.04%      3.07%
         190         192        0.0018539514    5.08116e-05     0.0017818896    4.93112e-05     0.0019086484    5.19565e-05        -3.89%      2.95%
         192         194        0.0016887455    5.57520e-05     0.0016238975    5.38914e-05     0.0017376521    5.71610e-05        -3.84%      2.90%
         194         196        0.0016130743    5.47604e-05     0.0015513981    5.35668e-05     0.0016596951    5.55504e-05        -3.82%      2.89%
         196         198        0.0015375670    5.91642e-05     0.0014757831    5.70688e-05     0.0015843471    6.07515e-05        -4.02%      3.04%
         198         200        0.0015855267    4.69580e-05     0.0015313534    4.54779e-05     0.0016252680    4.80887e-05        -3.42%      2.51%
