#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           2         0.069665736     0.00278304      0.067495235     0.00247691      0.071189576     0.00298589        -3.12%      2.19%
           2           4          0.96174774     0.00456309       0.93446925     0.00407283       0.98457467     0.00492741        -2.84%      2.37%
           4           6          0.80705989     0.00332962       0.78134943     0.00290620       0.83219723     0.00365072        -3.19%      3.11%
           6           8          0.59183652     0.00163742       0.57286542     0.00144544       0.61088478     0.00172979        -3.21%      3.22%
           8          10          0.45365318     0.00144342       0.44009363     0.00127390       0.46815118     0.00153019        -2.99%      3.20%
          10          12          0.36898843     0.00116146       0.35781052     0.00102714       0.38023781     0.00122671        -3.03%      3.05%
          12          14          0.31804875     0.00127145       0.30835964     0.00112700       0.32756068     0.00137169        -3.05%      2.99%
          14          16          0.29740385     0.00478162       0.28826165     0.00413725       0.30534213     0.00482096        -3.07%      2.67%
          16          18          0.26890960     0.00470821       0.26130936     0.00408515       0.27595997     0.00472543        -2.83%      2.62%
          18          20          0.25492164    0.000998903       0.24722873    0.000876454       0.26124341     0.00105249        -3.02%      2.48%
          20          22          0.23338466    0.000942502       0.22610879    0.000829137       0.23928309    0.000999143        -3.12%      2.53%
          22          24          0.21046229    0.000842102       0.20371159    0.000749039       0.21566309    0.000883786        -3.21%      2.47%
          24          26          0.18341015    0.000809618       0.17785829    0.000714387       0.18791341    0.000844132        -3.03%      2.46%
          26          28          0.16124654    0.000701247       0.15640496    0.000618139       0.16502324    0.000737261        -3.00%      2.34%
          28          30          0.14289090    0.000631875       0.13865031    0.000563646       0.14638121    0.000655331        -2.97%      2.44%
          30          32          0.12285836    0.000563195       0.11941132    0.000498570       0.12580680    0.000584608        -2.81%      2.40%
          32          34          0.10725408    0.000491656       0.10429685    0.000439796       0.10983179    0.000511882        -2.76%      2.40%
          34          36         0.092271263    0.000468704      0.089786521    0.000421296      0.094519402    0.000484259        -2.69%      2.44%
          36          38         0.079494030    0.000412388      0.077312409    0.000390830      0.081575946    0.000431756        -2.74%      2.62%
          38          40         0.065620346    0.000331315      0.063975660    0.000304968      0.067359406    0.000344406        -2.51%      2.65%
          40          42         0.054254128    0.000304714      0.052780808    0.000277790      0.055709897    0.000319278        -2.72%      2.68%
          42          44         0.042852342    0.000272144      0.041738310    0.000250298      0.044108064    0.000280033        -2.60%      2.93%
          44          46         0.036076724    0.000203946      0.035066309    0.000189805      0.037184923    0.000212801        -2.80%      3.07%
          46          48         0.031987362    0.000219415      0.031137973    0.000207682      0.032954164    0.000233947        -2.66%      3.02%
