#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5         0.030297928    0.000501622      0.029546823    0.000469929      0.030835493    0.000556753        -2.48%      1.77%
           5          10         0.093647673    0.000809829      0.090540281    0.000747163      0.096917118    0.000893318        -3.32%      3.49%
          10          15          0.16219188     0.00103407       0.15637126    0.000937681       0.16851699     0.00114329        -3.59%      3.90%
          15          20          0.26790041     0.00146844       0.25974851     0.00132852       0.27548027     0.00160795        -3.04%      2.83%
          20          25          0.38038480     0.00208054       0.37074243     0.00186463       0.38743662     0.00229724        -2.53%      1.85%
          25          30          0.48523747     0.00248300       0.47800462     0.00219990       0.48901340     0.00253065        -1.49%      0.78%
          30          35          0.49306471     0.00239179       0.48876423     0.00212576       0.49668358     0.00243359        -0.87%      0.73%
          35          40          0.41863030     0.00156503       0.40754244     0.00142565       0.42961139     0.00172353        -2.65%      2.62%
          40          45          0.31541960     0.00117867       0.30461620     0.00107942       0.32889249     0.00130441        -3.43%      4.27%
          45          50          0.25512047     0.00111214       0.24594474     0.00101646       0.26656348     0.00123313        -3.60%      4.49%
          50          55          0.21552461     0.00102764       0.20754214    0.000936202       0.22547952     0.00114289        -3.70%      4.62%
          55          60          0.18739468    0.000956181       0.18072725    0.000871061       0.19570960     0.00106347        -3.56%      4.44%
          60          65          0.16840948    0.000941612       0.16267482    0.000857678       0.17556114     0.00104739        -3.41%      4.25%
          65          70          0.15416657    0.000923038       0.14917419    0.000840690       0.16039255     0.00102681        -3.24%      4.04%
          70          75          0.14417181    0.000881372       0.13961187    0.000802952       0.14985849    0.000980219        -3.16%      3.94%
          75          80          0.12972360    0.000852810       0.12584442    0.000776586       0.13456131    0.000948846        -2.99%      3.73%
          80          85          0.11462074    0.000799404       0.11125569    0.000727954       0.11881728    0.000889426        -2.94%      3.66%
          85          90         0.092897898    0.000738660      0.090166262    0.000672578      0.096304512    0.000821912        -2.94%      3.67%
          90          95         0.074931320    0.000641576      0.071803379    0.000583421      0.078832165    0.000714748        -4.17%      5.21%
          95         100         0.056988706    0.000509828      0.054033053    0.000464104      0.060674689    0.000567418        -5.19%      6.47%
         100         105         0.044224118    0.000507830      0.041784587    0.000461887      0.047266448    0.000565649        -5.52%      6.88%
         105         110         0.035279842    0.000461273      0.033245199    0.000418672      0.037817239    0.000514777        -5.77%      7.19%
         110         115         0.028669086    0.000339138      0.026933869    0.000308430      0.030833068    0.000377780        -6.05%      7.55%
         115         120         0.023278666    0.000301688      0.021837934    0.000284359      0.025055272    0.000335623        -6.19%      7.63%
         120         125         0.020054299    0.000262496      0.018730580    0.000241377      0.021670751    0.000288019        -6.60%      8.06%
         125         130         0.016149600    0.000240400      0.015030120    0.000218857      0.017529840    0.000267224        -6.93%      8.55%
         130         135         0.013879494    0.000193985      0.012888820    0.000177066      0.015098151    0.000214556        -7.14%      8.78%
         135         140         0.012215364    0.000191329      0.011311198    0.000174308      0.013323991    0.000212071        -7.40%      9.08%
         140         145         0.010725168    0.000200730     0.0099163413    0.000182839      0.011716731    0.000222518        -7.54%      9.25%
         145         150        0.0092822034    0.000188272     0.0085562882    0.000170088      0.010176016    0.000210599        -7.82%      9.63%
         150         155        0.0077466801    0.000154852     0.0071250988    0.000140407     0.0085159260    0.000172723        -8.02%      9.93%
         155         160        0.0071466275    0.000217497     0.0065571990    0.000192881     0.0078766152    0.000247672        -8.25%     10.21%
         160         165        0.0059185847    0.000201808     0.0054357859    0.000178492     0.0065178135    0.000230464        -8.16%     10.12%
         165         170        0.0055038376    0.000124433     0.0050145135    0.000112374     0.0061113031    0.000139249        -8.89%     11.04%
         170         175        0.0046591861    0.000120127     0.0042635666    0.000107469     0.0051514015    0.000135797        -8.49%     10.56%
         175         180        0.0046783169    0.000114358     0.0042498690    0.000102376     0.0052114529    0.000129080        -9.16%     11.40%
         180         185        0.0036666589    0.000101914     0.0033308790    9.06318e-05     0.0040879123    0.000116271        -9.16%     11.49%
         185         190        0.0031864490    0.000126981     0.0029018703    0.000111200     0.0035441825    0.000147201        -8.93%     11.23%
         190         195        0.0028163050    0.000133326     0.0025386917    0.000117058     0.0031690951    0.000154133        -9.86%     12.53%
         195         200        0.0030031132    0.000102782     0.0027155903    9.07855e-05     0.0033627447    0.000117625        -9.57%     11.98%
         200         205        0.0026139044    9.63684e-05     0.0023543892    8.42234e-05     0.0029398447    0.000112044        -9.93%     12.47%
         205         210        0.0021426754    8.22362e-05     0.0019367525    7.13116e-05     0.0024051874    9.64838e-05        -9.61%     12.25%
         210         215        0.0023086281    7.85860e-05     0.0020724433    6.91679e-05     0.0026050865    9.04659e-05       -10.23%     12.84%
         215         220        0.0015906257    0.000101708     0.0014359921    8.68663e-05     0.0017869967    0.000121411        -9.72%     12.35%
         220         225        0.0019391941    9.54680e-05     0.0017353677    8.18265e-05     0.0021987188    0.000113805       -10.51%     13.38%
         225         230        0.0015576114    6.48372e-05     0.0013996400    5.68742e-05     0.0017574718    7.50146e-05       -10.14%     12.83%
         230         235        0.0014150562    5.39219e-05     0.0012644097    4.77582e-05     0.0016071869    6.17363e-05       -10.65%     13.58%
         235         240        0.0013882072    6.68307e-05     0.0012473271    5.67759e-05     0.0015662862    8.01707e-05       -10.15%     12.83%
         240         245        0.0012960545    6.20278e-05     0.0011573001    5.28267e-05     0.0014737896    7.44486e-05       -10.71%     13.71%
         245         250        0.0010424912    4.61766e-05    0.00093011191    4.04827e-05     0.0011871990    5.35023e-05       -10.78%     13.88%
         250         255        0.0010291571    4.21234e-05    0.00091876837    3.68306e-05     0.0011713602    4.89626e-05       -10.73%     13.82%
         255         260        0.0010232332    4.81163e-05    0.00090825364    4.21673e-05     0.0011701493    5.56526e-05       -11.24%     14.36%
         260         265       0.00090778264    4.30970e-05    0.00080600445    3.72744e-05     0.0010391689    5.07061e-05       -11.21%     14.47%
         265         270       0.00088680969    4.62401e-05    0.00078004604    4.01064e-05     0.0010265301    5.44891e-05       -12.04%     15.76%
         270         275       0.00069887133    4.21845e-05    0.00061580113    3.68327e-05    0.00080723581    4.90314e-05       -11.89%     15.51%
         275         280       0.00053410180    4.08848e-05    0.00047972677    3.58510e-05    0.00060465614    4.73100e-05       -10.18%     13.21%
         280         285       0.00063720992    3.67211e-05    0.00056639184    3.17489e-05    0.00072818206    4.30632e-05       -11.11%     14.28%
         285         290       0.00062116732    4.26305e-05    0.00054968568    3.75546e-05    0.00071368796    4.91839e-05       -11.51%     14.89%
         290         295       0.00048429592    3.18887e-05    0.00042497066    2.77062e-05    0.00056180814    3.72712e-05       -12.25%     16.01%
         295         300       0.00054098828    3.32910e-05    0.00047668875    2.92022e-05    0.00062454375    3.85448e-05       -11.89%     15.44%
         300         305       0.00058181983    3.05361e-05    0.00050947724    2.66691e-05    0.00067567412    3.56543e-05       -12.43%     16.13%
         305         310       0.00039685252    2.97300e-05    0.00035336104    2.56147e-05    0.00045328828    3.51295e-05       -10.96%     14.22%
         310         315       0.00042427872    3.06288e-05    0.00037710161    2.63458e-05    0.00048468991    3.61247e-05       -11.12%     14.24%
         315         320       0.00038514137    2.84359e-05    0.00033882259    2.46592e-05    0.00044594700    3.32844e-05       -12.03%     15.79%
         320         325       0.00041534478    2.71318e-05    0.00036193535    2.33641e-05    0.00048520199    3.20202e-05       -12.86%     16.82%
         325         330       0.00035042398    3.25961e-05    0.00030645394    2.84903e-05    0.00040822290    3.78946e-05       -12.55%     16.49%
         330         335       0.00026849655    2.83215e-05    0.00024203786    2.44164e-05    0.00030267518    3.33019e-05        -9.85%     12.73%
         335         340       0.00034587649    2.42273e-05    0.00030623135    2.10873e-05    0.00039736395    2.83104e-05       -11.46%     14.89%
         340         345       0.00027239748    1.93788e-05    0.00023875740    1.66093e-05    0.00031649106    2.29794e-05       -12.35%     16.19%
         345         350       0.00026066424    2.53054e-05    0.00022984623    2.14544e-05    0.00030101260    3.03507e-05       -11.82%     15.48%
