#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0         0.1                   0              0                0              0                0              0            0%         0%
         0.1         0.2                   0              0                0              0                0              0            0%         0%
         0.2         0.3        0.0037992049    0.000468616     0.0031840258    0.000373793     0.0044037902    0.000567135       -16.19%     15.91%
         0.3         0.4         0.011749218     0.00163201      0.010011689     0.00129453      0.013427743     0.00197920       -14.79%     14.29%
         0.4         0.5         0.019509375    0.000643185      0.017087061    0.000543339      0.021771324    0.000742788       -12.42%     11.59%
         0.5         0.6         0.038424020    0.000860731      0.033926320    0.000748799      0.042577997    0.000970328       -11.71%     10.81%
         0.6         0.7         0.065016005     0.00168307      0.057739548     0.00138263      0.071703052     0.00199074       -11.19%     10.29%
         0.7         0.8          0.10165399     0.00160153      0.091097988     0.00146027       0.11121570     0.00174465       -10.38%      9.41%
         0.8         0.9          0.15495627     0.00163117       0.13904615     0.00142667       0.16928032     0.00183279       -10.27%      9.24%
         0.9           1          0.22254121     0.00190507       0.20041636     0.00170410       0.24235441     0.00209758        -9.94%      8.90%
           1         1.1          0.30983903     0.00228263       0.27932231     0.00210096       0.33706661     0.00246023        -9.85%      8.79%
         1.1         1.2          0.41129202     0.00227231       0.37157526     0.00204667       0.44655108     0.00248412        -9.66%      8.57%
         1.2         1.3          0.54931899     0.00287272       0.49618550     0.00257565       0.59647469     0.00316082        -9.67%      8.58%
         1.3         1.4          0.70002024     0.00277330       0.63346177     0.00249801       0.75884817     0.00303238        -9.51%      8.40%
         1.4         1.5          0.90093060     0.00342202       0.81499918     0.00311506       0.97694422     0.00371268        -9.54%      8.44%
         1.5         1.6           1.1088214     0.00347679        1.0032926     0.00311690        1.2020609     0.00381671        -9.52%      8.41%
         1.6         1.7           1.3773609     0.00364588        1.2454821     0.00329049        1.4939223     0.00397764        -9.57%      8.46%
         1.7         1.8           1.6814310     0.00387559        1.5190196     0.00349319        1.8251230     0.00423328        -9.66%      8.55%
         1.8         1.9           2.0604574     0.00440596        1.8603408     0.00393144        2.2376863     0.00485918        -9.71%      8.60%
         1.9           2           2.5128208     0.00489285        2.2670397     0.00443786        2.7307361     0.00531727        -9.78%      8.67%
           2         2.1           3.0515229     0.00539609        2.7498488     0.00494296        3.3194810     0.00582037        -9.89%      8.78%
         2.1         2.2           3.7204813     0.00558135        3.3459559     0.00503901        4.0540256     0.00608424       -10.07%      8.97%
         2.2         2.3           4.5687894     0.00613544        4.0997696     0.00551473        4.9878801     0.00671324       -10.27%      9.17%
         2.3         2.4           5.6936026     0.00692443        5.0963966     0.00621606        6.2291455     0.00758393       -10.49%      9.41%
