#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10          0.30042340    0.000204342       0.26067137    0.000174031       0.33746870    0.000234350       -13.23%     12.33%
          10          20           1.0331445    0.000453438       0.89573409    0.000393502        1.1606967    0.000510173       -13.30%     12.35%
          20          30          0.52773742    0.000237424       0.46361976    0.000209300       0.58643775    0.000263863       -12.15%     11.12%
          30          40          0.15733764    0.000121129       0.14408978    0.000112071       0.16870492    0.000129063        -8.42%      7.22%
          40          50          0.10983739    0.000106462       0.10176833    9.95402e-05       0.11657902    0.000112400        -7.35%      6.14%
          50          60         0.083945252    9.23357e-05      0.078139957    8.65068e-05      0.088743940    9.73050e-05        -6.92%      5.72%
          60          70         0.063524828    7.93227e-05      0.059258290    7.44443e-05      0.067036062    8.35588e-05        -6.72%      5.53%
          70          80         0.043306787    6.38022e-05      0.040513588    6.03845e-05      0.045591443    6.66941e-05        -6.45%      5.28%
          80          90         0.021158119    4.58510e-05      0.019922884    4.39771e-05      0.022153692    4.74787e-05        -5.84%      4.71%
          90         100        0.0048690832    2.11815e-05     0.0047158481    2.12000e-05     0.0049768620    2.10861e-05        -3.15%      2.21%
         100         110        0.0022694250    2.10003e-05     0.0022370616    2.12592e-05     0.0022844446    2.06430e-05        -1.43%      0.66%
         110         120        0.0013304444    9.75302e-06     0.0013227169    9.97689e-06     0.0013304444    9.75302e-06        -0.58%   0.00000%
         120         130       0.00089783453    1.70987e-05    0.00088977035    1.58777e-05    0.00090131325    1.85677e-05        -0.90%      0.39%
         130         140       0.00059917331    8.44754e-06    0.00059088466    7.97857e-06    0.00060481031    8.96650e-06        -1.38%      0.94%
         140         150       0.00040088732    4.47838e-06    0.00039408768    4.31429e-06    0.00040611471    4.64746e-06        -1.70%      1.30%
         150         160       0.00031534840    5.98707e-06    0.00030733280    5.62962e-06    0.00032268598    6.38749e-06        -2.54%      2.33%
         160         170       0.00022000137    3.09700e-06    0.00021415494    2.96440e-06    0.00022538024    3.23779e-06        -2.66%      2.44%
         170         180       0.00017030140    3.15725e-06    0.00016483421    2.99164e-06    0.00017562081    3.33736e-06        -3.21%      3.12%
         180         190       0.00013297554    4.55284e-06    0.00012836107    4.27832e-06    0.00013753816    4.84895e-06        -3.47%      3.43%
         190         200       0.00010444436    3.35246e-06    0.00010044949    3.16766e-06    0.00010848636    3.55152e-06        -3.82%      3.87%
         200         210       0.00010206576    8.21173e-06    9.7486220e-05    7.62928e-06    0.00010684562    8.85998e-06        -4.49%      4.68%
         210         220       6.8147782e-05    2.66058e-06    6.5053126e-05    2.48356e-06    7.1385274e-05    2.85707e-06        -4.54%      4.75%
         220         230       5.5536537e-05    2.09190e-06    5.2885209e-05    1.95426e-06    5.8344149e-05    2.24731e-06        -4.77%      5.06%
         230         240       4.2096033e-05    1.42414e-06    4.0036640e-05    1.34197e-06    4.4284269e-05    1.51514e-06        -4.89%      5.20%
         240         250       3.3616306e-05    1.29183e-06    3.1824209e-05    1.19997e-06    3.5549502e-05    1.39619e-06        -5.33%      5.75%
         250         260       2.4516299e-05    8.38558e-07    2.3230205e-05    7.84728e-07    2.5902840e-05    8.99324e-07        -5.25%      5.66%
         260         270       2.3926443e-05    1.07844e-06    2.2494523e-05    9.96597e-07    2.5505445e-05    1.17294e-06        -5.98%      6.60%
         270         280       1.4968564e-05    6.52325e-07    1.4100394e-05    6.12994e-07    1.5921516e-05    6.95944e-07        -5.80%      6.37%
         280         290       1.9356753e-05    1.77746e-06    1.8062331e-05    1.61709e-06    2.0806377e-05    1.96587e-06        -6.69%      7.49%
         290         300       1.1442121e-05    5.09027e-07    1.0741597e-05    4.72253e-07    1.2218495e-05    5.51343e-07        -6.12%      6.79%
         300         310       1.0661953e-05    6.45219e-07    9.9778437e-06    5.97730e-07    1.1425589e-05    6.99554e-07        -6.42%      7.16%
         310         320       1.0396102e-05    1.32890e-06    9.6579700e-06    1.20879e-06    1.1233666e-05    1.46939e-06        -7.10%      8.06%
         320         330       7.8186612e-06    1.01157e-06    7.2445030e-06    9.21587e-07    8.4722492e-06    1.11574e-06        -7.34%      8.36%
         330         340       8.2791743e-06    8.70853e-07    7.6687863e-06    8.04259e-07    8.9759302e-06    9.47071e-07        -7.37%      8.42%
         340         350       5.0441211e-06    3.22519e-07    4.6879324e-06    2.96750e-07    5.4483340e-06    3.52627e-07        -7.06%      8.01%
         350         360       4.0081696e-06    2.80562e-07    3.7183631e-06    2.58831e-07    4.3371004e-06    3.05502e-07        -7.23%      8.21%
         360         370       4.6131125e-06    4.95100e-07    4.2485041e-06    4.52629e-07    5.0346471e-06    5.44917e-07        -7.90%      9.14%
         370         380       4.4556863e-06    7.60938e-07    4.0866339e-06    6.82617e-07    4.8852243e-06    8.54790e-07        -8.28%      9.64%
         380         390       3.5215389e-06    4.12373e-07    3.2386888e-06    3.75700e-07    3.8478465e-06    4.54983e-07        -8.03%      9.27%
         390         400       2.8238875e-06    2.77763e-07    2.6021045e-06    2.54840e-07    3.0793493e-06    3.04312e-07        -7.85%      9.05%
         400         410       2.4392847e-06    3.67623e-07    2.2343028e-06    3.34668e-07    2.6780716e-06    4.06187e-07        -8.40%      9.79%
         410         420       2.8726544e-06    7.61703e-07    2.6210962e-06    6.88377e-07    3.1677252e-06    8.49172e-07        -8.76%     10.27%
         420         430       1.3946678e-06    1.43644e-07    1.2759854e-06    1.30797e-07    1.5341403e-06    1.58973e-07        -8.51%     10.00%
         430         440       1.4987881e-06    1.92691e-07    1.3642891e-06    1.75014e-07    1.6575861e-06    2.13848e-07        -8.97%     10.60%
         440         450       1.1759303e-06    2.46486e-07    1.0837247e-06    2.32653e-07    1.2813525e-06    2.60975e-07        -7.84%      8.97%
         450         460       7.7912060e-08    6.16310e-07   -9.2507213e-09    5.78321e-07    2.0545691e-07    6.58271e-07      -111.87%    163.70%
         460         470       1.1581202e-06    2.69786e-07    1.0581838e-06    2.48478e-07    1.2748248e-06    2.94277e-07        -8.63%     10.08%
         470         480       3.0118422e-06    1.54723e-06    2.6715211e-06    1.36651e-06    3.4234569e-06    1.76648e-06       -11.30%     13.67%
         480         490       5.2379233e-07    1.02418e-07    4.7372956e-07    9.27144e-08    5.8354850e-07    1.13912e-07        -9.56%     11.41%
         490         500       3.1814384e-07    4.05290e-08    2.8716643e-07    3.65061e-08    3.5531389e-07    4.54091e-08        -9.74%     11.68%
         500         510       3.4961515e-07    4.53308e-08    3.1597825e-07    4.09716e-08    3.8977354e-07    5.05553e-08        -9.62%     11.49%
         510         520       4.1533697e-07    6.19233e-08    3.7323096e-07    5.56142e-08    4.6627453e-07    6.96056e-08       -10.14%     12.26%
         520         530       2.7937990e-07    4.17099e-08    2.5156016e-07    3.81299e-08    3.1303476e-07    4.59773e-08        -9.96%     12.05%
         530         540       1.3981344e-07    2.14716e-08    1.2663608e-07    1.96747e-08    1.5554574e-07    2.36005e-08        -9.42%     11.25%
         540         550       3.7030633e-07    7.11900e-08    3.3173999e-07    6.34171e-08    4.1698784e-07    8.06990e-08       -10.41%     12.61%
         550         560       1.4315190e-07    2.53717e-08    1.2736413e-07    2.27212e-08    1.6246742e-07    2.86044e-08       -11.03%     13.49%
         560         570       8.9663421e-06    6.16633e-06    7.7647987e-06    5.33514e-06    1.0482127e-05    7.21565e-06       -13.40%     16.91%
         570         580       2.0449495e-07    3.72198e-08    1.8379423e-07    3.37186e-08    2.2949554e-07    4.14140e-08       -10.12%     12.23%
         580         590       2.3013686e-07    6.09043e-08    2.0727997e-07    5.51219e-08    2.5753565e-07    6.77631e-08        -9.93%     11.91%
         590         600       2.7529288e-07    1.21195e-07    2.5054257e-07    1.10992e-07    3.0434825e-07    1.32967e-07        -8.99%     10.55%
         600         610       3.5694660e-07    9.96112e-08    3.1216116e-07    8.45630e-08    4.1289855e-07    1.18984e-07       -12.55%     15.68%
         610         620       9.9090983e-08    2.39358e-08    8.8222774e-08    2.13079e-08    1.1235642e-07    2.71380e-08       -10.97%     13.39%
         620         630       2.4922826e-07    9.99303e-08    2.2607601e-07    9.18609e-08    2.7665510e-07    1.09155e-07        -9.29%     11.00%
         630         640       1.0138788e-07    1.86818e-08    8.8583903e-08    1.62800e-08    1.1738803e-07    2.16990e-08       -12.63%     15.78%
         640         650       1.0458798e-07    2.41933e-08    9.2593356e-08    2.16061e-08    1.1931134e-07    2.73264e-08       -11.47%     14.08%
         650         660       1.6631776e-07    3.41684e-08    1.4704892e-07    3.02199e-08    1.9006373e-07    3.90522e-08       -11.59%     14.28%
         660         670       5.4969948e-08    1.29513e-08    4.8153773e-08    1.14603e-08    6.3402891e-08    1.47768e-08       -12.40%     15.34%
         670         680       4.4873970e-08    1.05539e-08    3.9515977e-08    9.40819e-09    5.1546323e-08    1.19714e-08       -11.94%     14.87%
         680         690       6.6138749e-08    2.22867e-08    5.8506046e-08    2.00831e-08    7.5506903e-08    2.49115e-08       -11.54%     14.16%
         690         700       3.4062909e-08    1.10451e-08    3.0131973e-08    9.79337e-09    3.8995955e-08    1.25781e-08       -11.54%     14.48%
         700         710       3.2227689e-08    7.95328e-09    2.8332759e-08    7.14454e-09    3.7069706e-08    8.93787e-09       -12.09%     15.02%
         710         720       8.1948371e-08    3.28279e-08    7.2435855e-08    2.92488e-08    9.3650567e-08    3.71642e-08       -11.61%     14.28%
         720         730       3.8046663e-08    1.20693e-08    3.3259522e-08    1.07885e-08    4.4084879e-08    1.36313e-08       -12.58%     15.87%
         730         740       4.1014760e-08    1.18102e-08    3.5946121e-08    1.03759e-08    4.7322371e-08    1.35844e-08       -12.36%     15.38%
         740         750       2.4991124e-08    6.59544e-09    2.2163696e-08    5.98183e-09    2.8505259e-08    7.34614e-09       -11.31%     14.06%
         750         760       2.5696999e-08    7.87500e-09    2.2358022e-08    6.85571e-09    2.9895442e-08    9.16520e-09       -12.99%     16.34%
         760         770       3.7927161e-08    1.03479e-08    3.3537103e-08    9.27162e-09    4.3337129e-08    1.16479e-08       -11.57%     14.26%
         770         780       6.2556808e-08    3.43261e-08    5.5546767e-08    3.10468e-08    7.1183620e-08    3.82178e-08       -11.21%     13.79%
         780         790       1.6275232e-08    4.61729e-09    1.4121791e-08    4.02529e-09    1.8987992e-08    5.35696e-09       -13.23%     16.67%
         790         800       2.3012899e-08    9.47880e-09    2.0195013e-08    8.41902e-09    2.6513718e-08    1.07699e-08       -12.24%     15.21%
         800         810       1.2258586e-08    2.55701e-09    1.0606645e-08    2.23520e-09    1.4346268e-08    2.95977e-09       -13.48%     17.03%
         810         820       1.2062709e-08    4.14676e-09    1.0423863e-08    3.60517e-09    1.4140671e-08    4.82569e-09       -13.59%     17.23%
