#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10          0.30282903    0.000412905       0.26243770    0.000357893       0.34056814    0.000465522       -13.34%     12.46%
          10          20          0.99456850    0.000941079       0.86178292    0.000822482        1.1181015     0.00105206       -13.35%     12.42%
          20          30          0.51527279    0.000472562       0.45230035    0.000420004       0.57306759    0.000521386       -12.22%     11.22%
          30          40          0.15613760    0.000247841       0.14263733    0.000230746       0.16780369    0.000262801        -8.65%      7.47%
          40          50          0.10654278    0.000216473      0.098526982    0.000204644       0.11328450    0.000226357        -7.52%      6.33%
          50          60         0.080244026    0.000192246      0.074593899    0.000181932      0.084941128    0.000200837        -7.04%      5.85%
          60          70         0.059540756    0.000522443      0.055426328    0.000514195      0.062950706    0.000526085        -6.91%      5.73%
          70          80         0.040975324    0.000127920      0.038267442    0.000121675      0.043204613    0.000133156        -6.61%      5.44%
          80          90         0.020085584    0.000101314      0.018876721    9.77477e-05      0.021067925    0.000104159        -6.02%      4.89%
          90         100        0.0047771595    5.00352e-05     0.0046011080    4.93209e-05     0.0049068705    5.04890e-05        -3.69%      2.72%
         100         110        0.0022791991    5.00598e-05     0.0022298572    5.01530e-05     0.0023100139    4.96727e-05        -2.16%      1.35%
         110         120        0.0012741799    4.06868e-05     0.0012477548    4.22915e-05     0.0012897764    3.91764e-05        -2.07%      1.22%
         120         130       0.00096364735    2.46477e-05    0.00096071539    2.36281e-05    0.00096364735    2.46477e-05        -0.30%   0.00000%
         130         140       0.00058664711    2.37822e-05    0.00058249109    2.47822e-05    0.00058685939    2.28715e-05        -0.71%      0.04%
         140         150       0.00042202408    1.82276e-05    0.00041990593    1.72625e-05    0.00042202408    1.82276e-05        -0.50%   0.00000%
         150         160       0.00036534293    1.46417e-05    0.00035901233    1.39553e-05    0.00037048818    1.53978e-05        -1.73%      1.41%
         160         170       0.00023274581    1.26913e-05    0.00022957897    1.21835e-05    0.00023491715    1.32211e-05        -1.36%      0.93%
         170         180       0.00018268970    5.77780e-06    0.00017828369    5.58584e-06    0.00018672081    5.97482e-06        -2.41%      2.21%
         180         190       0.00016939706    1.15890e-05    0.00016484945    1.11513e-05    0.00017366567    1.20603e-05        -2.68%      2.52%
         190         200       0.00010230295    9.34401e-06    0.00010048291    8.95619e-06    0.00010375489    9.76780e-06        -1.78%      1.42%
         200         210       0.00011525558    9.32716e-06    0.00011093943    8.73324e-06    0.00011963306    9.98307e-06        -3.74%      3.80%
         210         220       7.0276347e-05    4.85737e-06    6.7831891e-05    4.67678e-06    7.2726654e-05    5.04351e-06        -3.48%      3.49%
         220         230       5.3230622e-05    8.37770e-06    5.1728277e-05    7.68715e-06    5.4641249e-05    9.17277e-06        -2.82%      2.65%
         230         240       5.2687946e-05    3.22998e-06    5.0609936e-05    3.07363e-06    5.4816613e-05    3.40799e-06        -3.94%      4.04%
         240         250       3.3870042e-05    3.90974e-06    3.2546067e-05    3.65330e-06    3.5213559e-05    4.21005e-06        -3.91%      3.97%
         250         260       3.5156092e-05    3.13399e-06    3.3766572e-05    3.05628e-06    3.6586861e-05    3.20530e-06        -3.95%      4.07%
         260         270       2.7981975e-05    1.70703e-06    2.6545168e-05    1.60589e-06    2.9541046e-05    1.82117e-06        -5.13%      5.57%
         270         280       2.3313535e-05    7.08374e-06    2.1878179e-05    6.46110e-06    2.4906233e-05    7.80279e-06        -6.16%      6.83%
         280         290       2.7138574e-05    4.02453e-06    2.5925140e-05    3.92393e-06    2.8374816e-05    4.10952e-06        -4.47%      4.56%
         290         300       1.2575967e-05    2.78871e-06    1.1988337e-05    2.60565e-06    1.3202242e-05    2.99393e-06        -4.67%      4.98%
         300         310       1.5192407e-05    1.63708e-06    1.4352000e-05    1.56008e-06    1.6110998e-05    1.72006e-06        -5.53%      6.05%
         310         320       1.2570446e-05    1.65633e-06    1.1832093e-05    1.52739e-06    1.3389974e-05    1.80557e-06        -5.87%      6.52%
         320         330       1.0848281e-05    1.15029e-06    1.0143162e-05    1.05949e-06    1.1640667e-05    1.25524e-06        -6.50%      7.30%
         330         340       7.6180384e-06    1.07553e-06    7.0667141e-06    1.00328e-06    8.2462479e-06    1.15720e-06        -7.24%      8.25%
         340         350       1.3546909e-06    3.01092e-06    1.2487919e-06    2.83106e-06    1.4887171e-06    3.20367e-06        -7.82%      9.89%
         350         360       6.5335885e-06    8.37006e-07    6.1611728e-06    7.95110e-07    6.9417635e-06    8.83182e-07        -5.70%      6.25%
