#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0        0.15           19.166306      0.0366028        18.402727      0.0341361        19.648001      0.0391474        -3.98%      2.51%
        0.15         0.3           18.940219      0.0372241        18.190501      0.0346847        19.407729      0.0397473        -3.96%      2.47%
         0.3        0.45           18.856016      0.0409699        18.094025      0.0381708        19.339950      0.0436810        -4.04%      2.57%
        0.45         0.6           18.270920      0.0361177        17.535211      0.0336396        18.736336      0.0385690        -4.03%      2.55%
         0.6        0.75           17.811436      0.0415197        17.099190      0.0384216        18.258347      0.0445106        -4.00%      2.51%
        0.75         0.9           16.853559      0.0357631        16.157710      0.0332765        17.299679      0.0382050        -4.13%      2.65%
         0.9        1.05           15.961575      0.0394749        15.310997      0.0355595        16.374946      0.0435077        -4.08%      2.59%
        1.05         1.2           14.773237      0.0328754        14.162461      0.0305605        15.163114      0.0351806        -4.13%      2.64%
         1.2        1.35           13.182611      0.0332299        12.633211      0.0309870        13.533848      0.0354861        -4.17%      2.66%
        1.35         1.5           11.595886      0.0295899        11.087357      0.0275245        11.931202      0.0316815        -4.39%      2.89%
         1.5        1.65           9.6652400      0.0308948        9.2462242      0.0284589        9.9381306      0.0332961        -4.34%      2.82%
        1.65         1.8           7.6096065      0.0280986        7.2729514      0.0262435        7.8311793      0.0299483        -4.42%      2.91%
         1.8        1.95           5.3269224      0.0508084        5.0793437      0.0524580        5.4912749      0.0493403        -4.65%      3.09%
        1.95         2.1           3.3659658      0.0253217        3.2018306      0.0244009        3.4783303      0.0263320        -4.88%      3.34%
         2.1        2.25           1.6542164      0.0180317        1.5739490      0.0169587        1.7083943      0.0190432        -4.85%      3.28%
        2.25         2.4          0.42676466      0.0102724       0.40465468     0.00966280       0.44226798      0.0108621        -5.18%      3.63%
         2.4        2.55         0.015831588     0.00176404      0.015235246     0.00161938      0.016315362     0.00188568        -3.77%      3.06%
        2.55         2.7                   0              0                0              0                0              0            0%         0%
         2.7        2.85                   0              0                0              0                0              0            0%         0%
        2.85           3                   0              0                0              0                0              0            0%         0%
           3        3.15                   0              0                0              0                0              0            0%         0%
        3.15         3.3                   0              0                0              0                0              0            0%         0%
         3.3        3.45                   0              0                0              0                0              0            0%         0%
        3.45         3.6                   0              0                0              0                0              0            0%         0%
         3.6        3.75                   0              0                0              0                0              0            0%         0%
        3.75         3.9                   0              0                0              0                0              0            0%         0%
         3.9        4.05                   0              0                0              0                0              0            0%         0%
        4.05         4.2                   0              0                0              0                0              0            0%         0%
         4.2        4.35                   0              0                0              0                0              0            0%         0%
        4.35         4.5                   0              0                0              0                0              0            0%         0%
         4.5        4.65                   0              0                0              0                0              0            0%         0%
        4.65         4.8                   0              0                0              0                0              0            0%         0%
         4.8        4.95                   0              0                0              0                0              0            0%         0%
        4.95         5.1                   0              0                0              0                0              0            0%         0%
         5.1        5.25                   0              0                0              0                0              0            0%         0%
        5.25         5.4                   0              0                0              0                0              0            0%         0%
         5.4        5.55                   0              0                0              0                0              0            0%         0%
        5.55         5.7                   0              0                0              0                0              0            0%         0%
         5.7        5.85                   0              0                0              0                0              0            0%         0%
        5.85           6                   0              0                0              0                0              0            0%         0%
           6        6.15                   0              0                0              0                0              0            0%         0%
        6.15         6.3                   0              0                0              0                0              0            0%         0%
         6.3        6.45                   0              0                0              0                0              0            0%         0%
        6.45         6.6                   0              0                0              0                0              0            0%         0%
         6.6        6.75                   0              0                0              0                0              0            0%         0%
        6.75         6.9                   0              0                0              0                0              0            0%         0%
         6.9        7.05                   0              0                0              0                0              0            0%         0%
        7.05         7.2                   0              0                0              0                0              0            0%         0%
         7.2        7.35                   0              0                0              0                0              0            0%         0%
        7.35         7.5                   0              0                0              0                0              0            0%         0%
         7.5        7.65                   0              0                0              0                0              0            0%         0%
        7.65         7.8                   0              0                0              0                0              0            0%         0%
         7.8        7.95                   0              0                0              0                0              0            0%         0%
        7.95         8.1                   0              0                0              0                0              0            0%         0%
         8.1        8.25                   0              0                0              0                0              0            0%         0%
        8.25         8.4                   0              0                0              0                0              0            0%         0%
         8.4        8.55                   0              0                0              0                0              0            0%         0%
        8.55         8.7                   0              0                0              0                0              0            0%         0%
         8.7        8.85                   0              0                0              0                0              0            0%         0%
        8.85           9                   0              0                0              0                0              0            0%         0%
