#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0        0.15           6.1574806     0.00497140        5.6225030     0.00450984        6.6299201     0.00540122        -8.69%      7.67%
        0.15         0.3           6.1150809     0.00496696        5.5842326     0.00450396        6.5838953     0.00539848        -8.68%      7.67%
         0.3        0.45           6.0239676     0.00494053        5.5004053     0.00448169        6.4864508     0.00536717        -8.69%      7.68%
        0.45         0.6           5.8691517     0.00490819        5.3583031     0.00444597        6.3206741     0.00533892        -8.70%      7.69%
         0.6        0.75           5.6669644     0.00484556        5.1732437     0.00438732        6.1035440     0.00527229        -8.71%      7.70%
        0.75         0.9           5.3801743     0.00472472        4.9113115     0.00427679        5.7949672     0.00514110        -8.71%      7.71%
         0.9        1.05           5.0478484     0.00461543        4.6070799     0.00417927        5.4381281     0.00502101        -8.73%      7.73%
        1.05         1.2           4.6081545     0.00456482        4.2064833     0.00413990        4.9640306     0.00496173        -8.72%      7.72%
         1.2        1.35           4.0867596     0.00437265        3.7294750     0.00396043        4.4036017     0.00475508        -8.74%      7.75%
        1.35         1.5           3.4800262     0.00426152        3.1755502     0.00386460        3.7501729     0.00462918        -8.75%      7.76%
         1.5        1.65           2.8129503     0.00405310        2.5676561     0.00367889        3.0306073     0.00439977        -8.72%      7.74%
        1.65         1.8           2.0763194     0.00374600        1.8953207     0.00341852        2.2370275     0.00404967        -8.72%      7.74%
         1.8        1.95           1.3765192     0.00346591        1.2568649     0.00320463        1.4827755     0.00371156        -8.69%      7.72%
        1.95         2.1          0.75703955     0.00291401       0.69101696     0.00268853       0.81570145     0.00312255        -8.72%      7.75%
         2.1        2.25          0.30584013     0.00259717       0.27919890     0.00247372       0.32955913     0.00271665        -8.71%      7.76%
        2.25         2.4         0.064651366     0.00135715      0.059056705     0.00129027      0.069616855     0.00141722        -8.65%      7.68%
         2.4        2.55        0.0015983186    0.000172002     0.0014549114    0.000157375     0.0017252505    0.000184971        -8.97%      7.94%
        2.55         2.7                   0              0                0              0                0              0            0%         0%
         2.7        2.85                   0              0                0              0                0              0            0%         0%
        2.85           3                   0              0                0              0                0              0            0%         0%
           3        3.15                   0              0                0              0                0              0            0%         0%
        3.15         3.3                   0              0                0              0                0              0            0%         0%
         3.3        3.45                   0              0                0              0                0              0            0%         0%
        3.45         3.6                   0              0                0              0                0              0            0%         0%
         3.6        3.75                   0              0                0              0                0              0            0%         0%
        3.75         3.9                   0              0                0              0                0              0            0%         0%
         3.9        4.05                   0              0                0              0                0              0            0%         0%
        4.05         4.2                   0              0                0              0                0              0            0%         0%
         4.2        4.35                   0              0                0              0                0              0            0%         0%
        4.35         4.5                   0              0                0              0                0              0            0%         0%
         4.5        4.65                   0              0                0              0                0              0            0%         0%
        4.65         4.8                   0              0                0              0                0              0            0%         0%
         4.8        4.95                   0              0                0              0                0              0            0%         0%
        4.95         5.1                   0              0                0              0                0              0            0%         0%
         5.1        5.25                   0              0                0              0                0              0            0%         0%
        5.25         5.4                   0              0                0              0                0              0            0%         0%
         5.4        5.55                   0              0                0              0                0              0            0%         0%
        5.55         5.7                   0              0                0              0                0              0            0%         0%
         5.7        5.85                   0              0                0              0                0              0            0%         0%
        5.85           6                   0              0                0              0                0              0            0%         0%
           6        6.15                   0              0                0              0                0              0            0%         0%
        6.15         6.3                   0              0                0              0                0              0            0%         0%
         6.3        6.45                   0              0                0              0                0              0            0%         0%
        6.45         6.6                   0              0                0              0                0              0            0%         0%
         6.6        6.75                   0              0                0              0                0              0            0%         0%
        6.75         6.9                   0              0                0              0                0              0            0%         0%
         6.9        7.05                   0              0                0              0                0              0            0%         0%
        7.05         7.2                   0              0                0              0                0              0            0%         0%
         7.2        7.35                   0              0                0              0                0              0            0%         0%
        7.35         7.5                   0              0                0              0                0              0            0%         0%
         7.5        7.65                   0              0                0              0                0              0            0%         0%
        7.65         7.8                   0              0                0              0                0              0            0%         0%
         7.8        7.95                   0              0                0              0                0              0            0%         0%
        7.95         8.1                   0              0                0              0                0              0            0%         0%
         8.1        8.25                   0              0                0              0                0              0            0%         0%
        8.25         8.4                   0              0                0              0                0              0            0%         0%
         8.4        8.55                   0              0                0              0                0              0            0%         0%
        8.55         8.7                   0              0                0              0                0              0            0%         0%
         8.7        8.85                   0              0                0              0                0              0            0%         0%
        8.85           9                   0              0                0              0                0              0            0%         0%
