#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           2                   0              0                0              0                0              0            0%         0%
           2           4                   0              0                0              0                0              0            0%         0%
           4           6                   0              0                0              0                0              0            0%         0%
           6           8                   0              0                0              0                0              0            0%         0%
           8          10                   0              0                0              0                0              0            0%         0%
          10          12                   0              0                0              0                0              0            0%         0%
          12          14          0.17959765    0.000394317       0.15647805    0.000342652       0.20127354    0.000443388       -12.87%     12.07%
          14          16          0.16211205    0.000331794       0.14127570    0.000288398       0.18164049    0.000373028       -12.85%     12.05%
          16          18          0.15041116    0.000289963       0.13109656    0.000252367       0.16851040    0.000325663       -12.84%     12.03%
          18          20          0.13742631    0.000258606       0.11979895    0.000224911       0.15394141    0.000290619       -12.83%     12.02%
          20          22          0.12426495    0.000232897       0.10838767    0.000202686       0.13913213    0.000261598       -12.78%     11.96%
          22          24          0.11108930    0.000216307      0.096946937    0.000188197       0.12432499    0.000243049       -12.73%     11.91%
          24          26         0.098518519    0.000200617      0.086063242    0.000174644       0.11016392    0.000225245       -12.64%     11.82%
          26          28         0.086699534    0.000180065      0.075816846    0.000156780      0.096863751    0.000202164       -12.55%     11.72%
          28          30         0.075529941    0.000160691      0.066129591    0.000139907      0.084299124    0.000180424       -12.45%     11.61%
          30          32         0.065758793    0.000154625      0.057658315    0.000134701      0.073304331    0.000173559       -12.32%     11.47%
          32          34         0.056579948    0.000147587      0.049737846    0.000129277      0.062935499    0.000164850       -12.09%     11.23%
          34          36         0.048776144    0.000137915      0.042976558    0.000121201      0.054149871    0.000153636       -11.89%     11.02%
          36          38         0.041365896    0.000118522      0.036552883    0.000104322      0.045810945    0.000131865       -11.64%     10.75%
          38          40         0.035626557    0.000105785      0.031575018    9.30331e-05      0.039355032    0.000117776       -11.37%     10.47%
          40          42         0.029420955    0.000100074      0.026210257    8.87928e-05      0.032356008    0.000110579       -10.91%      9.98%
          42          44         0.022368451    7.22101e-05      0.020097418    6.43837e-05      0.024418477    7.94466e-05       -10.15%      9.16%
          44          46         0.017824806    5.92509e-05      0.016163202    5.37022e-05      0.019300778    6.42620e-05        -9.32%      8.28%
          46          48         0.015576935    5.21737e-05      0.014183146    4.72896e-05      0.016805020    5.65565e-05        -8.95%      7.88%
          48          50         0.014487863    4.99969e-05      0.013222179    4.55756e-05      0.015598233    5.39230e-05        -8.74%      7.66%
          50          52         0.013507854    4.73432e-05      0.012348934    4.34159e-05      0.014521381    5.08082e-05        -8.58%      7.50%
          52          54         0.012936817    4.40803e-05      0.011837673    4.01497e-05      0.013896270    4.76154e-05        -8.50%      7.42%
          54          56         0.012397200    4.29332e-05      0.011362187    3.93310e-05      0.013297945    4.61102e-05        -8.35%      7.27%
          56          58         0.011993224    4.28131e-05      0.011004785    3.94167e-05      0.012851469    4.57883e-05        -8.24%      7.16%
          58          60         0.011684921    3.45180e-05      0.010733100    3.18834e-05      0.012509769    3.68262e-05        -8.15%      7.06%
          60          62         0.011620360    3.79006e-05      0.010688416    3.53086e-05      0.012425942    4.01534e-05        -8.02%      6.93%
          62          64         0.011760917    3.53487e-05      0.010820474    3.26148e-05      0.012573265    3.77392e-05        -8.00%      6.91%
          64          66         0.011955273    3.67684e-05      0.011010164    3.39801e-05      0.012770163    3.92023e-05        -7.91%      6.82%
          66          68         0.012479128    3.50341e-05      0.011500295    3.23970e-05      0.013321930    3.73311e-05        -7.84%      6.75%
          68          70         0.013321334    3.27206e-05      0.012284801    3.03378e-05      0.014212624    3.48016e-05        -7.78%      6.69%
          70          72         0.014556694    3.49310e-05      0.013433530    3.23020e-05      0.015520853    3.72277e-05        -7.72%      6.62%
          72          74         0.016556854    4.03739e-05      0.015291198    3.77104e-05      0.017641770    4.26987e-05        -7.64%      6.55%
          74          76         0.019343644    4.39284e-05      0.017884165    4.08251e-05      0.020592264    4.66342e-05        -7.55%      6.45%
          76          78         0.023525196    4.77424e-05      0.021768363    4.44565e-05      0.025025497    5.06054e-05        -7.47%      6.38%
          78          80         0.030306949    5.91344e-05      0.028067619    5.51253e-05      0.032215990    6.26214e-05        -7.39%      6.30%
          80          82         0.041478895    7.68901e-05      0.038456101    7.18427e-05      0.044050018    8.12791e-05        -7.29%      6.20%
          82          84         0.061487578    0.000107214      0.057074552    0.000100511      0.065232279    0.000113037        -7.18%      6.09%
          84          86          0.10197403    0.000175916      0.094735584    0.000168970       0.10810627    0.000182276        -7.10%      6.01%
          86          88          0.20393424    0.000254974       0.18959818    0.000241212       0.21605716    0.000266971        -7.03%      5.94%
          88          90          0.51062632    0.000389750       0.47515786    0.000364869       0.54055371    0.000411304        -6.95%      5.86%
          90          92          0.56171598    0.000412787       0.52308971    0.000386569       0.59424943    0.000435447        -6.88%      5.79%
          92          94          0.62557084    0.000443170       0.58311647    0.000415526       0.66124937    0.000466948        -6.79%      5.70%
          94          96          0.25615761    0.000284937       0.23897015    0.000267520       0.27057392    0.000299896        -6.71%      5.63%
          96          98          0.12694198    0.000208418       0.11852658    0.000196062       0.13398606    0.000219007        -6.63%      5.55%
          98         100         0.076051689    0.000166786      0.071088939    0.000159101      0.080196038    0.000173395        -6.53%      5.45%
         100         102         0.051199314    0.000126296      0.047897842    0.000120559      0.053950564    0.000131198        -6.45%      5.37%
         102         104         0.037236625    0.000100371      0.034864527    9.57055e-05      0.039209049    0.000104267        -6.37%      5.30%
         104         106         0.028511315    8.16441e-05      0.026710476    7.77532e-05      0.030006256    8.48834e-05        -6.32%      5.24%
         106         108         0.022712426    7.36309e-05      0.021290903    7.09835e-05      0.023890711    7.58193e-05        -6.26%      5.19%
         108         110         0.018786627    6.01245e-05      0.017626653    5.74334e-05      0.019745793    6.23510e-05        -6.17%      5.11%
         110         112         0.015864506    5.58411e-05      0.014894838    5.34307e-05      0.016664643    5.78253e-05        -6.11%      5.04%
         112         114         0.013612862    4.80215e-05      0.012788951    4.59068e-05      0.014291657    4.97696e-05        -6.05%      4.99%
         114         116         0.012057497    4.51652e-05      0.011338291    4.34185e-05      0.012648621    4.65828e-05        -5.96%      4.90%
         116         118         0.010578626    4.16378e-05     0.0099515876    3.99053e-05      0.011092972    4.30424e-05        -5.93%      4.86%
         118         120        0.0094083991    3.69810e-05     0.0088524958    3.54316e-05     0.0098642240    3.82548e-05        -5.91%      4.84%
         120         122                   0              0                0              0                0              0            0%         0%
         122         124                   0              0                0              0                0              0            0%         0%
         124         126                   0              0                0              0                0              0            0%         0%
         126         128                   0              0                0              0                0              0            0%         0%
         128         130                   0              0                0              0                0              0            0%         0%
         130         132                   0              0                0              0                0              0            0%         0%
         132         134                   0              0                0              0                0              0            0%         0%
         134         136                   0              0                0              0                0              0            0%         0%
         136         138                   0              0                0              0                0              0            0%         0%
         138         140                   0              0                0              0                0              0            0%         0%
         140         142                   0              0                0              0                0              0            0%         0%
         142         144                   0              0                0              0                0              0            0%         0%
         144         146                   0              0                0              0                0              0            0%         0%
         146         148                   0              0                0              0                0              0            0%         0%
         148         150                   0              0                0              0                0              0            0%         0%
         150         152                   0              0                0              0                0              0            0%         0%
         152         154                   0              0                0              0                0              0            0%         0%
         154         156                   0              0                0              0                0              0            0%         0%
         156         158                   0              0                0              0                0              0            0%         0%
         158         160                   0              0                0              0                0              0            0%         0%
         160         162                   0              0                0              0                0              0            0%         0%
         162         164                   0              0                0              0                0              0            0%         0%
         164         166                   0              0                0              0                0              0            0%         0%
         166         168                   0              0                0              0                0              0            0%         0%
         168         170                   0              0                0              0                0              0            0%         0%
         170         172                   0              0                0              0                0              0            0%         0%
         172         174                   0              0                0              0                0              0            0%         0%
         174         176                   0              0                0              0                0              0            0%         0%
         176         178                   0              0                0              0                0              0            0%         0%
         178         180                   0              0                0              0                0              0            0%         0%
         180         182                   0              0                0              0                0              0            0%         0%
         182         184                   0              0                0              0                0              0            0%         0%
         184         186                   0              0                0              0                0              0            0%         0%
         186         188                   0              0                0              0                0              0            0%         0%
         188         190                   0              0                0              0                0              0            0%         0%
         190         192                   0              0                0              0                0              0            0%         0%
         192         194                   0              0                0              0                0              0            0%         0%
         194         196                   0              0                0              0                0              0            0%         0%
         196         198                   0              0                0              0                0              0            0%         0%
         198         200                   0              0                0              0                0              0            0%         0%
