#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0        0.15           8.0770403      0.0143105        7.8614817      0.0135007        8.3458626      0.0153677        -2.67%      3.33%
        0.15         0.3           8.0514904      0.0160282        7.8363028      0.0151092        8.3198499      0.0172270        -2.67%      3.33%
         0.3        0.45           7.9234023      0.0158110        7.7124705      0.0148046        8.1864545      0.0171147        -2.66%      3.32%
        0.45         0.6           7.7033368      0.0156818        7.4977149      0.0147333        7.9597672      0.0169148        -2.67%      3.33%
         0.6        0.75           7.4290778      0.0154917        7.2314521      0.0146090        7.6755360      0.0166435        -2.66%      3.32%
        0.75         0.9           7.1011066      0.0157926        6.9091592      0.0147419        7.3404835      0.0171495        -2.70%      3.37%
         0.9        1.05           6.6349503      0.0146157        6.4589135      0.0136164        6.8544853      0.0159035        -2.65%      3.31%
        1.05         1.2           6.0745844      0.0143035        5.9126137      0.0133448        6.2765775      0.0155407        -2.67%      3.33%
         1.2        1.35           5.4056483      0.0140671        5.2595392      0.0131758        5.5878605      0.0152221        -2.70%      3.37%
        1.35         1.5           4.6296056      0.0129492        4.5038431      0.0121144        4.7864435      0.0140295        -2.72%      3.39%
         1.5        1.65           3.7865644      0.0129351        3.6816707      0.0121066        3.9173769      0.0140079        -2.77%      3.45%
        1.65         1.8           2.8125776      0.0130022        2.7339207      0.0123198        2.9106703      0.0138972        -2.80%      3.49%
         1.8        1.95           1.8783296      0.0103679        1.8236350     0.00975325        1.9465390      0.0111679        -2.91%      3.63%
        1.95         2.1           1.0647638     0.00861985        1.0322899     0.00802468        1.1052619     0.00938630        -3.05%      3.80%
         2.1        2.25          0.44693592     0.00661790       0.43236739     0.00621063       0.46510428     0.00714670        -3.26%      4.07%
        2.25         2.4         0.092222255     0.00433551      0.089041931     0.00449934      0.096639311     0.00422301        -3.45%      4.79%
         2.4        2.55        0.0038283933    0.000941816     0.0036059464    0.000853081     0.0041058060     0.00105304        -5.81%      7.25%
        2.55         2.7                   0              0                0              0                0              0            0%         0%
         2.7        2.85                   0              0                0              0                0              0            0%         0%
        2.85           3                   0              0                0              0                0              0            0%         0%
           3        3.15                   0              0                0              0                0              0            0%         0%
        3.15         3.3                   0              0                0              0                0              0            0%         0%
         3.3        3.45                   0              0                0              0                0              0            0%         0%
        3.45         3.6                   0              0                0              0                0              0            0%         0%
         3.6        3.75                   0              0                0              0                0              0            0%         0%
        3.75         3.9                   0              0                0              0                0              0            0%         0%
         3.9        4.05                   0              0                0              0                0              0            0%         0%
        4.05         4.2                   0              0                0              0                0              0            0%         0%
         4.2        4.35                   0              0                0              0                0              0            0%         0%
        4.35         4.5                   0              0                0              0                0              0            0%         0%
         4.5        4.65                   0              0                0              0                0              0            0%         0%
        4.65         4.8                   0              0                0              0                0              0            0%         0%
         4.8        4.95                   0              0                0              0                0              0            0%         0%
        4.95         5.1                   0              0                0              0                0              0            0%         0%
         5.1        5.25                   0              0                0              0                0              0            0%         0%
        5.25         5.4                   0              0                0              0                0              0            0%         0%
         5.4        5.55                   0              0                0              0                0              0            0%         0%
        5.55         5.7                   0              0                0              0                0              0            0%         0%
         5.7        5.85                   0              0                0              0                0              0            0%         0%
        5.85           6                   0              0                0              0                0              0            0%         0%
           6        6.15                   0              0                0              0                0              0            0%         0%
        6.15         6.3                   0              0                0              0                0              0            0%         0%
         6.3        6.45                   0              0                0              0                0              0            0%         0%
        6.45         6.6                   0              0                0              0                0              0            0%         0%
         6.6        6.75                   0              0                0              0                0              0            0%         0%
        6.75         6.9                   0              0                0              0                0              0            0%         0%
         6.9        7.05                   0              0                0              0                0              0            0%         0%
        7.05         7.2                   0              0                0              0                0              0            0%         0%
         7.2        7.35                   0              0                0              0                0              0            0%         0%
        7.35         7.5                   0              0                0              0                0              0            0%         0%
         7.5        7.65                   0              0                0              0                0              0            0%         0%
        7.65         7.8                   0              0                0              0                0              0            0%         0%
         7.8        7.95                   0              0                0              0                0              0            0%         0%
        7.95         8.1                   0              0                0              0                0              0            0%         0%
         8.1        8.25                   0              0                0              0                0              0            0%         0%
        8.25         8.4                   0              0                0              0                0              0            0%         0%
         8.4        8.55                   0              0                0              0                0              0            0%         0%
        8.55         8.7                   0              0                0              0                0              0            0%         0%
         8.7        8.85                   0              0                0              0                0              0            0%         0%
        8.85           9                   0              0                0              0                0              0            0%         0%
