#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5         0.014791439    0.000221235      0.014511839    0.000212605      0.015002684    0.000229014        -1.89%      1.43%
           5          10         0.043767278    0.000368245      0.042734229    0.000350762      0.044898769    0.000406579        -2.36%      2.59%
          10          15         0.071242305    0.000489650      0.069449349    0.000464154      0.073308674    0.000541203        -2.52%      2.90%
          15          20          0.10310524    0.000623307       0.10052999    0.000583175       0.10599509    0.000686276        -2.50%      2.80%
          20          25          0.14063438    0.000787736       0.13720644    0.000727224       0.14410799    0.000866114        -2.44%      2.47%
          25          30          0.17487100    0.000902484       0.17152944    0.000834720       0.17729216    0.000991141        -1.91%      1.38%
          30          35          0.19383612    0.000983537       0.19111708    0.000900631       0.19551601     0.00108294        -1.40%      0.87%
          35          40          0.18560353    0.000895242       0.18202128    0.000821083       0.18898074    0.000988262        -1.93%      1.82%
          40          45          0.16330099    0.000701988       0.15903544    0.000642650       0.16862054    0.000776870        -2.61%      3.26%
          45          50          0.14352126    0.000777709       0.13912102    0.000707712       0.14900879    0.000865624        -3.07%      3.82%
          50          55          0.13244360    0.000788064       0.12860654    0.000716074       0.13722878    0.000878402        -2.90%      3.61%
          55          60          0.12273898    0.000697168       0.11915982    0.000634821       0.12720254    0.000775514        -2.92%      3.64%
          60          65          0.11409641    0.000613612       0.11092617    0.000559722       0.11805001    0.000681428        -2.78%      3.47%
          65          70          0.10788209    0.000627035       0.10498395    0.000571392       0.11149633    0.000697015        -2.69%      3.35%
          70          75          0.10245124    0.000569204      0.099711786    0.000519526       0.10586760    0.000631753        -2.67%      3.33%
          75          80         0.093732102    0.000559991      0.091424807    0.000510505      0.096609522    0.000622264        -2.46%      3.07%
          80          85         0.083463339    0.000537098      0.081464621    0.000489637      0.085955933    0.000596825        -2.39%      2.99%
          85          90         0.069493778    0.000480944      0.067741388    0.000438906      0.071679178    0.000533885        -2.52%      3.14%
          90          95         0.054225374    0.000404257      0.052191517    0.000369239      0.056761789    0.000448310        -3.75%      4.68%
          95         100         0.040251970    0.000322819      0.038294565    0.000295450      0.042693042    0.000357224        -4.86%      6.06%
         100         105         0.030030646    0.000278233      0.028390939    0.000254727      0.032075519    0.000307752        -5.46%      6.81%
         105         110         0.023756635    0.000249433      0.022376787    0.000228321      0.025477440    0.000275927        -5.81%      7.24%
         110         115         0.018326044    0.000245969      0.017232232    0.000224587      0.019690132    0.000272774        -5.97%      7.44%
         115         120         0.015530984    0.000225800      0.014539046    0.000206232      0.016768025    0.000250319        -6.39%      7.96%
         120         125         0.012612926    0.000179790      0.011799076    0.000165133      0.013624480    0.000198219        -6.45%      8.02%
         125         130         0.010085073    0.000168693     0.0094151140    0.000154363      0.010905269    0.000185360        -6.64%      8.13%
         130         135        0.0086525986    0.000148778     0.0080293809    0.000135932     0.0094077736    0.000164473        -7.20%      8.73%
         135         140        0.0074734656    0.000154957     0.0069114204    0.000140812     0.0081580221    0.000172421        -7.52%      9.16%
         140         145        0.0063632872    0.000133865     0.0058610628    0.000121478     0.0069783985    0.000149075        -7.89%      9.67%
         145         150        0.0051581725    0.000144593     0.0047534487    0.000131180     0.0056526012    0.000161399        -7.85%      9.59%
         150         155        0.0048994124    0.000116052     0.0044975553    0.000104901     0.0053895305    0.000129838        -8.20%     10.00%
         155         160        0.0041916040    0.000113001     0.0038260838    0.000101709     0.0046416325    0.000127120        -8.72%     10.74%
         160         165        0.0033126962    0.000124434     0.0030298440    0.000111973     0.0036588681    0.000140289        -8.54%     10.45%
         165         170        0.0028682619    0.000110330     0.0026098072    9.80298e-05     0.0031878277    0.000126041        -9.01%     11.14%
         170         175        0.0027631474    9.68238e-05     0.0025114319    8.60518e-05     0.0030783153    0.000110815        -9.11%     11.41%
         175         180        0.0024177427    8.69603e-05     0.0021892035    7.82010e-05     0.0026998141    9.78842e-05        -9.45%     11.67%
         180         185        0.0021667821    0.000100086     0.0019592405    9.00550e-05     0.0024242630    0.000112615        -9.58%     11.88%
         185         190        0.0017591278    0.000103135     0.0015918931    9.04915e-05     0.0019658617    0.000119467        -9.51%     11.75%
         190         195        0.0018285947    0.000127133     0.0016487793    0.000113242     0.0020512560    0.000144561        -9.83%     12.18%
         195         200        0.0014096904    0.000124334     0.0012683775    0.000110898     0.0015852314    0.000141142       -10.02%     12.45%
         200         205        0.0014242576    6.72436e-05     0.0012754961    5.99562e-05     0.0016116610    7.64468e-05       -10.44%     13.16%
         205         210        0.0012883804    8.95153e-05     0.0011522187    7.85776e-05     0.0014591479    0.000103624       -10.57%     13.25%
         210         215       0.00096513386    0.000105016    0.00085903607    9.38453e-05     0.0010997327    0.000119019       -10.99%     13.95%
         215         220       0.00094726231    8.24493e-05    0.00085207285    7.13052e-05     0.0010648293    9.73052e-05       -10.05%     12.41%
         220         225        0.0010341393    5.16758e-05    0.00091855486    4.53652e-05     0.0011805943    5.97411e-05       -11.18%     14.16%
         225         230       0.00083279053    8.02960e-05    0.00073988897    7.06284e-05    0.00095010802    9.26031e-05       -11.16%     14.09%
         230         235       0.00084291969    6.34229e-05    0.00074688676    5.58820e-05    0.00096390667    7.28911e-05       -11.39%     14.35%
         235         240       0.00068892478    7.09752e-05    0.00060775398    6.16018e-05    0.00079239703    8.31138e-05       -11.78%     15.02%
         240         245       0.00066467194    4.99981e-05    0.00058851671    4.36232e-05    0.00076123116    5.81328e-05       -11.46%     14.53%
         245         250       0.00067197372    5.38638e-05    0.00059034327    4.71986e-05    0.00077604305    6.23510e-05       -12.15%     15.49%
         250         255       0.00035406746    8.66197e-05    0.00030965727    7.56281e-05    0.00041112929    0.000100740       -12.54%     16.12%
         255         260       0.00048752518    6.07336e-05    0.00044033502    5.41679e-05    0.00054493226    6.95310e-05        -9.68%     11.78%
         260         265       0.00058362524    5.34643e-05    0.00051027542    4.64720e-05    0.00067713663    6.23830e-05       -12.57%     16.02%
         265         270       0.00028921572    9.56029e-05    0.00025642036    8.18370e-05    0.00033032171    0.000113963       -11.34%     14.21%
         270         275       0.00050619795    3.31973e-05    0.00044422659    2.86393e-05    0.00058790376    3.90976e-05       -12.24%     16.14%
         275         280       0.00034563231    5.05733e-05    0.00030021320    4.42686e-05    0.00040466811    5.86527e-05       -13.14%     17.08%
         280         285       0.00019416685    5.42725e-05    0.00016931211    4.80515e-05    0.00022610635    6.21086e-05       -12.80%     16.45%
         285         290       0.00011315944    5.05543e-05    9.7147647e-05    4.40652e-05    0.00013410698    5.88490e-05       -14.15%     18.51%
         290         295       0.00031195435    5.92403e-05    0.00026875525    5.14892e-05    0.00036812800    6.92451e-05       -13.85%     18.01%
         295         300       0.00034684844    2.88436e-05    0.00030179221    2.47718e-05    0.00040538591    3.41342e-05       -12.99%     16.88%
         300         305       0.00019496513    3.85905e-05    0.00017209742    3.26864e-05    0.00022389893    4.64716e-05       -11.73%     14.84%
         305         310       0.00016995169    4.41273e-05    0.00015033293    3.77078e-05    0.00019478320    5.25883e-05       -11.54%     14.61%
         310         315       0.00019028470    3.39273e-05    0.00016527953    2.92275e-05    0.00022299076    4.01665e-05       -13.14%     17.19%
         315         320       4.1054753e-05    7.22247e-05    3.5769797e-05    6.21870e-05    4.8169734e-05    8.53660e-05       -12.87%     17.33%
         320         325       0.00016560841    2.95023e-05    0.00014207826    2.55858e-05    0.00019655391    3.45761e-05       -14.21%     18.69%
         325         330       0.00013441736    3.48438e-05    0.00011633848    2.97619e-05    0.00015773498    4.15389e-05       -13.45%     17.35%
         330         335       9.6755396e-05    3.33596e-05    8.3084512e-05    2.87070e-05    0.00011494830    3.95130e-05       -14.13%     18.80%
         335         340       0.00019457909    2.63374e-05    0.00016853338    2.26694e-05    0.00022852980    3.11528e-05       -13.39%     17.45%
         340         345       0.00015721254    3.79565e-05    0.00013517219    3.23418e-05    0.00018590961    4.53190e-05       -14.02%     18.25%
         345         350       8.8775629e-05    3.68230e-05    7.7279280e-05    3.05013e-05    0.00010348250    4.56040e-05       -12.95%     16.57%
         350         355       0.00016320492    3.17048e-05    0.00013826110    2.72112e-05    0.00019635656    3.75272e-05       -15.28%     20.31%
         355         360       1.7448286e-05    4.59082e-05    1.4757703e-05    3.95255e-05    2.1186804e-05    5.42929e-05       -15.42%     21.43%
         360         365       9.7624280e-05    3.29659e-05    8.2276804e-05    2.87578e-05    0.00011829917    3.83841e-05       -15.72%     21.18%
         365         370       9.8030330e-05    2.39376e-05    8.2763169e-05    2.00760e-05    0.00011845728    2.92091e-05       -15.57%     20.84%
         370         375       9.8791120e-05    4.81579e-05    8.5027102e-05    3.96986e-05    0.00011668308    5.97946e-05       -13.93%     18.11%
         375         380       0.00014483340    2.72139e-05    0.00012288772    2.28806e-05    0.00017380156    3.29610e-05       -15.15%     20.00%
         380         385       5.6516035e-05    2.05223e-05    4.7897099e-05    1.75205e-05    6.8133853e-05    2.44965e-05       -15.25%     20.56%
         385         390       7.1589704e-05    4.43130e-05    6.2396874e-05    3.69065e-05    8.3603860e-05    5.40844e-05       -12.84%     16.78%
         390         395       7.2818922e-05    1.55652e-05    6.2219307e-05    1.32690e-05    8.6898562e-05    1.85992e-05       -14.56%     19.34%
