#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           2                   0              0                0              0                0              0            0%         0%
           2           4                   0              0                0              0                0              0            0%         0%
           4           6                   0              0                0              0                0              0            0%         0%
           6           8                   0              0                0              0                0              0            0%         0%
           8          10                   0              0                0              0                0              0            0%         0%
          10          12                   0              0                0              0                0              0            0%         0%
          12          14                   0              0                0              0                0              0            0%         0%
          14          16                   0              0                0              0                0              0            0%         0%
          16          18                   0              0                0              0                0              0            0%         0%
          18          20                   0              0                0              0                0              0            0%         0%
          20          22                   0              0                0              0                0              0            0%         0%
          22          24                   0              0                0              0                0              0            0%         0%
          24          26                   0              0                0              0                0              0            0%         0%
          26          28                   0              0                0              0                0              0            0%         0%
          28          30                   0              0                0              0                0              0            0%         0%
          30          32                   0              0                0              0                0              0            0%         0%
          32          34                   0              0                0              0                0              0            0%         0%
          34          36                   0              0                0              0                0              0            0%         0%
          36          38                   0              0                0              0                0              0            0%         0%
          38          40                   0              0                0              0                0              0            0%         0%
          40          42       0.00023159073    7.91317e-06    0.00022349060    7.49210e-06    0.00024169238    8.45018e-06        -3.50%      4.36%
          42          44       0.00039144617    1.70568e-05    0.00037912970    1.64345e-05    0.00040680600    1.78443e-05        -3.15%      3.92%
          44          46       0.00060773888    3.22815e-05    0.00058818156    3.13177e-05    0.00063030169    3.35822e-05        -3.22%      3.71%
          46          48       0.00097742910    2.17546e-05    0.00094660603    2.10345e-05     0.0010148028    2.28050e-05        -3.15%      3.82%
          48          50        0.0013577058    2.12104e-05     0.0013146451    2.04362e-05     0.0014088065    2.22739e-05        -3.17%      3.76%
          50          52        0.0018991774    2.74125e-05     0.0018350030    2.61963e-05     0.0019718221    2.90287e-05        -3.38%      3.83%
          52          54        0.0025044778    3.99702e-05     0.0024098848    3.83339e-05     0.0026042937    4.20164e-05        -3.78%      3.99%
          54          56        0.0030069859    3.33146e-05     0.0029136179    3.15875e-05     0.0031234248    3.55280e-05        -3.11%      3.87%
          56          58        0.0035681373    4.10268e-05     0.0034483243    3.86431e-05     0.0037067018    4.32592e-05        -3.36%      3.88%
          58          60        0.0040748454    5.62212e-05     0.0039395355    5.40481e-05     0.0042375337    5.93035e-05        -3.32%      3.99%
          60          62        0.0046531655    6.40128e-05     0.0045067336    6.25500e-05     0.0048323799    6.89396e-05        -3.15%      3.85%
          62          64        0.0052012203    4.79705e-05     0.0050367152    4.60033e-05     0.0054056294    5.08498e-05        -3.16%      3.93%
          64          66        0.0056918290    4.30715e-05     0.0055135774    4.06983e-05     0.0059141260    4.61112e-05        -3.13%      3.91%
          66          68        0.0059774630    6.61259e-05     0.0057965404    6.32303e-05     0.0062030910    6.98184e-05        -3.03%      3.77%
          68          70        0.0066008089    7.11441e-05     0.0063922103    6.82283e-05     0.0068539955    7.46908e-05        -3.16%      3.84%
          70          72        0.0068465042    4.55016e-05     0.0066395087    4.32567e-05     0.0071046476    4.83796e-05        -3.02%      3.77%
          72          74        0.0071683774    6.14460e-05     0.0069563947    5.77223e-05     0.0074327403    6.62036e-05        -2.96%      3.69%
          74          76        0.0077274048    5.70377e-05     0.0074968351    5.42418e-05     0.0080149475    6.06155e-05        -2.98%      3.72%
          76          78        0.0081891842    5.52750e-05     0.0079482148    5.27723e-05     0.0084896964    5.84772e-05        -2.94%      3.67%
          78          80        0.0088131082    5.62153e-05     0.0085527357    5.40246e-05     0.0091219204    5.93863e-05        -2.95%      3.50%
          80          82        0.0097535170    8.40671e-05     0.0094793464    8.17478e-05      0.010089813    8.84128e-05        -2.81%      3.45%
          82          84         0.011445063    6.60518e-05      0.011141747    6.23500e-05      0.011812576    7.07588e-05        -2.65%      3.21%
          84          86         0.015167630    6.89600e-05      0.014769500    6.58996e-05      0.015626537    7.34792e-05        -2.62%      3.03%
          86          88         0.024540839    8.31694e-05      0.023865200    7.97326e-05      0.025225086    8.81614e-05        -2.75%      2.79%
          88          90         0.059280696    0.000124640      0.057728890    0.000119514      0.060748214    0.000131971        -2.62%      2.48%
          90          92          0.15518976    0.000193981       0.15119948    0.000186944       0.15890366    0.000205375        -2.57%      2.39%
          92          94         0.067221875    0.000132454      0.065514624    0.000127775      0.068820232    0.000140092        -2.54%      2.38%
          94          96         0.021307567    7.55941e-05      0.020741824    7.25374e-05      0.021842506    7.99635e-05        -2.66%      2.51%
          96          98         0.010750824    5.37300e-05      0.010464928    5.16557e-05      0.011034775    5.68017e-05        -2.66%      2.64%
          98         100        0.0065661901    4.53212e-05     0.0063967032    4.33655e-05     0.0067407642    4.82120e-05        -2.58%      2.66%
         100         102        0.0047503937    3.65113e-05     0.0046262328    3.52416e-05     0.0048890813    3.85460e-05        -2.61%      2.92%
         102         104        0.0035025423    3.29558e-05     0.0034128644    3.17380e-05     0.0036048156    3.47631e-05        -2.56%      2.92%
         104         106        0.0027053199    2.88344e-05     0.0026397494    2.77023e-05     0.0027862350    3.05122e-05        -2.42%      2.99%
         106         108        0.0022275252    2.93044e-05     0.0021707276    2.80892e-05     0.0022959371    3.11716e-05        -2.55%      3.07%
         108         110        0.0017878314    2.19745e-05     0.0017418528    2.09275e-05     0.0018451711    2.33226e-05        -2.57%      3.21%
         110         112        0.0014846196    2.01302e-05     0.0014398626    1.92097e-05     0.0015325436    2.15434e-05        -3.01%      3.23%
         112         114        0.0012275052    1.80328e-05     0.0011959468    1.72666e-05     0.0012655098    1.92401e-05        -2.57%      3.10%
         114         116        0.0010250729    1.70646e-05    0.00099803388    1.62894e-05     0.0010587932    1.80619e-05        -2.64%      3.29%
         116         118       0.00082538991    1.70302e-05    0.00079856255    1.61840e-05    0.00085276510    1.79418e-05        -3.25%      3.32%
         118         120       0.00068358089    1.53106e-05    0.00066594211    1.46682e-05    0.00070557815    1.61362e-05        -2.58%      3.22%
         120         122                   0              0                0              0                0              0            0%         0%
         122         124                   0              0                0              0                0              0            0%         0%
         124         126                   0              0                0              0                0              0            0%         0%
         126         128                   0              0                0              0                0              0            0%         0%
         128         130                   0              0                0              0                0              0            0%         0%
         130         132                   0              0                0              0                0              0            0%         0%
         132         134                   0              0                0              0                0              0            0%         0%
         134         136                   0              0                0              0                0              0            0%         0%
         136         138                   0              0                0              0                0              0            0%         0%
         138         140                   0              0                0              0                0              0            0%         0%
         140         142                   0              0                0              0                0              0            0%         0%
         142         144                   0              0                0              0                0              0            0%         0%
         144         146                   0              0                0              0                0              0            0%         0%
         146         148                   0              0                0              0                0              0            0%         0%
         148         150                   0              0                0              0                0              0            0%         0%
         150         152                   0              0                0              0                0              0            0%         0%
         152         154                   0              0                0              0                0              0            0%         0%
         154         156                   0              0                0              0                0              0            0%         0%
         156         158                   0              0                0              0                0              0            0%         0%
         158         160                   0              0                0              0                0              0            0%         0%
         160         162                   0              0                0              0                0              0            0%         0%
         162         164                   0              0                0              0                0              0            0%         0%
         164         166                   0              0                0              0                0              0            0%         0%
         166         168                   0              0                0              0                0              0            0%         0%
         168         170                   0              0                0              0                0              0            0%         0%
         170         172                   0              0                0              0                0              0            0%         0%
         172         174                   0              0                0              0                0              0            0%         0%
         174         176                   0              0                0              0                0              0            0%         0%
         176         178                   0              0                0              0                0              0            0%         0%
         178         180                   0              0                0              0                0              0            0%         0%
         180         182                   0              0                0              0                0              0            0%         0%
         182         184                   0              0                0              0                0              0            0%         0%
         184         186                   0              0                0              0                0              0            0%         0%
         186         188                   0              0                0              0                0              0            0%         0%
         188         190                   0              0                0              0                0              0            0%         0%
         190         192                   0              0                0              0                0              0            0%         0%
         192         194                   0              0                0              0                0              0            0%         0%
         194         196                   0              0                0              0                0              0            0%         0%
         196         198                   0              0                0              0                0              0            0%         0%
         198         200                   0              0                0              0                0              0            0%         0%
