#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10           4.2587371        2.77667        3.8368715        2.50162        4.7848442        3.11969        -9.91%     12.35%
          10          20         0.021246473     0.00147042      0.019146119     0.00132481      0.023865817     0.00165202        -9.89%     12.33%
          20          30        0.0022314177    5.44384e-05     0.0020199077    4.91873e-05     0.0024951910    6.09876e-05        -9.48%     11.82%
          30          40        0.0012571283    1.49770e-05     0.0011721489    1.37702e-05     0.0013631058    1.64890e-05        -6.76%      8.43%
          40          50        0.0020409735    1.26403e-05     0.0019594307    1.17141e-05     0.0021426652    1.38137e-05        -4.00%      4.98%
          50          60        0.0033477625    1.72092e-05     0.0032553405    1.63198e-05     0.0034627733    1.83965e-05        -2.76%      3.44%
          60          70        0.0057659129    1.96275e-05     0.0056160690    1.84527e-05     0.0059266794    2.09601e-05        -2.60%      2.79%
          70          80        0.0087080649    2.35516e-05     0.0084740467    2.24485e-05     0.0089564331    2.52350e-05        -2.69%      2.85%
          80          90         0.022016062    3.38217e-05      0.021430360    3.22135e-05      0.022563606    3.61894e-05        -2.66%      2.49%
          90         100         0.045211023    4.41523e-05      0.044048701    4.22039e-05      0.046194599    4.71653e-05        -2.57%      2.18%
         100         110        0.0048819415    1.60526e-05     0.0047586122    1.53901e-05     0.0050297575    1.71917e-05        -2.53%      3.03%
         110         120        0.0019061313    1.41516e-05     0.0018546638    1.34317e-05     0.0019701154    1.52204e-05        -2.70%      3.36%
         120         130       0.00034587733    1.07465e-05    0.00033553563    1.03167e-05    0.00035877443    1.12935e-05        -2.99%      3.73%
         130         140       0.00011113600    3.84346e-06    0.00010792206    3.66059e-06    0.00011514409    4.07970e-06        -2.89%      3.61%
         140         150       4.5521610e-06    1.43133e-06    4.2719494e-06    1.36076e-06    4.8007489e-06    1.51668e-06        -6.16%      5.46%
         150         160                   0              0                0              0                0              0            0%         0%
         160         170                   0              0                0              0                0              0            0%         0%
         170         180                   0              0                0              0                0              0            0%         0%
         180         190                   0              0                0              0                0              0            0%         0%
         190         200                   0              0                0              0                0              0            0%         0%
         200         210                   0              0                0              0                0              0            0%         0%
         210         220                   0              0                0              0                0              0            0%         0%
         220         230                   0              0                0              0                0              0            0%         0%
         230         240                   0              0                0              0                0              0            0%         0%
         240         250                   0              0                0              0                0              0            0%         0%
         250         260                   0              0                0              0                0              0            0%         0%
         260         270                   0              0                0              0                0              0            0%         0%
         270         280                   0              0                0              0                0              0            0%         0%
         280         290                   0              0                0              0                0              0            0%         0%
         290         300                   0              0                0              0                0              0            0%         0%
         300         310                   0              0                0              0                0              0            0%         0%
         310         320                   0              0                0              0                0              0            0%         0%
         320         330                   0              0                0              0                0              0            0%         0%
         330         340                   0              0                0              0                0              0            0%         0%
         340         350                   0              0                0              0                0              0            0%         0%
         350         360                   0              0                0              0                0              0            0%         0%
         360         370                   0              0                0              0                0              0            0%         0%
         370         380                   0              0                0              0                0              0            0%         0%
         380         390                   0              0                0              0                0              0            0%         0%
         390         400                   0              0                0              0                0              0            0%         0%
         400         410                   0              0                0              0                0              0            0%         0%
         410         420                   0              0                0              0                0              0            0%         0%
         420         430                   0              0                0              0                0              0            0%         0%
         430         440                   0              0                0              0                0              0            0%         0%
         440         450                   0              0                0              0                0              0            0%         0%
         450         460                   0              0                0              0                0              0            0%         0%
         460         470                   0              0                0              0                0              0            0%         0%
         470         480                   0              0                0              0                0              0            0%         0%
         480         490                   0              0                0              0                0              0            0%         0%
         490         500                   0              0                0              0                0              0            0%         0%
         500         510                   0              0                0              0                0              0            0%         0%
         510         520                   0              0                0              0                0              0            0%         0%
         520         530                   0              0                0              0                0              0            0%         0%
         530         540                   0              0                0              0                0              0            0%         0%
         540         550                   0              0                0              0                0              0            0%         0%
         550         560                   0              0                0              0                0              0            0%         0%
         560         570                   0              0                0              0                0              0            0%         0%
         570         580                   0              0                0              0                0              0            0%         0%
         580         590                   0              0                0              0                0              0            0%         0%
         590         600                   0              0                0              0                0              0            0%         0%
         600         610                   0              0                0              0                0              0            0%         0%
         610         620                   0              0                0              0                0              0            0%         0%
         620         630                   0              0                0              0                0              0            0%         0%
         630         640                   0              0                0              0                0              0            0%         0%
         640         650                   0              0                0              0                0              0            0%         0%
         650         660                   0              0                0              0                0              0            0%         0%
         660         670                   0              0                0              0                0              0            0%         0%
         670         680                   0              0                0              0                0              0            0%         0%
         680         690                   0              0                0              0                0              0            0%         0%
         690         700                   0              0                0              0                0              0            0%         0%
         700         710                   0              0                0              0                0              0            0%         0%
         710         720                   0              0                0              0                0              0            0%         0%
         720         730                   0              0                0              0                0              0            0%         0%
         730         740                   0              0                0              0                0              0            0%         0%
         740         750                   0              0                0              0                0              0            0%         0%
         750         760                   0              0                0              0                0              0            0%         0%
         760         770                   0              0                0              0                0              0            0%         0%
         770         780                   0              0                0              0                0              0            0%         0%
         780         790                   0              0                0              0                0              0            0%         0%
         790         800                   0              0                0              0                0              0            0%         0%
         800         810                   0              0                0              0                0              0            0%         0%
         810         820                   0              0                0              0                0              0            0%         0%
         820         830                   0              0                0              0                0              0            0%         0%
         830         840                   0              0                0              0                0              0            0%         0%
         840         850                   0              0                0              0                0              0            0%         0%
         850         860                   0              0                0              0                0              0            0%         0%
         860         870                   0              0                0              0                0              0            0%         0%
         870         880                   0              0                0              0                0              0            0%         0%
         880         890                   0              0                0              0                0              0            0%         0%
         890         900                   0              0                0              0                0              0            0%         0%
         900         910                   0              0                0              0                0              0            0%         0%
         910         920                   0              0                0              0                0              0            0%         0%
         920         930                   0              0                0              0                0              0            0%         0%
         930         940                   0              0                0              0                0              0            0%         0%
         940         950                   0              0                0              0                0              0            0%         0%
         950         960                   0              0                0              0                0              0            0%         0%
         960         970                   0              0                0              0                0              0            0%         0%
         970         980                   0              0                0              0                0              0            0%         0%
         980         990                   0              0                0              0                0              0            0%         0%
         990        1000                   0              0                0              0                0              0            0%         0%
