#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5                   0              0                0              0                0              0            0%         0%
           5          10                   0              0                0              0                0              0            0%         0%
          10          15                   0              0                0              0                0              0            0%         0%
          15          20                   0              0                0              0                0              0            0%         0%
          20          25        0.0045596925    4.63778e-05     0.0044742537    4.32682e-05     0.0046625944    4.54886e-05        -1.87%      2.26%
          25          30        0.0089266589    5.77656e-05     0.0087458332    5.37474e-05     0.0090698866    5.64376e-05        -2.03%      1.60%
          30          35         0.014001353    6.17896e-05      0.013692444    5.73995e-05      0.014199383    6.12641e-05        -2.21%      1.41%
          35          40         0.019877251    9.17196e-05      0.019431469    8.32281e-05      0.020110639    9.11031e-05        -2.24%      1.17%
          40          45         0.027500373    0.000102900      0.026911637    9.37065e-05      0.027796621    0.000101797        -2.14%      1.08%
          45          50         0.035971701    9.33448e-05      0.035167314    8.61003e-05      0.036368450    0.000100111        -2.24%      1.10%
          50          55         0.029227609    7.75199e-05      0.028400365    7.16395e-05      0.029981886    8.57080e-05        -2.83%      2.58%
          55          60         0.019325744    6.47818e-05      0.018671112    6.03402e-05      0.020111533    7.16936e-05        -3.39%      4.07%
          60          65         0.012565129    5.59161e-05      0.011984460    5.11972e-05      0.013289280    6.18561e-05        -4.62%      5.76%
          65          70        0.0077737341    4.43733e-05     0.0073072539    4.07781e-05     0.0083554800    4.88891e-05        -6.00%      7.48%
          70          75        0.0050943703    4.31616e-05     0.0047006768    3.94461e-05     0.0055853440    4.78075e-05        -7.73%      9.64%
          75          80        0.0052020017    0.000137994     0.0047114236    0.000124245     0.0058138000    0.000155144        -9.43%     11.76%
          80          85        0.0017004345    9.98520e-06     0.0015387078    9.07764e-06     0.0019021232    1.11268e-05        -9.51%     11.86%
          85          90        0.0012110583    7.82156e-06     0.0010953298    7.11684e-06     0.0013553829    8.70878e-06        -9.56%     11.92%
          90          95       0.00089518929    6.88627e-06    0.00080976733    6.31931e-06     0.0010017187    7.60600e-06        -9.54%     11.90%
          95         100       0.00067939059    7.17326e-06    0.00061348038    6.48535e-06    0.00076158699    8.03401e-06        -9.70%     12.10%
         100         105       0.00052212804    5.81063e-06    0.00047163196    5.27579e-06    0.00058510152    6.48259e-06        -9.67%     12.06%
         105         110       0.00040534378    4.73490e-06    0.00036591545    4.29137e-06    0.00045451471    5.29117e-06        -9.73%     12.13%
         110         115       0.00031761384    4.39909e-06    0.00028689443    4.02537e-06    0.00035592392    4.87217e-06        -9.67%     12.06%
         115         120       0.00026516741    4.83363e-06    0.00023949727    4.37548e-06    0.00029718056    5.40756e-06        -9.68%     12.07%
         120         125       0.00020253754    4.49260e-06    0.00018266783    4.05098e-06    0.00022731698    5.04379e-06        -9.81%     12.23%
         125         130       0.00016631525    3.25232e-06    0.00015010402    2.95642e-06    0.00018653223    3.62450e-06        -9.75%     12.16%
         130         135       0.00015177799    5.19305e-06    0.00013701821    4.70090e-06    0.00017018485    5.80959e-06        -9.72%     12.13%
         135         140       0.00012348914    4.15584e-06    0.00011125370    3.78021e-06    0.00013868140    4.66765e-06        -9.91%     12.30%
