#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5                   0              0                0              0                0              0            0%         0%
           5          10        0.0074600751    0.000173303     0.0064716374    0.000136202     0.0083923896    0.000212435       -13.25%     12.50%
          10          15         0.042873765    0.000218624      0.037007197    0.000189901      0.048435508    0.000245926       -13.68%     12.97%
          15          20         0.086464214    0.000265688      0.074890018    0.000232421      0.097402149    0.000298170       -13.39%     12.65%
          20          25          0.14632219    0.000356209       0.12718632    0.000312613       0.16435181    0.000397387       -13.08%     12.32%
          25          30          0.16566464    0.000352516       0.14517483    0.000310779       0.18481282    0.000391869       -12.37%     11.56%
          30          35          0.18065678    0.000326102       0.15976928    0.000288368       0.19996845    0.000361571       -11.56%     10.69%
          35          40          0.18905254    0.000348799       0.16866766    0.000309921       0.20767630    0.000385112       -10.78%      9.85%
          40          45          0.17452698    0.000303839       0.15769060    0.000274857       0.18959589    0.000330541        -9.65%      8.63%
          45          50          0.15062493    0.000254513       0.13757288    0.000234898       0.16205908    0.000271879        -8.67%      7.59%
          50          55          0.13020386    0.000246479       0.11938622    0.000228502       0.13960545    0.000262134        -8.31%      7.22%
          55          60          0.10899106    0.000222462       0.10029298    0.000206770       0.11649794    0.000236074        -7.98%      6.89%
          60          65         0.087838937    0.000244533      0.081069943    0.000239012      0.093643275    0.000249563        -7.71%      6.61%
          65          70         0.072106450    0.000193191      0.066792487    0.000180521      0.076631232    0.000204038        -7.37%      6.28%
          70          75         0.057919920    0.000167187      0.053803892    0.000157219      0.061402331    0.000175593        -7.11%      6.01%
          75          80         0.046993187    0.000154545      0.043795498    0.000146786      0.049678322    0.000161037        -6.80%      5.71%
          80          85         0.038010036    0.000137279      0.035523210    0.000130135      0.040083533    0.000143183        -6.54%      5.46%
          85          90         0.030469508    0.000132862      0.028568039    0.000126707      0.032042764    0.000137845        -6.24%      5.16%
          90          95         0.025177847    0.000111315      0.023692474    0.000105956      0.026394495    0.000115658        -5.90%      4.83%
          95         100         0.020641810    0.000103678      0.019480784    9.90634e-05      0.021584910    0.000107366        -5.62%      4.57%
         100         105         0.017160870    9.68015e-05      0.016241621    9.28485e-05      0.017900336    9.99289e-05        -5.36%      4.31%
         105         110         0.014114119    9.16012e-05      0.013394113    8.84632e-05      0.014688323    9.39868e-05        -5.10%      4.07%
         110         115         0.012087647    8.35676e-05      0.011512544    8.04969e-05      0.012539889    8.59150e-05        -4.76%      3.74%
         115         120         0.010192561    9.98770e-05     0.0097421455    9.93505e-05      0.010541759    9.99848e-05        -4.42%      3.43%
         120         125        0.0086194450    7.44452e-05     0.0082492512    7.20942e-05     0.0089042465    7.61825e-05        -4.29%      3.30%
         125         130        0.0075031749    6.70914e-05     0.0072036321    6.52150e-05     0.0077300637    6.84468e-05        -3.99%      3.02%
         130         135        0.0062803999    7.99166e-05     0.0060480598    7.79174e-05     0.0064532913    8.13125e-05        -3.70%      2.75%
         135         140        0.0052638601    6.28897e-05     0.0050775319    6.17881e-05     0.0054005785    6.35475e-05        -3.54%      2.60%
         140         145        0.0046390075    5.63520e-05     0.0044930861    5.50098e-05     0.0047431913    5.72614e-05        -3.15%      2.25%
         145         150        0.0040971304    5.72644e-05     0.0039755891    5.60805e-05     0.0041819454    5.80303e-05        -2.97%      2.07%
         150         155        0.0036603005    5.00952e-05     0.0035588795    4.93440e-05     0.0037295680    5.05378e-05        -2.77%      1.89%
         155         160        0.0031557949    4.88835e-05     0.0030818279    4.81967e-05     0.0032034539    4.92441e-05        -2.34%      1.51%
         160         165        0.0027932249    6.54369e-05     0.0027277367    6.49930e-05     0.0028352610    6.54510e-05        -2.34%      1.50%
         165         170        0.0023326328    4.47658e-05     0.0022847343    4.43407e-05     0.0023616722    4.49078e-05        -2.05%      1.24%
         170         175        0.0021254653    5.12884e-05     0.0020872616    5.06429e-05     0.0021470667    5.15838e-05        -1.80%      1.02%
         175         180        0.0019175849    6.87124e-05     0.0018835728    6.82241e-05     0.0019365243    6.87654e-05        -1.77%      0.99%
         180         185        0.0014676233    5.83068e-05     0.0014403893    5.80374e-05     0.0014833243    5.82208e-05        -1.86%      1.07%
         185         190        0.0014546026    7.44364e-05     0.0014365455    7.47647e-05     0.0014620604    7.38341e-05        -1.24%      0.51%
         190         195        0.0013644829    3.94974e-05     0.0013506413    3.99082e-05     0.0013689916    3.89449e-05        -1.01%      0.33%
         195         200        0.0012046345    3.67761e-05     0.0011943525    3.73884e-05     0.0012068469    3.60908e-05        -0.85%      0.18%
         200         205        0.0011260052    3.57617e-05     0.0011177875    3.59806e-05     0.0011267392    3.53843e-05        -0.73%      0.07%
         205         210       0.00093605528    3.03442e-05    0.00093136799    3.04076e-05    0.00093605528    3.03442e-05        -0.50%   0.00000%
         210         215       0.00089396836    4.27007e-05    0.00089057377    4.16646e-05    0.00089396836    4.27007e-05        -0.38%   0.00000%
         215         220       0.00088163862    6.50467e-05    0.00087791026    6.32146e-05    0.00088163862    6.50467e-05        -0.42%   0.00000%
         220         225       0.00078255478    2.93498e-05    0.00077722088    2.86626e-05    0.00078361033    2.99875e-05        -0.68%      0.13%
         225         230       0.00062332948    4.04586e-05    0.00061835197    3.94231e-05    0.00062499624    4.13830e-05        -0.80%      0.27%
         230         235       0.00055365348    3.35008e-05    0.00054989814    3.26783e-05    0.00055434989    3.42429e-05        -0.68%      0.13%
         235         240       0.00056226060    2.55730e-05    0.00055634278    2.53049e-05    0.00056544652    2.57194e-05        -1.05%      0.57%
         240         245       0.00055759937    3.17871e-05    0.00055009628    3.10628e-05    0.00056261295    3.24169e-05        -1.35%      0.90%
         245         250       0.00046888629    3.85834e-05    0.00046357204    3.78091e-05    0.00047188231    3.92278e-05        -1.13%      0.64%
         250         255       0.00051494151    5.39277e-05    0.00050317618    5.07668e-05    0.00052542474    5.73610e-05        -2.28%      2.04%
         255         260       0.00035636149    2.62335e-05    0.00035259051    2.53868e-05    0.00035832198    2.70683e-05        -1.06%      0.55%
         260         265       0.00033640099    2.21795e-05    0.00032998067    2.16638e-05    0.00034168685    2.26388e-05        -1.91%      1.57%
         265         270       0.00033165727    1.80179e-05    0.00032505219    1.76307e-05    0.00033718801    1.83534e-05        -1.99%      1.67%
         270         275       0.00029543994    1.50285e-05    0.00028913902    1.46543e-05    0.00030091223    1.53738e-05        -2.13%      1.85%
         275         280       0.00030922771    1.64894e-05    0.00030202288    1.59114e-05    0.00031557976    1.70719e-05        -2.33%      2.05%
         280         285       0.00020571907    2.04798e-05    0.00020166346    1.98275e-05    0.00020906471    2.11214e-05        -1.97%      1.63%
         285         290       0.00018583643    2.83824e-05    0.00018171520    2.76098e-05    0.00018955769    2.91033e-05        -2.22%      2.00%
         290         295       0.00023424100    1.54379e-05    0.00022853811    1.49806e-05    0.00023936299    1.58810e-05        -2.43%      2.19%
         295         300       0.00021034376    1.87654e-05    0.00020488281    1.80837e-05    0.00021532191    1.94447e-05        -2.60%      2.37%
         300         305       0.00016935763    1.75188e-05    0.00016489306    1.68181e-05    0.00017353052    1.82426e-05        -2.64%      2.46%
         305         310       0.00019455881    1.33468e-05    0.00018819557    1.29333e-05    0.00020078240    1.37451e-05        -3.27%      3.20%
         310         315       0.00012019071    3.61544e-05    0.00011748854    3.50710e-05    0.00012256078    3.71911e-05        -2.25%      1.97%
         315         320       0.00013425277    2.87431e-05    0.00012925402    2.81554e-05    0.00013932721    2.92203e-05        -3.72%      3.78%
         320         325       0.00011400058    2.44371e-05    0.00011075773    2.34570e-05    0.00011710908    2.54398e-05        -2.84%      2.73%
         325         330       8.4122558e-05    1.82011e-05    8.2171135e-05    1.72253e-05    8.5815516e-05    1.92625e-05        -2.32%      2.01%
         330         335       0.00013386106    1.87135e-05    0.00012926362    1.79059e-05    0.00013842022    1.95467e-05        -3.43%      3.41%
         335         340       0.00012965603    1.83626e-05    0.00012364942    1.74212e-05    0.00013602783    1.94195e-05        -4.63%      4.91%
         340         345       9.9395116e-05    9.89047e-06    9.5971504e-05    9.50375e-06    0.00010279754    1.02900e-05        -3.44%      3.42%
         345         350       9.4657891e-05    1.10852e-05    9.0521173e-05    1.05995e-05    9.8971491e-05    1.15900e-05        -4.37%      4.56%
         350         355       0.00010255685    9.84698e-06    9.8476680e-05    9.43827e-06    0.00010672886    1.02694e-05        -3.98%      4.07%
         355         360       8.0290614e-05    1.09652e-05    7.7137489e-05    1.04919e-05    8.3509092e-05    1.14525e-05        -3.93%      4.01%
         360         365       0.00010656606    6.46036e-06    0.00010223264    6.07747e-06    0.00011099904    6.89531e-06        -4.07%      4.16%
         365         370       8.6947924e-05    8.46539e-06    8.3588903e-05    7.96192e-06    9.0329827e-05    9.02724e-06        -3.86%      3.89%
         370         375       7.7306945e-05    9.13490e-06    7.4116632e-05    8.67949e-06    8.0547131e-05    9.62449e-06        -4.13%      4.19%
         375         380       6.8593570e-05    7.42167e-06    6.4998008e-05    7.06430e-06    7.2482322e-05    7.81869e-06        -5.24%      5.67%
         380         385       6.5505588e-05    7.27769e-06    6.2236461e-05    6.91804e-06    6.8996691e-05    7.67280e-06        -4.99%      5.33%
         385         390       6.7797233e-05    1.11482e-05    6.4401918e-05    1.05373e-05    7.1429983e-05    1.18208e-05        -5.01%      5.36%
         390         395       6.5156866e-05    8.60913e-06    6.2315828e-05    8.17365e-06    6.8091126e-05    9.07987e-06        -4.36%      4.50%
         395         400       2.5387175e-05    1.26329e-05    2.3839443e-05    1.23819e-05    2.7181582e-05    1.28077e-05        -6.10%      7.07%
         400         405       3.1286330e-05    1.16023e-05    2.9408026e-05    1.11619e-05    3.3374472e-05    1.20370e-05        -6.00%      6.67%
         405         410       2.9058262e-05    8.34877e-06    2.7351662e-05    8.03036e-06    3.0928530e-05    8.67117e-06        -5.87%      6.44%
         410         415       4.3221946e-05    6.33786e-06    4.1063964e-05    5.91064e-06    4.5548900e-05    6.82794e-06        -4.99%      5.38%
         415         420       2.2020340e-05    1.44329e-05    2.1494037e-05    1.57107e-05    2.2204515e-05    1.33354e-05        -2.39%      0.84%
         420         425       2.1350847e-05    8.20147e-06    2.0152695e-05    7.87115e-06    2.2651560e-05    8.53756e-06        -5.61%      6.09%
         425         430       3.9931748e-05    4.54384e-06    3.7696183e-05    4.27115e-06    4.2371880e-05    4.84616e-06        -5.60%      6.11%
         430         435      -1.1594773e-05    2.68103e-05   -1.1680498e-05    2.56209e-05   -1.1330724e-05    2.80238e-05         0.74%     -2.28%
         435         440       1.9186752e-05    1.15610e-05    1.8341694e-05    1.08414e-05    2.0090353e-05    1.23508e-05        -4.40%      4.71%
