#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           2                   0              0                0              0                0              0            0%         0%
           2           4                   0              0                0              0                0              0            0%         0%
           4           6                   0              0                0              0                0              0            0%         0%
           6           8                   0              0                0              0                0              0            0%         0%
           8          10                   0              0                0              0                0              0            0%         0%
          10          12                   0              0                0              0                0              0            0%         0%
          12          14          0.41971165    0.000937784       0.40745686    0.000849793       0.43046176     0.00102746        -2.92%      2.56%
          14          16          0.35471045    0.000717625       0.34416624    0.000642542       0.36365861    0.000782386        -2.97%      2.52%
          16          18          0.30112734    0.000629531       0.29205099    0.000565698       0.30863736    0.000687212        -3.01%      2.49%
          18          20          0.25454928    0.000555449       0.24682182    0.000497625       0.26084691    0.000606054        -3.04%      2.47%
          20          22          0.21574399    0.000521119       0.20927970    0.000465225       0.22118364    0.000571407        -3.00%      2.52%
          22          24          0.18111390    0.000439446       0.17577639    0.000387646       0.18553115    0.000480595        -2.95%      2.44%
          24          26          0.15259723    0.000355865       0.14836909    0.000319212       0.15648545    0.000387065        -2.77%      2.55%
          26          28          0.12954656    0.000350340       0.12564092    0.000313727       0.13291344    0.000382287        -3.01%      2.60%
          28          30          0.10844615    0.000322293       0.10530783    0.000289227       0.11133366    0.000351631        -2.89%      2.66%
          30          32         0.092384431    0.000277637      0.089558891    0.000249920      0.094979455    0.000302617        -3.06%      2.81%
          32          34         0.078276866    0.000248064      0.076075567    0.000223251      0.080534514    0.000270200        -2.81%      2.88%
          34          36         0.066914537    0.000224834      0.064988266    0.000204355      0.068917689    0.000244741        -2.88%      2.99%
          36          38         0.056512519    0.000199763      0.054940617    0.000182485      0.058204961    0.000217197        -2.78%      2.99%
          38          40         0.049346430    0.000200246      0.047940959    0.000181679      0.050902549    0.000218813        -2.85%      3.15%
          40          42         0.040090686    0.000212190      0.039019035    0.000196510      0.041374980    0.000234240        -2.67%      3.20%
          42          44         0.031404994    0.000158745      0.030530332    0.000146242      0.032495782    0.000174678        -2.79%      3.47%
          44          46         0.025347703    0.000112746      0.024611712    0.000105075      0.026265556    0.000122636        -2.90%      3.62%
          46          48         0.022468313    9.97858e-05      0.021798628    9.28077e-05      0.023303475    0.000108763        -2.98%      3.72%
          48          50         0.020754225    0.000108699      0.020128534    0.000100405      0.021534522    0.000119295        -3.01%      3.76%
          50          52         0.019471420    0.000102703      0.018878877    9.47530e-05      0.020210378    0.000112849        -3.04%      3.80%
          52          54         0.018417226    0.000132854      0.017847232    0.000121094      0.019128064    0.000147685        -3.09%      3.86%
          54          56         0.017206788    8.98010e-05      0.016697000    8.27382e-05      0.017842542    9.88024e-05        -2.96%      3.69%
          56          58         0.016982057    8.22693e-05      0.016469088    7.70877e-05      0.017621778    8.89863e-05        -3.02%      3.77%
          58          60         0.016244315    7.44170e-05      0.015768982    6.99500e-05      0.016837102    8.02266e-05        -2.93%      3.65%
          60          62         0.016400705    0.000350618      0.015887392    0.000316259      0.017040855    0.000393514        -3.13%      3.90%
          62          64         0.016100215    0.000105960      0.015631900    0.000102266      0.016684250    0.000110901        -2.91%      3.63%
          64          66         0.016378782    7.39787e-05      0.015894509    6.84145e-05      0.016982717    8.10965e-05        -2.96%      3.69%
          66          68         0.016848877    0.000124488      0.016362057    0.000112885      0.017455987    0.000139048        -2.89%      3.60%
          68          70         0.017916763    7.23630e-05      0.017408875    6.79364e-05      0.018550147    7.81127e-05        -2.83%      3.54%
          70          72         0.019580174    7.42538e-05      0.019012569    6.82293e-05      0.020288033    8.19114e-05        -2.90%      3.62%
          72          74         0.021983143    7.18372e-05      0.021362832    6.66243e-05      0.022756730    7.85247e-05        -2.82%      3.52%
          74          76         0.025660962    0.000102525      0.024933278    9.39184e-05      0.026568454    0.000113431        -2.84%      3.54%
          76          78         0.031118094    9.17307e-05      0.030232613    8.45591e-05      0.032222375    0.000100875        -2.85%      3.55%
          78          80         0.039817844    0.000105191      0.038699645    9.74081e-05      0.041212346    0.000115161        -2.81%      3.50%
          80          82         0.054125138    0.000155117      0.052622758    0.000142563      0.055998750    0.000171078        -2.78%      3.46%
          82          84         0.079959566    0.000190295      0.077744290    0.000175997      0.082722230    0.000208587        -2.77%      3.46%
          84          86          0.13395176    0.000280489       0.13022305    0.000261052       0.13860182    0.000305514        -2.78%      3.47%
          86          88          0.26595097    0.000495053       0.25858670    0.000465305       0.27513493    0.000533739        -2.77%      3.45%
          88          90          0.66647138    0.000686566       0.64792764    0.000637550       0.68959721    0.000749527        -2.78%      3.47%
          90          92          0.73290627    0.000849079       0.71258285    0.000782604       0.75825154    0.000933832        -2.77%      3.46%
          92          94          0.81567122    0.000782701       0.79295868    0.000726875       0.84399593    0.000854415        -2.78%      3.47%
          94          96          0.33485905    0.000519049       0.32552917    0.000481291       0.34649431    0.000567480        -2.79%      3.47%
          96          98          0.16665823    0.000389342       0.16199177    0.000360743       0.17247776    0.000425996        -2.80%      3.49%
          98         100         0.099238402    0.000324873      0.096470798    0.000299414       0.10268987    0.000357330        -2.79%      3.48%
         100         102         0.067491463    0.000226138      0.065594663    0.000209808      0.069856955    0.000247095        -2.81%      3.50%
         102         104         0.048384476    0.000179143      0.047048302    0.000165845      0.050050813    0.000196173        -2.76%      3.44%
         104         106         0.037017865    0.000137983      0.035998735    0.000128263      0.038288818    0.000150481        -2.75%      3.43%
         106         108         0.030177866    0.000132798      0.029307796    0.000122739      0.031262927    0.000145658        -2.88%      3.60%
         108         110         0.024773348    0.000120899      0.024064680    0.000111521      0.025657126    0.000132865        -2.86%      3.57%
         110         112         0.020831145    9.54719e-05      0.020243915    8.84131e-05      0.021563477    0.000104514        -2.82%      3.52%
         112         114         0.017712161    8.32835e-05      0.017223429    7.73679e-05      0.018321656    9.08850e-05        -2.76%      3.44%
         114         116         0.015992237    8.78553e-05      0.015525809    8.10480e-05      0.016573918    9.65420e-05        -2.92%      3.64%
         116         118         0.013974217    7.37056e-05      0.013577205    6.86733e-05      0.014469330    8.01914e-05        -2.84%      3.54%
         118         120         0.012642451    8.45546e-05      0.012275613    7.79110e-05      0.013099932    9.30224e-05        -2.90%      3.62%
         120         122                   0              0                0              0                0              0            0%         0%
         122         124                   0              0                0              0                0              0            0%         0%
         124         126                   0              0                0              0                0              0            0%         0%
         126         128                   0              0                0              0                0              0            0%         0%
         128         130                   0              0                0              0                0              0            0%         0%
         130         132                   0              0                0              0                0              0            0%         0%
         132         134                   0              0                0              0                0              0            0%         0%
         134         136                   0              0                0              0                0              0            0%         0%
         136         138                   0              0                0              0                0              0            0%         0%
         138         140                   0              0                0              0                0              0            0%         0%
         140         142                   0              0                0              0                0              0            0%         0%
         142         144                   0              0                0              0                0              0            0%         0%
         144         146                   0              0                0              0                0              0            0%         0%
         146         148                   0              0                0              0                0              0            0%         0%
         148         150                   0              0                0              0                0              0            0%         0%
         150         152                   0              0                0              0                0              0            0%         0%
         152         154                   0              0                0              0                0              0            0%         0%
         154         156                   0              0                0              0                0              0            0%         0%
         156         158                   0              0                0              0                0              0            0%         0%
         158         160                   0              0                0              0                0              0            0%         0%
         160         162                   0              0                0              0                0              0            0%         0%
         162         164                   0              0                0              0                0              0            0%         0%
         164         166                   0              0                0              0                0              0            0%         0%
         166         168                   0              0                0              0                0              0            0%         0%
         168         170                   0              0                0              0                0              0            0%         0%
         170         172                   0              0                0              0                0              0            0%         0%
         172         174                   0              0                0              0                0              0            0%         0%
         174         176                   0              0                0              0                0              0            0%         0%
         176         178                   0              0                0              0                0              0            0%         0%
         178         180                   0              0                0              0                0              0            0%         0%
         180         182                   0              0                0              0                0              0            0%         0%
         182         184                   0              0                0              0                0              0            0%         0%
         184         186                   0              0                0              0                0              0            0%         0%
         186         188                   0              0                0              0                0              0            0%         0%
         188         190                   0              0                0              0                0              0            0%         0%
         190         192                   0              0                0              0                0              0            0%         0%
         192         194                   0              0                0              0                0              0            0%         0%
         194         196                   0              0                0              0                0              0            0%         0%
         196         198                   0              0                0              0                0              0            0%         0%
         198         200                   0              0                0              0                0              0            0%         0%
