#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10          0.40625197    0.000603413       0.33582957    0.000666665       0.46272106    0.000553573       -17.33%     13.90%
          10          20          0.35540792    0.000338962       0.32020147    0.000305385       0.39931376    0.000380836        -9.91%     12.35%
          20          30          0.16228802    0.000213087       0.14621189    0.000191979       0.18233651    0.000239411        -9.91%     12.35%
          30          40         0.096156326    0.000137211      0.086631151    0.000123619       0.10803514    0.000154162        -9.91%     12.35%
          40          50         0.063898022    0.000102915      0.057568331    9.27204e-05      0.071791758    0.000115629        -9.91%     12.35%
          50          60         0.045498993    8.48773e-05      0.040991896    7.64694e-05      0.051119778    9.53627e-05        -9.91%     12.35%
          60          70         0.033857800    7.55097e-05      0.030503871    6.80298e-05      0.038040473    8.48379e-05        -9.91%     12.35%
          70          80         0.025724418    5.97880e-05      0.023176176    5.38654e-05      0.028902322    6.71740e-05        -9.91%     12.35%
          80          90         0.020188032    5.29960e-05      0.018188220    4.77462e-05      0.022681990    5.95429e-05        -9.91%     12.35%
          90         100         0.016068929    4.91937e-05      0.014477153    4.43206e-05      0.018054028    5.52709e-05        -9.91%     12.35%
         100         110         0.012832144    4.07415e-05      0.011561001    3.67057e-05      0.014417381    4.57746e-05        -9.91%     12.35%
         110         120         0.010552642    3.59498e-05     0.0094772275    3.20096e-05      0.011856279    4.03909e-05       -10.19%     12.35%
         120         130        0.0087092662    3.21596e-05     0.0077921414    2.86144e-05     0.0097851781    3.61325e-05       -10.53%     12.35%
         130         140        0.0071245493    2.89123e-05     0.0063497549    2.55691e-05     0.0080256966    3.29162e-05       -10.87%     12.65%
         140         150        0.0059952159    2.64327e-05     0.0053216269    2.32698e-05     0.0067852623    3.02451e-05       -11.24%     13.18%
         150         160        0.0050883176    2.47180e-05     0.0044996925    2.16087e-05     0.0057840672    2.85160e-05       -11.57%     13.67%
         160         170        0.0042838091    2.25711e-05     0.0037757974    1.96902e-05     0.0048879989    2.60869e-05       -11.86%     14.10%
         170         180        0.0036616863    2.04231e-05     0.0032170371    1.78085e-05     0.0041943169    2.36349e-05       -12.14%     14.55%
         180         190        0.0031268083    1.91010e-05     0.0027393909    1.65566e-05     0.0035931497    2.22512e-05       -12.39%     14.91%
         190         200        0.0026681276    1.85319e-05     0.0023314194    1.60718e-05     0.0030754666    2.15765e-05       -12.62%     15.27%
         200         210        0.0023405908    1.74813e-05     0.0020374000    1.50010e-05     0.0027101521    2.05935e-05       -12.95%     15.79%
         210         220        0.0019893409    1.46629e-05     0.0017263321    1.25722e-05     0.0023117518    1.73006e-05       -13.22%     16.21%
         220         230        0.0018076342    1.71503e-05     0.0015635245    1.45629e-05     0.0021085757    2.04324e-05       -13.50%     16.65%
         230         240        0.0016072578    5.09073e-05     0.0013894787    4.51542e-05     0.0018762918    5.78143e-05       -13.55%     16.74%
         240         250        0.0013451875    1.32065e-05     0.0011585359    1.13106e-05     0.0015769275    1.55996e-05       -13.88%     17.23%
         250         260        0.0011394187    1.08096e-05    0.00097952178    9.20565e-06     0.0013386464    1.28513e-05       -14.03%     17.49%
         260         270        0.0010413873    1.12597e-05    0.00089170919    9.50268e-06     0.0012291284    1.35344e-05       -14.37%     18.03%
         270         280       0.00090604174    1.02197e-05    0.00077511531    8.62334e-06     0.0010705610    1.22903e-05       -14.45%     18.16%
         280         290       0.00080406595    9.72850e-06    0.00068548462    8.19557e-06    0.00095389565    1.17105e-05       -14.75%     18.63%
         290         300       0.00073822986    8.91485e-06    0.00062782721    7.51085e-06    0.00087822843    1.07331e-05       -14.96%     18.96%
         300         310       0.00064730962    8.88370e-06    0.00054962076    7.46135e-06    0.00077144368    1.07254e-05       -15.09%     19.18%
         310         320       0.00058106302    8.23019e-06    0.00049210903    6.89266e-06    0.00069474360    9.98230e-06       -15.31%     19.56%
         320         330       0.00051822814    9.04636e-06    0.00043734324    7.39646e-06    0.00062209551    1.12891e-05       -15.61%     20.04%
         330         340       0.00047164106    7.06345e-06    0.00039815769    5.90648e-06    0.00056598640    8.58028e-06       -15.58%     20.00%
         340         350       0.00042120113    7.91578e-06    0.00035454549    6.65053e-06    0.00050720331    9.57053e-06       -15.83%     20.42%
         350         360       0.00036702518    6.10177e-06    0.00030794714    5.06002e-06    0.00044362080    7.48395e-06       -16.10%     20.87%
         360         370       0.00033155586    6.39015e-06    0.00027793383    5.28606e-06    0.00040118386    7.86170e-06       -16.17%     21.00%
         370         380       0.00031281659    6.13463e-06    0.00026134391    5.05883e-06    0.00038005558    7.58303e-06       -16.45%     21.49%
