#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10          0.11561591    0.000439827       0.11176592    0.000484136       0.11917106    0.000434490        -3.33%      3.07%
          10          20          0.23846872    0.000648885       0.23517676    0.000601948       0.24299853    0.000642830        -1.38%      1.90%
          20          30          0.20898106    0.000577027       0.20309705    0.000543143       0.21331965    0.000635210        -2.82%      2.08%
          30          40          0.15581416    0.000482307       0.15069027    0.000463755       0.16178401    0.000532743        -3.29%      3.83%
          40          50          0.12231507    0.000487470       0.11860223    0.000445142       0.12694534    0.000540743        -3.04%      3.79%
          50          60         0.098793059    0.000385845      0.095627555    0.000355609       0.10274075    0.000424095        -3.20%      4.00%
          60          70         0.079462683    0.000336772      0.076673846    0.000308708      0.082940631    0.000372154        -3.51%      4.38%
          70          80         0.062634672    0.000378655      0.059866532    0.000344962      0.066086810    0.000420931        -4.42%      5.51%
          80          90         0.045651577    0.000261201      0.042749488    0.000240111      0.049270760    0.000287675        -6.36%      7.93%
          90         100         0.033347893    0.000438581      0.030346267    0.000398899      0.037091211    0.000488074        -9.00%     11.23%
         100         110         0.023810453    0.000493204      0.021572528    0.000446779      0.026601361    0.000551104        -9.40%     11.72%
         110         120         0.018557261    0.000398557      0.016792747    0.000360591      0.020757781    0.000445906        -9.51%     11.86%
         120         130         0.013692099    0.000392547      0.012381692    0.000354908      0.015326303    0.000439489        -9.57%     11.94%
         130         140         0.010842472    0.000596754     0.0097983851    0.000539262      0.012144549    0.000668452        -9.63%     12.01%
         140         150        0.0085300842    0.000388530     0.0077054942    0.000350930     0.0095584275    0.000435423        -9.67%     12.06%
         150         160        0.0061334157    0.000650982     0.0055375602    0.000587736     0.0068765049    0.000729856        -9.71%     12.12%
         160         170        0.0056943227    0.000480637     0.0051398762    0.000433822     0.0063857710    0.000539020        -9.74%     12.14%
         170         180        0.0038559911    0.000666313     0.0034798921    0.000601324     0.0043250228    0.000747360        -9.75%     12.16%
         180         190        0.0042196570    0.000614531     0.0038059834    0.000529108     0.0047340214    0.000689460        -9.80%     12.19%
         190         200        0.0039210982    0.000721632     0.0034904283    0.000624914     0.0044321998    0.000840292       -10.98%     13.03%
         200         210        0.0027511508    0.000464194     0.0024662638    0.000399716     0.0030878214    0.000521007       -10.36%     12.24%
         210         220        0.0020502641    0.000422850     0.0018491632    0.000381372     0.0023010563    0.000474577        -9.81%     12.23%
         220         230        0.0020962545    0.000527554     0.0018823000    0.000451967     0.0023527006    0.000592100       -10.21%     12.23%
         230         240        0.0027690515    0.000425742     0.0024635034    0.000375214     0.0031325613    0.000486866       -11.03%     13.13%
         240         250        0.0026317264    0.000351600     0.0023138223    0.000307910     0.0030141823    0.000404823       -12.08%     14.53%
         250         260        0.0035742180    0.000543486     0.0031742923    0.000477221     0.0040516357    0.000626162       -11.19%     13.36%
         260         270        0.0018692175    0.000224892     0.0016499538    0.000201640     0.0021334899    0.000252056       -11.73%     14.14%
         270         280        0.0012436581    0.000292451     0.0011056026    0.000250039     0.0014050796    0.000345619       -11.10%     12.98%
         280         290       0.00040745794    0.000412112    0.00036728713    0.000371484    0.00045755480    0.000462779        -9.86%     12.29%
         290         300        0.0014994376    0.000227410     0.0013032276    0.000199294     0.0017416447    0.000261854       -13.09%     16.15%
         300         310        0.0014907339    0.000537248     0.0013287271    0.000483327     0.0016838788    0.000599826       -10.87%     12.96%
         310         320       0.00085397077    0.000331545    0.00076970914    0.000298826    0.00095905316    0.000372350        -9.87%     12.31%
         320         330       0.00096763392    0.000304458    0.00086062818    0.000268568     0.0010948681    0.000348276       -11.06%     13.15%
         330         340       0.00046703795    6.23100e-05    0.00040055631    5.49272e-05    0.00055108651    7.12644e-05       -14.23%     18.00%
         340         350       0.00071637894    0.000132411    0.00062018573    0.000117245    0.00083631856    0.000150432       -13.43%     16.74%
         350         360       0.00095326076    0.000191084    0.00084298005    0.000173217     0.0010868183    0.000211429       -11.57%     14.01%
         360         370       0.00045355157    8.95596e-05    0.00039381986    8.07005e-05    0.00052798615    9.97987e-05       -13.17%     16.41%
         370         380      -0.00038340048    0.000633856   -0.00043044169    0.000711642   -0.00030229747    0.000595862        12.27%    -21.15%
         380         390       0.00040161998    9.23341e-05    0.00035145696    8.50281e-05    0.00046459455    0.000100500       -12.49%     15.68%
         390         400       0.00093962418    0.000317116    0.00083491313    0.000289643     0.0010650461    0.000347825       -11.14%     13.35%
         400         410       0.00070586312    0.000204673    0.00062004375    0.000184168    0.00081158841    0.000228684       -12.16%     14.98%
         410         420       0.00087947993    0.000413382    0.00078107877    0.000374424    0.00099744642    0.000457575       -11.19%     13.41%
         420         430        0.0011494295    0.000522635     0.0010054558    0.000461857     0.0013256090    0.000595360       -12.53%     15.33%
         430         440       0.00048662971    0.000164480    0.00042927776    0.000150870    0.00055691731    0.000179608       -11.79%     14.44%
         440         450       0.00026165972    5.44167e-05    0.00022432700    4.86960e-05    0.00030918428    6.11261e-05       -14.27%     18.16%
         450         460       0.00050635365    0.000223315    0.00044465341    0.000202253    0.00058324453    0.000247947       -12.19%     15.19%
         460         470        0.0015171278    0.000645901     0.0013669538    0.000581945     0.0017044093    0.000725661        -9.90%     12.34%
         470         480       0.00028633576    9.00489e-05    0.00025439287    8.27015e-05    0.00032523676    9.82990e-05       -11.16%     13.59%
         480         490       0.00039215505    0.000183645    0.00033119062    0.000157401    0.00047052508    0.000216528       -15.55%     19.98%
         490         500       0.00016837321    7.13240e-05    0.00013861977    5.83052e-05    0.00020828398    8.89652e-05       -17.67%     23.70%
         500         510       0.00079839893    0.000536885    0.00070566476    0.000475669    0.00091058307    0.000610414       -11.62%     14.05%
         510         520       0.00072599587    0.000389397    0.00063246285    0.000341003    0.00084174998    0.000448515       -12.88%     15.94%
         520         530       9.5960992e-05    1.54469e-05    8.0028765e-05    1.35480e-05    0.00011700712    1.77803e-05       -16.60%     21.93%
         530         540       0.00070916201    0.000324311    0.00061448892    0.000282330    0.00082582691    0.000375808       -13.35%     16.45%
         540         550       0.00081736632    0.000626712    0.00072294790    0.000559137    0.00093090259    0.000706152       -11.55%     13.89%
         550         560      -8.1462575e-05    0.000122983   -0.00010260988    0.000152977   -6.5853942e-05    0.000100655        25.96%    -19.16%
         560         570       0.00026070738    0.000110084    0.00022654056    9.64957e-05    0.00030327206    0.000126990       -13.11%     16.33%
         570         580       0.00016082511    8.07796e-05    0.00013180058    6.49508e-05    0.00019968867    0.000103153       -18.05%     24.17%
         580         590       0.00052932533    0.000253606    0.00043931815    0.000212163    0.00065066018    0.000309842       -17.00%     22.92%
         590         600       0.00036146616    0.000272255    0.00029933177    0.000225859    0.00044463278    0.000334151       -17.19%     23.01%
         600         610       4.6161156e-05    2.27652e-05    4.1107354e-05    1.93613e-05    5.1856958e-05    2.55745e-05       -10.95%     12.34%
         610         620       0.00067484471    0.000431216    0.00057557127    0.000364110    0.00079895487    0.000517775       -14.71%     18.39%
         620         630       0.00021899696    0.000125204    0.00018552373    0.000107006    0.00026170450    0.000148181       -15.28%     19.50%
         630         640       2.2292524e-05    3.77175e-06    1.9312859e-05    2.17499e-06    2.6282507e-05    6.16056e-06       -13.37%     17.90%
         640         650       3.8082628e-05    7.07467e-06    2.9959846e-05    5.34259e-06    4.9630723e-05    9.65394e-06       -21.33%     30.32%
         650         660       2.8838949e-05    2.35212e-06    2.3143639e-05    1.86788e-06    3.6698526e-05    3.03842e-06       -19.75%     27.25%
         660         670        0.0017737509     0.00138621     0.0015853549     0.00124375     0.0019928079     0.00155742       -10.62%     12.35%
         670         680       5.0103658e-05    2.91579e-05    4.1938387e-05    2.49102e-05    6.0813276e-05    3.45181e-05       -16.30%     21.37%
         680         690       0.00029177455    0.000217057    0.00025075498    0.000187113    0.00034296748    0.000254232       -14.06%     17.55%
         690         700      -1.0419895e-05    2.93092e-05   -1.5612317e-05    3.96269e-05   -7.0799352e-06    2.22656e-05        49.83%    -32.05%
         700         710       2.4517167e-05    1.11208e-05    2.1168144e-05    8.92152e-06    2.8635759e-05    1.46081e-05       -13.66%     16.80%
         710         720       0.00022240371    0.000162888    0.00019437861    0.000142833    0.00025656799    0.000187027       -12.60%     15.36%
         720         730       1.1370000e-05    1.05712e-06    8.9888731e-06    8.55401e-07    1.4742123e-05    1.33784e-06       -20.94%     29.66%
         730         740       1.1344994e-05    1.17798e-06    8.9986450e-06    9.30256e-07    1.4630598e-05    1.52780e-06       -20.68%     28.96%
         740         750       5.2496088e-05    3.10426e-05    4.4442791e-05    2.69446e-05    6.2983156e-05    3.61341e-05       -15.34%     19.98%
         750         760       4.0827205e-05    2.64390e-05    3.4056965e-05    2.21988e-05    4.9745915e-05    3.20060e-05       -16.58%     21.85%
         760         770       1.0979984e-05    1.40963e-06    8.7810928e-06    1.12896e-06    1.4028865e-05    1.79738e-06       -20.03%     27.77%
         770         780       1.5919858e-05    2.93714e-06    1.2867107e-05    2.47952e-06    2.0139260e-05    3.54638e-06       -19.18%     26.50%
         780         790       5.3411568e-05    4.03687e-05    4.4150477e-05    3.38263e-05    6.5768580e-05    4.89011e-05       -17.34%     23.14%
