#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0         0.1         0.010075699    0.000548315     0.0090826097    0.000494155      0.011314176    0.000615878        -9.86%     12.29%
         0.1         0.2         0.054239926    0.000694467      0.048966931    0.000626908      0.060815859    0.000778878        -9.72%     12.12%
         0.2         0.3         0.051946047    0.000612098      0.046948541    0.000553396      0.058178420    0.000685549        -9.62%     12.00%
         0.3         0.4         0.045872811     0.00161113      0.041561586     0.00145304      0.051249324     0.00180848        -9.40%     11.72%
         0.4         0.5         0.037875418    0.000535991      0.034337318    0.000484573      0.042287770    0.000600326        -9.34%     11.65%
         0.5         0.6         0.036230863    0.000344198      0.032890633    0.000321665      0.040396453    0.000373329        -9.22%     11.50%
         0.6         0.7         0.035190718    0.000346773      0.032005130    0.000317160      0.039163453    0.000384241        -9.05%     11.29%
         0.7         0.8         0.036593955    0.000312911      0.033336409    0.000290683      0.040656429    0.000341474        -8.90%     11.10%
         0.8         0.9         0.036099386    0.000819316      0.032949205    0.000740325      0.040027965    0.000918101        -8.73%     10.88%
         0.9           1         0.039548862    0.000339361      0.036114638    0.000315599      0.043831671    0.000369929        -8.68%     10.83%
           1         1.1         0.041997291    0.000398702      0.038451479    0.000365331      0.046419260    0.000441002        -8.44%     10.53%
         1.1         1.2         0.048905002     0.00128112      0.044901093     0.00119417      0.053898263     0.00139325        -8.19%     10.21%
         1.2         1.3         0.051483562    0.000609818      0.047272106    0.000558370      0.056735655    0.000674986        -8.18%     10.20%
         1.3         1.4         0.057543515    0.000711479      0.052876960    0.000646473      0.063363160    0.000793210        -8.11%     10.11%
         1.4         1.5         0.064637024    0.000699091      0.059471243    0.000636208      0.071079252    0.000778271        -7.99%      9.97%
         1.5         1.6         0.071166050    0.000821822      0.065642603    0.000753416      0.078054320    0.000908574        -7.76%      9.68%
         1.6         1.7         0.082324771    0.000777850      0.076044507    0.000712841      0.090156867    0.000860266        -7.63%      9.51%
         1.7         1.8         0.095954043    0.000844438      0.088774139    0.000770114       0.10490808    0.000938218        -7.48%      9.33%
         1.8         1.9          0.11100384     0.00118397       0.10281627     0.00107538       0.12121452     0.00132045        -7.38%      9.20%
         1.9           2          0.13129992     0.00128422       0.12175562     0.00116598       0.14320258     0.00143277        -7.27%      9.07%
           2         2.1          0.15680506     0.00132598       0.14584721     0.00120476       0.17047056     0.00147837        -6.99%      8.71%
         2.1         2.2          0.20071346     0.00137114       0.18716135     0.00125073       0.21761425     0.00152309        -6.75%      8.42%
         2.2         2.3          0.25256930     0.00179999       0.23732621     0.00170449       0.27157890     0.00192516        -6.04%      7.53%
         2.3         2.4          0.33306817     0.00299305       0.31554568     0.00291568       0.35492040     0.00309762        -5.26%      6.56%
         2.4         2.5          0.42644578     0.00214964       0.40697618     0.00197374       0.45045090     0.00238532        -4.57%      5.63%
         2.5         2.6          0.54627515     0.00276939       0.52305081     0.00251702       0.57234937     0.00307798        -4.25%      4.77%
         2.6         2.7          0.69787360     0.00314726       0.67017775     0.00287453       0.72597339     0.00350455        -3.97%      4.03%
         2.7         2.8          0.87301453     0.00480641       0.84083380     0.00436991       0.90140945     0.00533861        -3.69%      3.25%
         2.8         2.9           1.0753305     0.00512078        1.0399011     0.00464478        1.1019285     0.00571118        -3.29%      2.47%
         2.9           3           1.2898136     0.00460524        1.2524781     0.00416675        1.3121648     0.00501205        -2.89%      1.73%
           3         3.1           1.4941273     0.00558120        1.4603851     0.00507418        1.5172454     0.00554060        -2.26%      1.55%
         3.1         3.2           1.3549664     0.00766400        1.3305259     0.00683430        1.3799058     0.00766730        -1.80%      1.84%
         3.2         3.3          0.75574736     0.00697282       0.74331876     0.00619283       0.77127928     0.00696887        -1.64%      2.06%
         3.3         3.4          0.52605179     0.00391610       0.51782719     0.00354974       0.53614914     0.00387918        -1.56%      1.92%
         3.4         3.5          0.37635770     0.00365286       0.37082658     0.00331165       0.38407216     0.00361139        -1.47%      2.05%
         3.5         3.6          0.27796171     0.00309518       0.27381834     0.00279434       0.28393897     0.00308624        -1.49%      2.15%
         3.6         3.7          0.20327436     0.00437401       0.20049961     0.00395842       0.20777606     0.00430724        -1.37%      2.21%
         3.7         3.8          0.13642747     0.00424979       0.13305386     0.00473926       0.13925565     0.00418497        -2.47%      2.07%
         3.8         3.9          0.10805217     0.00239807       0.10618559     0.00265042       0.11069118     0.00238548        -1.73%      2.44%
         3.9           4         0.071311662     0.00180023      0.069057526     0.00200036      0.073401257     0.00178687        -3.16%      2.93%
           4         4.1         0.052645534     0.00176818      0.051246205     0.00196285      0.054124593     0.00175667        -2.66%      2.81%
         4.1         4.2         0.032357452     0.00133978      0.030790059     0.00147425      0.033765310     0.00134711        -4.84%      4.35%
         4.2         4.3         0.019668995     0.00111448      0.018708114     0.00123941      0.020439489     0.00101538        -4.89%      3.92%
         4.3         4.4         0.015280461    0.000937745      0.015136614     0.00104141      0.015483493    0.000925478        -0.94%      1.33%
         4.4         4.5        0.0068282454    0.000630973     0.0065409226    0.000701100     0.0070586389    0.000575390        -4.21%      3.37%
         4.5         4.6        0.0050689008    0.000671984     0.0049598477    0.000612270     0.0051434857    0.000744834        -2.15%      1.47%
         4.6         4.7        0.0018930195    0.000649374     0.0017357709    0.000651233     0.0020613500    0.000647051        -8.31%      8.89%
         4.7         4.8       0.00062822038    0.000340171    0.00056182125    0.000376535    0.00068898876    0.000333618       -10.57%      9.67%
         4.8         4.9       0.00023206770    0.000186782    0.00019965683    0.000208972    0.00026150851    0.000184184       -13.97%     12.69%
         4.9           5       0.00047355611    0.000196228    0.00043147793    0.000175996    0.00051040038    0.000214549        -8.89%      7.78%
           5         5.1       0.00014610582    5.79467e-05    0.00013717132    5.25991e-05    0.00015458330    6.28944e-05        -6.12%      5.80%
         5.1         5.2       7.0500684e-05    2.16427e-05    6.6522486e-05    1.95226e-05    7.3969610e-05    2.36035e-05        -5.64%      4.92%
         5.2         5.3       6.1368344e-05    2.33181e-05    5.4805917e-05    2.09342e-05    6.7237150e-05    2.54586e-05       -10.69%      9.56%
         5.3         5.4       6.6725946e-06    4.04083e-06    5.3835858e-06    3.74070e-06    7.8475681e-06    4.32028e-06       -19.32%     17.61%
         5.4         5.5      -6.8964111e-11    4.76133e-11   -7.7279996e-11    5.34920e-11   -6.2295914e-11    4.28998e-11        12.06%     -9.67%
         5.5         5.6       9.8213053e-15    6.94471e-15    8.8189699e-15    6.23595e-15    1.1034597e-14    7.80264e-15       -10.21%     12.35%
         5.6         5.7                   0              0                0              0                0              0            0%         0%
         5.7         5.8                   0              0                0              0                0              0            0%         0%
         5.8         5.9                   0              0                0              0                0              0            0%         0%
         5.9           6                   0              0                0              0                0              0            0%         0%
           6         6.1                   0              0                0              0                0              0            0%         0%
         6.1         6.2                   0              0                0              0                0              0            0%         0%
         6.2         6.3                   0              0                0              0                0              0            0%         0%
         6.3         6.4                   0              0                0              0                0              0            0%         0%
         6.4         6.5                   0              0                0              0                0              0            0%         0%
         6.5         6.6                   0              0                0              0                0              0            0%         0%
         6.6         6.7                   0              0                0              0                0              0            0%         0%
         6.7         6.8                   0              0                0              0                0              0            0%         0%
         6.8         6.9                   0              0                0              0                0              0            0%         0%
         6.9           7                   0              0                0              0                0              0            0%         0%
           7         7.1                   0              0                0              0                0              0            0%         0%
         7.1         7.2                   0              0                0              0                0              0            0%         0%
         7.2         7.3                   0              0                0              0                0              0            0%         0%
         7.3         7.4                   0              0                0              0                0              0            0%         0%
         7.4         7.5                   0              0                0              0                0              0            0%         0%
         7.5         7.6                   0              0                0              0                0              0            0%         0%
         7.6         7.7                   0              0                0              0                0              0            0%         0%
         7.7         7.8                   0              0                0              0                0              0            0%         0%
         7.8         7.9                   0              0                0              0                0              0            0%         0%
