#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           2                   0              0                0              0                0              0            0%         0%
           2           4                   0              0                0              0                0              0            0%         0%
           4           6                   0              0                0              0                0              0            0%         0%
           6           8                   0              0                0              0                0              0            0%         0%
           8          10                   0              0                0              0                0              0            0%         0%
          10          12                   0              0                0              0                0              0            0%         0%
          12          14                   0              0                0              0                0              0            0%         0%
          14          16                   0              0                0              0                0              0            0%         0%
          16          18                   0              0                0              0                0              0            0%         0%
          18          20                   0              0                0              0                0              0            0%         0%
          20          22                   0              0                0              0                0              0            0%         0%
          22          24                   0              0                0              0                0              0            0%         0%
          24          26                   0              0                0              0                0              0            0%         0%
          26          28                   0              0                0              0                0              0            0%         0%
          28          30                   0              0                0              0                0              0            0%         0%
          30          32                   0              0                0              0                0              0            0%         0%
          32          34                   0              0                0              0                0              0            0%         0%
          34          36                   0              0                0              0                0              0            0%         0%
          36          38                   0              0                0              0                0              0            0%         0%
          38          40                   0              0                0              0                0              0            0%         0%
          40          42       0.00050166777    1.79429e-05    0.00048533697    1.74873e-05    0.00052203385    1.85589e-05        -3.26%      4.06%
          42          44       0.00070571983    1.72025e-05    0.00068282999    1.69335e-05    0.00073426568    1.75703e-05        -3.24%      4.04%
          44          46        0.0010285587    2.30030e-05    0.00099428743    2.11221e-05     0.0010693714    2.44693e-05        -3.33%      3.97%
          46          48        0.0013656242    2.10652e-05     0.0013214050    1.89361e-05     0.0014180480    2.20028e-05        -3.24%      3.84%
          48          50        0.0018120928    2.21613e-05     0.0017476720    1.99306e-05     0.0018810609    2.32171e-05        -3.56%      3.81%
          50          52        0.0023957494    3.56770e-05     0.0023099182    3.17994e-05     0.0024905035    3.86128e-05        -3.58%      3.96%
          52          54        0.0030916366    3.76670e-05     0.0029749624    3.39488e-05     0.0032140594    3.91469e-05        -3.77%      3.96%
          54          56        0.0035841190    3.20758e-05     0.0034473110    2.89291e-05     0.0037266681    3.37433e-05        -3.82%      3.98%
          56          58        0.0041388936    3.26942e-05     0.0039904124    2.96138e-05     0.0043039408    3.38680e-05        -3.59%      3.99%
          58          60        0.0047421136    3.83006e-05     0.0045626416    3.46611e-05     0.0049272052    4.00201e-05        -3.78%      3.90%
          60          62        0.0051897875    4.01705e-05     0.0049915322    3.61867e-05     0.0053862828    4.24139e-05        -3.82%      3.79%
          62          64        0.0057737709    4.31020e-05     0.0055641818    3.88057e-05     0.0059877053    4.50354e-05        -3.63%      3.71%
          64          66        0.0063094700    4.75919e-05     0.0060898522    4.29203e-05     0.0065475600    4.93175e-05        -3.48%      3.77%
          66          68        0.0068443629    4.72971e-05     0.0065859561    4.29397e-05     0.0070933220    4.90573e-05        -3.78%      3.64%
          68          70        0.0072152339    4.94378e-05     0.0069623837    4.50914e-05     0.0074722041    5.13795e-05        -3.50%      3.56%
          70          72        0.0079320577    9.04946e-05     0.0076193062    8.22311e-05     0.0082133547    0.000100079        -3.94%      3.55%
          72          74        0.0083568550    5.84921e-05     0.0080178981    5.11289e-05     0.0086304793    6.10185e-05        -4.06%      3.27%
          74          76        0.0085801291    5.59134e-05     0.0082435224    5.02442e-05     0.0088556318    5.73742e-05        -3.92%      3.21%
          76          78        0.0093799024    6.35812e-05     0.0090021742    6.05724e-05     0.0096743145    6.56645e-05        -4.03%      3.14%
          78          80         0.010034529    5.43512e-05     0.0096172964    4.87315e-05      0.010327893    5.57291e-05        -4.16%      2.92%
          80          82         0.011344751    5.80217e-05      0.010850453    5.18814e-05      0.011694844    6.39525e-05        -4.36%      3.09%
          82          84         0.013495631    5.88752e-05      0.012910663    5.31714e-05      0.013912934    6.44798e-05        -4.33%      3.09%
          84          86         0.018250218    7.03573e-05      0.017445179    6.37032e-05      0.018835192    7.68021e-05        -4.41%      3.21%
          86          88         0.029931700    0.000106167      0.028695614    9.66553e-05      0.030812787    0.000115220        -4.13%      2.94%
          88          90         0.075795067    0.000137013      0.073244165    0.000125016      0.077463814    0.000148730        -3.37%      2.20%
          90          92          0.20393834    0.000277735       0.19894183    0.000254496       0.20871760    0.000287425        -2.45%      2.34%
          92          94         0.089589807    0.000147003      0.087565982    0.000133827      0.091714593    0.000152894        -2.26%      2.37%
          94          96         0.028492383    8.28968e-05      0.027800284    7.55709e-05      0.029182875    8.62083e-05        -2.43%      2.42%
          96          98         0.014450884    6.04526e-05      0.014069922    5.49000e-05      0.014822449    6.33841e-05        -2.64%      2.57%
          98         100        0.0090502190    4.83051e-05     0.0088073489    4.38983e-05     0.0092935580    5.02991e-05        -2.68%      2.69%
         100         102        0.0063844216    4.35830e-05     0.0062109014    3.97042e-05     0.0065594731    4.52673e-05        -2.72%      2.74%
         102         104        0.0048099768    3.85580e-05     0.0046860843    3.50205e-05     0.0049509483    4.05736e-05        -2.58%      2.93%
         104         106        0.0038236645    3.06774e-05     0.0037219061    2.79187e-05     0.0039345836    3.18057e-05        -2.66%      2.90%
         106         108        0.0030987656    4.13191e-05     0.0030146501    3.71920e-05     0.0031890256    4.19520e-05        -2.71%      2.91%
         108         110        0.0024601454    4.03386e-05     0.0023993533    3.98606e-05     0.0025359590    4.09952e-05        -2.47%      3.08%
         110         112        0.0021400335    2.54647e-05     0.0020812354    2.31705e-05     0.0022047073    2.61951e-05        -2.75%      3.02%
         112         114        0.0017509541    2.17058e-05     0.0017063771    2.11235e-05     0.0018065459    2.24919e-05        -2.55%      3.17%
         114         116        0.0014879656    2.02566e-05     0.0014476697    1.85345e-05     0.0015329984    2.10108e-05        -2.71%      3.03%
         116         118        0.0012650262    1.90103e-05     0.0012323948    1.84479e-05     0.0013057207    1.97670e-05        -2.58%      3.22%
         118         120        0.0010363423    2.47305e-05     0.0010079006    2.31511e-05     0.0010702666    2.65441e-05        -2.74%      3.27%
         120         122                   0              0                0              0                0              0            0%         0%
         122         124                   0              0                0              0                0              0            0%         0%
         124         126                   0              0                0              0                0              0            0%         0%
         126         128                   0              0                0              0                0              0            0%         0%
         128         130                   0              0                0              0                0              0            0%         0%
         130         132                   0              0                0              0                0              0            0%         0%
         132         134                   0              0                0              0                0              0            0%         0%
         134         136                   0              0                0              0                0              0            0%         0%
         136         138                   0              0                0              0                0              0            0%         0%
         138         140                   0              0                0              0                0              0            0%         0%
         140         142                   0              0                0              0                0              0            0%         0%
         142         144                   0              0                0              0                0              0            0%         0%
         144         146                   0              0                0              0                0              0            0%         0%
         146         148                   0              0                0              0                0              0            0%         0%
         148         150                   0              0                0              0                0              0            0%         0%
         150         152                   0              0                0              0                0              0            0%         0%
         152         154                   0              0                0              0                0              0            0%         0%
         154         156                   0              0                0              0                0              0            0%         0%
         156         158                   0              0                0              0                0              0            0%         0%
         158         160                   0              0                0              0                0              0            0%         0%
         160         162                   0              0                0              0                0              0            0%         0%
         162         164                   0              0                0              0                0              0            0%         0%
         164         166                   0              0                0              0                0              0            0%         0%
         166         168                   0              0                0              0                0              0            0%         0%
         168         170                   0              0                0              0                0              0            0%         0%
         170         172                   0              0                0              0                0              0            0%         0%
         172         174                   0              0                0              0                0              0            0%         0%
         174         176                   0              0                0              0                0              0            0%         0%
         176         178                   0              0                0              0                0              0            0%         0%
         178         180                   0              0                0              0                0              0            0%         0%
         180         182                   0              0                0              0                0              0            0%         0%
         182         184                   0              0                0              0                0              0            0%         0%
         184         186                   0              0                0              0                0              0            0%         0%
         186         188                   0              0                0              0                0              0            0%         0%
         188         190                   0              0                0              0                0              0            0%         0%
         190         192                   0              0                0              0                0              0            0%         0%
         192         194                   0              0                0              0                0              0            0%         0%
         194         196                   0              0                0              0                0              0            0%         0%
         196         198                   0              0                0              0                0              0            0%         0%
         198         200                   0              0                0              0                0              0            0%         0%
