#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5                   0              0                0              0                0              0            0%         0%
           5          10        0.0010618430    1.90348e-05     0.0010196268    1.77273e-05     0.0011144907    2.07194e-05        -3.98%      4.96%
          10          15        0.0049043384    3.14667e-05     0.0047121159    2.85541e-05     0.0051362656    3.44312e-05        -3.92%      4.73%
          15          20         0.010074045    5.58965e-05     0.0097111850    5.13533e-05      0.010456616    6.17884e-05        -3.60%      3.80%
          20          25         0.018128690    6.61054e-05      0.017576866    6.01632e-05      0.018591969    7.23357e-05        -3.04%      2.56%
          25          30         0.025436609    7.79214e-05      0.024655496    7.08516e-05      0.026019704    8.52692e-05        -3.07%      2.29%
          30          35         0.032637787    8.90507e-05      0.031662012    8.02760e-05      0.033250182    9.75590e-05        -2.99%      1.88%
          35          40         0.037154012    0.000109792      0.036171381    9.97251e-05      0.037702460    0.000119078        -2.64%      1.48%
          40          45         0.036010364    0.000107043      0.035238991    9.82368e-05      0.036523023    0.000105353        -2.14%      1.42%
          45          50         0.029056889    9.82814e-05      0.028360806    9.04308e-05      0.029415855    0.000108243        -2.40%      1.24%
          50          55         0.019632820    5.89071e-05      0.018999340    5.37254e-05      0.020207491    6.46829e-05        -3.23%      2.93%
          55          60         0.012605582    4.36657e-05      0.012110327    3.99581e-05      0.013188930    4.79396e-05        -3.93%      4.63%
          60          65        0.0076615852    3.53361e-05     0.0072921267    3.24554e-05     0.0081223356    3.89963e-05        -4.82%      6.01%
          65          70        0.0046112704    2.89809e-05     0.0043275633    2.66476e-05     0.0049650806    3.19488e-05        -6.15%      7.67%
          70          75        0.0028146537    2.91014e-05     0.0026032225    2.80935e-05     0.0030783288    3.04500e-05        -7.51%      9.37%
          75          80        0.0017473313    1.18169e-05     0.0015880719    1.07896e-05     0.0019459431    1.31145e-05        -9.11%     11.37%
          80          85        0.0011502743    8.96681e-06     0.0010407011    8.18783e-06     0.0012869227    9.95089e-06        -9.53%     11.88%
          85          90       0.00082863572    7.20450e-06    0.00074929561    6.61709e-06    0.00092758048    7.95081e-06        -9.57%     11.94%
          90          95       0.00061745735    9.55622e-06    0.00055786541    8.65876e-06    0.00069177425    1.06815e-05        -9.65%     12.04%
          95         100       0.00047173165    5.33674e-06    0.00042608407    4.85920e-06    0.00052865857    5.93832e-06        -9.68%     12.07%
         100         105       0.00037800299    5.07330e-06    0.00034113218    4.58533e-06    0.00042398445    5.68369e-06        -9.75%     12.16%
         105         110       0.00029129942    4.62837e-06    0.00026286929    4.18230e-06    0.00032675453    5.18622e-06        -9.76%     12.17%
         110         115       0.00022297495    3.50038e-06    0.00020156595    3.23625e-06    0.00024967403    3.83817e-06        -9.60%     11.97%
         115         120       0.00018868333    3.78305e-06    0.00017020221    3.41964e-06    0.00021173106    4.23769e-06        -9.79%     12.22%
         120         125       0.00013944170    3.33501e-06    0.00012568380    3.00516e-06    0.00015659912    3.74643e-06        -9.87%     12.30%
         125         130       0.00011730670    2.34533e-06    0.00010575817    2.11695e-06    0.00013170883    2.63065e-06        -9.84%     12.28%
         130         135       0.00010156807    2.87713e-06    9.1792061e-05    2.71607e-06    0.00011375687    3.11811e-06        -9.63%     12.00%
         135         140       8.4381030e-05    3.97895e-06    7.6029240e-05    3.62511e-06    9.4780838e-05    4.47024e-06        -9.90%     12.32%
         140         145       6.5496676e-05    3.42314e-06    5.8933910e-05    3.10953e-06    7.3466695e-05    3.83736e-06       -10.02%     12.17%
         145         150       5.6447054e-05    3.15167e-06    5.0556227e-05    2.84507e-06    6.3386818e-05    3.54066e-06       -10.44%     12.29%
         150         155       4.5813520e-05    1.48782e-06    4.0817714e-05    1.31645e-06    5.1624814e-05    1.69112e-06       -10.90%     12.68%
         155         160       4.6641044e-05    6.00343e-06    4.1636849e-05    5.37733e-06    5.2421615e-05    6.70874e-06       -10.73%     12.39%
         160         165       3.2228915e-05    1.32338e-06    2.8768426e-05    1.18934e-06    3.6237094e-05    1.47864e-06       -10.74%     12.44%
         165         170       2.8111810e-05    1.17183e-06    2.5000720e-05    1.05537e-06    3.1746322e-05    1.30916e-06       -11.07%     12.93%
         170         175       2.4179355e-05    1.29861e-06    2.1468824e-05    1.14404e-06    2.7366154e-05    1.48612e-06       -11.21%     13.18%
         175         180       2.0252833e-05    1.07106e-06    1.7900204e-05    9.49792e-07    2.3040731e-05    1.21415e-06       -11.62%     13.77%
         180         185       1.7590175e-05    9.73148e-07    1.5513987e-05    8.62672e-07    2.0061184e-05    1.10542e-06       -11.80%     14.05%
         185         190       1.4404527e-05    7.73050e-07    1.2712315e-05    6.87208e-07    1.6408459e-05    8.73040e-07       -11.75%     13.91%
         190         195       1.2921398e-05    6.91601e-07    1.1388026e-05    6.14368e-07    1.4745349e-05    7.82461e-07       -11.87%     14.12%
         195         200       1.0375550e-05    7.37943e-07    9.0758968e-06    6.40914e-07    1.1950346e-05    8.57324e-07       -12.53%     15.18%
         200         205       9.1158926e-06    5.01150e-07    7.9740439e-06    4.37917e-07    1.0491922e-05    5.77857e-07       -12.53%     15.09%
         205         210       1.5827620e-05    4.34831e-06    1.3781522e-05    3.77350e-06    1.8293557e-05    5.02919e-06       -12.93%     15.58%
         210         215       6.8386368e-06    7.17459e-07    5.9845641e-06    6.31336e-07    7.8691826e-06    8.19794e-07       -12.49%     15.07%
         215         220       1.7197366e-05    6.76735e-06    1.4976207e-05    5.88947e-06    1.9864505e-05    7.80861e-06       -12.92%     15.51%
         220         225       7.8273286e-06    8.02880e-07    6.7773299e-06    6.85973e-07    9.1187448e-06    9.50204e-07       -13.41%     16.50%
         225         230       8.0979879e-06    9.18648e-07    7.0443980e-06    8.03173e-07    9.3797613e-06    1.05664e-06       -13.01%     15.83%
         230         235       6.3318831e-06    1.27097e-06    5.5336309e-06    1.13383e-06    7.3061452e-06    1.43387e-06       -12.61%     15.39%
         235         240       4.0880108e-06    3.87239e-07    3.5349379e-06    3.33227e-07    4.7705745e-06    4.54454e-07       -13.53%     16.70%
         240         245       4.5398850e-06    4.90163e-07    3.9258956e-06    4.18897e-07    5.2997348e-06    5.80725e-07       -13.52%     16.74%
         245         250       7.6588479e-06    3.41102e-06    6.5654771e-06    2.90530e-06    9.0372771e-06    4.05563e-06       -14.28%     18.00%
         250         255       4.3725513e-06    7.39135e-07    3.7547705e-06    6.40098e-07    5.1447056e-06    8.62165e-07       -14.13%     17.66%
         255         260       3.2905502e-06    5.20542e-07    2.8077937e-06    4.36646e-07    3.8965709e-06    6.27875e-07       -14.67%     18.42%
         260         265       7.3546570e-06    3.52966e-06    6.3898482e-06    3.08887e-06    8.5179603e-06    4.04790e-06       -13.12%     15.82%
         265         270       2.2154773e-06    3.03477e-07    1.8890637e-06    2.55271e-07    2.6289484e-06    3.65673e-07       -14.73%     18.66%
         270         275       1.5696107e-06    1.67568e-07    1.3441261e-06    1.44147e-07    1.8519031e-06    1.96717e-07       -14.37%     17.98%
         275         280       1.1719677e-06    1.79271e-07    9.9200826e-07    1.50547e-07    1.4042184e-06    2.17571e-07       -15.36%     19.82%
         280         285       2.0544080e-06    4.47112e-07    1.7802072e-06    3.94103e-07    2.3954048e-06    5.12175e-07       -13.35%     16.60%
         285         290       1.6372149e-06    3.01572e-07    1.4144055e-06    2.64455e-07    1.9136737e-06    3.46946e-07       -13.61%     16.89%
         290         295       1.1883061e-06    1.71832e-07    1.0049504e-06    1.44580e-07    1.4223691e-06    2.07089e-07       -15.43%     19.70%
         295         300       6.5939831e-07    9.35360e-08    5.6594815e-07    8.13880e-08    7.7441624e-07    1.07844e-07       -14.17%     17.44%
         300         305       1.0668655e-06    3.26027e-07    9.0269510e-07    2.75515e-07    1.2766733e-06    3.90277e-07       -15.39%     19.67%
         305         310       2.8488295e-06    1.23117e-06    2.4593711e-06    1.06453e-06    3.3252686e-06    1.43253e-06       -13.67%     16.72%
         310         315       6.8178125e-07    1.15777e-07    5.7698091e-07    9.85281e-08    8.1501267e-07    1.37398e-07       -15.37%     19.54%
         315         320       7.1140377e-07    2.29566e-07    5.8785833e-07    1.89302e-07    8.7420082e-07    2.82659e-07       -17.37%     22.88%
         320         325       1.3888713e-06    2.70925e-07    1.1481941e-06    2.21983e-07    1.7099753e-06    3.38033e-07       -17.33%     23.12%
         325         330       1.2728999e-06    4.59946e-07    1.1025435e-06    4.03571e-07    1.4847000e-06    5.28682e-07       -13.38%     16.64%
         330         335       4.5924986e-07    7.84685e-08    3.9048834e-07    6.74154e-08    5.4691212e-07    9.23834e-08       -14.97%     19.09%
         335         340       3.3756376e-07    7.56865e-08    2.8445388e-07    6.35309e-08    4.0590144e-07    9.13725e-08       -15.73%     20.24%
         340         345       2.8315652e-07    5.28000e-08    2.3733711e-07    4.43450e-08    3.4246611e-07    6.37085e-08       -16.18%     20.95%
         345         350       1.5371899e-07    2.70845e-08    1.2866796e-07    2.27421e-08    1.8642378e-07    3.27635e-08       -16.30%     21.28%
