#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0         0.1                   0              0                0              0                0              0            0%         0%
         0.1         0.2                   0              0                0              0                0              0            0%         0%
         0.2         0.3        0.0016851276    0.000223288     0.0015168345    0.000201226     0.0018395545    0.000243996        -9.99%      9.16%
         0.3         0.4        0.0082563845     0.00130865     0.0072417908     0.00108379     0.0092230259     0.00153541       -12.29%     11.71%
         0.4         0.5         0.013920486    0.000879372      0.012525469    0.000783055      0.015186563    0.000969633       -10.02%      9.10%
         0.5         0.6         0.028429472     0.00126719      0.025820543     0.00113101      0.030773238     0.00139647        -9.18%      8.24%
         0.6         0.7         0.055089190     0.00165971      0.050320901     0.00151225      0.059328885     0.00179777        -8.66%      7.70%
         0.7         0.8         0.088278522     0.00224433      0.080852245     0.00206970      0.094832689     0.00240173        -8.41%      7.42%
         0.8         0.9          0.14099031     0.00279834       0.12911679     0.00255754       0.15144438     0.00302230        -8.42%      7.41%
         0.9           1          0.21313254     0.00318532       0.19568098     0.00291868       0.22842136     0.00342978        -8.19%      7.17%
           1         1.1          0.30134451     0.00374840       0.27645284     0.00340569       0.32322217     0.00406819        -8.26%      7.26%
         1.1         1.2          0.40389148     0.00405732       0.37070386     0.00370897       0.43296314     0.00437816        -8.22%      7.20%
         1.2         1.3          0.52611537     0.00457405       0.48424170     0.00422781       0.56255730     0.00488941        -7.96%      6.93%
         1.3         1.4          0.68480359     0.00514563       0.62981892     0.00474522       0.73273385     0.00550772        -8.03%      7.00%
         1.4         1.5          0.88655859     0.00698497       0.81507688     0.00619727       0.94888652     0.00775659        -8.06%      7.03%
         1.5         1.6           1.0992796     0.00628908        1.0108469     0.00579127        1.1763731     0.00674317        -8.04%      7.01%
         1.6         1.7           1.3638466     0.00670992        1.2543578     0.00620180        1.4592004     0.00716667        -8.03%      6.99%
         1.7         1.8           1.6576058     0.00722084        1.5232570     0.00666328        1.7747838     0.00772115        -8.10%      7.07%
         1.8         1.9           2.0630642     0.00840755        1.8942219     0.00775583        2.2106052     0.00899771        -8.18%      7.15%
         1.9           2           2.4622523     0.00877317        2.2590457     0.00808619        2.6401088     0.00939319        -8.25%      7.22%
           2         2.1           2.9812482     0.00969355        2.7315510     0.00892612        3.2004769      0.0103920        -8.38%      7.35%
         2.1         2.2           3.6154503      0.0106940        3.3063811     0.00981654        3.8878554      0.0114940        -8.55%      7.53%
         2.2         2.3           4.3629166      0.0120294        3.9850042      0.0110117        4.6968280      0.0129598        -8.66%      7.65%
         2.3         2.4           5.3145636      0.0135799        4.8415866      0.0123629        5.7346007      0.0147033        -8.90%      7.90%
