#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5                   0              0                0              0                0              0            0%         0%
           5          10         0.033011273    0.000339730      0.028246316    0.000288452      0.037566365    0.000389946       -14.43%     13.80%
          10          15          0.16512570    0.000563791       0.14234870    0.000487553       0.18670390    0.000636504       -13.79%     13.07%
          15          20          0.25800876    0.000614695       0.22355894    0.000534656       0.29046139    0.000690639       -13.35%     12.58%
          20          25          0.28157923    0.000658212       0.24542508    0.000573915       0.31545499    0.000738131       -12.84%     12.03%
          25          30          0.27874975    0.000640590       0.24518453    0.000561289       0.30992735    0.000715961       -12.04%     11.18%
          30          35          0.29096387    0.000603321       0.25830094    0.000533244       0.32099187    0.000669663       -11.23%     10.32%
          35          40          0.33215076    0.000634136       0.29639529    0.000563019       0.36480917    0.000701001       -10.76%      9.83%
          40          45          0.36130044    0.000722076       0.32353865    0.000639618       0.39562110    0.000799375       -10.45%      9.50%
          45          50          0.23609639    0.000459508       0.21628097    0.000419266       0.25340635    0.000496057        -8.39%      7.33%
          50          55          0.19527005    0.000402792       0.18023875    0.000372823       0.20818125    0.000429129        -7.70%      6.61%
          55          60          0.16101596    0.000356590       0.14924149    0.000332140       0.17103498    0.000377799        -7.31%      6.22%
          60          65          0.13043548    0.000321690       0.12137077    0.000300783       0.13807674    0.000339678        -6.95%      5.86%
          65          70          0.10481242    0.000282813      0.097895286    0.000265827       0.11058948    0.000297210        -6.60%      5.51%
          70          75         0.084895913    0.000254983      0.079566662    0.000240772      0.089307655    0.000266897        -6.28%      5.20%
          75          80         0.068571662    0.000225942      0.064521551    0.000214198      0.071888329    0.000235660        -5.91%      4.84%
          80          85         0.055533624    0.000201827      0.052416939    0.000192036      0.058061834    0.000209839        -5.61%      4.55%
          85          90         0.045808120    0.000184548      0.043380833    0.000176122      0.047756057    0.000191377        -5.30%      4.25%
          90          95         0.037918440    0.000168195      0.036024557    0.000162181      0.039421360    0.000173048        -4.99%      3.96%
          95         100         0.031581833    0.000151522      0.030110296    0.000146023      0.032732905    0.000155777        -4.66%      3.64%
         100         105         0.025922403    0.000134016      0.024788252    0.000129260      0.026797374    0.000137678        -4.38%      3.38%
         105         110         0.022144664    0.000124978      0.021225338    0.000120828      0.022845314    0.000128120        -4.15%      3.16%
         110         115         0.018623255    0.000118579      0.017915413    0.000115492      0.019151931    0.000120793        -3.80%      2.84%
         115         120         0.015696489    0.000105812      0.015133795    0.000102578      0.016110021    0.000108250        -3.58%      2.63%
         120         125         0.013449904    0.000100161      0.013013418    9.84928e-05      0.013762957    0.000101230        -3.25%      2.33%
         125         130         0.011625593    9.28142e-05      0.011269341    9.09537e-05      0.011876140    9.40131e-05        -3.06%      2.16%
         130         135        0.0098386755    7.84428e-05     0.0095681876    7.71693e-05      0.010022581    7.92341e-05        -2.75%      1.87%
         135         140        0.0087214499    7.79589e-05     0.0085074987    7.68599e-05     0.0088608704    7.85470e-05        -2.45%      1.60%
         140         145        0.0074517943    7.43356e-05     0.0072858029    7.36221e-05     0.0075554382    7.45877e-05        -2.23%      1.39%
         145         150        0.0066591236    6.72684e-05     0.0065246611    6.65880e-05     0.0067391613    6.75469e-05        -2.02%      1.20%
         150         155        0.0057491933    6.20384e-05     0.0056454758    6.15654e-05     0.0058073065    6.21397e-05        -1.80%      1.01%
         155         160        0.0053292356    6.42476e-05     0.0052493757    6.41856e-05     0.0053686169    6.39967e-05        -1.50%      0.74%
         160         165        0.0046418199    5.69265e-05     0.0045869318    5.69989e-05     0.0046631781    5.65866e-05        -1.18%      0.46%
         165         170        0.0038754747    4.86343e-05     0.0038340766    4.88005e-05     0.0038892852    4.82585e-05        -1.07%      0.36%
         170         175        0.0034976730    5.00969e-05     0.0034650700    5.03236e-05     0.0035058452    4.96340e-05        -0.93%      0.23%
         175         180        0.0032607014    4.89001e-05     0.0032440869    4.94517e-05     0.0032607014    4.89001e-05        -0.51%   0.00000%
         180         185        0.0028787523    4.16250e-05     0.0028652525    4.18368e-05     0.0028787523    4.16250e-05        -0.47%   0.00000%
         185         190        0.0025896128    5.15136e-05     0.0025801575    5.09726e-05     0.0025896128    5.15136e-05        -0.37%   0.00000%
         190         195        0.0022821117    3.87584e-05     0.0022704468    3.82466e-05     0.0022821117    3.87584e-05        -0.51%   0.00000%
         195         200        0.0021746477    3.98833e-05     0.0021609348    3.91873e-05     0.0021757006    4.04506e-05        -0.63%      0.05%
         200         205        0.0020325989    4.93568e-05     0.0020143808    4.78211e-05     0.0020402399    5.11054e-05        -0.90%      0.38%
         205         210        0.0017113790    3.40110e-05     0.0016918846    3.31586e-05     0.0017224009    3.48327e-05        -1.14%      0.64%
         210         215        0.0016188192    3.59029e-05     0.0015981256    3.48170e-05     0.0016319194    3.70094e-05        -1.28%      0.81%
         215         220        0.0015027552    4.35308e-05     0.0014814415    4.14318e-05     0.0015173236    4.58335e-05        -1.42%      0.97%
         220         225        0.0012811489    3.19777e-05     0.0012620646    3.11614e-05     0.0012946928    3.27547e-05        -1.49%      1.06%
         225         230        0.0012593234    4.15357e-05     0.0012362047    4.00715e-05     0.0012776924    4.29788e-05        -1.84%      1.46%
         230         235        0.0010081030    2.35522e-05    0.00099082417    2.28916e-05     0.0010213289    2.41915e-05        -1.71%      1.31%
