#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5                   0              0                0              0                0              0            0%         0%
           5          10        0.0021679177    6.60257e-05     0.0018054587    5.43267e-05     0.0025260218    7.77754e-05       -16.72%     16.52%
          10          15         0.026619993    0.000105817      0.022600264    8.96075e-05      0.030500771    0.000121705       -15.10%     14.58%
          15          20         0.068281675    0.000129777      0.058654201    0.000111972      0.077435646    0.000146823       -14.10%     13.41%
          20          25          0.13239879    0.000175433       0.11421800    0.000151987       0.14958954    0.000197729       -13.73%     12.98%
          25          30          0.21623417    0.000228795       0.18692522    0.000198413       0.24387757    0.000257671       -13.55%     12.78%
          30          35          0.29496669    0.000253672       0.25554018    0.000220072       0.33206883    0.000285652       -13.37%     12.58%
          35          40          0.35890855    0.000290874       0.31192883    0.000252919       0.40298250    0.000326889       -13.09%     12.28%
          40          45          0.41386931    0.000342154       0.36221409    0.000298694       0.46200026    0.000383236       -12.48%     11.63%
          45          50          0.26438193    0.000209025       0.23938642    0.000188281       0.28663867    0.000228079        -9.45%      8.42%
          50          55          0.25154269    0.000181423       0.23058485    0.000166944       0.26976790    0.000194230        -8.33%      7.25%
          55          60          0.22044301    0.000170873       0.20316553    0.000158078       0.23530156    0.000182124        -7.84%      6.74%
          60          65          0.18286989    0.000149427       0.16932159    0.000139306       0.19440233    0.000158150        -7.41%      6.31%
          65          70          0.14994138    0.000133949       0.13939197    0.000125472       0.15883877    0.000141176        -7.04%      5.93%
          70          75          0.12239365    0.000120459       0.11418189    0.000113280       0.12926003    0.000126508        -6.71%      5.61%
          75          80          0.10003255    0.000107671      0.093663454    0.000101694       0.10530896    0.000112655        -6.37%      5.27%
          80          85         0.081901224    9.54172e-05      0.076944354    9.04787e-05      0.085969865    9.94866e-05        -6.05%      4.97%
          85          90         0.067516890    8.61122e-05      0.063636765    8.19918e-05      0.070671514    8.94722e-05        -5.75%      4.67%
          90          95         0.055935997    7.82516e-05      0.052896137    7.47630e-05      0.058381259    8.10512e-05        -5.43%      4.37%
          95         100         0.046678415    7.06697e-05      0.044288016    6.77589e-05      0.048579172    7.29724e-05        -5.12%      4.07%
         100         105         0.039010619    6.40534e-05      0.037126071    6.16380e-05      0.040491724    6.59347e-05        -4.83%      3.80%
         105         110         0.032821586    5.89691e-05      0.031327687    5.68341e-05      0.033980662    6.06216e-05        -4.55%      3.53%
         110         115         0.027661907    5.36028e-05      0.026487532    5.19134e-05      0.028559375    5.48635e-05        -4.25%      3.24%
         115         120         0.023724701    5.01397e-05      0.022784764    4.87757e-05      0.024431385    5.11180e-05        -3.96%      2.98%
         120         125         0.020221041    4.56618e-05      0.019471463    4.45215e-05      0.020775428    4.64620e-05        -3.71%      2.74%
         125         130         0.017541521    4.28830e-05      0.016939420    4.19117e-05      0.017977590    4.35373e-05        -3.43%      2.49%
         130         135         0.015115591    3.95273e-05      0.014635955    3.87679e-05      0.015455212    4.00105e-05        -3.17%      2.25%
         135         140         0.013103955    3.66625e-05      0.012720253    3.59702e-05      0.013368791    3.70926e-05        -2.93%      2.02%
         140         145         0.011414903    3.36518e-05      0.011110930    3.31769e-05      0.011618069    3.39089e-05        -2.66%      1.78%
         145         150         0.010037585    3.19131e-05     0.0097934616    3.15683e-05      0.010195125    3.20575e-05        -2.43%      1.57%
         150         155        0.0086769375    2.99788e-05     0.0084859182    2.99464e-05     0.0087949979    2.98903e-05        -2.20%      1.36%
         155         160        0.0077738016    2.82295e-05     0.0076158210    2.79510e-05     0.0078675212    2.83427e-05        -2.03%      1.21%
         160         165        0.0068863708    2.66012e-05     0.0067660356    2.65095e-05     0.0069518977    2.65487e-05        -1.75%      0.95%
         165         170        0.0060949907    2.43074e-05     0.0060019485    2.42759e-05     0.0061408887    2.42109e-05        -1.53%      0.75%
         170         175        0.0053861644    2.30792e-05     0.0053143470    2.30793e-05     0.0054174342    2.29617e-05        -1.33%      0.58%
         175         180        0.0048997147    2.23614e-05     0.0048465281    2.24634e-05     0.0049174131    2.21660e-05        -1.09%      0.36%
