#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5                   0              0                0              0                0              0            0%         0%
           5          10         0.024919809    0.000406481      0.023754126    0.000347441      0.025704729    0.000433564        -4.68%      3.15%
          10          15          0.23790947    0.000824285       0.22843922    0.000720944       0.24382142    0.000886875        -3.98%      2.48%
          15          20          0.49311675    0.000936711       0.48118226    0.000825335       0.49811498     0.00100203        -2.42%      1.01%
          20          25          0.53086226     0.00101764       0.51667197    0.000901283       0.54062579     0.00110177        -2.67%      1.84%
          25          30          0.40788666    0.000910668       0.39463691    0.000807015       0.42195659    0.000991856        -3.25%      3.45%
          30          35          0.30891348    0.000757541       0.29827065    0.000711164       0.32218612    0.000817778        -3.45%      4.30%
          35          40          0.29668545    0.000729874       0.28938887    0.000675233       0.30578498    0.000799797        -2.46%      3.07%
          40          45          0.34074057    0.000714562       0.33307415    0.000661131       0.35030134    0.000782944        -2.25%      2.81%
          45          50          0.32647728    0.000692237       0.31701348    0.000639776       0.33827956    0.000759304        -2.90%      3.62%
          50          55          0.26923105    0.000688177       0.26081125    0.000639556       0.27973136    0.000750680        -3.13%      3.90%
          55          60          0.21583157    0.000622471       0.20880807    0.000572573       0.22459055    0.000685961        -3.25%      4.06%
          60          65          0.16572130    0.000558127       0.16042205    0.000513726       0.17232998    0.000614659        -3.20%      3.99%
          65          70          0.13317293    0.000484923       0.12868466    0.000446978       0.13877023    0.000533304        -3.37%      4.20%
          70          75          0.10357128    0.000423928       0.10010936    0.000391666       0.10795791    0.000450044        -3.34%      4.24%
          75          80         0.081884299    0.000392523      0.079153825    0.000362723      0.085580612    0.000417980        -3.33%      4.51%
          80          85         0.066381837    0.000358503      0.064110940    0.000330592      0.069508797    0.000383772        -3.42%      4.71%
          85          90         0.053102583    0.000331024      0.051243304    0.000311408      0.055746975    0.000355038        -3.50%      4.98%
          90          95         0.043355725    0.000292838      0.041804238    0.000274641      0.045557081    0.000314782        -3.58%      5.08%
          95         100         0.036320841    0.000259196      0.034915977    0.000243218      0.038296994    0.000278839        -3.87%      5.44%
         100         105         0.029290046    0.000249399      0.028115351    0.000235419      0.030946144    0.000266910        -4.01%      5.65%
         105         110         0.024674182    0.000214372      0.023703677    0.000199058      0.026042459    0.000233030        -3.93%      5.55%
         110         115         0.020633852    0.000192467      0.019766010    0.000179063      0.021858893    0.000209085        -4.21%      5.94%
         115         120         0.017570750    0.000177842      0.016797080    0.000165590      0.018653809    0.000193132        -4.40%      6.16%
         120         125         0.015079546    0.000169041      0.014413906    0.000156301      0.016011604    0.000185094        -4.41%      6.18%
