#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10        0.0089407455    6.95251e-05     0.0080624017    6.28060e-05      0.010036125    7.79258e-05        -9.82%     12.25%
          10          20         0.017557261    8.67922e-05      0.015991486    7.95929e-05      0.019509933    9.59253e-05        -8.92%     11.12%
          20          30         0.028022473    0.000167500      0.026357940    0.000152026      0.030098307    0.000186934        -5.94%      7.41%
          30          40         0.048306538    0.000135027      0.046292597    0.000118748      0.050622927    0.000149181        -4.17%      4.80%
          40          50         0.097872529    0.000169599      0.094893402    0.000149800       0.10045898    0.000185548        -3.04%      2.64%
          50          60          0.25139820    0.000312693       0.24460944    0.000277903       0.25481890    0.000342801        -2.70%      1.36%
          60          70          0.31329805    0.000416801       0.30418751    0.000367079       0.31884918    0.000457352        -2.91%      1.77%
          70          80          0.14233205    0.000330217       0.13721155    0.000294288       0.14834817    0.000364904        -3.60%      4.23%
          80          90          0.12247309    0.000206388       0.11900692    0.000188640       0.12679574    0.000228829        -2.83%      3.53%
          90         100          0.29919180    0.000299141       0.29168782    0.000274897       0.30854999    0.000329960        -2.51%      3.13%
         100         110         0.083827736    0.000151690      0.082072959    0.000139219      0.086016112    0.000167523        -2.09%      2.61%
         110         120         0.078638616    0.000149417      0.076964764    0.000136907      0.080726072    0.000165274        -2.13%      2.65%
         120         130         0.074522904    0.000115629      0.072849384    0.000107294      0.076609945    0.000126328        -2.25%      2.80%
         130         140         0.068695741    0.000114190      0.067094381    0.000105435      0.070692793    0.000125372        -2.33%      2.91%
         140         150         0.062257398    0.000102355      0.060749146    9.47270e-05      0.064138334    0.000112120        -2.42%      3.02%
         150         160         0.056079473    9.59020e-05      0.054650056    8.88008e-05      0.057862093    0.000104997        -2.55%      3.18%
         160         170         0.049983584    9.42707e-05      0.048677718    8.71188e-05      0.051612126    0.000103413        -2.61%      3.26%
         170         180         0.044524393    0.000113224      0.043315995    0.000103681      0.046031382    0.000125312        -2.71%      3.38%
         180         190         0.039131206    8.30635e-05      0.038059031    7.68298e-05      0.040468311    9.10390e-05        -2.74%      3.42%
         190         200         0.034809500    7.71697e-05      0.033829975    7.14949e-05      0.036031063    8.44420e-05        -2.81%      3.51%
         200         210         0.030776969    7.44907e-05      0.029894447    6.89331e-05      0.031877559    8.16047e-05        -2.87%      3.58%
         210         220         0.027158372    7.15872e-05      0.026369231    6.61925e-05      0.028142507    7.84871e-05        -2.91%      3.62%
         220         230         0.024404496    7.09905e-05      0.023668768    6.55545e-05      0.025322020    7.79342e-05        -3.01%      3.76%
         230         240         0.021401975    6.38884e-05      0.020772093    5.91529e-05      0.022195857    6.95951e-05        -2.94%      3.71%
         240         250         0.019057413    6.20585e-05      0.018485924    5.73918e-05      0.019801650    6.77155e-05        -3.00%      3.91%
         250         260         0.017032218    6.06656e-05      0.016522676    5.60533e-05      0.017681072    6.61327e-05        -2.99%      3.81%
         260         270         0.015318766    5.66369e-05      0.014850384    5.24028e-05      0.015939651    6.17572e-05        -3.06%      4.05%
         270         280         0.013670371    5.47256e-05      0.013246422    5.05928e-05      0.014240253    5.98450e-05        -3.10%      4.17%
         280         290         0.012232795    5.18395e-05      0.011855070    4.79026e-05      0.012763553    5.68550e-05        -3.09%      4.34%
         290         300         0.011076380    5.17028e-05      0.010724182    4.77923e-05      0.011572240    5.67975e-05        -3.18%      4.48%
         300         310        0.0098476595    4.94902e-05     0.0095323738    4.52620e-05      0.010293342    5.50707e-05        -3.20%      4.53%
         310         320        0.0088363078    4.46706e-05     0.0085538143    4.12050e-05     0.0092336659    4.92389e-05        -3.20%      4.50%
         320         330        0.0079956927    4.70247e-05     0.0077186346    4.32145e-05     0.0083817678    5.20264e-05        -3.47%      4.83%
         330         340        0.0072648348    4.05256e-05     0.0070129744    3.73037e-05     0.0076166230    4.47155e-05        -3.47%      4.84%
         340         350        0.0066044350    4.17527e-05     0.0063687889    3.83610e-05     0.0069308516    4.61464e-05        -3.57%      4.94%
         350         360        0.0059759911    4.09565e-05     0.0057627198    3.74546e-05     0.0062712838    4.54769e-05        -3.57%      4.94%
         360         370        0.0053421285    3.56545e-05     0.0051473283    3.26714e-05     0.0056129347    3.95635e-05        -3.65%      5.07%
         370         380        0.0048217164    3.52959e-05     0.0046472968    3.21916e-05     0.0050637295    3.93669e-05        -3.62%      5.02%
         380         390        0.0044433900    3.28833e-05     0.0042741504    2.99371e-05     0.0046773802    3.67806e-05        -3.81%      5.27%
         390         400        0.0041093633    3.41255e-05     0.0039488443    3.10503e-05     0.0043298699    3.80819e-05        -3.91%      5.37%
         400         410        0.0037702347    3.13614e-05     0.0036147685    2.84771e-05     0.0039823066    3.51110e-05        -4.12%      5.62%
         410         420        0.0034579401    3.44323e-05     0.0033143389    3.11987e-05     0.0036540062    3.85792e-05        -4.15%      5.67%
         420         430        0.0031777534    2.79454e-05     0.0030457757    2.54253e-05     0.0033575878    3.12702e-05        -4.15%      5.66%
         430         440        0.0028092819    2.51015e-05     0.0026923697    2.26796e-05     0.0029704650    2.83442e-05        -4.16%      5.74%
         440         450        0.0026896771    3.24720e-05     0.0025716234    2.91702e-05     0.0028492508    3.67040e-05        -4.39%      5.93%
