#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           2          0.43600147     0.00359662       0.37577122     0.00312923       0.49214052     0.00403217       -13.81%     12.88%
           2           4           1.7260341     0.00316423        1.4911575     0.00274660        1.9442772     0.00355472       -13.61%     12.64%
           4           6           1.1361728     0.00230660       0.98331725     0.00200158        1.2779550     0.00259229       -13.45%     12.48%
           6           8          0.78895289     0.00195605       0.68342038     0.00169876       0.88677470     0.00219646       -13.38%     12.40%
           8          10          0.60662879     0.00157824       0.52533139     0.00136961       0.68204909     0.00177375       -13.40%     12.43%
          10          12          0.51978710     0.00161588       0.44932371     0.00137482       0.58538272     0.00185014       -13.56%     12.62%
          12          14          0.46564044     0.00134307       0.40193602     0.00115144       0.52508641     0.00152729       -13.68%     12.77%
          14          16          0.39964953     0.00116053       0.34518193    0.000996979       0.45042508     0.00131651       -13.63%     12.71%
          16          18          0.34102182    0.000984913       0.29481655    0.000849408       0.38403182     0.00111330       -13.55%     12.61%
          18          20          0.28943934    0.000879241       0.25054722    0.000760913       0.32557292    0.000990721       -13.44%     12.48%
          20          22          0.24175709    0.000767672       0.20966685    0.000667096       0.27149648    0.000861822       -13.27%     12.30%
          22          24          0.20287988    0.000677162       0.17617302    0.000588460       0.22758901    0.000760143       -13.16%     12.18%
          24          26          0.16811609    0.000599032       0.14624259    0.000522494       0.18831209    0.000670452       -13.01%     12.01%
          26          28          0.14240106    0.000548450       0.12401970    0.000477916       0.15934824    0.000614305       -12.91%     11.90%
          28          30          0.12163924    0.000494338       0.10609069    0.000433480       0.13595242    0.000550790       -12.78%     11.77%
          30          32          0.10077530    0.000569150      0.088078781    0.000506847       0.11243682    0.000625744       -12.60%     11.57%
          32          34         0.084239101    0.000386933      0.073732000    0.000339829      0.093873736    0.000430552       -12.47%     11.44%
          34          36         0.069726766    0.000347536      0.061193447    0.000306022      0.077527685    0.000385802       -12.24%     11.19%
          36          38         0.057347603    0.000319345      0.050450274    0.000280654      0.063637503    0.000355972       -12.03%     10.97%
          38          40         0.045905615    0.000261222      0.040552128    0.000232088      0.050762893    0.000287918       -11.66%     10.58%
          40          42         0.035574959    0.000252004      0.031623383    0.000227880      0.039131466    0.000273645       -11.11%      10.0%
          42          44         0.026080806    0.000360035      0.023401250    0.000342164      0.028461397    0.000374382       -10.27%      9.13%
