#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5                   0              0                0              0                0              0            0%         0%
           5          10                   0              0                0              0                0              0            0%         0%
          10          15                   0              0                0              0                0              0            0%         0%
          15          20                   0              0                0              0                0              0            0%         0%
          20          25        0.0010020552    0.000141941    0.00079477511    0.000112285     0.0012139635    0.000172319       -20.69%     21.15%
          25          30        0.0063076821    9.68982e-05     0.0050400773    7.71277e-05     0.0075931938    0.000117168       -20.10%     20.38%
          30          35         0.013288905    9.53798e-05      0.010725134    7.70238e-05      0.015860936    0.000113837       -19.29%     19.35%
          35          40         0.018435206    8.69805e-05      0.015007370    7.07546e-05      0.021841982    0.000103198       -18.59%     18.48%
          40          45         0.020979382    8.56817e-05      0.017210776    7.03822e-05      0.024693076    0.000100792       -17.96%     17.70%
          45          50         0.021373113    8.14839e-05      0.017662151    6.74026e-05      0.025000642    9.53012e-05       -17.36%     16.97%
          50          55         0.020663070    8.06364e-05      0.017178321    6.64208e-05      0.024046233    9.47620e-05       -16.86%     16.37%
          55          60         0.019271863    7.78402e-05      0.016119314    6.51770e-05      0.022311758    9.00947e-05       -16.36%     15.77%
          60          65         0.018621177    7.01453e-05      0.015660213    5.90315e-05      0.021458726    8.08758e-05       -15.90%     15.24%
          65          70         0.018939464    7.70150e-05      0.016002974    6.51655e-05      0.021738382    8.83779e-05       -15.50%     14.78%
          70          75         0.021706293    8.39729e-05      0.018428348    7.14897e-05      0.024813917    9.58588e-05       -15.10%     14.32%
          75          80         0.030896108    9.02849e-05      0.026332683    7.71833e-05      0.035202495    0.000102764       -14.77%     13.94%
          80          85         0.067812132    0.000141389      0.058037966    0.000121566      0.076990898    0.000160176       -14.41%     13.54%
          85          90          0.46217919    0.000399746       0.39741106    0.000345347       0.52265779    0.000450976       -14.01%     13.09%
          90          95           1.6023794    0.000765516        1.3814142    0.000663203        1.8080393    0.000861509       -13.79%     12.83%
          95         100          0.15955480    0.000214727       0.13809965    0.000186439       0.17942223    0.000241226       -13.45%     12.45%
         100         105         0.063545052    0.000129796      0.055246292    0.000113296      0.071185695    0.000145090       -13.06%     12.02%
         105         110         0.064200382    0.000123782      0.056028798    0.000108227      0.071685783    0.000138153       -12.73%     11.66%
         110         115         0.066948722    0.000126996      0.058627389    0.000111340      0.074536198    0.000141407       -12.43%     11.33%
         115         120         0.062859772    0.000120923      0.055228461    0.000106280      0.069787007    0.000134349       -12.14%     11.02%
         120         125         0.056431789    0.000118864      0.049720588    0.000105004      0.062499931    0.000131442       -11.89%     10.75%
         125         130         0.049794727    0.000116064      0.043989610    0.000101861      0.055023891    0.000129214       -11.66%     10.50%
         130         135         0.043442444    0.000107713      0.038489572    9.55385e-05      0.047885504    0.000118706       -11.40%     10.23%
         135         140         0.038157796    0.000119008      0.033898591    0.000106162      0.041963708    0.000130474       -11.16%      9.97%
         140         145         0.032959279    9.25944e-05      0.029358950    8.26607e-05      0.036163838    0.000101454       -10.92%      9.72%
         145         150         0.029283590    0.000115849      0.026149936    0.000104024      0.032062553    0.000126327       -10.70%      9.49%
