#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10          0.60968333     0.00523161       0.48992443     0.00417264       0.73584571     0.00635173       -19.64%     20.69%
          10          20           1.0774607     0.00512939       0.88237139     0.00427496        1.2783601     0.00600080       -18.11%     18.65%
          20          30          0.64515286     0.00672870       0.54299923     0.00648048       0.74714596     0.00694121       -15.83%     15.81%
          30          40          0.50869634     0.00217381       0.43973866     0.00189284       0.57563861     0.00244671       -13.56%     13.16%
          40          50          0.60955416     0.00325233       0.53345716     0.00285869       0.68227113     0.00362865       -12.48%     11.93%
          50          60           1.0221989     0.00428655       0.89785962     0.00378551        1.1404011     0.00476269       -12.16%     11.56%
          60          70           1.5165354     0.00566396        1.3326368     0.00499644        1.6912874     0.00630238       -12.13%     11.52%
          70          80           1.6690740     0.00655607        1.4698178     0.00578170        1.8580411     0.00729913       -11.94%     11.32%
          80          90           1.2212094     0.00815272        1.0920874     0.00738740        1.3416921     0.00886535       -10.57%      9.87%
          90         100          0.98390215     0.00748411       0.89554930     0.00687253        1.0644861     0.00804052        -8.98%      8.19%
         100         110          0.17115924     0.00166648       0.15797578     0.00150651       0.18286665     0.00182537        -7.70%      6.84%
         110         120          0.14826602     0.00473997       0.13744530     0.00429680       0.15779610     0.00514686        -7.30%      6.43%
         120         130          0.11296429     0.00457090       0.10571068     0.00413880       0.11921724     0.00496805        -6.42%      5.54%
         130         140         0.095658656     0.00127187      0.089473977     0.00120005       0.10099868     0.00133280        -6.47%      5.58%
         140         150         0.088047783     0.00124929      0.082679347     0.00117353      0.092637712     0.00131365        -6.10%      5.21%
         150         160         0.078596622     0.00328760      0.073933101     0.00306601      0.082574407     0.00347996        -5.93%      5.06%
         160         170         0.065000626     0.00112030      0.061464024     0.00105824      0.067973609     0.00117504        -5.44%      4.57%
         170         180         0.051837309     0.00326130      0.049160868     0.00304592      0.054071471     0.00344754        -5.16%      4.31%
         180         190         0.044636467     0.00146306      0.042502657     0.00138289      0.046392375     0.00153119        -4.78%      3.93%
         190         200         0.042172078     0.00105877      0.040222626     0.00101847      0.043768307     0.00109040        -4.62%      3.79%
         200         210         0.039819884    0.000820589      0.038021535    0.000792729      0.041280569    0.000842132        -4.52%      3.67%
         210         220         0.030747091     0.00116566      0.029439451     0.00112361      0.031801445     0.00119809        -4.25%      3.43%
         220         230         0.029182187     0.00148589      0.028032968     0.00142828      0.030093791     0.00153102        -3.94%      3.12%
         230         240         0.025834154    0.000931766      0.024864262    0.000898786      0.026594722    0.000957219        -3.75%      2.94%
         240         250         0.022314744    0.000992042      0.021548087    0.000955821      0.022906300     0.00102013        -3.44%      2.65%
         250         260         0.019120703    0.000547486      0.018497664    0.000532911      0.019596913    0.000558705        -3.26%      2.49%
         260         270         0.021490095     0.00249664      0.020805814     0.00241328      0.022007303     0.00255959        -3.18%      2.41%
         270         280         0.010643810     0.00254199      0.010369647     0.00245618      0.010842030     0.00260708        -2.58%      1.86%
         280         290         0.010678701     0.00137580      0.010437190     0.00132680      0.010845840     0.00141351        -2.26%      1.57%
         290         300         0.012125917    0.000654693      0.011811906    0.000640460      0.012350938    0.000664328        -2.59%      1.86%
         300         310         0.010865693    0.000529364      0.010630240    0.000521867      0.011024977    0.000533766        -2.17%      1.47%
         310         320        0.0096694459    0.000464360     0.0094786646    0.000458919     0.0097934006    0.000467369        -1.97%      1.28%
         320         330        0.0090353125    0.000405019     0.0088523885    0.000398545     0.0091564122    0.000408959        -2.02%      1.34%
         330         340        0.0082794114    0.000380358     0.0081606976    0.000374717     0.0083445201    0.000383767        -1.43%      0.79%
         340         350        0.0069024019    0.000325459     0.0067972654    0.000322150     0.0069628035    0.000326831        -1.52%      0.88%
         350         360        0.0069455421    0.000336759     0.0068490197    0.000333027     0.0069979357    0.000338486        -1.39%      0.75%
         360         370        0.0059586459    0.000285536     0.0058930962    0.000283284     0.0059874768    0.000286157        -1.10%      0.48%
         370         380        0.0062476564    0.000364699     0.0062059139    0.000370363     0.0062547893    0.000358279        -0.67%      0.11%
         380         390        0.0054184187    0.000530612     0.0053736961    0.000527607     0.0054314588    0.000530798        -0.83%      0.24%
         390         400        0.0030696512    0.000378025     0.0030388981    0.000383491     0.0030824492    0.000371521        -1.00%      0.42%
         400         410        0.0038738556    0.000436973     0.0038470951    0.000432446     0.0038784506    0.000438841        -0.69%      0.12%
         410         420        0.0040498260    0.000226000     0.0040359059    0.000226500     0.0040498260    0.000226000        -0.34%   0.00000%
         420         430        0.0034289856    0.000168342     0.0034161286    0.000168576     0.0034289856    0.000168342        -0.37%   0.00000%
         430         440        0.0042842857    0.000420751     0.0042682997    0.000417829     0.0042842857    0.000420751        -0.37%   0.00000%
         440         450        0.0028931117    0.000389547     0.0028740778    0.000387202     0.0028986572    0.000389872        -0.66%      0.19%
         450         460        0.0021474016    0.000227788     0.0021270226    0.000227010     0.0021589567    0.000227364        -0.95%      0.54%
         460         470        0.0027137497    0.000188948     0.0026893971    0.000186402     0.0027265090    0.000190823        -0.90%      0.47%
         470         480        0.0026074649    0.000199131     0.0025885265    0.000195718     0.0026138806    0.000202057        -0.73%      0.25%
         480         490        0.0020453558    0.000179544     0.0020308626    0.000176652     0.0020503866    0.000181816        -0.71%      0.25%
         490         500        0.0017999027    0.000165735     0.0017812946    0.000163590     0.0018116168    0.000167241        -1.03%      0.65%
         500         510        0.0019428481    0.000153426     0.0019180316    0.000151798     0.0019610406    0.000154463        -1.28%      0.94%
         510         520        0.0021323006    0.000200322     0.0021085029    0.000199563     0.0021474830    0.000200095        -1.12%      0.71%
         520         530        0.0015442542    0.000190748     0.0015125880    0.000190529     0.0015718659    0.000189928        -2.05%      1.79%
         530         540        0.0014158725    0.000132236     0.0013893084    0.000129874     0.0014382835    0.000134246        -1.88%      1.58%
         540         550        0.0012933157    0.000210520     0.0012698559    0.000206738     0.0013135835    0.000213639        -1.81%      1.57%
         550         560        0.0011006470    0.000105730     0.0010843900    0.000103091     0.0011132817    0.000108213        -1.48%      1.15%
         560         570        0.0014773568    0.000109887     0.0014508796    0.000107879     0.0014996120    0.000111575        -1.79%      1.51%
         570         580        0.0020715063    0.000680486     0.0020384126    0.000674631     0.0020973408    0.000683014        -1.60%      1.25%
         580         590        0.0013141265    0.000127265     0.0012890027    0.000124945     0.0013356090    0.000129233        -1.91%      1.63%
         590         600        0.0010825897    0.000145588     0.0010580497    0.000142593     0.0011046494    0.000148157        -2.27%      2.04%
         600         610       0.00095025473    0.000116157    0.00093156584    0.000113745    0.00096610436    0.000118283        -1.97%      1.67%
         610         620       0.00091216916    0.000119535    0.00088600820    0.000117617    0.00093755825    0.000121052        -2.87%      2.78%
         620         630      -0.00030791694    0.000686540   -0.00031517745    0.000680539   -0.00029717047    0.000689200         2.36%     -3.49%
         630         640       0.00077638742    8.22446e-05    0.00075590514    8.05385e-05    0.00079549748    8.36938e-05        -2.64%      2.46%
         640         650       0.00036183207    0.000145987    0.00035081319    0.000142689    0.00037286246    0.000148932        -3.05%      3.05%
         650         660       0.00050720754    9.27951e-05    0.00049320428    9.08567e-05    0.00052050947    9.45236e-05        -2.76%      2.62%
         660         670       0.00052527658    7.61963e-05    0.00050747168    7.43360e-05    0.00054295995    7.79175e-05        -3.39%      3.37%
         670         680       0.00055855289    8.49224e-05    0.00053943101    8.33052e-05    0.00057762917    8.63003e-05        -3.42%      3.42%
         680         690       0.00039264124    8.43212e-05    0.00037996740    8.19278e-05    0.00040542986    8.66671e-05        -3.23%      3.26%
         690         700       0.00054994376    6.08089e-05    0.00053038236    5.94372e-05    0.00056965076    6.20637e-05        -3.56%      3.58%
         700         710       0.00046145841    0.000110370    0.00044860212    0.000106750    0.00047390877    0.000113914        -2.79%      2.70%
         710         720       0.00082981856    0.000131247    0.00080400229    0.000127280    0.00085509994    0.000135066        -3.11%      3.05%
         720         730       0.00055643679    5.19761e-05    0.00053574686    5.01838e-05    0.00057742859    5.37698e-05        -3.72%      3.77%
         730         740       0.00038613783    7.51094e-05    0.00037158397    7.28077e-05    0.00040086205    7.73870e-05        -3.77%      3.81%
         740         750       0.00062263802    0.000102808    0.00060251681    9.88505e-05    0.00064292232    0.000106826        -3.23%      3.26%
         750         760       0.00041682405    4.59123e-05    0.00040221225    4.41036e-05    0.00043155752    4.77795e-05        -3.51%      3.53%
         760         770       0.00036280581    6.58319e-05    0.00034858153    6.35292e-05    0.00037755073    6.81502e-05        -3.92%      4.06%
         770         780       0.00041614567    9.99986e-05    0.00039795085    9.64988e-05    0.00043512410    0.000103512        -4.37%      4.56%
         780         790       0.00022298463    8.98711e-05    0.00021701072    8.58152e-05    0.00022862704    9.41270e-05        -2.68%      2.53%
         790         800      -0.00010002281    0.000164512   -0.00010049414    0.000159720   -9.8570498e-05    0.000169101         0.47%     -1.45%
         800         810       0.00016175835    6.11383e-05    0.00015283456    5.88653e-05    0.00017145154    6.34514e-05        -5.52%      5.99%
         810         820       0.00025723533    6.56689e-05    0.00024667539    6.31860e-05    0.00026812568    6.81999e-05        -4.11%      4.23%
         820         830       0.00032179045    4.22980e-05    0.00030928574    4.02889e-05    0.00033457263    4.44291e-05        -3.89%      3.97%
         830         840       2.0486668e-05    5.63908e-05    2.0486668e-05    5.63908e-05    2.0568123e-05    5.86737e-05      0.00000%      0.40%
         840         850       0.00026356944    4.12835e-05    0.00025239327    3.96143e-05    0.00027517406    4.29973e-05        -4.24%      4.40%
         850         860       0.00030062834    2.14447e-05    0.00028743405    2.05092e-05    0.00031439164    2.24234e-05        -4.39%      4.58%
         860         870       0.00021365867    2.75136e-05    0.00020511926    2.60241e-05    0.00022234708    2.91493e-05        -4.00%      4.07%
         870         880       0.00036005144    4.60755e-05    0.00034463955    4.34360e-05    0.00037628241    4.89498e-05        -4.28%      4.51%
         880         890       0.00019876356    3.40274e-05    0.00019012405    3.24226e-05    0.00020774296    3.57402e-05        -4.35%      4.52%
         890         900       0.00032759021    8.06096e-05    0.00031279140    7.73159e-05    0.00034321901    8.40254e-05        -4.52%      4.77%
         900         910       6.8321563e-05    7.69489e-05    6.4816004e-05    7.38393e-05    7.2085691e-05    8.01681e-05        -5.13%      5.51%
         910         920       0.00010285546    4.77589e-05    9.7313347e-05    4.54066e-05    0.00010881657    5.02768e-05        -5.39%      5.80%
         920         930       0.00013424280    3.36834e-05    0.00012751937    3.19822e-05    0.00014161221    3.55211e-05        -5.01%      5.49%
         930         940       0.00015048487    1.80492e-05    0.00014283834    1.71038e-05    0.00015867728    1.90698e-05        -5.08%      5.44%
         940         950       0.00012616253    1.98227e-05    0.00012050608    1.88163e-05    0.00013211787    2.09061e-05        -4.48%      4.72%
         950         960       0.00018217223    1.97686e-05    0.00017282094    1.87679e-05    0.00019223906    2.08522e-05        -5.13%      5.53%
         960         970       9.8629434e-05    2.60290e-05    9.3750487e-05    2.47455e-05    0.00010384557    2.74052e-05        -4.95%      5.29%
         970         980       0.00010598984    1.51431e-05    9.9910460e-05    1.44198e-05    0.00011265510    1.59107e-05        -5.74%      6.29%
         980         990       4.5460635e-05    7.53502e-05    4.2857838e-05    7.17389e-05    4.8388781e-05    7.91526e-05        -5.73%      6.44%
         990        1000       8.9709400e-05    3.76914e-05    8.4718556e-05    3.60617e-05    9.5138924e-05    3.93823e-05        -5.56%      6.05%
