#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5           1.5375605      0.0118655        1.4129872      0.0132148        1.6023552      0.0114248        -8.10%      4.21%
           5          10           2.6294549      0.0192020        2.5781645      0.0192478        2.6540356      0.0186198        -1.95%      0.93%
          10          15           2.3127334      0.0242977        2.2445789      0.0218678        2.3449723      0.0267187        -2.95%      1.39%
          15          20           2.3373204      0.0297862        2.2793015      0.0268521        2.3679789      0.0328613        -2.48%      1.31%
          20          25           2.4068485      0.0300246        2.3531818      0.0271037        2.4346698      0.0330917        -2.23%      1.16%
          25          30           2.5211519      0.0349001        2.4648779      0.0313368        2.5534933      0.0384978        -2.23%      1.28%
          30          35           2.4937450      0.0334942        2.4435952      0.0302552        2.5220528      0.0369119        -2.01%      1.14%
          35          40           2.2561566      0.0288474        2.2247489      0.0263705        2.2725978      0.0286864        -1.39%      0.73%
          40          45           1.7595581      0.0225357        1.7371046      0.0208105        1.7737242      0.0223804        -1.28%      0.81%
          45          50           1.2015204      0.0138006        1.1601750      0.0128452        1.2520341      0.0149819        -3.44%      4.20%
          50          55          0.76018820      0.0101472       0.73104924     0.00951992       0.79578879      0.0109232        -3.83%      4.68%
          55          60          0.56413829      0.0143673       0.54262704      0.0136996       0.59041971      0.0151904        -3.81%      4.66%
          60          65          0.41280044      0.0185595       0.39749369      0.0177828       0.43150150      0.0195144        -3.71%      4.53%
          65          70          0.29450748      0.0173836       0.28362115      0.0166426       0.30780787      0.0182956        -3.70%      4.52%
          70          75          0.25005389      0.0130661       0.23993202      0.0123996       0.26242030      0.0138878        -4.05%      4.95%
          75          80          0.17372508     0.00669075       0.16755181     0.00620979       0.18126730     0.00728453        -3.55%      4.34%
          80          85          0.15953311     0.00787494       0.15359107     0.00737230       0.16679281     0.00849668        -3.72%      4.55%
          85          90          0.13285921     0.00460886       0.12738314     0.00424883       0.13954961     0.00505168        -4.12%      5.04%
          90          95         0.097571367     0.00485791      0.093772921     0.00446838       0.10221213     0.00533667        -3.89%      4.76%
          95         100         0.075391554     0.00514480      0.072667287     0.00475873      0.078719935     0.00562070        -3.61%      4.41%
         100         105         0.079294348     0.00406332      0.075778306     0.00375381      0.083590082     0.00444403        -4.43%      5.42%
         105         110         0.055192036     0.00304485      0.052967908     0.00283071      0.057952471     0.00330321        -4.03%      5.00%
         110         115         0.046513709     0.00212559      0.044682885     0.00196090      0.048750523     0.00232828        -3.94%      4.81%
         115         120         0.055790447     0.00609148      0.052853399     0.00555110      0.059378792     0.00675232        -5.26%      6.43%
         120         125         0.030517287     0.00588776      0.029177420     0.00553720      0.032263970     0.00626861        -4.39%      5.72%
         125         130         0.027319587     0.00221066      0.026166932     0.00203602      0.028777580     0.00241941        -4.22%      5.34%
         130         135         0.019038481     0.00478079      0.018004882     0.00459691      0.020339660     0.00500788        -5.43%      6.83%
         135         140         0.024739923     0.00238192      0.023586635     0.00220408      0.026148956     0.00260065        -4.66%      5.70%
         140         145         0.020283882     0.00219970      0.019097082     0.00202893      0.021738132     0.00240346        -5.85%      7.17%
         145         150         0.014905486     0.00162000      0.014386541     0.00146331      0.015581330     0.00180687        -3.48%      4.53%
         150         155         0.015345357     0.00145348      0.014597040     0.00133007      0.016253957     0.00160128        -4.88%      5.92%
         155         160         0.013116953     0.00110677      0.012362832     0.00101115      0.014077531     0.00122125        -5.75%      7.32%
         160         165         0.013569630     0.00121743      0.012763508     0.00112445      0.014558446     0.00132899        -5.94%      7.29%
         165         170        0.0095692529     0.00112992     0.0090094052     0.00104192      0.010269760     0.00123521        -5.85%      7.32%
         170         175        0.0099729292     0.00111269     0.0093967628     0.00102874      0.010695736     0.00121523        -5.78%      7.25%
         175         180        0.0078560409    0.000729976     0.0074408536    0.000667696     0.0083952477    0.000805432        -5.28%      6.86%
         180         185        0.0066814020     0.00115441     0.0062769483     0.00106790     0.0071883178     0.00125981        -6.05%      7.59%
         185         190        0.0064731364     0.00101114     0.0061033152    0.000915915     0.0069369130     0.00112463        -5.71%      7.16%
         190         195         0.010129335     0.00133779     0.0093791337     0.00121686      0.011049179     0.00148305        -7.41%      9.08%
         195         200        0.0039276113    0.000702148     0.0037065736    0.000656922     0.0042131423    0.000759005        -5.63%      7.27%
         200         205        0.0031350467    0.000582500     0.0029709021    0.000533885     0.0033435269    0.000641893        -5.24%      6.65%
         205         210        0.0060402949    0.000900070     0.0056035003    0.000813204     0.0065830099     0.00100671        -7.23%      8.98%
         210         215        0.0038815949    0.000628620     0.0036337131    0.000573893     0.0041906918    0.000697048        -6.39%      7.96%
         215         220        0.0028062613    0.000435912     0.0026443618    0.000393906     0.0030144502    0.000489441        -5.77%      7.42%
         220         225        0.0045392792    0.000538931     0.0042135648    0.000484676     0.0049537954    0.000606216        -7.18%      9.13%
         225         230        0.0017550066    0.000542398     0.0016442160    0.000505236     0.0018964087    0.000588706        -6.31%      8.06%
         230         235        0.0035140128    0.000637310     0.0032820470    0.000582191     0.0037909801    0.000703118        -6.60%      7.88%
         235         240        0.0021827034    0.000603213     0.0020031115    0.000553058     0.0024115233    0.000665618        -8.23%     10.48%
         240         245        0.0021762811    0.000307957     0.0020189311    0.000278993     0.0023758187    0.000345084        -7.23%      9.17%
         245         250        0.0013651678    0.000360112     0.0012871148    0.000334411     0.0014669050    0.000393301        -5.72%      7.45%
         250         255        0.0013054072    0.000330813     0.0012125424    0.000301926     0.0014250073    0.000367676        -7.11%      9.16%
         255         260        0.0030542132    0.000717612     0.0027098754    0.000603652     0.0034937766    0.000865595       -11.27%     14.39%
         260         265       0.00072787073    0.000558314    0.00070211431    0.000599029    0.00075321888    0.000523871        -3.54%      3.48%
         265         270        0.0014145121    0.000261123     0.0013172491    0.000232795     0.0015384981    0.000295647        -6.88%      8.77%
