#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5           1.7116376      0.0117984        1.6039826      0.0128670        1.7658427      0.0114665        -6.29%      3.17%
           5          10           3.0071181      0.0211651        2.9299733      0.0211698        3.0295735      0.0224783        -2.57%      0.75%
          10          15           2.8184764      0.0273254        2.7372285      0.0245676        2.8744997      0.0301767        -2.88%      1.99%
          15          20           3.1583444      0.0331940        3.0861324      0.0299191        3.2017736      0.0366226        -2.29%      1.38%
          20          25           3.2178514      0.0341128        3.1489977      0.0306507        3.2581889      0.0376676        -2.14%      1.25%
          25          30           2.9325928      0.0314908        2.8639365      0.0283867        2.9830874      0.0346446        -2.34%      1.72%
          30          35           2.3521941      0.0238697        2.3061482      0.0218092        2.3886127      0.0261232        -1.96%      1.55%
          35          40           1.7589421      0.0233260        1.7380907      0.0216814        1.7758914      0.0253537        -1.19%      0.96%
          40          45           1.1436711      0.0184065        1.1344580      0.0173218        1.1522839      0.0198177        -0.81%      0.75%
          45          50          0.67354569      0.0100331       0.65754919     0.00943657       0.69308946      0.0107772        -2.37%      2.90%
          50          55          0.46654321     0.00973044       0.45396441     0.00913481       0.48191139      0.0104715        -2.70%      3.29%
          55          60          0.37363565      0.0117746       0.36313068      0.0112102       0.38647012      0.0124778        -2.81%      3.44%
          60          65          0.28631764      0.0153165       0.27881207      0.0147486       0.29548759      0.0160228        -2.62%      3.20%
          65          70          0.18568223      0.0147163       0.18079155      0.0142366       0.19166212      0.0151413        -2.63%      3.22%
          70          75          0.15331724      0.0104161       0.14849311      0.0100245       0.15921114      0.0108991        -3.15%      3.84%
          75          80          0.12938634     0.00472738       0.12554408     0.00438371       0.13408152     0.00504300        -2.97%      3.63%
          80          85          0.10877706     0.00759332       0.10579223     0.00716799       0.11294354     0.00808311        -2.74%      3.83%
          85          90         0.070385417     0.00539797      0.068794969     0.00507064      0.072785364     0.00575988        -2.26%      3.41%
          90          95         0.057358914     0.00464512      0.055900534     0.00446552      0.059454278     0.00487176        -2.54%      3.65%
          95         100         0.045146362     0.00300886      0.044105741     0.00283897      0.046666624     0.00321754        -2.30%      3.37%
         100         105         0.045314012     0.00227605      0.043740986     0.00213634      0.047273069     0.00243517        -3.47%      4.32%
         105         110         0.038091723     0.00265009      0.036735016     0.00246378      0.039896195     0.00286539        -3.56%      4.74%
