#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5           2.2614618     0.00985833        1.8449878     0.00793487        2.6939551      0.0119038       -18.42%     19.12%
           5          10           2.6678103      0.0143788        2.2374067      0.0136803        3.1016395      0.0150267       -16.13%     16.26%
          10          15           2.0250631     0.00524813        1.7550187     0.00457328        2.2870375     0.00590900       -13.34%     12.94%
          15          20           2.0686706     0.00671605        1.8166439     0.00597495        2.3089295     0.00741788       -12.18%     11.61%
          20          25           2.1620637     0.00619755        1.9080071     0.00551741        2.4028138     0.00684332       -11.75%     11.14%
          25          30           2.2469373     0.00768763        1.9898692     0.00685287        2.4896449     0.00847596       -11.44%     10.80%
          30          35           2.2342171     0.00913489        1.9855299     0.00814890        2.4682255      0.0100625       -11.13%     10.47%
          35          40           2.1607104      0.0114860        1.9263559      0.0105407        2.3805670      0.0123504       -10.85%     10.18%
          40          45           1.7161959     0.00753464        1.5401388     0.00678215        1.8801618     0.00824189       -10.26%      9.55%
          45          50          0.73611240     0.00608730       0.67514559     0.00562034       0.79118874     0.00651396        -8.28%      7.48%
          50          55          0.43477832     0.00986536       0.40370143     0.00924947       0.46221541      0.0103957        -7.15%      6.31%
          55          60          0.31448730     0.00513464       0.29421014     0.00477762       0.33210742     0.00544783        -6.45%      5.60%
          60          65          0.23058237     0.00311377       0.21685242     0.00293115       0.24235098     0.00327094        -5.95%      5.10%
          65          70          0.18971880     0.00459172       0.17931115     0.00444958       0.19852744     0.00469779        -5.49%      4.64%
          70          75          0.13420926     0.00446596       0.12689474     0.00434599       0.14039910     0.00454888        -5.45%      4.61%
          75          80          0.11237255     0.00170386       0.10672885     0.00163483       0.11707890     0.00176039        -5.02%      4.19%
          80          85         0.090452726     0.00135091      0.086119054     0.00129180      0.094033199     0.00139961        -4.79%      3.96%
          85          90         0.070142905     0.00119960      0.066892364     0.00115045      0.072821353     0.00124054        -4.63%      3.82%
          90          95         0.057914022     0.00113869      0.055460043     0.00109403      0.059902537     0.00117457        -4.24%      3.43%
          95         100         0.047992120    0.000962029      0.046091289    0.000924269      0.049518161    0.000992265        -3.96%      3.18%
         100         105         0.038495840    0.000700515      0.037065754    0.000675365      0.039622399    0.000721800        -3.71%      2.93%
         105         110         0.032689010    0.000787939      0.031591127    0.000758393      0.033537387    0.000811641        -3.36%      2.60%
         110         115         0.026880336    0.000812101      0.025994478    0.000785485      0.027565070    0.000832761        -3.30%      2.55%
         115         120         0.021559721    0.000756984      0.020969022    0.000738438      0.021996696    0.000771221        -2.74%      2.03%
         120         125         0.018035738    0.000693126      0.017530248    0.000672905      0.018414894    0.000708548        -2.80%      2.10%
         125         130         0.017472104    0.000652954      0.017011102    0.000653774      0.017808139    0.000649303        -2.64%      1.92%
         130         135         0.014596711    0.000544387      0.014280185    0.000532421      0.014815070    0.000552766        -2.17%      1.50%
         135         140         0.011247908    0.000487712      0.011030816    0.000479662      0.011390960    0.000493030        -1.93%      1.27%
         140         145        0.0091153140    0.000473411     0.0089122627    0.000470165     0.0092573097    0.000474869        -2.23%      1.56%
         145         150        0.0096906353    0.000407171     0.0095463896    0.000406694     0.0097763502    0.000406166        -1.49%      0.88%
         150         155        0.0079209361    0.000592264     0.0077952812    0.000605398     0.0079965325    0.000578659        -1.59%      0.95%
         155         160        0.0060923156    0.000312031     0.0060224458    0.000306461     0.0061264040    0.000315586        -1.15%      0.56%
         160         165        0.0054192184    0.000273559     0.0053250683    0.000274762     0.0054774573    0.000271592        -1.74%      1.07%
         165         170        0.0044408016    0.000657003     0.0043638989    0.000668725     0.0044887810    0.000643703        -1.73%      1.08%
         170         175        0.0046714725    0.000198574     0.0046392139    0.000199025     0.0046797297    0.000197399        -0.69%      0.18%
         175         180        0.0038081335    0.000287346     0.0037863325    0.000287976     0.0038100901    0.000285599        -0.57%      0.05%
         180         185        0.0031989107    0.000317084     0.0031881488    0.000318168     0.0031989107    0.000317084        -0.34%   0.00000%
         185         190        0.0038472722    0.000323636     0.0038122644    0.000310083     0.0038675574    0.000337831        -0.91%      0.53%
         190         195        0.0026194589    0.000323673     0.0025853913    0.000337652     0.0026363850    0.000310410        -1.30%      0.65%
         195         200        0.0027876337    0.000215490     0.0027616419    0.000208993     0.0028031276    0.000222271        -0.93%      0.56%
         200         205        0.0020575636    0.000271631     0.0020452433    0.000267929     0.0020608087    0.000274251        -0.60%      0.16%
