#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0         0.1          0.30154375     0.00882546       0.27050277     0.00793241       0.33752900     0.00987642       -10.29%     11.93%
         0.1         0.2           1.8077202      0.0284673        1.6436968      0.0258840        2.0081163      0.0316234        -9.07%     11.09%
         0.2         0.3           3.1334423      0.0326678        2.8493224      0.0297037        3.4805665      0.0362893        -9.07%     11.08%
         0.3         0.4           3.8960492      0.0388676        3.5435015      0.0353418        4.3267752      0.0431754        -9.05%     11.06%
         0.4         0.5           4.5200642      0.0530762        4.1126958      0.0482630        5.0177676      0.0589572        -9.01%     11.01%
         0.5         0.6           5.2713899      0.0508919        4.7980042      0.0462794        5.8497500      0.0565279        -8.98%     10.97%
         0.6         0.7           6.0051702       0.155775        5.4699021       0.141643        6.6591353       0.173041        -8.91%     10.89%
         0.7         0.8           6.3651586      0.0826466        5.8049281      0.0751598        7.0496216      0.0917951        -8.80%     10.75%
         0.8         0.9           7.1721065      0.0774827        6.5480900      0.0704740        7.9345001      0.0860483        -8.70%     10.63%
         0.9           1           7.6392652       0.125973        6.9857071       0.114561        8.4377515       0.139919        -8.56%     10.45%
           1         1.1           8.3686562      0.0958614        7.6633585      0.0848945        9.2258814       0.106450        -8.43%     10.24%
         1.1         1.2           9.3875534       0.193048        8.5727813       0.164772        10.327370       0.214423        -8.68%     10.01%
         1.2         1.3           10.007895       0.243736        9.1539204       0.212020        10.975807       0.270726        -8.53%      9.67%
         1.3         1.4           11.250326       0.266010        10.325492       0.236146        12.301491       0.295460        -8.22%      9.34%
         1.4         1.5           13.783319        1.56358        12.528507        1.30022        15.047438        1.73692        -9.10%      9.17%
         1.5         1.6           11.364988        1.58378        10.623906        1.44007        12.270407        1.75936        -6.52%      7.97%
         1.6         1.7           13.858006       0.459480        12.928854       0.380673        14.921241       0.510355        -6.70%      7.67%
         1.7         1.8           15.753907       0.392168        14.789201       0.330934        16.885250       0.435545        -6.12%      7.18%
         1.8         1.9           17.986086       0.527803        16.966260       0.439697        19.181987       0.586221        -5.67%      6.65%
         1.9           2           18.938772       0.549654        18.020366       0.468540        20.021707       0.610056        -4.85%      5.72%
           2         2.1           21.000293       0.658102        20.160950       0.599777        22.025764       0.729519        -4.00%      4.88%
         2.1         2.2           25.532922       0.713328        24.542492       0.648720        26.742982       0.792277        -3.88%      4.74%
         2.2         2.3           29.874674       0.925835        28.762210       0.793523        31.156216        1.02833        -3.72%      4.29%
         2.3         2.4           35.206432        1.07990        34.068570       0.930993        36.560650        1.19912        -3.23%      3.85%
         2.4         2.5           38.853255        1.18653        37.859421        1.03824        39.997950        1.31787        -2.56%      2.95%
         2.5         2.6           44.183878        1.23614        43.390346        1.12412        45.153377        1.37302        -1.80%      2.19%
         2.6         2.7           57.426550        1.50349        55.889016        1.31160        58.803046        1.66914        -2.68%      2.40%
         2.7         2.8           72.249754        1.65584        70.467006        1.44756        73.951016        1.83922        -2.47%      2.35%
         2.8         2.9           81.920419        2.14203        80.790386        1.88316        82.807364        2.37915        -1.38%      1.08%
         2.9           3           109.30904        2.34716        107.25285        2.06903        110.42605        2.60708        -1.88%      1.02%
           3         3.1           131.93362        2.91512        130.56381        3.23983        132.72174        2.94611        -1.04%      0.60%
         3.1         3.2           115.86659        3.16811        112.23216        3.51893        118.84135        2.88101        -3.14%      2.57%
