#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10          0.67643352     0.00132153       0.54358650     0.00104276       0.81260593     0.00161983       -19.64%     20.13%
          10          20           1.2028936    0.000610340       0.98624808    0.000503579        1.4199491    0.000718217       -18.01%     18.04%
          20          30          0.67221430    0.000410703       0.56595708    0.000346829       0.77549200    0.000473508       -15.81%     15.36%
          30          40          0.47753418    0.000379521       0.41140752    0.000332658       0.53998705    0.000423555       -13.85%     13.08%
          40          50          0.53154210    0.000374570       0.46431192    0.000328380       0.59377738    0.000417768       -12.65%     11.71%
          50          60          0.94090347    0.000479084       0.82597650    0.000421345        1.0464406    0.000532830       -12.21%     11.22%
          60          70           1.6047287    0.000664106        1.4105743    0.000584843        1.7826400    0.000737681       -12.10%     11.09%
          70          80           1.9716989    0.000761555        1.7348337    0.000671164        2.1884776    0.000845382       -12.01%     10.99%
          80          90           1.3894104    0.000584753        1.2331172    0.000522119        1.5310680    0.000642201       -11.25%     10.20%
          90         100           1.3165685    0.000880588        1.1926233    0.000803950        1.4257098    0.000948791        -9.41%      8.29%
         100         110          0.19005942    0.000267802       0.17437911    0.000245990       0.20352346    0.000286935        -8.25%      7.08%
         110         120          0.14447355    0.000218454       0.13355905    0.000202749       0.15368798    0.000232025        -7.55%      6.38%
         120         130          0.12306949    0.000203096       0.11432636    0.000188742       0.13036324    0.000215336        -7.10%      5.93%
         130         140          0.10678362    0.000178503      0.099594352    0.000166170       0.11271917    0.000189018        -6.73%      5.56%
         140         150         0.092451518    0.000167132      0.086536909    0.000156725      0.097287250    0.000175848        -6.40%      5.23%
         150         160         0.079794578    0.000154832      0.074936508    0.000145473      0.083728048    0.000162594        -6.09%      4.93%
         160         170         0.069446674    0.000147274      0.065430619    0.000138848      0.072665540    0.000154179        -5.78%      4.64%
         170         180         0.060313544    0.000135707      0.056989734    0.000128482      0.062951680    0.000141574        -5.51%      4.37%
         180         190         0.052541060    0.000132173      0.049788274    0.000125349      0.054703368    0.000137672        -5.24%      4.12%
         190         200         0.045792615    0.000118996      0.043515324    0.000113099      0.047561094    0.000123702        -4.97%      3.86%
         200         210         0.039940007    0.000113584      0.038057176    0.000108306      0.041385157    0.000117752        -4.71%      3.62%
         210         220         0.035080455    0.000143578      0.033520778    0.000138383      0.036261397    0.000147395        -4.45%      3.37%
         220         230         0.030840810    0.000103685      0.029539760    9.94245e-05      0.031813783    0.000106965        -4.22%      3.15%
         230         240         0.027077404    0.000100035      0.026001097    9.58664e-05      0.027870235    0.000103234        -3.97%      2.93%
         240         250         0.024045662    9.05722e-05      0.023150091    8.70505e-05      0.024694071    9.32401e-05        -3.72%      2.70%
         250         260         0.021161694    8.70937e-05      0.020418807    8.38887e-05      0.021690534    8.94841e-05        -3.51%      2.50%
         260         270         0.018745141    8.08301e-05      0.018127154    7.80891e-05      0.019176991    8.28451e-05        -3.30%      2.30%
         270         280         0.016781464    7.94231e-05      0.016271017    7.67141e-05      0.017129017    8.14047e-05        -3.04%      2.07%
         280         290         0.015108855    7.55916e-05      0.014682404    7.32120e-05      0.015391484    7.72895e-05        -2.82%      1.87%
         290         300         0.013228102    7.05767e-05      0.012880009    6.85795e-05      0.013452700    7.19604e-05        -2.63%      1.70%
         300         310         0.011862599    6.70767e-05      0.011574859    6.54015e-05      0.012041973    6.81875e-05        -2.43%      1.51%
         310         320         0.010787620    6.54989e-05      0.010550934    6.39856e-05      0.010928301    6.64721e-05        -2.19%      1.30%
         320         330        0.0096302872    6.05772e-05     0.0094315717    5.91147e-05     0.0097446053    6.15424e-05        -2.06%      1.19%
         330         340        0.0087085324    5.91860e-05     0.0085529292    5.82033e-05     0.0087903109    5.97110e-05        -1.79%      0.94%
         340         350        0.0078024338    5.67959e-05     0.0076723612    5.56831e-05     0.0078675614    5.74614e-05        -1.67%      0.83%
         350         360        0.0070276698    5.05839e-05     0.0069266648    4.98707e-05     0.0070719999    5.09375e-05        -1.44%      0.63%
         360         370        0.0064979269    5.82207e-05     0.0064184032    5.80060e-05     0.0065267364    5.81234e-05        -1.22%      0.44%
