#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5           1.9375988      0.0170852        1.8745309      0.0142277        1.9851868      0.0201243        -3.25%      2.46%
           5          10           2.9181771      0.0135431        2.7552405      0.0116974        3.0115605      0.0142657        -5.58%      3.20%
          10          15           2.4774230      0.0170956        2.3360206      0.0152034        2.5696475      0.0188299        -5.71%      3.72%
          15          20           2.4846985      0.0209632        2.3599448      0.0186701        2.5667311      0.0230451        -5.02%      3.30%
          20          25           2.6097208      0.0244099        2.4925637      0.0218221        2.6841555      0.0267514        -4.49%      2.85%
          25          30           2.6605296      0.0261787        2.5483579      0.0233805        2.7303968      0.0287093        -4.22%      2.63%
          30          35           2.6276658      0.0453381        2.5338421      0.0393213        2.6806578      0.0512927        -3.57%      2.02%
          35          40           2.4754042      0.0574242        2.3892042      0.0500674        2.5252498      0.0645314        -3.48%      2.01%
          40          45           1.8622096      0.0407069        1.8203095      0.0359391        1.8796529      0.0409402        -2.25%      0.94%
          45          50           1.2205739      0.0129388        1.1693439      0.0119178        1.2755256      0.0138939        -4.20%      4.50%
          50          55          0.75696308     0.00958624       0.72603107     0.00926730       0.79533270      0.0100092        -4.09%      5.07%
          55          60          0.54855655     0.00608327       0.52558608     0.00564233       0.57705027     0.00664326        -4.19%      5.19%
          60          65          0.40977202     0.00824083       0.39346134     0.00792903       0.43000460     0.00865223        -3.98%      4.94%
          65          70          0.31846815     0.00575839       0.30530982     0.00528438       0.33479039     0.00635409        -4.13%      5.13%
          70          75          0.24181937     0.00536286       0.23207784     0.00491727       0.25390325     0.00592238        -4.03%      5.00%
          75          80          0.19557219     0.00843520       0.18700416     0.00821560       0.20620040     0.00872886        -4.38%      5.43%
          80          85          0.15369997     0.00958605       0.14693304     0.00876875       0.16209401      0.0106099        -4.40%      5.46%
          85          90          0.12000574     0.00892119       0.11538290     0.00809599       0.12574014     0.00994708        -3.85%      4.78%
          90          95          0.10593030     0.00418990       0.10142876     0.00384848       0.11151424     0.00461935        -4.25%      5.27%
          95         100         0.079491954     0.00523028      0.075650637     0.00491416      0.084256916     0.00563704        -4.83%      5.99%
         100         105         0.067973689     0.00334856      0.065042657     0.00305000      0.071609487     0.00372104        -4.31%      5.35%
         105         110         0.058271180     0.00200592      0.055704604     0.00183485      0.061454888     0.00222022        -4.40%      5.46%
         110         115         0.051118657     0.00199206      0.048744447     0.00182898      0.054063745     0.00219710        -4.64%      5.76%
         115         120         0.044975734     0.00223977      0.042785965     0.00204547      0.047692033     0.00248280        -4.87%      6.04%
         120         125         0.031081880     0.00198870      0.029662758     0.00182077      0.032867758     0.00215955        -4.57%      5.75%
         125         130         0.031723149     0.00202641      0.030107522     0.00185506      0.033743419     0.00222164        -5.09%      6.37%
         130         135         0.026996354     0.00188358      0.025612155     0.00173115      0.028723034     0.00205585        -5.13%      6.40%
         135         140         0.024346322     0.00121351      0.022927824     0.00111400      0.026097032     0.00132851        -5.83%      7.19%
         140         145         0.022801156     0.00134235      0.021583708     0.00125514      0.024303773     0.00144833        -5.34%      6.59%
         145         150         0.012998637     0.00134127      0.012329224     0.00125027      0.013881765     0.00145204        -5.15%      6.79%
         150         155         0.021324021     0.00228050      0.019856952     0.00201846      0.023117011     0.00259784        -6.88%      8.41%
         155         160        0.0091679221     0.00216645     0.0088662916     0.00191599     0.0095664518     0.00247010        -3.29%      4.35%
         160         165         0.010363396     0.00157624     0.0095794919     0.00156329      0.011351024     0.00158908        -7.56%      9.53%
         165         170         0.010695017     0.00101810      0.010074625    0.000936317      0.011486053     0.00111572        -5.80%      7.40%
         170         175         0.010535246     0.00119913     0.0097049512     0.00109728      0.011586263     0.00131975        -7.88%      9.98%
         175         180        0.0055066416     0.00115046     0.0052546524     0.00105490     0.0058407722     0.00126028        -4.58%      6.07%
         180         185        0.0069365609    0.000862144     0.0065037867    0.000788442     0.0074702046    0.000950041        -6.24%      7.69%
